condition	organism	area	length	regenerated part	no.cells in regenerated part	area in regenerated part	cells per mm2
gfp(RNAi)	pla1	2.927	3.227	0.54	87	0.390	223.0769231
gfp(RNAi)	pla2	2.18	2.546	0.42	133	0.288	461.8055556
gfp(RNAi)	pla3	2.174	2.63	0.44	77	0.298	258.3892617
gfp(RNAi)	pla4	2.056	2.574	0.43	75	0.281	266.9039146
gfp(RNAi)	pla5	2.605	2.977	0.50	102	0.355	287.3239437
gfp(RNAi)	pla6	2.494	2.89	0.48	121	0.325	372.3076923
gfp(RNAi)	pla7	2.59	2.924	0.49	65	0.331	196.3746224
gfp(RNAi)	pla8	1.93	2.285	0.38	84	0.259	324.3243243
alx3-1(RNAi)	pla1	2.114	2.627	0.44	25	0.264	94.6969697
alx3-1(RNAi)	pla2	2.775	2.628	0.44	38	0.377	100.795756
alx3-1(RNAi)	pla3	3.132	3.021	0.50	67	0.407	164.6191646
alx3-1(RNAi)	pla4	1.807	2.407	0.40	17	0.242	70.24793388
alx3-1(RNAi)	pla5	2.27	2.559	0.43	26	0.305	85.24590164
alx3-1(RNAi)	pla6	2.555	2.753	0.46	37	0.314	117.8343949
alx3-1(RNAi)	pla7	2.304	2.545	0.42	13	0.284	45.77464789
