factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0018872	1.0000000000000002	3131.617995470422	3128.812202800917	0.8	2.80579266950526	0.7692307692307694	10683	2.80579266950526
h1SMcG0022977	0.975	2733.7898546890415	2727.2369731204435	0.525	6.55288156859802	1.0000000000000002	2298	6.55288156859802
h1SMcG0018959	0.9500000000000001	2985.0914198024734	2982.0588448766985	0.65	3.0325749257751	0.8461538461538463	3110	3.0325749257751
h1SMcG0019688	0.925	3125.530897558361	3123.2521174046924	0.775	2.27878015366872	0.6153846153846154	10244	2.27878015366872
h1SMcG0009686	0.9	3228.7902308365947	3226.594800604021	0.85	2.19543023257366	0.5384615384615385	4173	2.19543023257366
h1SMcG0006347	0.875	2912.3332073936417	2909.6068045732686	0.6	2.72640282037321	0.6923076923076923	3405	2.72640282037321
h1SMcG0012446	0.85	3846.479851597067	3846.479851597067	1.0000000000000002	0.0	0.0	7657	0.43202539737557
h1SMcG0001728	0.8250000000000001	990.3737747064595	986.5194331821016	0.07500000000000001	3.85434152435789	0.9230769230769231	27	3.85434152435789
h1SMcG0011844	0.8	3759.157686572784	3759.157686572784	0.975	0.0	0.0	7526	0.528598574898366
h1SMcG0000803	0.775	3589.8932780872506	3589.8932780872506	0.9500000000000001	0.0	0.0	8058	0.55093109864412
h1SMcG0007933	0.75	3499.84260488577	3499.84260488577	0.925	0.0	0.0	6300	0.112929368166468
h1SMcG0020721	0.725	3340.1850488305586	3340.1850488305586	0.9	0.0	0.0	4667	0.971538786403209
h1SMcG0004352	0.7000000000000001	3339.3552692811427	3339.3552692811427	0.875	0.0	0.0	5602	0.680346804645586
h1SMcG0021045	0.675	3177.3840244617786	3177.3840244617786	0.8250000000000001	0.0	0.0	4525	0.399667385884527
h1SMcG0006375	0.65	3122.49029084222	3122.49029084222	0.75	0.0	0.0	7205	0.250160965447601
h1SMcG0018146	0.625	3100.366005731093	3100.366005731093	0.725	0.0	0.0	4161	0.0411444882313703
h1SMcG0003407	0.6	3071.0463457149112	3071.0463457149112	0.7000000000000001	0.0	0.0	3470	2.07397307927337
h1SMcG0010190	0.5750000000000001	3036.4207560051746	3036.4207560051746	0.675	0.0	0.0	4391	0.543731162686049
h1SMcG0012543	0.55	1973.3266951085138	1971.1382453112972	0.2	2.18844979721655	0.4615384615384616	610	2.18844979721655
h1SMcG0016703	0.525	2930.7477317463645	2930.7477317463645	0.625	0.0	0.0	3519	0.329575375252643
h1SMcG0015595	0.5	2895.689891554009	2895.689891554009	0.5750000000000001	0.0	0.0	8037	0.990142973608967
h1SMcG0000285	0.475	1961.95960512638	1959.9119851793016	0.17500000000000002	2.04761994707832	0.38461538461538464	701	2.04761994707832
h1SMcG0009963	0.45	2002.9431086595966	2001.117892654546	0.25	1.82521600505068	0.3076923076923077	5706	1.82521600505068
h1SMcG0020557	0.425	2769.356159290854	2769.356159290854	0.55	0.0	0.0	2431	0.804330567307065
h1SMcG0001060	0.4	2656.4865359912314	2656.4865359912314	0.5	0.0	0.0	2800	1.35250825611288
h1SMcG0001531	0.375	2087.265933956818	2085.685089825269	0.325	1.58084413154902	0.15384615384615385	911	1.58084413154902
h1SMcG0012678	0.35	2430.314450269087	2430.314450269087	0.475	0.0	0.0	2057	0.76393830665586
h1SMcG0010990	0.325	2377.0528268588337	2377.0528268588337	0.45	0.0	0.0	3828	0.244486387991228
h1SMcG0020709	0.3	2344.9037109340093	2344.9037109340093	0.425	0.0	0.0	3963	0.975914086585499
h1SMcG0011535	0.275	2291.061918664342	2291.061918664342	0.4	0.0	0.0	3036	0.344842678956355
h1SMcG0015294	0.25	2273.350314181196	2273.350314181196	0.375	0.0	0.0	1182	0.237136784275349
h1SMcG0023128	0.225	2128.096729980206	2128.096729980206	0.35	0.0	0.0	1682	0.147380021887952
h1SMcG0022513	0.2	2041.9396272007948	2041.9396272007948	0.3	0.0	0.0	703	0.463628781132424
h1SMcG0000079	0.17500000000000002	68.5733272671304	66.79463245656906	0.05000000000000001	1.77869481056134	0.23076923076923078	32	1.77869481056134
h1SMcG0018400	0.15000000000000002	2038.2171072547508	2038.2171072547508	0.275	0.0	0.0	3729	0.218442028534141
h1SMcG0014619	0.12500000000000003	1995.574997789374	1995.574997789374	0.225	0.0	0.0	642	0.465112238720187
h1SMcG0006281	0.1	1880.3355750722585	1880.3355750722585	0.15000000000000002	0.0	0.0	4341	0.48173090983225
h1SMcG0007325	0.07500000000000001	1765.297904795003	1765.297904795003	0.12500000000000003	0.0	0.0	324	0.119189824752973
h1SMcG0004695	0.05000000000000001	55.90894866498311	54.919417832918015	0.025	0.989530832065092	0.07692307692307693	14	0.989530832065092
h1SMcG0002883	0.025	1072.1999828920098	1072.1999828920098	0.1	0.0	0.0	119	1.27655711316934
h1SMcG0008373	0.0	7.940949773346147	7.940949773346147	0.0	0.0	0.0	4	0.313423025479159
