source	target	weight
h1SMcG0021045	h1SMcG0021690	0.7917728
h1SMcG0020741	h1SMcG0002107	0.7917732
h1SMcG0016703	h1SMnG0014533	0.7917736
h1SMcG0003132	h1SMcG0015745	0.7917739
h1SMcG0018872	h1SMcG0011211	0.791774
h1SMcG0006886	h1SMcG0015280	0.7917752
h1SMcG0004687	h1SMcG0008211	0.7917753
h1SMcG0010190	h1SMnG0024415	0.79177576
h1SMcG0007253	h1SMnG0007325	0.791776
h1SMcG0001531	h1SMcG0022583	0.791776
h1SMcG0018146	h1SMcG0010910	0.7917761
h1SMcG0009369	h1SMcG0000629	0.79177636
h1SMcG0012645	h1SMcG0011763	0.7917769
h1SMcG0002143	h1SMcG0007881	0.791777
h1SMcG0007933	h1SMcG0017938	0.79177713
h1SMcG0002143	h1SMcG0004473	0.7917773
h1SMcG0016703	h1SMcG0020589	0.79177743
h1SMcG0020428	h1SMcG0013291	0.791778
h1SMcG0006635	h1SMnG0000291	0.79177845
h1SMcG0002143	h1SMcG0017761	0.7917785
h1SMcG0018959	h1SMcG0009903	0.7917799
h1SMcG0021565	h1SMcG0018648	0.79178005
h1SMcG0006635	h1SMnG0028504	0.79178005
h1SMcG0009369	h1SMcG0014512	0.79178035
h1SMcG0021045	h1SMnG0032655	0.79178053
h1SMnG0012616	h1SMcG0001402	0.7917807
h1SMcG0004352	h1SMcG0002287	0.7917808
h1SMcG0020889	h1SMcG0010898	0.7917815
h1SMcG0003407	h1SMcG0012094	0.7917816
h1SMcG0003132	h1SMnG0032456	0.7917817
h1SMcG0007933	h1SMnG0006791	0.7917821
h1SMcG0006886	h1SMnG0032591	0.7917822
h1SMcG0009686	h1SMcG0002292	0.7917823
h1SMcG0020889	h1SMcG0011263	0.79178244
h1SMcG0013730	h1SMcG0017340	0.7917826
h1SMcG0009369	h1SMcG0015532	0.79178315
h1SMcG0021045	h1SMcG0015046	0.79178333
h1SMcG0020721	h1SMcG0014752	0.79178387
h1SMcG0006886	h1SMcG0002538	0.7917839
h1SMcG0010789	h1SMcG0018057	0.791784
h1SMcG0015294	h1SMcG0022393	0.7917844
h1SMcG0011844	h1SMcG0005389	0.7917845
h1SMcG0015595	h1SMnG0023945	0.7917846
h1SMcG0009686	h1SMcG0003843	0.791786
h1SMcG0012612	h1SMcG0017723	0.7917867
h1SMcG0009867	h1SMcG0003412	0.79178673
h1SMcG0006347	h1SMcG0017264	0.7917869
h1SMcG0006375	h1SMnG0007401	0.7917873
