factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0008441	1.0000000000000002	3628.4340527923587	3624.833402229999	1.0000000000000002	3.60065056235969	0.9999999999999998	13444	3.60065056235969
h1SMcG0007041	0.975	2731.986469270716	2728.922159020934	0.925	3.06431024978192	0.9523809523809523	5808	3.06431024978192
h1SMcG0019068	0.9500000000000001	2204.602159503685	2201.651135991005	0.725	2.95102351267998	0.9047619047619047	2457	2.95102351267998
h1SMcG0004695	0.925	2742.397182749559	2740.1420251741583	0.9500000000000001	2.25515757540033	0.6666666666666665	8434	2.25515757540033
h1SMcG0011943	0.9	2536.24640095396	2533.885249375517	0.875	2.36115157844286	0.7142857142857142	4511	2.36115157844286
h1SMcG0016868	0.875	1880.8296287510286	1878.0668099703996	0.5750000000000001	2.76281878062899	0.857142857142857	11999	2.76281878062899
h1SMcG0014619	0.85	2241.3505085299253	2239.366643548259	0.775	1.98386498166629	0.6190476190476191	2619	1.98386498166629
h1SMcG0010860	0.8250000000000001	2375.661671584883	2374.5061337767	0.85	1.15553780818318	0.42857142857142855	4061	1.15553780818318
h1SMcG0006886	0.8	3277.861010511329	3277.0443060091607	0.975	0.81670450216816	0.2857142857142857	11433	0.81670450216816
h1SMcG0006347	0.775	1993.4485252985367	1992.270183023148	0.625	1.17834227538852	0.4761904761904761	1772	1.17834227538852
h1SMcG0009867	0.75	1530.896661502687	1528.202253720665	0.275	2.69440778202197	0.8095238095238095	9115	2.69440778202197
h1SMcG0010190	0.725	2059.7020293045803	2058.783909053802	0.65	0.918120250778597	0.3333333333333333	3017	0.918120250778597
h1SMcG0000079	0.7000000000000001	1729.9110834896578	1728.9479900498068	0.525	0.963093439850927	0.38095238095238093	653	0.963093439850927
h1SMcG0001396	0.675	2626.7000967382714	2626.7000967382714	0.9	0.0	0.0	5735	0.591587940550029
h1SMcG0006261	0.65	1565.544645818014	1563.8649008712434	0.325	1.6797449467707	0.5714285714285714	818	1.6797449467707
h1SMcG0012678	0.625	1903.5804739213022	1902.785752562768	0.6	0.79472135853405	0.23809523809523808	2177	0.79472135853405
h1SMcG0021045	0.6	2374.4162769755085	2374.4162769755085	0.8250000000000001	0.0	0.0	3898	0.168828800879004
h1SMcG0008373	0.5750000000000001	2278.7349133395005	2278.7349133395005	0.8	0.0	0.0	3025	0.357162073669133
h1SMcG0000285	0.55	2.9514256803083936	0.2613730833577636	0.025	2.69005259695063	0.7619047619047619	2	2.69005259695063
h1SMcG0009116	0.525	2238.112350173521	2238.112350173521	0.75	0.0	0.0	4088	0.379233201503594
h1SMcG0015294	0.5	1831.5507555904057	1830.783361206565	0.55	0.767394383840942	0.19047619047619047	1078	0.767394383840942
h1SMcG0011535	0.475	2136.107409206006	2136.107409206006	0.7000000000000001	0.0	0.0	6851	0.234315237725244
h1SMcG0006375	0.45	2096.036455100525	2096.036455100525	0.675	0.0	0.0	6263	0.530176755312256
h1SMcG0007933	0.425	1718.305121435293	1717.6257962364025	0.475	0.679325198890343	0.09523809523809523	559	0.679325198890343
h1SMcG0009686	0.4	1.6672960953900595	0.2613003097462996	0.0	1.40599578564376	0.5238095238095237	1	1.40599578564376
h1SMcG0021295	0.375	1725.182844485339	1725.182844485339	0.5	0.0	0.0	846	0.109326400472435
h1SMcG0008408	0.35	1567.920870948315	1567.2021226462357	0.35	0.718748302079378	0.14285714285714285	245	0.718748302079378
h1SMcG0012446	0.325	1688.8122734477154	1688.8122734477154	0.45	0.0	0.0	549	0.674335713543846
h1SMcG0004352	0.3	1652.9300847240834	1652.9300847240834	0.425	0.0	0.0	281	0.659488619410419
h1SMcG0016703	0.275	1637.587822869462	1637.587822869462	0.4	0.0	0.0	263	0.460720262935055
h1SMcG0000803	0.25	1633.0686556971814	1633.0686556971814	0.375	0.0	0.0	507	0.204638444139799
h1SMcG0001060	0.225	1547.3807563364414	1547.3807563364414	0.3	0.0	0.0	275	0.0521064770526648
h1SMcG0003298	0.2	1506.1819435235604	1506.1819435235604	0.25	0.0	0.0	1864	0.414494816955337
h1SMcG0010990	0.17500000000000002	1450.305426103284	1450.305426103284	0.225	0.0	0.0	5774	0.558060458990822
h1SMcG0010789	0.15000000000000002	1355.2468885421124	1355.2468885421124	0.2	0.0	0.0	3562	0.261746549492074
h1SMcG0016730	0.12500000000000003	1352.8962654524223	1352.8962654524223	0.17500000000000002	0.0	0.0	2465	0.19671761960487
h1SMcG0006281	0.1	913.8620397781752	913.8620397781752	0.15000000000000002	0.0	0.0	4730	0.247121882693595
h1SMcG0003759	0.07500000000000001	95.78397081918105	95.13416272564356	0.1	0.64980809353749	0.047619047619047616	25	0.64980809353749
h1SMcG0018400	0.05000000000000001	568.5695905303476	568.5695905303476	0.12500000000000003	0.0	0.0	1052	0.30342405903253
h1SMcG0007864	0.025	39.87812923364272	39.87812923364272	0.07500000000000001	0.0	0.0	12	0.162196186763367
h1SMcG0002380	0.0	8.394234297316766	8.394234297316766	0.05000000000000001	0.0	0.0	2	0.819588889777953
