source	target	weight
h1SMcG0006347	h1SMcG0009520	0.7857989
h1SMcG0020191	h1SMcG0004320	0.78579897
h1SMcG0008408	h1SMnG0022850	0.7857994
h1SMcG0004695	h1SMnG0004225	0.7857996
h1SMcG0013048	h1SMcG0010982	0.7857997
h1SMcG0019068	h1SMcG0022343	0.7858001
h1SMcG0013048	h1SMcG0020903	0.78580064
h1SMcG0019068	h1SMnG0030846	0.7858009
h1SMcG0011844	h1SMcG0007254	0.785801
h1SMcG0018062	h1SMcG0018535	0.7858011
h1SMcG0006886	h1SMcG0018623	0.7858014
h1SMcG0022711	h1SMnG0035609	0.7858014
h1SMcG0006635	h1SMnG0014848	0.7858015
h1SMcG0020191	h1SMcG0017988	0.7858022
h1SMcG0002143	h1SMcG0005603	0.78580236
h1SMcG0003298	h1SMnG0002832	0.78580236
h1SMcG0004695	h1SMcG0009185	0.785803
h1SMcG0019799	h1SMcG0018577	0.7858034
h1SMcG0021045	h1SMnG0014416	0.78580475
h1SMcG0008441	h1SMnG0023248	0.7858052
h1SMcG0000524	h1SMcG0021065	0.7858053
h1SMcG0016868	h1SMcG0003675	0.7858055
h1SMcG0018265	h1SMcG0022390	0.7858056
h1SMcG0019068	h1SMnG0030164	0.78580564
h1SMcG0001531	h1SMcG0003556	0.78580594
h1SMcG0002143	h1SMcG0008480	0.78580594
h1SMcG0020191	h1SMcG0017155	0.7858061
h1SMcG0011844	h1SMnG0030414	0.7858061
h1SMcG0015626	h1SMcG0020682	0.7858063
h1SMcG0016838	h1SMcG0020682	0.7858063
h1SMcG0011535	h1SMnG0013008	0.7858064
h1SMcG0022768	h1SMnG0032836	0.7858064
h1SMcG0014619	h1SMcG0003532	0.7858066
h1SMcG0010990	h1SMcG0017300	0.785807
h1SMcG0012543	h1SMcG0012950	0.7858072
h1SMcG0015621	h1SMcG0018016	0.7858072
h1SMcG0014619	h1SMnG0016024	0.7858074
h1SMcG0022892	h1SMcG0020447	0.7858076
h1SMcG0016838	h1SMcG0013226	0.78580767
h1SMcG0015626	h1SMcG0013226	0.78580767
h1SMcG0006347	h1SMcG0019146	0.78580797
h1SMcG0006635	h1SMcG0014035	0.7858081
h1SMcG0011535	h1SMnG0015959	0.7858083
h1SMcG0011744	h1SMnG0002508	0.7858086
h1SMcG0001531	h1SMcG0013665	0.7858086
