factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0013742	1.0	9007.868640517394	9001.85720797121	0.92	6.01143254618422	0.9583333333333334	6151	6.01143254618422
h1SMcG0014057	0.98	5700.049445977318	5693.527333996237	0.54	6.5221119810809	0.9999999999999999	900	6.5221119810809
h1SMcG0002849	0.96	7913.523169853062	7910.012743536037	0.78	3.510426317025	0.7083333333333334	4025	3.510426317025
h1SMcG0010623	0.94	6339.214653082618	6335.22783175936	0.6	3.9868213232576	0.8333333333333334	1677	3.9868213232576
h1SMcG0008441	0.92	12376.653531052363	12374.35064979353	1.0	2.30288125883272	0.41666666666666663	14218	2.30288125883272
h1SMcG0006261	0.9	8005.847466225722	8003.01910347493	0.8	2.82836275079262	0.5416666666666666	8507	2.82836275079262
h1SMcG0007041	0.88	8338.49201335763	8335.929762947031	0.82	2.56225041059959	0.49999999999999994	4835	2.56225041059959
h1SMcG0004695	0.86	8743.788316272652	8742.07705897972	0.9	1.71125729293359	0.37499999999999994	6927	1.71125729293359
h1SMcG0009361	0.84	6639.742517248242	6636.810565322667	0.68	2.93195192557518	0.5833333333333334	2054	2.93195192557518
h1SMcG0022711	0.82	5266.187646336281	5261.072752575015	0.33999999999999997	5.11489376126618	0.9166666666666666	398	5.11489376126618
h1SMcG0006679	0.8	5273.786459552705	5268.915802255126	0.36	4.87065729757891	0.875	392	4.87065729757891
h1SMcG0004352	0.78	7033.347332821226	7030.98496414969	0.74	2.36236867153548	0.4583333333333333	2913	2.36236867153548
h1SMcG0020810	0.76	5483.865917720525	5480.531163869546	0.5	3.33475385097948	0.6666666666666666	631	3.33475385097948
h1SMcG0010860	0.74	9058.93130179582	9057.946183614486	0.94	0.985118181334458	0.20833333333333334	6750	0.985118181334458
h1SMcG0006347	0.72	7256.557930860016	7254.987227287015	0.76	1.57070357300132	0.3333333333333333	3281	1.57070357300132
h1SMcG0001396	0.7	8581.305554312883	8580.378151327193	0.84	0.927402985689767	0.16666666666666666	5635	0.927402985689767
h1SMcG0006886	0.68	11673.567654263776	11673.567654263776	0.98	0.0	0.0	13014	0.208038741555508
h1SMcG0006375	0.66	8696.850468174158	8696.222404077189	0.88	0.628064096968239	0.08333333333333334	9773	0.628064096968239
h1SMcG0020741	0.64	9450.302562382678	9450.302562382678	0.96	0.0	0.0	7135	0.0246754371837038
h1SMcG0009963	0.62	6484.792503494864	6483.338366004163	0.64	1.45413749070128	0.29166666666666663	6569	1.45413749070128
h1SMcG0018265	0.6	4944.690854988215	4940.790622427483	0.14	3.90023256073182	0.75	55	3.90023256073182
h1SMcG0012645	0.58	103.52677288823081	99.60115550351428	0.08	3.92561738471653	0.7916666666666666	49	3.92561738471653
h1SMcG0011943	0.5599999999999999	8592.054525524389	8592.054525524389	0.86	0.0	0.0	5375	0.951394335792958
h1SMcG0017428	0.54	4981.899553232389	4978.680307961263	0.16	3.21924527112636	0.625	108	3.21924527112636
h1SMcG0012446	0.52	6684.10675217925	6684.10675217925	0.72	0.0	0.0	2181	0.0982323711116032
h1SMcG0012678	0.5	6650.360329099132	6650.360329099132	0.7	0.0	0.0	2994	0.496362596878021
h1SMcG0011688	0.48	6530.323484289507	6530.323484289507	0.66	0.0	0.0	1968	1.81420708499373
h1SMcG0003132	0.45999999999999996	6455.465860263842	6455.465860263842	0.62	0.0	0.0	1840	0.246001110491091
h1SMcG0014619	0.44	5391.214169304057	5390.372594680367	0.45999999999999996	0.841574623689625	0.125	535	0.841574623689625
h1SMcG0020709	0.42	6203.664126555208	6203.664126555208	0.58	0.0	0.0	4379	1.33215398227808
h1SMcG0023128	0.39999999999999997	6158.938126760295	6158.938126760295	0.5599999999999999	0.0	0.0	2887	0.0530545165367526
h1SMcG0009686	0.38	5150.034676203891	5148.6872129586845	0.27999999999999997	1.34746324520659	0.24999999999999997	279	1.34746324520659
h1SMcG0016896	0.36	5514.957345971284	5514.957345971284	0.52	0.0	0.0	1433	0.361368965135483
h1SMcG0000548	0.33999999999999997	5441.859720612649	5441.859720612649	0.48	0.0	0.0	593	0.839060257578797
h1SMcG0000079	0.32	5381.171863684539	5381.171863684539	0.44	0.0	0.0	566	0.379920464381193
h1SMcG0021565	0.3	5345.646314241843	5345.646314241843	0.42	0.0	0.0	423	0.592184840113481
h1SMcG0011292	0.27999999999999997	5337.77301625396	5337.77301625396	0.39999999999999997	0.0	0.0	483	0.38605138752933
h1SMcG0012022	0.26	5321.911174380925	5321.911174380925	0.38	0.0	0.0	471	0.549723466581323
h1SMcG0020721	0.24000000000000002	5250.843279018036	5250.843279018036	0.32	0.0	0.0	373	0.723340826020878
h1SMcG0002561	0.22	5187.208540496628	5187.208540496628	0.3	0.0	0.0	305	0.853479892073288
h1SMcG0007933	0.2	5088.476686409908	5087.919954145875	0.24000000000000002	0.556732264033956	0.041666666666666664	119	0.556732264033956
h1SMcG0010959	0.18000000000000002	5097.745182922691	5097.745182922691	0.26	0.0	0.0	221	0.417773855005517
h1SMcG0021045	0.16	5060.72385832289	5060.72385832289	0.22	0.0	0.0	103	0.411374303575344
h1SMcG0008401	0.14	5002.245786267082	5002.245786267082	0.2	0.0	0.0	124	1.02342405992228
h1SMcG0015572	0.12000000000000001	4998.770657430566	4998.770657430566	0.18000000000000002	0.0	0.0	122	1.09215294636911
h1SMcG0020456	0.09999999999999999	4935.833794403584	4935.833794403584	0.12000000000000001	0.0	0.0	44	0.449713108668593
h1SMcG0000803	0.08	817.6202918357696	817.6202918357696	0.09999999999999999	0.0	0.0	167	0.216298395573399
h1SMcG0014295	0.06	78.14875626889005	78.14875626889005	0.06	0.0	0.0	38	0.15541995360916
h1SMcG0015343	0.039999999999999994	67.54907290971009	67.54907290971009	0.039999999999999994	0.0	0.0	30	0.689918211255157
h1SMcG0020428	0.02	57.93159866757176	57.93159866757176	0.02	0.0	0.0	26	0.288255565553566
h1SMcG0002380	0.0	55.47352066054118	55.47352066054118	0.0	0.0	0.0	12	0.517205664828072
