source	target	weight
h1SMcG0020741	h1SMnG0016101	0.78981733
h1SMcG0012543	h1SMcG0021674	0.7898176
h1SMcG0008441	h1SMnG0025068	0.7898178
h1SMcG0006886	h1SMnG0010345	0.78981864
h1SMcG0020741	h1SMcG0018348	0.7898187
h1SMcG0014057	h1SMcG0009060	0.7898192
h1SMcG0004352	h1SMcG0013770	0.7898194
h1SMcG0011744	h1SMcG0007718	0.7898194
h1SMcG0009361	h1SMcG0007056	0.78981984
h1SMcG0013730	h1SMcG0005608	0.7898201
h1SMcG0002143	h1SMcG0017593	0.78982013
h1SMcG0000524	h1SMnG0032392	0.78982043
h1SMcG0018872	h1SMcG0022015	0.7898205
h1SMcG0020810	h1SMcG0006864	0.7898208
h1SMcG0014619	h1SMcG0018577	0.78982085
h1SMcG0003132	h1SMnG0028574	0.78982097
h1SMcG0010860	h1SMnG0026167	0.7898213
h1SMcG0020741	h1SMnG0017454	0.7898214
h1SMcG0011943	h1SMcG0004893	0.7898219
h1SMcG0006635	h1SMnG0030561	0.78982216
h1SMcG0020709	h1SMcG0019538	0.78982234
h1SMcG0022892	h1SMcG0022503	0.78982246
h1SMcG0002849	h1SMcG0022503	0.78982246
h1SMcG0006375	h1SMcG0003451	0.7898225
h1SMcG0010860	h1SMcG0022170	0.7898226
h1SMcG0011535	h1SMcG0015506	0.78982264
h1SMcG0018400	h1SMcG0014799	0.7898228
h1SMcG0012543	h1SMnG0022388	0.7898229
h1SMcG0008441	h1SMnG0013011	0.78982353
h1SMcG0011943	h1SMcG0000997	0.78982365
h1SMcG0012543	h1SMcG0014466	0.78982395
h1SMcG0009963	h1SMnG0030798	0.78982395
h1SMcG0021040	h1SMcG0017549	0.789824
h1SMcG0021040	h1SMnG0034714	0.7898243
h1SMcG0015621	h1SMcG0019595	0.78982437
h1SMcG0003132	h1SMcG0013299	0.78982437
h1SMcG0012543	h1SMcG0004470	0.7898249
h1SMcG0011744	h1SMcG0003511	0.7898252
h1SMcG0015294	h1SMcG0008584	0.78982526
h1SMcG0020191	h1SMcG0020647	0.78982544
h1SMcG0003132	h1SMcG0008619	0.78982556
h1SMcG0008441	h1SMnG0029436	0.78982604
