source	target	weight
h1SMcG0020634	h1SMcG0008523	0.7979983
h1SMcG0009963	h1SMcG0000944	0.0016419500000000031
h1SMcG0021040	h1SMnG0015505	0.79799867
h1SMcG0020456	h1SMcG0008244	0.79799944
h1SMcG0007864	h1SMcG0013686	0.7979995
h1SMcG0009835	h1SMcG0022214	0.79799956
h1SMcG0004476	h1SMnG0016990	0.79799986
h1SMcG0007041	h1SMcG0010377	0.7980006
h1SMcG0007933	h1SMcG0019629	0.7980012
h1SMcG0006315	h1SMcG0019756	0.7980015
h1SMcG0018959	h1SMcG0021504	0.79800195
h1SMcG0021040	h1SMnG0007183	0.79800206
h1SMcG0016880	h1SMcG0022464	0.79800224
h1SMcG0021916	h1SMcG0010715	0.79800236
h1SMcG0000761	h1SMcG0001314	0.7980025
h1SMcG0012283	h1SMcG0019184	0.7980031
h1SMcG0003882	h1SMcG0021019	0.79800326
h1SMcG0011016	h1SMcG0019145	0.7980034
h1SMcG0006635	h1SMnG0031062	0.79800403
h1SMcG0021916	h1SMcG0021367	0.79800415
h1SMcG0021916	h1SMcG0012899	0.7980047
h1SMcG0006635	h1SMcG0015027	0.798005
h1SMcG0011606	h1SMnG0031700	0.798005
h1SMcG0011606	h1SMnG0011301	0.79800576
h1SMcG0021565	h1SMcG0019949	0.7980058
h1SMcG0016896	h1SMnG0029876	0.7980059
h1SMcG0005257	h1SMcG0013035	0.79800624
h1SMcG0020478	h1SMcG0021144	0.7980064
h1SMcG0015343	h1SMcG0008621	0.7980067
h1SMcG0003130	h1SMcG0015278	0.7980067
h1SMcG0008373	h1SMcG0018140	0.79800737
h1SMcG0008441	h1SMcG0022317	0.7980076
h1SMcG0009963	h1SMcG0009399	0.79800767
h1SMcG0006426	h1SMcG0008577	0.79800785
h1SMcG0000524	h1SMcG0018024	0.7980083
h1SMcG0003407	h1SMnG0032880	0.79800886
h1SMcG0003407	h1SMcG0014915	0.798009
h1SMcG0020456	h1SMcG0014806	0.79800904
h1SMcG0003685	h1SMnG0016393	0.7980091
h1SMcG0016366	h1SMcG0018012	0.7980091
h1SMcG0000079	h1SMcG0007078	0.79800916
h1SMcG0011606	h1SMcG0006099	0.7980092
h1SMcG0003685	h1SMcG0007562	0.7980093
h1SMcG0022072	h1SMcG0003759	0.79800963
h1SMcG0020456	h1SMnG0009102	0.7980105
h1SMcG0006635	h1SMcG0020554	0.79801065
h1SMcG0016956	h1SMcG0017216	0.79801065
h1SMcG0023128	h1SMcG0000580	0.7980108
h1SMcG0021295	h1SMcG0004315	0.7980108
h1SMcG0006635	h1SMnG0017019	0.7980113
h1SMcG0007933	h1SMcG0013512	0.7980114
h1SMcG0009934	h1SMcG0008534	0.79801214
h1SMcG0015343	h1SMcG0009445	0.79801226
h1SMcG0000079	h1SMnG0028504	0.79801255
h1SMcG0007933	h1SMcG0004189	0.7980127
h1SMcG0009304	h1SMcG0022072	0.79801273
h1SMcG0011016	h1SMcG0016753	0.7980128
h1SMcG0008373	h1SMcG0003859	0.7980131
h1SMcG0016956	h1SMcG0006238	0.79801327
h1SMcG0022072	h1SMcG0022253	0.7980133
h1SMcG0011606	h1SMcG0004501	0.7980134
h1SMcG0009963	h1SMcG0001234	0.7980136
h1SMcG0010860	h1SMcG0007395	0.7980137
