source	target	weight
h1SMcG0006886	h1SMcG0011322	0.78904474
h1SMcG0006679	h1SMcG0016571	0.78904474
h1SMcG0010860	h1SMcG0016204	0.7890449
h1SMcG0006281	h1SMnG0029195	0.7890449
h1SMcG0010860	h1SMcG0019237	0.7890454
h1SMcG0008401	h1SMcG0021663	0.7890454
h1SMcG0020557	h1SMcG0002125	0.7890455
h1SMcG0002721	h1SMcG0006702	0.78904593
h1SMcG0016730	h1SMnG0028098	0.7890461
h1SMcG0002214	h1SMcG0011182	0.78904754
h1SMcG0017675	h1SMnG0032881	0.7890476
h1SMcG0021271	h1SMcG0015378	0.7890476
h1SMcG0001531	h1SMcG0010756	0.7890477
h1SMcG0006462	h1SMcG0000090	0.7890478
h1SMcG0002883	h1SMnG0014671	0.7890478
h1SMcG0016896	h1SMcG0001124	0.7890484
h1SMcG0020492	h1SMcG0021290	0.789049
h1SMcG0004352	h1SMcG0013512	0.7890493
h1SMcG0016956	h1SMcG0019939	0.7890497
h1SMcG0011535	h1SMcG0009711	0.7890498
h1SMcG0003032	h1SMnG0011777	0.7890499
h1SMcG0005257	h1SMcG0022214	0.78905
h1SMcG0009304	h1SMcG0022058	0.7890501
h1SMcG0009934	h1SMnG0023305	0.7890502
h1SMcG0021916	h1SMcG0002790	0.78905034
h1SMcG0012446	h1SMcG0000194	0.78905064
h1SMcG0012769	h1SMnG0032881	0.78905106
h1SMcG0020721	h1SMnG0015209	0.7890512
h1SMcG0011744	h1SMcG0004343	0.78905183
h1SMcG0002143	h1SMcG0019100	0.7890522
h1SMcG0014159	h1SMcG0007496	0.7890522
h1SMcG0012769	h1SMnG0011820	0.7890525
h1SMcG0004569	h1SMcG0014831	0.78905255
h1SMcG0012543	h1SMcG0021109	0.78905267
h1SMcG0021271	h1SMcG0004322	0.7890527
h1SMcG0010789	h1SMcG0014868	0.78905326
h1SMcG0001722	h1SMcG0021109	0.7890533
h1SMcG0007253	h1SMcG0020594	0.7890534
h1SMcG0007933	h1SMcG0022486	0.789054
h1SMcG0004476	h1SMcG0001030	0.789054
h1SMcG0001396	h1SMcG0017894	0.78905463
h1SMcG0006679	h1SMcG0011322	0.7890552
h1SMcG0022016	h1SMnG0014877	0.78905565
h1SMcG0000803	h1SMcG0006819	0.7890557
h1SMcG0004569	h1SMnG0016173	0.78905576
h1SMcG0020634	h1SMcG0020160	0.7890558
h1SMcG0016003	h1SMcG0005883	0.78905594
