source	target	weight
h1SMcG0009686	h1SMcG0006666	0.8096272
h1SMcG0011654	h1SMcG0002422	0.8096272
h1SMcG0004352	h1SMnG0021226	0.8096277
h1SMcG0016703	h1SMnG0011018	0.8096281
h1SMcG0015595	h1SMcG0019787	0.8096283
h1SMcG0007933	h1SMcG0003240	0.8096284
h1SMcG0020709	h1SMnG0017596	0.8096289
h1SMcG0012446	h1SMnG0008731	0.8096289
h1SMcG0004352	h1SMcG0000429	0.8096289
h1SMcG0019068	h1SMcG0020724	0.80962926
h1SMcG0011654	h1SMnG0000106	0.80962926
h1SMcG0015595	h1SMnG0001060	0.8096295
h1SMcG0020721	h1SMnG0010282	0.80962974
h1SMcG0007253	h1SMcG0006682	0.00011779999999994573
h1SMcG0009686	h1SMcG0014170	0.8096305
h1SMcG0009963	h1SMcG0001783	0.8096306
h1SMcG0006886	h1SMcG0016250	0.004810129999999968
h1SMcG0003882	h1SMcG0015046	0.80963075
h1SMcG0007864	h1SMnG0023199	0.8096308
h1SMcG0018146	h1SMnG0015894	0.80963093
h1SMcG0017675	h1SMcG0006216	0.007580400000000043
h1SMcG0015595	h1SMnG0009705	0.80963117
h1SMcG0012678	h1SMcG0020699	0.8096313
h1SMcG0009686	h1SMcG0013730	0.80963135
h1SMcG0020741	h1SMcG0016458	0.8096319
h1SMcG0018400	h1SMcG0015773	0.8096319
h1SMcG0011943	h1SMcG0009686	0.80963206
h1SMcG0016703	h1SMcG0018847	0.8096323
h1SMcG0019799	h1SMcG0015369	0.80963236
h1SMcG0020810	h1SMcG0020619	0.0061283000000000865
h1SMcG0021040	h1SMcG0018748	0.80963266
h1SMcG0018146	h1SMnG0006466	0.80963326
h1SMcG0004695	h1SMcG0006375	0.8096334
h1SMcG0015294	h1SMcG0011444	0.80963385
h1SMcG0007018	h1SMnG0016490	0.80963385
h1SMcG0004695	h1SMnG0011200	0.80963403
h1SMcG0010603	h1SMcG0010616	0.80963415
h1SMcG0006679	h1SMnG0017952	0.80963534
h1SMcG0000267	h1SMnG0032329	0.8096354
h1SMcG0007933	h1SMcG0004745	0.809636
h1SMcG0023128	h1SMcG0019229	0.8096361
h1SMcG0011606	h1SMcG0016551	0.8096361
h1SMcG0014619	h1SMcG0020144	0.8096364
h1SMcG0004695	h1SMcG0001585	0.8096366
h1SMcG0016896	h1SMcG0015759	0.80963695
h1SMcG0020709	h1SMcG0018232	0.809637
h1SMcG0011934	h1SMnG0002084	0.809637
h1SMcG0003759	h1SMcG0020284	0.80963707
h1SMcG0009686	h1SMcG0014522	0.80963707
h1SMcG0003759	h1SMnG0025581	0.8096373
h1SMcG0019799	h1SMcG0016413	0.809638
h1SMcG0007933	h1SMcG0004961	0.8096383
h1SMcG0003407	h1SMcG0017964	0.80963844
h1SMcG0020428	h1SMnG0034833	0.8096385
h1SMcG0016703	h1SMnG0025821	0.8096387
h1SMcG0000524	h1SMnG0018122	0.8096387
