factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0012612	1.0	7968.220155107722	7965.540507960248	0.9999999999999999	2.67964714747476	0.7407407407407407	11071	2.67964714747476
h1SMcG0009317	0.975609756097561	6655.186501243361	6652.267744727522	0.8809523809523808	2.91875651583946	0.8148148148148149	8281	2.91875651583946
h1SMcG0006679	0.9512195121951219	5071.222218714909	5067.572916969119	0.6428571428571428	3.64930174578932	0.8888888888888888	2715	3.64930174578932
h1SMcG0019688	0.926829268292683	6374.60499657401	6372.2195002467615	0.8571428571428571	2.38549632724837	0.6666666666666667	11328	2.38549632724837
h1SMcG0018872	0.9024390243902439	5924.710588973162	5922.042482151008	0.7857142857142857	2.6681068221545	0.7037037037037037	10115	2.6681068221545
h1SMcG0012645	0.8780487804878049	4449.133580635273	4444.760221903261	0.5238095238095237	4.3733587320122	0.962962962962963	1605	4.3733587320122
h1SMcG0006315	0.8536585365853658	4227.5990482827	4223.737514159918	0.47619047619047616	3.86153412278251	0.9259259259259258	1641	3.86153412278251
h1SMcG0004352	0.8292682926829268	7187.421693275684	7186.297220856719	0.9523809523809523	1.12447241896524	0.4074074074074074	8222	1.12447241896524
h1SMcG0012446	0.8048780487804879	7802.581006933241	7801.757832255978	0.9761904761904762	0.823174677262238	0.2962962962962963	9370	0.823174677262238
h1SMcG0020709	0.7804878048780488	5100.919784446624	5099.007635154211	0.6666666666666666	1.91214929241354	0.5925925925925926	6539	1.91214929241354
h1SMcG0021045	0.7560975609756098	6734.2455468649705	6733.725182155485	0.9285714285714285	0.520364709485454	0.1111111111111111	6961	0.520364709485454
h1SMcG0003793	0.7317073170731707	3749.9582860939295	3747.110628901452	0.23809523809523805	2.8476571924777	0.7777777777777777	707	2.8476571924777
h1SMcG0022167	0.7073170731707317	112.19624987382991	106.36720725955904	0.0	5.82904261427088	1.0	74	5.82904261427088
h1SMcG0011744	0.6829268292682927	4490.659404290319	4489.469305582141	0.5476190476190476	1.19009870817823	0.4444444444444444	2030	1.19009870817823
h1SMcG0010603	0.6585365853658537	6372.162885002268	6371.553748290274	0.8333333333333333	0.609136711994601	0.14814814814814814	5865	0.609136711994601
h1SMcG0012543	0.6341463414634146	4040.0677858946883	4037.850542124191	0.30952380952380953	2.21724377049724	0.6296296296296295	1375	2.21724377049724
h1SMcG0003759	0.6097560975609756	5718.212219678319	5717.493049280589	0.738095238095238	0.719170397730204	0.18518518518518517	4878	0.719170397730204
h1SMcG0016703	0.5853658536585366	6721.133499054292	6721.133499054292	0.9047619047619047	0.0	0.0	6753	0.149323349479174
h1SMcG0009686	0.5609756097560976	135.2839362698569	132.2003582048281	0.023809523809523808	3.0835780650288	0.8518518518518519	88	3.0835780650288
h1SMcG0020721	0.5365853658536586	6123.661524846813	6123.661524846813	0.8095238095238094	0.0	0.0	4853	0.743384261532456
h1SMcG0020428	0.5121951219512195	5877.016033332203	5877.016033332203	0.7619047619047619	0.0	0.0	4275	0.666730736831643
h1SMcG0007933	0.4878048780487805	3559.0412457059824	3557.299570708063	0.16666666666666666	1.74167499791937	0.5555555555555556	505	1.74167499791937
h1SMcG0014619	0.46341463414634143	5617.324305082065	5617.324305082065	0.7142857142857142	0.0	0.0	3830	0.166949997123107
h1SMcG0015595	0.43902439024390244	5308.153887212163	5308.153887212163	0.6904761904761904	0.0	0.0	6956	0.0615856837758491
h1SMcG0015294	0.4146341463414634	4160.487221269757	4159.675531517938	0.40476190476190477	0.811689751819189	0.25925925925925924	1342	0.811689751819189
h1SMcG0023128	0.3902439024390244	4992.061574084946	4991.597581542279	0.619047619047619	0.463992542667147	0.037037037037037035	4934	0.463992542667147
h1SMcG0009963	0.36585365853658536	3388.6607797802453	3387.115053746445	0.14285714285714285	1.54572603380029	0.48148148148148145	1911	1.54572603380029
h1SMcG0012678	0.3414634146341463	4986.950108665895	4986.950108665895	0.5952380952380952	0.0	0.0	4097	0.505670601589446
h1SMcG0000079	0.3170731707317073	3669.0933786240703	3668.174583484525	0.21428571428571427	0.918795139545408	0.37037037037037035	553	0.918795139545408
