source	target	weight
h1SMcG0011654	h1SMcG0019587	0.8023856
h1SMcG0020721	h1SMcG0018864	0.802386
h1SMcG0019688	h1SMnG0032311	0.8023863
h1SMcG0018872	h1SMcG0015371	0.8023864
h1SMcG0001975	h1SMcG0013116	0.802387
h1SMcG0020721	h1SMcG0020249	0.802388
h1SMcG0016703	h1SMcG0014865	0.8023891
h1SMcG0019688	h1SMnG0034287	0.0021632299999999605
h1SMcG0018400	h1SMnG0009811	0.8023899
h1SMcG0006315	h1SMcG0019018	0.80239004
h1SMcG0020428	h1SMcG0014276	0.80239016
h1SMcG0019799	h1SMcG0022640	0.80239016
h1SMcG0018400	h1SMcG0016259	0.8023902
h1SMcG0011744	h1SMcG0001443	0.8023903
h1SMcG0006679	h1SMnG0003435	0.80239123
h1SMcG0023128	h1SMcG0001955	0.8023919
h1SMcG0000079	h1SMcG0011027	0.8023924
h1SMcG0022832	h1SMcG0013636	0.8023927
h1SMcG0018146	h1SMnG0021570	0.8023928
h1SMcG0016703	h1SMnG0027949	0.802393
h1SMcG0021295	h1SMcG0010441	0.802393
h1SMcG0000761	h1SMcG0008965	0.8023939
h1SMcG0000803	h1SMcG0018649	0.8023945
h1SMcG0007864	h1SMcG0014476	0.802395
h1SMcG0004352	h1SMcG0005523	0.8023952
h1SMcG0014619	h1SMcG0006253	0.8023952
h1SMcG0022832	h1SMcG0007193	0.8023954
h1SMcG0004352	h1SMcG0019994	0.8023959
h1SMcG0020721	h1SMcG0007170	0.8023971
h1SMcG0003793	h1SMcG0018957	0.8023971
h1SMcG0007864	h1SMcG0003433	0.80239713
h1SMcG0006281	h1SMcG0016172	0.8023972
h1SMcG0018872	h1SMcG0005321	0.8023975
h1SMcG0006261	h1SMcG0006123	0.003264600000000062
h1SMcG0012446	h1SMcG0014168	0.80239767
h1SMcG0006886	h1SMcG0018881	0.8023977
h1SMcG0019688	h1SMnG0004272	0.8023982
h1SMcG0002143	h1SMcG0005535	0.8023989
h1SMcG0007864	h1SMnG0017882	0.8023989
h1SMcG0014159	h1SMcG0015543	0.8023994
h1SMcG0011744	h1SMnG0026030	0.80239964
h1SMcG0012446	h1SMcG0010885	0.80240035
h1SMcG0019799	h1SMcG0020711	0.8024008
h1SMcG0020709	h1SMcG0003820	0.80240107
h1SMcG0020721	h1SMcG0014891	0.80240136
h1SMcG0011654	h1SMnG0014937	0.8024023
h1SMcG0003882	h1SMcG0017157	0.8024028
h1SMcG0006426	h1SMnG0008255	0.8024031
h1SMcG0012678	h1SMnG0016206	0.80240405
h1SMcG0003407	h1SMcG0008643	0.8024044
h1SMcG0003759	h1SMcG0016216	0.80240446
h1SMcG0013660	h1SMcG0018944	0.0032315000000000538
h1SMcG0018400	h1SMnG0009607	0.8024047
