factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0008833	0.9999999999999999	5724.565100195184	5720.624572829975	0.8913043478260869	3.9405273652094	0.7916666666666666	6222	3.9405273652094
h1SMcG0003793	0.9782608695652174	5071.233346969058	5067.19810833441	0.8260869565217391	4.03523863464888	0.8333333333333334	3997	4.03523863464888
h1SMcG0006261	0.9565217391304348	6162.634456145193	6159.316261625181	0.9565217391304348	3.31819452001199	0.6666666666666666	10403	3.31819452001199
h1SMcG0000282	0.9347826086956522	5960.575090162751	5957.122998372724	0.9130434782608695	3.45209179002635	0.7083333333333334	8331	3.45209179002635
h1SMcG0020810	0.9130434782608695	4931.38233438181	4927.691364996686	0.8043478260869565	3.69096938512437	0.75	5050	3.69096938512437
h1SMcG0005728	0.8913043478260869	3809.400462116541	3803.006714970914	0.4782608695652174	6.39374714562678	0.9999999999999999	1832	6.39374714562678
h1SMcG0020709	0.8695652173913043	4833.0908237551575	4830.691169780084	0.782608695652174	2.39965397507319	0.625	5766	2.39965397507319
h1SMcG0000524	0.8478260869565217	6049.057621282366	6047.696476680976	0.9347826086956522	1.36114460139003	0.4583333333333333	6364	1.36114460139003
h1SMcG0021263	0.8260869565217391	2978.551153558634	2974.4426878154177	0.32608695652173914	4.10846574321612	0.9166666666666666	745	4.10846574321612
h1SMcG0006679	0.8043478260869565	1940.2474022474048	1935.9080045700248	0.2173913043478261	4.33939767738012	0.9583333333333334	336	4.33939767738012
h1SMcG0009963	0.782608695652174	4640.054973614851	4638.677451311176	0.6739130434782609	1.37752230367529	0.49999999999999994	9419	1.37752230367529
h1SMcG0021045	0.7608695652173912	5557.867587888104	5557.099390576132	0.8695652173913043	0.768197311972711	0.20833333333333334	5359	0.768197311972711
h1SMcG0018872	0.7391304347826086	4555.485990324681	4554.159079069352	0.6304347826086957	1.32691125532885	0.41666666666666663	6617	1.32691125532885
h1SMcG0004695	0.717391304347826	3427.5635079758767	3425.514530656854	0.43478260869565216	2.0489773190228	0.5833333333333334	1416	2.0489773190228
h1SMcG0020741	0.6956521739130435	4825.593063231375	4824.708822177046	0.7608695652173912	0.884241054328648	0.24999999999999997	3365	0.884241054328648
h1SMcG0011844	0.6739130434782609	6571.414476576744	6571.414476576744	0.9999999999999999	0.0	0.0	8196	0.224332333632745
h1SMcG0006886	0.6521739130434783	6471.437113677351	6471.437113677351	0.9782608695652174	0.0	0.0	8075	0.0104027495288226
h1SMcG0006347	0.6304347826086957	4197.293290355313	4196.082343547649	0.5652173913043478	1.21094680766418	0.37499999999999994	2854	1.21094680766418
h1SMcG0011606	0.6086956521739131	3341.0630734471633	3339.1346403302414	0.391304347826087	1.92843311692209	0.5416666666666666	1110	1.92843311692209
h1SMcG0007933	0.5869565217391305	4782.489830509705	4781.760501731151	0.7391304347826086	0.729328778554469	0.16666666666666666	3603	0.729328778554469
h1SMcG0002561	0.5652173913043478	6.080578584926199	2.0122147712498086	0.0	4.06836381367639	0.875	2	4.06836381367639
h1SMcG0018146	0.5434782608695652	5423.107302351848	5423.107302351848	0.8478260869565217	0.0	0.0	4946	0.223142255914475
h1SMcG0023128	0.5217391304347826	4593.126167583273	4592.541416025509	0.6521739130434783	0.5847515577643	0.08333333333333334	4343	0.5847515577643
h1SMcG0000803	0.5	4722.836873308364	4722.836873308364	0.717391304347826	0.0	0.0	3883	0.37201581383337
h1SMcG0000761	0.4782608695652174	4693.210819571031	4693.210819571031	0.6956521739130435	0.0	0.0	3007	0.516624825368008
h1SMcG0004352	0.4565217391304348	2997.738861855799	2996.6039882354985	0.34782608695652173	1.13487362030029	0.3333333333333333	837	1.13487362030029
h1SMcG0012678	0.43478260869565216	4523.889506330506	4523.889506330506	0.6086956521739131	0.0	0.0	3595	0.563019426708989
h1SMcG0016896	0.41304347826086957	4317.953518132728	4317.953518132728	0.5869565217391305	0.0	0.0	3181	0.45345538067597
h1SMcG0010990	0.391304347826087	4000.15863965738	4000.15863965738	0.5434782608695652	0.0	0.0	4912	0.653782325229506
h1SMcG0015294	0.3695652173913043	3804.5525018651806	3803.979164440517	0.5	0.573337424663791	0.041666666666666664	1968	0.573337424663791
h1SMcG0016956	0.34782608695652173	1976.2945051590152	1975.2007254156852	0.2391304347826087	1.09377974333005	0.29166666666666663	389	1.09377974333005
h1SMcG0006281	0.32608695652173914	3988.357764407741	3988.357764407741	0.5217391304347826	0.0	0.0	3495	0.145362899973222
h1SMcG0012446	0.30434782608695654	3703.134987770192	3703.134987770192	0.4565217391304348	0.0	0.0	1756	0.357546908983871
h1SMcG0001931	0.28260869565217395	3345.5310977341405	3345.5310977341405	0.41304347826086957	0.0	0.0	780	0.171428385745972
h1SMcG0003759	0.2608695652173913	2721.3129679676504	2720.586304166852	0.28260869565217395	0.726663800798258	0.125	313	0.726663800798258
h1SMcG0017675	0.2391304347826087	3032.7956804371297	3032.7956804371297	0.3695652173913043	0.0	0.0	928	0.0848309814928904
h1SMcG0006375	0.2173913043478261	2827.922428780176	2827.922428780176	0.30434782608695654	0.0	0.0	268	0.223345206850454
h1SMcG0009686	0.19565217391304346	2019.523588588364	2019.523588588364	0.2608695652173913	0.0	0.0	442	0.538015838822241
h1SMcG0014910	0.17391304347826086	1868.8421105782184	1868.8421105782184	0.19565217391304346	0.0	0.0	240	0.406345083684939
h1SMcG0006700	0.15217391304347827	1675.3855524517642	1675.3855524517642	0.17391304347826086	0.0	0.0	82	0.0253921482984762
h1SMcG0016703	0.13043478260869568	1668.0823621410434	1668.0823621410434	0.15217391304347827	0.0	0.0	117	0.562206674761765
