source	target	weight
h1SMcG0019799	h1SMcG0019805	0.7930825
h1SMcG0002381	h1SMnG0002787	0.79308283
h1SMcG0010190	h1SMcG0004841	0.7930832
h1SMcG0020741	h1SMcG0016331	0.7930842
h1SMcG0015294	h1SMcG0014749	0.7930846
h1SMcG0020709	h1SMcG0003393	0.79308486
h1SMcG0015294	h1SMcG0011706	0.79308504
h1SMcG0006886	h1SMcG0016183	0.79308546
h1SMcG0012543	h1SMcG0014653	0.7930855
h1SMcG0000282	h1SMcG0013610	0.7930856
h1SMcG0011844	h1SMcG0017621	0.79308563
h1SMcG0006635	h1SMcG0021286	0.79308563
h1SMcG0021045	h1SMcG0016837	0.7930863
h1SMcG0006635	h1SMcG0015722	0.7930877
h1SMcG0011844	h1SMcG0019840	0.7930878
h1SMcG0010190	h1SMnG0004280	0.7930878
h1SMcG0012446	h1SMcG0021421	0.7930878
h1SMcG0020709	h1SMcG0019824	0.793088
h1SMcG0002143	h1SMnG0019947	0.793088
h1SMcG0002381	h1SMcG0018885	0.7930884
h1SMcG0000282	h1SMcG0002743	0.79308844
h1SMcG0000803	h1SMcG0020560	0.79308856
h1SMcG0006426	h1SMcG0003927	0.7930895
h1SMcG0012543	h1SMnG0007398	0.7930895
h1SMcG0002143	h1SMcG0016394	0.7930896
h1SMcG0009686	h1SMcG0010201	0.7930896
h1SMcG0007933	h1SMnG0032454	0.7930906
h1SMcG0021040	h1SMcG0022150	0.7930906
h1SMcG0018146	h1SMnG0027215	0.7930914
h1SMcG0002042	h1SMcG0009561	0.7930915
h1SMcG0000941	h1SMcG0021243	0.7930916
h1SMcG0003132	h1SMcG0012833	0.7930928
h1SMcG0006886	h1SMnG0024875	0.793093
h1SMcG0006347	h1SMcG0019467	0.793094
h1SMcG0006261	h1SMnG0032594	0.793094
h1SMcG0002143	h1SMcG0018795	0.7930941
h1SMcG0010707	h1SMcG0015429	0.7930946
h1SMcG0000282	h1SMcG0017242	0.79309464
h1SMcG0006347	h1SMcG0020961	0.7930952
h1SMcG0020741	h1SMcG0007402	0.7930953
h1SMcG0022358	h1SMcG0007796	0.79309565
h1SMcG0018146	h1SMcG0017740	0.79309595
h1SMcG0021266	h1SMcG0019043	0.7930962
h1SMcG0013730	h1SMcG0015227	0.79309624
h1SMcG0005728	h1SMcG0018833	0.79309624
h1SMcG0023128	h1SMcG0010537	0.79309654
h1SMcG0020741	h1SMcG0016660	0.79309684
h1SMcG0021263	h1SMcG0019602	0.79309726
h1SMcG0009686	h1SMcG0020963	0.7930973
h1SMcG0004695	h1SMcG0020788	0.79309756
h1SMcG0020741	h1SMcG0020435	0.7930978
h1SMcG0015294	h1SMcG0017065	0.793098
h1SMcG0007933	h1SMcG0010075	0.7930992
h1SMcG0012543	h1SMnG0032914	0.79309994
h1SMcG0008833	h1SMcG0014864	0.79310036
h1SMcG0021045	h1SMcG0013376	0.7931006
h1SMcG0003132	h1SMcG0015369	0.79310095
h1SMcG0011606	h1SMcG0000065	0.79310095
h1SMcG0021266	h1SMnG0032688	0.79310155
h1SMcG0002381	h1SMcG0011900	0.7931021
h1SMcG0006261	h1SMnG0014730	0.79310304
h1SMcG0012446	h1SMcG0009517	0.79310346
h1SMcG0013730	h1SMcG0007823	0.79310447
h1SMcG0016703	h1SMcG0015623	0.7931045
h1SMcG0012543	h1SMcG0007745	0.7931047
h1SMcG0002381	h1SMnG0000099	0.7931049
h1SMcG0012543	h1SMcG0018978	0.7931055
h1SMcG0006281	h1SMnG0001913	0.79310596
h1SMcG0011844	h1SMcG0007926	0.7931062
h1SMcG0020810	h1SMcG0007783	0.79310644
h1SMcG0012678	h1SMcG0006131	0.7931066
h1SMcG0008833	h1SMnG0017497	0.79310703
h1SMcG0023128	h1SMnG0015902	0.7931077
h1SMcG0011844	h1SMcG0013973	0.7931079
h1SMcG0021565	h1SMcG0021279	0.7931086
h1SMcG0006261	h1SMcG0004057	0.79310864
h1SMcG0000282	h1SMcG0012726	0.7931093
h1SMcG0008373	h1SMcG0019710	0.79310983
h1SMcG0015283	h1SMcG0014487	0.7931101
h1SMcG0012074	h1SMcG0009467	0.79311013
h1SMcG0000803	h1SMcG0005609	0.7931103
h1SMcG0003793	h1SMnG0032454	0.7931106
h1SMcG0006375	h1SMcG0002634	0.79311067
h1SMcG0005728	h1SMcG0012467	0.79311067
h1SMcG0006635	h1SMcG0004324	0.7931116
h1SMcG0007864	h1SMnG0008858	0.7931118
h1SMcG0023128	h1SMcG0020276	0.79311186
h1SMcG0003793	h1SMcG0020156	0.7931119
h1SMcG0002143	h1SMcG0009761	0.7931122
h1SMcG0000285	h1SMcG0019077	0.7931122
h1SMcG0020709	h1SMcG0022489	0.7931123
h1SMcG0018872	h1SMnG0021432	0.7931134
h1SMcG0005728	h1SMnG0018458	0.79311496
h1SMcG0020709	h1SMcG0010752	0.79311585
h1SMcG0005728	h1SMcG0007322	0.79311585
h1SMcG0020191	h1SMcG0002458	0.7931159
h1SMcG0013730	h1SMcG0016281	0.7931159
h1SMcG0004476	h1SMcG0006007	0.793116
h1SMcG0020709	h1SMnG0027938	0.793116
h1SMcG0016730	h1SMcG0011109	0.79311633
h1SMcG0000285	h1SMcG0002259	0.79311633
h1SMcG0018400	h1SMcG0000918	0.79311675
h1SMcG0011844	h1SMcG0017640	0.79311675
h1SMcG0006886	h1SMcG0022430	0.7931175
h1SMcG0012543	h1SMcG0011459	0.79311794
h1SMcG0000079	h1SMcG0006644	0.79311824
h1SMcG0000803	h1SMcG0017652	0.79311895
h1SMcG0014910	h1SMcG0021937	0.79311913
h1SMcG0011535	h1SMnG0014877	0.7931194
h1SMcG0018146	h1SMcG0001725	0.79311943
h1SMcG0000282	h1SMcG0002834	0.7931201
h1SMcG0010990	h1SMnG0026468	0.7931202
h1SMcG0000803	h1SMcG0014097	0.7931206
h1SMcG0002380	h1SMcG0020712	0.7931208
h1SMcG0000803	h1SMcG0016648	0.793121
h1SMcG0011844	h1SMcG0015314	0.79312104
h1SMcG0020191	h1SMcG0019176	0.7931212
h1SMcG0020721	h1SMcG0004112	0.79312134
h1SMcG0000285	h1SMcG0007757	0.7931215
h1SMcG0003793	h1SMcG0017749	0.79312164
h1SMcG0023128	h1SMnG0008592	0.7931218
h1SMcG0006886	h1SMcG0011297	0.79312223
h1SMcG0004352	h1SMnG0034889	0.7931226
h1SMcG0015294	h1SMcG0007720	0.7931227
