source	target	weight
h1SMcG0021266	h1SMnG0034762	0.790127
h1SMcG0006426	h1SMcG0020740	0.79012734
h1SMcG0000971	h1SMnG0008235	0.79012764
h1SMcG0021040	h1SMcG0011310	0.7901277
h1SMcG0021916	h1SMcG0008863	0.79012793
h1SMcG0021271	h1SMcG0012833	0.79012847
h1SMcG0009686	h1SMcG0020811	0.79012877
h1SMcG0016703	h1SMcG0001253	0.7901292
h1SMcG0003685	h1SMcG0015064	0.7901292
h1SMcG0011535	h1SMcG0005069	0.7901295
h1SMcG0006886	h1SMcG0007783	0.79012966
h1SMcG0020557	h1SMcG0012988	0.79012966
h1SMcG0000803	h1SMcG0015018	0.79012966
h1SMcG0000524	h1SMnG0008112	0.7901297
h1SMcG0001060	h1SMcG0019262	0.7901298
h1SMcG0006375	h1SMcG0011485	0.7901303
h1SMcG0004476	h1SMnG0003308	0.79013073
h1SMcG0018872	h1SMcG0004107	0.79013103
h1SMcG0012543	h1SMcG0001823	0.7901315
h1SMcG0009963	h1SMnG0003455	0.79013157
h1SMcG0021040	h1SMcG0012922	0.7901316
h1SMcG0015572	h1SMcG0005883	0.79013216
h1SMcG0008401	h1SMcG0008620	0.79013234
h1SMcG0020492	h1SMcG0019147	0.7901325
h1SMcG0019258	h1SMnG0026536	0.79013294
h1SMcG0011844	h1SMnG0021289	0.79013306
h1SMcG0001531	h1SMcG0002343	0.7901332
h1SMcG0000285	h1SMcG0004799	0.7901335
h1SMcG0000803	h1SMcG0022205	0.7901339
h1SMcG0006679	h1SMcG0006557	0.79013395
h1SMcG0018400	h1SMcG0000656	0.7901343
h1SMcG0000282	h1SMcG0018466	0.7901352
h1SMcG0009963	h1SMcG0008957	0.7901362
h1SMcG0021565	h1SMcG0022283	0.7901363
h1SMcG0021295	h1SMcG0004271	0.79013646
h1SMcG0003132	h1SMnG0029195	0.7901373
h1SMcG0000079	h1SMcG0002223	0.79013765
h1SMcG0000285	h1SMnG0028290	0.79013765
h1SMcG0020428	h1SMcG0020145	0.79013824
h1SMcG0009963	h1SMnG0027084	0.7901384
h1SMcG0021040	h1SMcG0002726	0.79013854
h1SMcG0016534	h1SMcG0010798	0.7901387
h1SMcG0021040	h1SMcG0010014	0.7901388
h1SMcG0000803	h1SMcG0000282	0.79013973
h1SMcG0009934	h1SMcG0002028	0.79014
h1SMcG0002143	h1SMcG0006281	0.79014045
h1SMcG0006281	h1SMnG0008112	0.79014045
h1SMcG0001554	h1SMcG0014565	0.7901415
h1SMcG0021266	h1SMcG0002518	0.7901416
h1SMcG0016956	h1SMcG0019652	0.79014194
h1SMcG0010707	h1SMcG0020497	0.79014367
h1SMcG0010190	h1SMnG0034569	0.79014367
h1SMcG0010190	h1SMcG0006798	0.7901439
