log2FoldChange	padj
h1SMcG0000001	-1.86894880399466	0.145971250263329
h1SMcG0000006	-2.83227559940199	0.00254005398007924
h1SMcG0000009	0.508279344226564	0.350531845308319
h1SMcG0000011	0.616608162914099	0.0187035631482597
h1SMcG0000013	0.740721094501432	0.0210159382067338
h1SMcG0000014	0.58522198295387	0.0221086468866475
h1SMcG0000016	-1.68110910991645	0.00106666722272236
h1SMcG0000017	-0.775800854168635	0.539606278105285
h1SMcG0000019	1.90720710974115	0.104261055950876
h1SMcG0000023	0.607242419187163	0.0125387240060605
h1SMcG0000025	2.38418178277046	0.000000000000000000000000000584487389902852
h1SMcG0000026	1.5837838671414	0.0000000000000000840808347002466
h1SMcG0000027	-0.620821366429883	0.150995866451558
h1SMcG0000028	0.429579402199852	0.265135371973879
h1SMcG0000031	-0.766203209926339	0.399781660478298
h1SMcG0000032	1.41907703434539	0.0000000000000319961591421036
h1SMcG0000034	0.704941739689511	0.539240704814831
h1SMcG0000035	-0.641509534689355	0.373268278305259
h1SMcG0000036	1.42965924043602	0.0000000000000000000000855732146794456
h1SMcG0000039	-1.37889487934198	0.018466785288755
h1SMcG0000040	0.78335689972356	0.643953535566406
h1SMcG0000042	1.45992853464115	0.0000509150981627212
h1SMcG0000043	0.231632702586263	0.601569769597882
h1SMcG0000046	-0.0625265563932098	0.955350860449102
h1SMcG0000047	0.321899057095033	0.385484130712162
h1SMcG0000049	-0.822038856929722	0.531969784067505
h1SMcG0000050	-0.64753907804053	0.651309470737475
h1SMcG0000051	-0.722870219358344	0.229398124275272
h1SMcG0000053	-0.50165044238268	0.674200136837945
h1SMcG0000054	-0.383133356443792	0.812473906285203
h1SMcG0000057	-0.807203524288948	0.501740299529314
h1SMcG0000058	1.19865393027079	0.354776463580261
h1SMcG0000064	-1.36023293827421	0.0013767368574445
h1SMcG0000065	3.13935821987313	0.0000000000459170868140089
h1SMcG0000066	1.81947661883423	0.0378474629813069
h1SMcG0000067	0.135850695400704	0.757696048582434
h1SMcG0000068	-4.29291264371699	0.000576029120930886
h1SMcG0000069	-0.244299877026954	0.759279427814395
h1SMcG0000070	1.6931048093512	0.000147072521086745
h1SMcG0000073	-4.3477156998923	0.000000356988577508988
h1SMcG0000076	-1.56157657416755	0.0000000000066361592123011
h1SMcG0000078	-1.54112973053629	0.0682782631838799
h1SMcG0000079	1.25588625920715	0.0000000263860842003525
h1SMcG0000082	-0.752804809844689	0.30046892208115
h1SMcG0000083	0.605201290398534	0.626071744734155
h1SMcG0000085	-0.0901571798677065	0.928281616349378
h1SMcG0000086	-1.38214456469733	0.0000641832984011392
h1SMcG0000090	1.46505350848916	0.000000000000000000000000000000000000202730744864941
h1SMcG0000094	-1.24059505815823	0.365560647209009
h1SMcG0000096	-0.161406452467828	0.729700277372407
h1SMcG0000097	-0.677851228692692	0.114915875661848
h1SMcG0000098	1.47552689192321	0.0000144975407978467
h1SMcG0000100	0.62718769582359	0.353233873112683
h1SMcG0000102	-1.6917372016807	0.238160238253483
h1SMcG0000103	1.22849690308308	0.0000013177696298728
h1SMcG0000104	-3.80531367830202	0.0000000000000000000112250306163839
