log2FoldChange	padj
h1SMcG0000001	-1.7424103125842	0.0472476794697239
h1SMcG0000006	-2.75428242519713	0.000122124908680094
h1SMcG0000009	0.246069525349068	0.647783446528717
h1SMcG0000010	2.17362708786246	0.0666157032487476
h1SMcG0000011	1.49278136193832	0.00000000000000000000180466258317254
h1SMcG0000013	0.457848640967702	0.133091222173149
h1SMcG0000014	0.860464667464003	0.0000148481430342145
h1SMcG0000016	-1.02768347871285	0.00683363477028496
h1SMcG0000017	4.28907857451805	0.00000000000000000000000000000000410371787156123
h1SMcG0000019	1.25541602902302	0.299739274696839
h1SMcG0000023	0.851742565224954	0.000011817102382825
h1SMcG0000025	0.158932286369476	0.647974094353037
h1SMcG0000026	-0.960177294111533	0.000396996782657329
h1SMcG0000027	-0.731914123214944	0.0512696748460019
h1SMcG0000028	0.074290885388989	0.863131920474586
h1SMcG0000029	0.945433182338745	0.379254877644637
h1SMcG0000031	0.062622947627568	0.933485432262649
h1SMcG0000032	0.917869474897572	0.00000270150607994961
h1SMcG0000034	-1.79985672478607	0.179128315009999
h1SMcG0000035	-1.16059859358234	0.0970725120337648
h1SMcG0000036	-1.2324245307766	0.00000000378844689335076
h1SMcG0000039	-1.99876346974968	0.0000814614984248629
h1SMcG0000040	1.50877328698344	0.159918843191662
h1SMcG0000042	-1.88674475371497	0.00415073029450288
h1SMcG0000043	0.213905739498646	0.562936106855322
h1SMcG0000044	1.68268812141778	0.0590222575769845
h1SMcG0000045	0.870889205731135	0.614321256118352
h1SMcG0000046	0.599975157096014	0.304077426054638
h1SMcG0000047	-0.103560618076224	0.791005319213131
h1SMcG0000048	-1.09179273723186	0.445054121809997
h1SMcG0000049	-2.68278708055288	0.0234414436920512
h1SMcG0000050	-1.43288437848382	0.233267278131382
h1SMcG0000051	-0.38086450715874	0.402941622987926
h1SMcG0000052	0.571726102761503	0.661020358995302
h1SMcG0000053	-0.833948718543984	0.337344449557839
h1SMcG0000054	-0.513857305397624	0.682118641720065
h1SMcG0000057	-2.80897620318108	0.0205509207335742
h1SMcG0000058	-2.6866283193487	0.190434515566293
h1SMcG0000064	-0.653239633651384	0.033916560849436
h1SMcG0000065	1.71003476946916	0.00918715648663562
h1SMcG0000066	-2.08815657130495	0.239648583275431
h1SMcG0000067	0.114249448870939	0.782359924429349
h1SMcG0000068	-4.65586633884144	0.00006643811219558
h1SMcG0000069	-2.09539267813928	0.00192338320317091
h1SMcG0000070	-1.76158839402634	0.0289855643731203
h1SMcG0000073	-3.62389270071699	0.000000000011274239197049
h1SMcG0000075	-1.12245509909581	0.468500256949142
h1SMcG0000076	-0.778118225538108	0.00140266764488595
h1SMcG0000078	-1.29822662125078	0.0433781722782666
h1SMcG0000079	0.794587341292431	0.0010287190643052
h1SMcG0000082	-1.16364186874052	0.0830399844944872
h1SMcG0000083	0.898696593324815	0.299314730385486
h1SMcG0000085	0.157360508057134	0.802434594893438
h1SMcG0000086	-1.34804118534922	0.00000437979791889737
h1SMcG0000090	-0.986079048791851	0.00000000486393142086505
h1SMcG0000093	1.42538636799547	0.179141805212682
h1SMcG0000094	-0.888840840669611	0.374854572888942
h1SMcG0000095	1.38929730855877	0.347338292173834
h1SMcG0000096	-1.46196036377047	0.000143527374988919
h1SMcG0000097	-0.257171337790271	0.456589458061261
h1SMcG0000098	0.31524074063265	0.468933366643086
h1SMcG0000100	0.780946020400193	0.143625591049988
h1SMcG0000102	-0.463429006778761	0.681523766570318
h1SMcG0000103	-1.84663906505298	0.00000492063923942834
h1SMcG0000104	-3.4766943101695	0.0000000000000000000000000000457835246345553
h1SMcG0000105	-1.75122141986256	0.0000000298449602782771
h1SMcG0000106	-1.07942334471643	0.000921216520078478
h1SMcG0000107	-0.346932048848311	0.198429011175615
h1SMcG0000108	1.01408227580059	0.00875681600961354
h1SMcG0000109	-0.60970235477655	0.449662181791246
h1SMcG0000127	-0.396956179503257	0.0664150228349537
h1SMcG0000128	-0.434628147559476	0.0524012184803412
h1SMcG0000131	-0.443889877762267	0.363519841782538
h1SMcG0000132	-0.488700338883685	0.164651404573128
h1SMcG0000133	-1.28258647196178	0.0167446434054269
h1SMcG0000137	-0.0643196481933107	0.956705252876406
h1SMcG0000138	0.517269839111499	0.00147355070707313
h1SMcG0000140	0.555570016253727	0.537278213155587
h1SMcG0000143	3.7264485622117	0.00000000000000000000000000000000000000000000000000000000000070608077898254
h1SMcG0000144	-2.04953249851159	0.00057220983307184
h1SMcG0000145	-0.0676047473454719	0.869944465526687
h1SMcG0000146	-0.118366288883571	0.857192446016343
h1SMcG0000148	0.226777851294833	0.90412454434048
h1SMcG0000149	0.4474742619751	0.14912736035431
h1SMcG0000150	1.07374093331101	0.00240541198514635
h1SMcG0000151	-2.89475828771605	0.0000762995325531685
h1SMcG0000152	-0.300327175345465	0.0673095638203418
h1SMcG0000153	-1.03904398423466	0.0188803178518071
h1SMcG0000154	-1.56779884566031	0.136636341137565
h1SMcG0000155	-0.292779644079878	0.21704192183943
h1SMcG0000156	2.25804203868071	0.0000000000000000000000000000927368694619798
h1SMcG0000159	-0.531956273095145	0.191698286781918
h1SMcG0000160	1.45906020342128	0.000522486138024883
h1SMcG0000162	-0.645126656623868	0.35520066733634
h1SMcG0000163	-0.538682868358906	0.057785315689857
h1SMcG0000164	-1.44665466395333	0.00000000000584347017434474
h1SMcG0000165	-0.51815637709791	0.0976276772223235
h1SMcG0000169	0.0775648274996194	0.781325179280663
h1SMcG0000170	1.87419276423036	0.000000000000000000000417880946746849
h1SMcG0000171	0.028783207370896	0.967204089433844
h1SMcG0000174	-1.14207631118391	0.000000740587539965352
h1SMcG0000176	-1.36228018671002	0.0000295310109372333
h1SMcG0000178	-0.0615381633658876	0.928869317429947
h1SMcG0000183	-1.04362511175663	0.00267917003724344
h1SMcG0000184	-0.653641985709879	0.0830399844944872
h1SMcG0000185	1.28886265170083	0.000324798362382382
h1SMcG0000187	-3.4095794960457	0.0327440803666696
h1SMcG0000188	-2.21912351817572	0.00000000000000000169096861758532
h1SMcG0000189	-0.51777779952337	0.661938017387901
h1SMcG0000190	-0.446917354020574	0.397708037051051
h1SMcG0000191	-0.0801919609639912	0.939317831684356
h1SMcG0000193	-1.75161791449131	0.000000172574170125072
h1SMcG0000194	4.19289779016219	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000231947439223901
h1SMcG0000195	-0.788275257225404	0.137951912382971
h1SMcG0000196	-0.88034147863865	0.000249376688919613
h1SMcG0000199	-1.70452508202476	0.000651058698341015
h1SMcG0000201	2.39411887406186	0.0371589522021699
h1SMcG0000202	1.02228620119488	0.171749830991754
h1SMcG0000203	-0.782565654461434	0.47907498191642
h1SMcG0000204	-1.95602409480967	0.00000000483225820022612
h1SMcG0000205	-0.723838713372407	0.192639099741389
h1SMcG0000207	3.33592156351519	0.000292958451588314
h1SMcG0000208	0.0795185524306218	0.879843674457935
h1SMcG0000209	-2.96230798175251	0.000236032462108602
h1SMcG0000210	-2.49796957841685	0.000000174880472068242
h1SMcG0000211	-1.12952067203245	0.000000480168026480881
h1SMcG0000212	0.51092524503828	0.638690879723157
h1SMcG0000215	0.183852803491071	0.889196049396688
h1SMcG0000216	-1.27552611037757	0.27327079540821
h1SMcG0000220	0.0153374586933622	0.96735541058494
h1SMcG0000223	-0.687049389223652	0.55333205886457
h1SMcG0000224	-1.90907943909645	0.0762323552573457
h1SMcG0000225	0.143992936561677	0.89130817423014
h1SMcG0000226	0.633283536870054	0.129999549817908
h1SMcG0000231	-0.0658809516462942	0.882252243181207
h1SMcG0000232	-1.42509697604222	0.393214839069003
h1SMcG0000234	0.619502310429329	0.00737645694415334
h1SMcG0000235	-0.798960195344354	0.437315847174366
h1SMcG0000236	0.202274367552834	0.912489404393152
h1SMcG0000237	0.291781702121428	0.7758446973414
h1SMcG0000238	3.18851489206987	0.000000000000000355775787884638
h1SMcG0000239	1.19316047760642	0.0043706532181674
h1SMcG0000240	0.685541156707526	0.119433550234489
h1SMcG0000242	2.55521408168607	0.000856068224097514
h1SMcG0000243	3.78606745316948	0.000480414277306498
h1SMcG0000245	-0.680877934901551	0.695285981182682
h1SMcG0000246	-2.75968168176972	0.000174163435081493
h1SMcG0000248	-0.0704514522031533	0.91202811172634
h1SMcG0000250	-0.674559309177217	0.417041018545004
h1SMcG0000252	3.62411136891243	0.000000000126385765664849
h1SMcG0000253	1.02668404013571	0.00414532876619609
h1SMcG0000255	-1.52946659594725	0.00000000000244487767433397
h1SMcG0000256	-1.79849991729586	0.16846164321974
h1SMcG0000258	-0.670620359881721	0.405977925360883
h1SMcG0000262	-0.137588879878108	0.889748409908787
h1SMcG0000263	-0.164224324315962	0.727435084447924
h1SMcG0000264	2.15302975558989	0.00000000000000000000000000000000194142608184944
h1SMcG0000265	0.49483743737198	0.599216740428865
h1SMcG0000267	-0.57477093659821	0.494798978089666
h1SMcG0000268	-0.971159802464327	0.579351938938182
h1SMcG0000274	1.64144682756671	0.0461944504995975
h1SMcG0000275	-1.03689748394599	0.083471834784494
h1SMcG0000276	-2.49559731179428	0.136453729516134
h1SMcG0000280	-1.87746704030279	0.000907701541332912
h1SMcG0000282	-1.93590119367959	0.128768075745891
h1SMcG0000283	-1.76859700655282	0.0450060395717819
h1SMcG0000284	0.915045434981731	0.0000280728932476344
h1SMcG0000285	1.41812318621077	0.0000000513891035748942
h1SMcG0000286	-1.73008599968758	0.000211163688238314
h1SMcG0000287	4.43322145952577	0.00000192736464539088
h1SMcG0000288	-0.10626772871797	0.75387409585021
h1SMcG0000290	-1.65301845564565	0.000000000215372588765732
h1SMcG0000292	-2.0764106637007	0.0192551341771364
h1SMcG0000293	-0.390828684972579	0.0828110224951731
h1SMcG0000294	-0.446186649130098	0.384612523462435
h1SMcG0000295	-0.311602680218516	0.467634155514092
h1SMcG0000299	-2.0579220082793	0.11119155273862
h1SMcG0000305	0.489569597144213	0.734450678067466
h1SMcG0000319	4.76872497714263	0.00000000000000000000000000000000000000000000000000000000000000000951966171642204
h1SMcG0000322	-0.941267477779594	0.00000103223454186653
h1SMcG0000323	0.991593558701187	0.402672850076326
h1SMcG0000325	3.85162370647636	0.00000175922507330026
h1SMcG0000327	-0.856652238115531	0.124080687559591
h1SMcG0000333	-2.15344212083177	0.000322773529023396
h1SMcG0000334	0.0565478989051728	0.80849369814048
h1SMcG0000338	1.59062471749735	0.0000000000000000000888997742581674
h1SMcG0000340	5.60402735985721	0.000000000000218695405824466
h1SMcG0000343	-2.65176528436473	0.0215653928126707
h1SMcG0000346	-0.242814363887167	0.412932173999525
h1SMcG0000347	-1.12535737281549	0.0446771318901303
h1SMcG0000350	5.0337063045169	0.00000000000000000000000000000000000000000804459108625598
h1SMcG0000351	0.601776180052503	0.259012408309242
h1SMcG0000352	-1.17825843622086	0.436352695216719
h1SMcG0000353	1.62317062462333	0.00000206864664602186
h1SMcG0000355	-1.14379199303223	0.0000862242000971243
h1SMcG0000356	-0.491164666906724	0.00574624036869974
h1SMcG0000357	-0.611790095262018	0.746530717227483
h1SMcG0000358	4.76477856890858	0.000000000343585223669435
h1SMcG0000361	6.30643068570817	0.0000000000000000000000000000000000000000000000000000000000000000000000000102450637451889
