log2FoldChange	padj
h1SMcG0000001	-1.13413546949104	0.0812615878525118
h1SMcG0000006	-2.85810632776376	0.000000230499444606828
h1SMcG0000008	3.80875934956978	0.00641462015715604
h1SMcG0000009	-0.617801667310847	0.154243140782564
h1SMcG0000011	0.87531400071222	0.0000000359384089822313
h1SMcG0000012	2.53094488219647	0.00133548324710682
h1SMcG0000013	0.583230101701764	0.0153637467498028
h1SMcG0000014	1.27191618064286	0.000000000000203934540909606
h1SMcG0000016	-1.67664294943051	0.000000564957027927271
h1SMcG0000017	2.17960918413217	0.000000584557566854477
h1SMcG0000019	3.45595074885669	0.000000119113575474353
h1SMcG0000021	3.04438055451583	0.00118416530172294
h1SMcG0000023	0.983951811615254	0.0000000143905499958206
h1SMcG0000025	0.852188001303341	0.000111218039619856
h1SMcG0000026	-1.00856378051604	0.0000281702179775519
h1SMcG0000027	-0.71250715942883	0.0102346340793659
h1SMcG0000028	-0.140058122873542	0.660438824079487
h1SMcG0000029	4.39469165521928	0.00000000000000000146881436544563
h1SMcG0000030	1.81561315488749	0.111466726189325
h1SMcG0000031	0.195222870396992	0.717588854845577
h1SMcG0000032	0.982927679338533	0.0000000724599474943355
h1SMcG0000034	2.67569982434334	0.00000000426997903877557
h1SMcG0000035	-1.73807693236196	0.00104027514612327
h1SMcG0000036	-1.40342232502645	0.0000000000000000242476079016041
h1SMcG0000039	-0.0818160438378268	0.833827579956843
h1SMcG0000040	1.65795253588936	0.0630872804323288
h1SMcG0000042	-2.84326716560227	0.0000144629031173215
h1SMcG0000043	0.379493406255386	0.174561961183282
h1SMcG0000044	-0.0600276249487916	0.964925028429827
h1SMcG0000045	1.78338912812487	0.0815514070274536
h1SMcG0000046	0.298309571553092	0.610516173087993
h1SMcG0000047	0.318812011426193	0.176850862092601
h1SMcG0000048	-0.394281992222043	0.685101757743484
h1SMcG0000049	-2.34888750396981	0.00897433671224454
h1SMcG0000050	2.33076845872736	0.00000126770422046187
h1SMcG0000051	-1.2040509706002	0.00157188244291964
h1SMcG0000052	0.461860018428619	0.689553667103821
h1SMcG0000053	-1.94293921618861	0.00855580201024928
h1SMcG0000054	0.325515428959433	0.696858207230694
h1SMcG0000057	-2.56965154011103	0.00391764586293933
h1SMcG0000058	-1.50284245069355	0.279442377241317
h1SMcG0000064	-0.969364970432401	0.000247182101056504
h1SMcG0000065	2.59124182233096	0.00000000536799930997297
h1SMcG0000066	-0.764204777433887	0.530475694812211
h1SMcG0000067	0.724976639078134	0.00227495345238069
h1SMcG0000068	-5.50230862570766	0.000000725855114333233
