factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0017602	0.9999999999999999	2522.6256084210577	2519.675351567376	0.75	2.95025685368186	1.0	3716	2.95025685368186
h1SMcG0006347	0.9642857142857143	3200.4294311234185	3197.7030283030454	0.9285714285714285	2.72640282037321	0.8	7650	2.72640282037321
h1SMcG0018872	0.9285714285714285	2539.4587239848024	2536.6529313152973	0.7857142857142857	2.80579266950526	0.9	2340	2.80579266950526
h1SMcG0019688	0.8928571428571428	2859.5990510589895	2857.3202709053207	0.8928571428571428	2.27878015366872	0.7000000000000001	3904	2.27878015366872
h1SMcG0009686	0.8571428571428571	2574.07500413854	2571.8795739059665	0.8214285714285714	2.19543023257366	0.6000000000000001	2582	2.19543023257366
h1SMcG0009963	0.8214285714285714	2152.1561860627166	2150.330970057666	0.5357142857142857	1.82521600505068	0.5000000000000001	3279	1.82521600505068
h1SMcG0001531	0.7857142857142857	2363.558353802213	2361.977509670664	0.7142857142857143	1.58084413154902	0.30000000000000004	1928	1.58084413154902
h1SMcG0017995	0.75	3292.0438290690404	3292.0438290690404	0.9999999999999999	0.0	0.0	5432	0.061050933875748
h1SMcG0017653	0.7142857142857143	2183.386168189216	2181.7066592980477	0.5714285714285714	1.67950889116831	0.4	1562	1.67950889116831
h1SMcG0011844	0.6785714285714285	3222.1474489885672	3222.1474489885672	0.9642857142857143	0.0	0.0	5540	0.528598574898366
h1SMcG0019233	0.6428571428571428	2629.7988198610105	2629.7988198610105	0.8571428571428571	0.0	0.0	4130	0.478266794289638
h1SMcG0016956	0.6071428571428571	2252.589534995212	2252.589534995212	0.6785714285714285	0.0	0.0	1539	0.36998947287616
h1SMcG0015595	0.5714285714285714	2229.772492780215	2229.772492780215	0.6428571428571428	0.0	0.0	1528	0.990142973608967
h1SMcG0011310	0.5357142857142857	2203.209638372063	2203.209638372063	0.6071428571428571	0.0	0.0	2532	0.188718285398586
h1SMcG0010412	0.5	1728.491477142483	1727.0522390518038	0.35714285714285715	1.43923809067939	0.20000000000000004	889	1.43923809067939
h1SMcG0006281	0.4642857142857143	2032.3288618233264	2032.3288618233264	0.5	0.0	0.0	1638	0.48173090983225
h1SMcG0020191	0.42857142857142855	1870.832353689277	1870.832353689277	0.4642857142857143	0.0	0.0	872	0.465286125877628
h1SMcG0016703	0.39285714285714285	1854.3453487656325	1854.3453487656325	0.42857142857142855	0.0	0.0	1112	0.329575375252643
h1SMcG0006375	0.35714285714285715	1732.607758466453	1732.607758466453	0.39285714285714285	0.0	0.0	654	0.250160965447601
h1SMcG0007329	0.3214285714285714	1658.838367649551	1658.838367649551	0.3214285714285714	0.0	0.0	476	0.551610191631839
h1SMcG0004695	0.2857142857142857	1424.070396375414	1423.0808655433489	0.2142857142857143	0.989530832065092	0.1	507	0.989530832065092
h1SMcG0010990	0.25	1590.23608220775	1590.23608220775	0.2857142857142857	0.0	0.0	836	0.244486387991228
h1SMcG0008373	0.2142857142857143	1527.7480518147229	1527.7480518147229	0.25	0.0	0.0	530	0.313423025479159
h1SMcG0016472	0.17857142857142855	1414.6001901089544	1414.6001901089544	0.17857142857142855	0.0	0.0	499	0.765095284170115
h1SMcG0010609	0.14285714285714285	1406.6113651063092	1406.6113651063092	0.14285714285714285	0.0	0.0	273	0.107751450067362
h1SMcG0007325	0.10714285714285714	1241.7372462871715	1241.7372462871715	0.10714285714285714	0.0	0.0	189	0.119189824752973
h1SMcG0023128	0.07142857142857142	1067.2325876754471	1067.2325876754471	0.07142857142857142	0.0	0.0	2617	0.147380021887952
h1SMcG0006548	0.03571428571428571	153.0051660101968	153.0051660101968	0.03571428571428571	0.0	0.0	117	0.0199320243932621
h1SMcG0014619	0.0	9.82555191985023	9.82555191985023	0.0	0.0	0.0	11	0.465112238720187
