source	target	weight
h1SMcG0011844	h1SMnG0033253	0.84075916
h1SMcG0009686	h1SMcG0020521	0.84076023
h1SMcG0020144	h1SMcG0018196	0.8407603
h1SMcG0006347	h1SMcG0009040	0.84076095
h1SMcG0015595	h1SMcG0008673	0.8407625
h1SMcG0009686	h1SMcG0013150	0.8407633
h1SMcG0010789	h1SMcG0019140	0.84076345
h1SMcG0009963	h1SMcG0013134	0.840764
h1SMcG0011310	h1SMcG0005609	0.84076405
h1SMcG0010707	h1SMnG0026261	0.8407643
h1SMcG0023128	h1SMnG0023178	0.8407646
h1SMcG0004888	h1SMcG0022614	0.8407648
h1SMcG0019233	h1SMcG0011425	0.8407655
h1SMcG0020144	h1SMcG0003919	0.8407658
h1SMcG0006281	h1SMcG0003188	0.84076595
h1SMcG0019233	h1SMnG0026629	0.84076625
h1SMcG0004476	h1SMcG0023080	0.84076655
h1SMcG0006347	h1SMnG0012663	0.8407668
h1SMcG0017602	h1SMcG0013565	0.840767
h1SMcG0016730	h1SMcG0008950	0.8407673
h1SMcG0009686	h1SMcG0012621	0.8407677
h1SMcG0018872	h1SMnG0000069	0.84076816
h1SMcG0010789	h1SMcG0018758	0.8407684
h1SMcG0008373	h1SMcG0013664	0.8407684
h1SMcG0019688	h1SMcG0006444	0.8407691
h1SMcG0009963	h1SMnG0032389	0.84077126
h1SMcG0016472	h1SMcG0010557	0.8407722
h1SMcG0015595	h1SMnG0024471	0.84077245
h1SMcG0009963	h1SMcG0021319	0.84077424
h1SMcG0017995	h1SMcG0011607	0.84077495
h1SMcG0015595	h1SMcG0019276	0.8407762
h1SMcG0001531	h1SMcG0011812	0.84077674
h1SMcG0021295	h1SMcG0017722	0.84077686
h1SMcG0013179	h1SMnG0035469	0.8407773
h1SMcG0013166	h1SMcG0005059	0.8407777
h1SMcG0017602	h1SMnG0028235	0.84077775
h1SMcG0013179	h1SMcG0022316	0.84077805
h1SMcG0016472	h1SMcG0004947	0.84077805
h1SMcG0023128	h1SMcG0004730	0.8407783
h1SMcG0010990	h1SMcG0021021	0.8407795
h1SMcG0020191	h1SMcG0019248	0.84078
h1SMcG0016472	h1SMcG0003105	0.8407801
h1SMcG0019688	h1SMnG0012844	0.8407802
h1SMcG0004476	h1SMcG0020959	0.84078133
h1SMcG0006347	h1SMcG0013446	0.84078157
h1SMcG0006347	h1SMcG0014617	0.84078234
h1SMcG0006347	h1SMcG0002110	0.8407833
h1SMcG0019233	h1SMcG0009675	0.84078383
h1SMcG0023128	h1SMcG0011325	0.8407841
h1SMcG0011844	h1SMnG0028839	0.8407848
h1SMcG0004687	h1SMcG0021125	0.84078616
h1SMcG0023128	h1SMcG0020528	0.8407864
h1SMcG0010789	h1SMcG0006608	0.8407881
