factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0008441	0.9999999999999999	2479.8977858667636	2476.297135304404	0.9999999999999999	3.60065056235969	0.9999999999999999	7529	3.60065056235969
h1SMcG0009686	0.9642857142857143	1539.0874151405112	1537.6814193548676	0.7666666666666667	1.40599578564376	0.7499999999999999	1165	1.40599578564376
h1SMcG0006347	0.9285714285714285	1489.4427127738393	1488.2643704984507	0.6666666666666666	1.17834227538852	0.6666666666666666	2583	1.17834227538852
h1SMcG0007041	0.8928571428571428	1175.1735721848304	1172.1092619350484	0.3	3.06431024978192	0.9166666666666666	344	3.06431024978192
h1SMcG0010190	0.8571428571428571	1514.78208643128	1513.8639661805014	0.7	0.918120250778597	0.4166666666666667	1102	0.918120250778597
h1SMcG0001098	0.8214285714285714	2176.634573177788	2176.243782298491	0.9666666666666667	0.390790879296527	0.08333333333333333	4188	0.390790879296527
h1SMcG0006508	0.7857142857142857	2132.955706608488	2132.955706608488	0.9333333333333333	0.0	0.0	5746	0.0088935682697635
h1SMcG0003298	0.75	2048.382276691887	2048.382276691887	0.9	0.0	0.0	3774	0.414494816955337
h1SMcG0006548	0.7142857142857143	1896.9362436150025	1896.9362436150025	0.8666666666666667	0.0	0.0	2676	0.0219910725723235
h1SMcG0007329	0.7142857142857143	1231.3905486776603	1230.4414102474452	0.3666666666666667	0.949138430215146	0.49999999999999994	920	0.949138430215146
h1SMcG0014619	0.6785714285714285	1036.886901420782	1034.9030364391156	0.03333333333333333	1.98386498166629	0.8333333333333333	20	1.98386498166629
h1SMcG0019233	0.6428571428571428	1783.8301752249574	1783.8301752249574	0.8333333333333334	0.0	0.0	3487	0.186220878394
h1SMcG0003269	0.6071428571428571	1669.5354824982714	1669.5354824982714	0.8	0.0	0.0	2359	0.228291951239877
h1SMcG0004816	0.5714285714285714	1517.7658927748812	1517.7658927748812	0.7333333333333333	0.0	0.0	2397	0.946702969713007
h1SMcG0000079	0.5357142857142857	1043.5176954163983	1042.5546019765472	0.06666666666666668	0.963093439850927	0.5833333333333333	26	0.963093439850927
h1SMcG0000971	0.5	1448.7762864100202	1448.7762864100202	0.6333333333333333	0.0	0.0	861	0.467450860131709
h1SMcG0016730	0.4642857142857143	1414.2106077014712	1414.2106077014712	0.6	0.0	0.0	792	0.19671761960487
h1SMcG0015422	0.42857142857142855	1161.0728858161722	1160.277070028766	0.23333333333333334	0.79581578740605	0.3333333333333333	177	0.79581578740605
h1SMcG0017602	0.42857142857142855	1403.8205867897116	1403.8205867897116	0.5666666666666667	0.0	0.0	1503	0.570515998550539
h1SMcG0006375	0.39285714285714285	1398.8103331330333	1398.8103331330333	0.5333333333333333	0.0	0.0	898	0.530176755312256
h1SMcG0006281	0.35714285714285715	1393.3049463447055	1393.3049463447055	0.5	0.0	0.0	1803	0.247121882693595
h1SMcG0010560	0.3214285714285714	1367.4374860658702	1367.4374860658702	0.4666666666666667	0.0	0.0	665	0.700138045920131
h1SMcG0015294	0.2857142857142857	1143.5890524530496	1142.8216580692088	0.2	0.767394383840942	0.25	462	0.767394383840942
h1SMcG0016703	0.25	1286.372295537455	1286.372295537455	0.43333333333333335	0.0	0.0	1000	0.460720262935055
h1SMcG0008373	0.2142857142857143	1276.5168671710362	1276.5168671710362	0.4	0.0	0.0	354	0.357162073669133
h1SMcG0007933	0.17857142857142855	1123.0990914355266	1122.4197662366362	0.16666666666666669	0.679325198890343	0.16666666666666669	99	0.679325198890343
h1SMcG0010789	0.14285714285714285	1219.1461350880743	1219.1461350880743	0.3333333333333333	0.0	0.0	670	0.261746549492074
h1SMcG0010412	0.10714285714285714	1171.001175000572	1171.001175000572	0.26666666666666666	0.0	0.0	722	0.330209940282513
h1SMcG0017995	0.07142857142857142	1057.1036392895112	1057.1036392895112	0.13333333333333333	0.0	0.0	39	0.403979593402992
h1SMcG0021295	0.03571428571428571	1043.0136359969772	1043.0136359969772	0.1	0.0	0.0	359	0.109326400472435
h1SMcG0013166	0.0	18.64728518321176	18.64728518321176	0.0	0.0	0.0	4	0.21258440260096
