source	target	weight
h1SMcG0010190	h1SMcG0020409	0.828356
h1SMcG0019233	h1SMcG0004237	0.8283573
h1SMcG0006347	h1SMcG0000750	0.8283574
h1SMcG0006193	h1SMnG0035610	0.82835823
h1SMcG0004816	h1SMcG0008155	0.8283586
h1SMcG0003269	h1SMcG0005929	0.8283586
h1SMcG0008441	h1SMnG0034459	0.8283589
h1SMcG0010560	h1SMcG0021815	0.8283602
h1SMcG0004888	h1SMnG0034693	0.82836056
h1SMcG0006548	h1SMcG0013957	0.82836175
h1SMcG0015294	h1SMcG0016557	0.82836175
h1SMcG0011556	h1SMcG0005603	0.82836187
h1SMcG0003269	h1SMcG0011292	0.82836217
h1SMcG0020760	h1SMcG0016748	0.82836246
h1SMcG0002696	h1SMcG0008627	0.8283632
h1SMcG0008441	h1SMcG0009475	0.8283632
h1SMcG0016730	h1SMcG0003785	0.8283638
h1SMcG0006375	h1SMcG0022411	0.8283639
h1SMcG0001098	h1SMcG0006699	0.828364
h1SMcG0011844	h1SMcG0012919	0.82836425
h1SMcG0008246	h1SMcG0006123	0.8283645
h1SMcG0008246	h1SMnG0029419	0.82836455
h1SMcG0008246	h1SMcG0006653	0.82836485
h1SMcG0008246	h1SMcG0000267	0.82836556
h1SMcG0019233	h1SMnG0020633	0.8283657
h1SMcG0019233	h1SMcG0013315	0.8283662
h1SMcG0017602	h1SMcG0000146	0.8283664
h1SMcG0003298	h1SMnG0012659	0.82836735
h1SMcG0015422	h1SMcG0005568	0.82836795
h1SMcG0006548	h1SMnG0006187	0.8283681
h1SMcG0019233	h1SMcG0022219	0.8283682
h1SMcG0009686	h1SMcG0011212	0.8283683
h1SMcG0022918	h1SMcG0020490	0.82836896
h1SMcG0009686	h1SMcG0006160	0.82836914
h1SMcG0006193	h1SMcG0017959	0.82837015
h1SMcG0008373	h1SMnG0028577	0.8283711
h1SMcG0010220	h1SMcG0005883	0.82837176
h1SMcG0008246	h1SMcG0007274	0.8283719
h1SMcG0006042	h1SMnG0032823	0.8283726
h1SMcG0006193	h1SMcG0021243	0.82837284
h1SMcG0011844	h1SMcG0003048	0.8283733
h1SMcG0008441	h1SMcG0012847	0.8283734
h1SMcG0008441	h1SMcG0017018	0.8283734
h1SMcG0011844	h1SMnG0012090	0.8283742
h1SMcG0000079	h1SMcG0017267	0.8283755
h1SMcG0001098	h1SMcG0009968	0.82837605
h1SMcG0020592	h1SMcG0006851	0.82837605
h1SMcG0006281	h1SMcG0017631	0.8283767
h1SMcG0015958	h1SMnG0017970	0.8283767
h1SMcG0015958	h1SMcG0005733	0.8283767
h1SMcG0006508	h1SMcG0010872	0.8283768
h1SMcG0007933	h1SMcG0019471	0.8283785
h1SMcG0011556	h1SMnG0024943	0.82838035
h1SMcG0010412	h1SMnG0003817	0.8283812
h1SMcG0006347	h1SMcG0019362	0.82838184
h1SMcG0011310	h1SMcG0013762	0.8283819
h1SMcG0006375	h1SMcG0015020	0.82838196
h1SMcG0011844	h1SMcG0014545	0.82838196
h1SMcG0006548	h1SMcG0019265	0.8283823
h1SMcG0008441	h1SMcG0000424	0.8283829
h1SMcG0003269	h1SMcG0021375	0.82838297
h1SMcG0015621	h1SMcG0009372	0.8283834
h1SMcG0006508	h1SMnG0002637	0.8283842
h1SMcG0010789	h1SMcG0013134	0.82838523
h1SMcG0015422	h1SMcG0009013	0.82838607
h1SMcG0008441	h1SMnG0022220	0.82839
h1SMcG0003298	h1SMcG0019686	0.8283905
h1SMcG0021295	h1SMcG0017192	0.8283906
