factor	influence_score	influence_score_raw	target_score	target_score_scaled	G_score	G_score_scaled	direct_targets	factor_fc
h1SMcG0008441	1.0	7022.525920879914	7020.223039621082	1.0	2.30288125883272	0.9	6304	2.30288125883272
h1SMcG0017602	0.9333333333333333	5760.240434654504	5758.353100989993	0.8666666666666667	1.88733366451002	0.8	4691	1.88733366451002
h1SMcG0006347	0.8666666666666667	6120.571792937889	6119.001089364888	0.9333333333333333	1.57070357300132	0.7000000000000001	5910	1.57070357300132
h1SMcG0009686	0.8	5676.742815640622	5675.395352395416	0.8	1.34746324520659	0.5000000000000001	3405	1.34746324520659
h1SMcG0009963	0.7333333333333334	4610.53244182649	4609.078304335789	0.5333333333333333	1.45413749070128	0.6000000000000001	3054	1.45413749070128
h1SMcG0007041	0.6666666666666666	81.11394667382034	78.55169626322075	0.0	2.56225041059959	1.0	43	2.56225041059959
h1SMcG0006375	0.6	4886.720095802126	4886.092031705158	0.6	0.628064096968239	0.30000000000000004	2451	0.628064096968239
h1SMcG0020741	0.5333333333333333	5302.47687288655	5302.47687288655	0.7333333333333334	0.0	0.0	3223	0.0246754371837038
h1SMcG0015422	0.4666666666666667	3112.026608475788	3111.295798558973	0.26666666666666666	0.730809916815484	0.4	178	0.730809916815484
h1SMcG0007329	0.4	4951.271089887463	4951.271089887463	0.6666666666666666	0.0	0.0	2976	0.626851408869096
h1SMcG0007933	0.33333333333333337	3283.362008555766	3282.805276291732	0.4	0.556732264033956	0.20000000000000004	341	0.556732264033956
h1SMcG0004816	0.26666666666666666	4244.612935880196	4244.612935880196	0.4666666666666667	0.0	0.0	1929	0.117776109399969
h1SMcG0017653	0.2	3155.3319070800226	3154.7909918318906	0.33333333333333337	0.540915248131918	0.1	240	0.540915248131918
h1SMcG0023128	0.13333333333333336	3086.2509581927675	3086.2509581927675	0.2	0.0	0.0	3848	0.0530545165367526
h1SMcG0006508	0.06666666666666667	695.327420285653	695.327420285653	0.13333333333333336	0.0	0.0	369	0.247884876738617
h1SMcG0018284	0.0	152.8945731994164	152.8945731994164	0.06666666666666667	0.0	0.0	75	0.714338638565159
