source	target	weight
h1SMcG0023128	h1SMnG0017771	0.84113157
h1SMcG0020741	h1SMcG0014787	0.8411317
h1SMcG0003298	h1SMcG0003775	0.84113204
h1SMcG0006347	h1SMcG0017378	0.8411322
h1SMcG0003298	h1SMcG0013641	0.84113324
h1SMcG0009686	h1SMcG0007628	0.841134
h1SMcG0003298	h1SMcG0011594	0.8411342
h1SMcG0017602	h1SMcG0006281	0.8411346
h1SMcG0001098	h1SMcG0017807	0.8411347
h1SMcG0006375	h1SMnG0012126	0.84113485
h1SMcG0006548	h1SMcG0015784	0.84113485
h1SMcG0015294	h1SMcG0009480	0.84113556
h1SMcG0011844	h1SMcG0010240	0.8411367
h1SMcG0013179	h1SMcG0001739	0.84113735
h1SMcG0009686	h1SMnG0028504	0.8411375
h1SMcG0003298	h1SMcG0009273	0.84113824
h1SMcG0006193	h1SMcG0013497	0.8411387
h1SMcG0008441	h1SMcG0013016	0.8411391
h1SMcG0006548	h1SMcG0002149	0.8411397
h1SMcG0006548	h1SMcG0021257	0.84113973
h1SMcG0020592	h1SMcG0021227	0.8411403
h1SMcG0006042	h1SMnG0032476	0.84114045
h1SMcG0010412	h1SMcG0019457	0.8411406
h1SMcG0006347	h1SMnG0018664	0.841141
h1SMcG0011844	h1SMcG0011310	0.84114105
h1SMcG0010990	h1SMcG0012870	0.84114176
h1SMcG0015294	h1SMcG0015804	0.8411422
h1SMcG0023128	h1SMcG0011356	0.8411433
h1SMcG0006281	h1SMcG0014110	0.84114575
h1SMcG0020144	h1SMcG0019756	0.8411458
h1SMcG0009963	h1SMnG0000205	0.8411469
h1SMcG0011844	h1SMnG0026792	0.8411471
h1SMcG0006379	h1SMcG0015778	0.84114784
h1SMcG0020741	h1SMcG0021675	0.84114814
h1SMcG0003298	h1SMcG0018593	0.8411484
h1SMcG0004816	h1SMcG0006259	0.84114844
h1SMcG0008441	h1SMcG0006033	0.84114856
h1SMcG0020144	h1SMcG0014511	0.8411491
h1SMcG0003298	h1SMnG0032161	0.8411495
h1SMcG0010609	h1SMcG0007105	0.84114987
h1SMcG0019233	h1SMnG0001720	0.84115
h1SMcG0011556	h1SMnG0004159	0.8411511
h1SMcG0011844	h1SMnG0026793	0.8411514
h1SMcG0010412	h1SMcG0013220	0.8411514
h1SMcG0006548	h1SMcG0014837	0.84115255
h1SMcG0020741	h1SMcG0014991	0.84115255
h1SMcG0007329	h1SMcG0020729	0.8411528
h1SMcG0020741	h1SMcG0014743	0.841154
h1SMcG0021496	h1SMnG0004610	0.8411541
h1SMcG0011556	h1SMcG0013256	0.8411542
h1SMcG0020741	h1SMcG0020087	0.8411546
h1SMcG0006193	h1SMcG0020810	0.8411549
h1SMcG0008441	h1SMnG0027334	0.8411553
h1SMcG0020144	h1SMcG0003005	0.8411564
h1SMcG0011556	h1SMnG0023654	0.8411567
h1SMcG0004816	h1SMcG0022399	0.8411568
