source	target	weight
h1SMcG0000971	h1SMcG0019230	0.83861756
h1SMcG0015422	h1SMcG0002779	0.8386179
h1SMcG0016703	h1SMcG0015278	0.83861834
h1SMcG0010122	h1SMcG0017159	0.83861923
h1SMcG0015343	h1SMcG0000346	0.8386195
h1SMcG0020592	h1SMcG0006610	0.8386195
h1SMcG0010789	h1SMcG0004613	0.8386198
h1SMcG0004476	h1SMcG0008890	0.8386199
h1SMcG0004476	h1SMcG0009088	0.8386201
h1SMcG0023128	h1SMcG0011383	0.83862054
h1SMcG0006375	h1SMnG0032779	0.83862156
h1SMcG0018400	h1SMcG0003882	0.8386219
h1SMcG0010122	h1SMcG0006239	0.83862203
h1SMcG0004816	h1SMcG0007434	0.8386221
h1SMcG0017097	h1SMcG0017577	0.8386221
h1SMcG0017602	h1SMnG0026279	0.8386224
h1SMcG0004476	h1SMcG0008319	0.8386236
h1SMcG0016703	h1SMcG0021804	0.8386252
h1SMcG0018284	h1SMcG0020983	0.8386254
h1SMcG0010190	h1SMcG0022596	0.8386259
h1SMcG0017602	h1SMcG0008526	0.8386266
h1SMcG0004476	h1SMcG0007069	0.8386273
h1SMcG0018284	h1SMcG0017230	0.8386277
h1SMcG0020144	h1SMcG0011051	0.8386277
h1SMcG0007329	h1SMcG0000792	0.83862776
h1SMcG0020144	h1SMcG0015714	0.83862835
h1SMcG0010190	h1SMcG0020724	0.8386284
h1SMcG0011310	h1SMnG0011899	0.83862877
h1SMcG0011310	h1SMcG0016022	0.83863026
h1SMcG0006375	h1SMnG0016719	0.8386309
h1SMcG0017602	h1SMnG0033185	0.8386316
h1SMcG0023128	h1SMcG0015237	0.8386319
h1SMcG0002696	h1SMcG0003633	0.83863205
h1SMcG0017602	h1SMcG0010506	0.8386321
h1SMcG0009963	h1SMcG0021620	0.8386324
h1SMcG0011606	h1SMcG0003975	0.8386326
h1SMcG0006375	h1SMcG0009288	0.8386328
h1SMcG0015422	h1SMcG0007693	0.83863294
h1SMcG0015422	h1SMcG0018956	0.83863455
h1SMcG0016730	h1SMcG0006640	0.8386346
h1SMcG0006281	h1SMcG0021452	0.83863485
h1SMcG0015422	h1SMcG0002113	0.83863556
h1SMcG0001531	h1SMcG0007497	0.838637
h1SMcG0011606	h1SMcG0013811	0.8386379
h1SMcG0009963	h1SMcG0004203	0.8386379
h1SMcG0020760	h1SMcG0002879	0.8386387
h1SMcG0010190	h1SMnG0015543	0.83863926
h1SMcG0006042	h1SMcG0008578	0.8386394
h1SMcG0011310	h1SMcG0003849	0.83863944
h1SMcG0001531	h1SMnG0016945	0.83864075
h1SMcG0017097	h1SMnG0026205	0.8386413
h1SMcG0001098	h1SMcG0016062	0.8386414
h1SMcG0001098	h1SMcG0020036	0.8386432
h1SMcG0018400	h1SMcG0017987	0.8386435
h1SMcG0004476	h1SMcG0005219	0.8386442
h1SMcG0020144	h1SMcG0022086	0.8386464
h1SMcG0007329	h1SMcG0006525	0.8386475
h1SMcG0013730	h1SMcG0014565	0.8386487
h1SMcG0011535	h1SMcG0015750	0.8386495
h1SMcG0010190	h1SMcG0009774	0.83865005
h1SMcG0017602	h1SMcG0021833	0.83865017
h1SMcG0023128	h1SMnG0026858	0.83865076
h1SMcG0001531	h1SMcG0021231	0.8386508
h1SMcG0001531	h1SMcG0016393	0.838651
h1SMcG0006375	h1SMcG0015359	0.8386515
h1SMcG0016703	h1SMnG0004364	0.8386534
h1SMcG0007329	h1SMnG0003933	0.8386535
h1SMcG0011606	h1SMcG0021763	0.8386538
h1SMcG0011535	h1SMcG0017955	0.83865434
h1SMcG0011310	h1SMcG0000496	0.8386545
h1SMcG0001531	h1SMcG0006235	0.83865505
h1SMcG0017602	h1SMnG0011300	0.83865625
h1SMcG0009963	h1SMcG0001243	0.8386576
h1SMcG0023128	h1SMcG0007970	0.8386576
h1SMcG0015343	h1SMcG0009143	0.8386577
h1SMcG0017097	h1SMcG0015707	0.83865786
h1SMcG0023128	h1SMcG0003927	0.8386582
h1SMcG0004816	h1SMcG0016165	0.8386583
h1SMcG0011606	h1SMcG0005469	0.8386584
h1SMcG0009963	h1SMcG0015213	0.83865887
h1SMcG0011606	h1SMnG0000056	0.83865887
h1SMcG0004816	h1SMcG0008673	0.83865935
h1SMcG0001963	h1SMcG0009031	0.8386596
h1SMcG0001098	h1SMcG0022278	0.8386596
h1SMcG0023128	h1SMcG0004764	0.83866036
h1SMcG0020191	h1SMnG0012342	0.8386626
h1SMcG0010609	h1SMcG0016613	0.83866334
h1SMcG0006281	h1SMcG0004439	0.8386636
h1SMcG0010122	h1SMcG0011920	0.83866435
h1SMcG0009686	h1SMcG0010903	0.8386648
h1SMcG0008373	h1SMcG0018681	0.83866525
h1SMcG0013730	h1SMcG0020247	0.83866537
h1SMcG0011310	h1SMcG0015588	0.83866537
h1SMcG0009963	h1SMnG0011769	0.8386657
h1SMcG0010990	h1SMcG0022488	0.8386664
h1SMcG0020144	h1SMcG0020738	0.8386666
h1SMcG0011606	h1SMcG0021078	0.8386669
h1SMcG0011606	h1SMcG0021239	0.83866745
h1SMcG0006042	h1SMcG0007435	0.8386687
h1SMcG0015294	h1SMcG0002134	0.8386706
h1SMcG0006042	h1SMnG0029390	0.83867115
h1SMcG0017602	h1SMcG0016450	0.8386714
h1SMcG0011310	h1SMcG0003194	0.83867145
h1SMcG0011310	h1SMcG0017876	0.83867234
h1SMcG0006666	h1SMcG0002143	0.8386724
h1SMcG0017602	h1SMnG0002708	0.83867264
h1SMcG0018400	h1SMcG0016319	0.8386732
h1SMcG0004476	h1SMcG0008599	0.8386734
h1SMcG0001531	h1SMcG0004329	0.838675
h1SMcG0003685	h1SMcG0021000	0.8386755
h1SMcG0006042	h1SMcG0014171	0.8386761
h1SMcG0011310	h1SMcG0009030	0.8386764
h1SMcG0020191	h1SMcG0014650	0.8386768
h1SMcG0001963	h1SMcG0013670	0.8386771
h1SMcG0015422	h1SMcG0001662	0.83867776
h1SMcG0020144	h1SMnG0023713	0.838678
h1SMcG0006635	h1SMnG0011058	0.8386801
h1SMcG0004476	h1SMnG0015255	0.83868074
h1SMcG0007325	h1SMcG0008977	0.83868116
h1SMcG0007329	h1SMcG0020554	0.8386814
h1SMcG0001531	h1SMcG0012834	0.8386817
h1SMcG0007325	h1SMcG0006055	0.8386817
h1SMcG0023128	h1SMnG0015494	0.83868206
h1SMcG0006375	h1SMcG0002457	0.8386826
h1SMcG0006042	h1SMnG0021315	0.8386831
h1SMcG0011606	h1SMcG0000719	0.83868486
h1SMcG0015294	h1SMnG0008237	0.83868486
h1SMcG0006042	h1SMcG0007000	0.8386853
h1SMcG0011310	h1SMcG0012015	0.8386859
