source	target	weight
h1SMcG0004687	h1SMcG0015665	0.838044
h1SMcG0011310	h1SMnG0028980	0.8380441
h1SMcG0006281	h1SMcG0020045	0.8380442
h1SMcG0010789	h1SMcG0007202	0.8380443
h1SMcG0007325	h1SMcG0000988	0.8380443
h1SMcG0008246	h1SMcG0001989	0.8380451
h1SMcG0001180	h1SMcG0014856	0.8380452
h1SMcG0001116	h1SMcG0001109	0.838048
h1SMcG0007325	h1SMcG0014173	0.83805054
h1SMcG0011844	h1SMcG0009647	0.8380519
h1SMcG0013179	h1SMcG0006091	0.83805287
h1SMcG0011844	h1SMnG0023852	0.8380551
h1SMcG0020191	h1SMcG0000065	0.8380555
h1SMcG0006347	h1SMcG0020761	0.83805555
h1SMcG0008246	h1SMcG0004846	0.8380556
h1SMcG0017097	h1SMcG0021086	0.8380558
h1SMcG0010412	h1SMcG0015572	0.8380568
h1SMcG0020760	h1SMcG0017576	0.83805716
h1SMcG0003130	h1SMcG0002582	0.83805865
h1SMcG0022918	h1SMcG0018223	0.83805966
h1SMcG0008246	h1SMcG0006901	0.8380603
h1SMcG0001975	h1SMcG0009017	0.8380614
h1SMcG0006281	h1SMcG0003166	0.83806187
h1SMcG0011556	h1SMcG0007439	0.83806217
h1SMcG0006347	h1SMcG0021742	0.83806235
h1SMcG0015294	h1SMcG0018052	0.8380625
h1SMcG0015294	h1SMcG0020697	0.83806384
h1SMcG0017097	h1SMcG0003471	0.8380644
h1SMcG0007325	h1SMcG0015493	0.83806646
h1SMcG0016956	h1SMcG0018316	0.8380668
h1SMcG0016003	h1SMcG0022389	0.8380676
h1SMcG0015294	h1SMcG0011017	0.83806777
h1SMcG0000267	h1SMcG0021279	0.838068
h1SMcG0015294	h1SMcG0022249	0.8380683
h1SMcG0017602	h1SMnG0003471	0.8380686
h1SMcG0011844	h1SMcG0004650	0.8380687
h1SMcG0001116	h1SMcG0000757	0.8380696
h1SMcG0020191	h1SMcG0020849	0.8380701
h1SMcG0016003	h1SMcG0013223	0.8380701
h1SMcG0004687	h1SMcG0017081	0.8380704
h1SMcG0015595	h1SMcG0015108	0.83807105
h1SMcG0006375	h1SMcG0017666	0.8380712
h1SMcG0011556	h1SMcG0022367	0.83807236
h1SMcG0011556	h1SMnG0032694	0.8380738
h1SMcG0015595	h1SMcG0015707	0.83807534
h1SMcG0009686	h1SMcG0001497	0.83807665
h1SMcG0006042	h1SMcG0020477	0.83807695
h1SMcG0011310	h1SMcG0003105	0.8380774
h1SMcG0020191	h1SMcG0021968	0.83807856
h1SMcG0010076	h1SMcG0013226	0.8380789
h1SMcG0017602	h1SMcG0006689	0.8380799
h1SMcG0009963	h1SMcG0014863	0.83808035
h1SMcG0006375	h1SMcG0018684	0.8380808
h1SMcG0017653	h1SMnG0034716	0.83808124
h1SMcG0013730	h1SMcG0016526	0.83808154
h1SMcG0015294	h1SMnG0014750	0.83808297
h1SMcG0006281	h1SMnG0018458	0.83808297
h1SMcG0008246	h1SMcG0019221	0.8380831
h1SMcG0013730	h1SMcG0017705	0.8380832
h1SMcG0001116	h1SMcG0020798	0.8380833
h1SMcG0006666	h1SMcG0004292	0.83808374
h1SMcG0007329	h1SMnG0020100	0.83808404
h1SMcG0008246	h1SMcG0019819	0.8380842
h1SMcG0007329	h1SMnG0035469	0.8380845
h1SMcG0009963	h1SMcG0004706	0.83808476
h1SMcG0004687	h1SMcG0005716	0.838085
h1SMcG0022918	h1SMcG0022606	0.83808583
h1SMcG0016956	h1SMcG0010553	0.8380863
h1SMcG0016730	h1SMcG0017498	0.8380869
h1SMcG0013730	h1SMcG0020949	0.83808815
h1SMcG0022624	h1SMcG0022488	0.8380895
h1SMcG0011556	h1SMcG0019278	0.8380898
h1SMcG0017653	h1SMcG0020359	0.8380899
h1SMcG0006347	h1SMnG0001191	0.8380901
h1SMcG0001116	h1SMcG0012157	0.8380904
h1SMcG0004687	h1SMcG0015011	0.8380904
h1SMcG0006375	h1SMcG0013660	0.8380905
h1SMcG0020741	h1SMcG0007382	0.83809257
h1SMcG0017602	h1SMnG0034884	0.8380934
h1SMcG0017602	h1SMcG0012974	0.8380935
h1SMcG0010412	h1SMcG0002758	0.8380937
h1SMcG0013179	h1SMcG0008028	0.8380946
h1SMcG0006347	h1SMcG0009019	0.83809465
h1SMcG0006347	h1SMcG0020671	0.83809483
h1SMcG0017602	h1SMnG0034451	0.8380949
h1SMcG0011556	h1SMcG0005490	0.8380958
h1SMcG0022918	h1SMnG0008822	0.83809674
h1SMcG0006635	h1SMcG0021228	0.8380981
h1SMcG0017097	h1SMcG0000285	0.838099
h1SMcG0006347	h1SMcG0005221	0.8380999
h1SMcG0009963	h1SMcG0010439	0.83810085
h1SMcG0011310	h1SMcG0004078	0.8381014
h1SMcG0001116	h1SMcG0016516	0.8381016
h1SMcG0022624	h1SMcG0008641	0.8381018
h1SMcG0007329	h1SMnG0033376	0.83810246
h1SMcG0020741	h1SMcG0008949	0.8381026
h1SMcG0006375	h1SMcG0022530	0.83810264
h1SMcG0006347	h1SMcG0016511	0.838104
h1SMcG0011556	h1SMcG0006228	0.8381041
h1SMcG0023128	h1SMcG0005170	0.83810425
h1SMcG0020741	h1SMcG0001443	0.8381047
h1SMcG0011844	h1SMnG0008848	0.83810496
h1SMcG0009963	h1SMcG0003910	0.83810544
h1SMcG0011556	h1SMcG0020076	0.83810586
h1SMcG0017602	h1SMnG0017110	0.83810645
h1SMcG0016730	h1SMcG0014142	0.8381069
h1SMcG0011556	h1SMcG0016794	0.838107
h1SMcG0010412	h1SMcG0012715	0.838108
h1SMcG0020760	h1SMcG0016838	0.83810943
h1SMcG0011556	h1SMcG0002391	0.83810973
h1SMcG0016003	h1SMcG0018207	0.8381106
h1SMcG0006347	h1SMnG0014608	0.83811116
h1SMcG0022918	h1SMcG0004116	0.8381114
h1SMcG0006347	h1SMcG0021204	0.8381146
h1SMcG0016956	h1SMcG0018669	0.83811533
h1SMcG0009963	h1SMnG0005126	0.8381154
h1SMcG0011844	h1SMcG0003881	0.83811575
h1SMcG0010220	h1SMnG0017122	0.83811593
h1SMcG0004816	h1SMcG0015109	0.83811617
h1SMcG0017602	h1SMcG0013706	0.83811617
h1SMcG0011654	h1SMnG0033236	0.8381164
h1SMcG0020191	h1SMcG0002499	0.83811885
h1SMcG0007325	h1SMcG0022375	0.8381196
h1SMcG0009686	h1SMnG0032652	0.8381196
h1SMcG0011310	h1SMcG0004886	0.8381197
h1SMcG0010220	h1SMcG0019132	0.83811975
h1SMcG0009963	h1SMnG0034462	0.83811975
h1SMcG0010707	h1SMcG0022639	0.8381198
h1SMcG0022918	h1SMcG0010953	0.838121
h1SMcG0009686	h1SMcG0014667	0.8381211
h1SMcG0008246	h1SMcG0001915	0.83812124
h1SMcG0006666	h1SMcG0016389	0.83812124
h1SMcG0006635	h1SMcG0016393	0.8381226
h1SMcG0011556	h1SMnG0031463	0.83812284
h1SMcG0006375	h1SMcG0021622	0.8381239
h1SMcG0006347	h1SMnG0017454	0.8381241
h1SMcG0023128	h1SMcG0019960	0.83812517
h1SMcG0010412	h1SMnG0034286	0.8381253
h1SMcG0006347	h1SMcG0010743	0.83812535
h1SMcG0003130	h1SMnG0023275	0.8381255
h1SMcG0006375	h1SMcG0014936	0.83812606
h1SMcG0006347	h1SMcG0019684	0.8381263
h1SMcG0004816	h1SMcG0005173	0.83812773
h1SMcG0022624	h1SMcG0022348	0.8381287
h1SMcG0015294	h1SMcG0020995	0.83812976
h1SMcG0011310	h1SMcG0006589	0.83813035
h1SMcG0000267	h1SMcG0013497	0.83813065
h1SMcG0006281	h1SMcG0002614	0.8381313
h1SMcG0006347	h1SMcG0022119	0.8381318
h1SMcG0003130	h1SMcG0020179	0.83813226
h1SMcG0010412	h1SMcG0019753	0.8381323
h1SMcG0006347	h1SMcG0017599	0.8381328
h1SMcG0006042	h1SMcG0020795	0.838133
h1SMcG0017602	h1SMnG0006921	0.8381332
h1SMcG0023128	h1SMcG0013253	0.83813375
h1SMcG0006375	h1SMcG0013409	0.83813435
h1SMcG0004687	h1SMnG0015967	0.8381352
h1SMcG0004476	h1SMcG0008981	0.8381354
h1SMcG0017097	h1SMcG0017294	0.83813626
h1SMcG0009369	h1SMcG0005440	0.8381363
h1SMcG0013179	h1SMcG0016838	0.8381364
h1SMcG0011310	h1SMcG0000447	0.83813643
h1SMcG0022624	h1SMcG0008599	0.8381367
h1SMcG0010789	h1SMcG0008641	0.83813876
h1SMcG0006666	h1SMcG0004078	0.8381394
h1SMcG0017653	h1SMcG0000971	0.8381395
h1SMcG0013730	h1SMcG0020810	0.8381396
h1SMcG0015595	h1SMcG0018432	0.83813995
h1SMcG0011844	h1SMcG0018684	0.8381401
h1SMcG0007329	h1SMcG0022347	0.8381404
h1SMcG0020741	h1SMcG0007855	0.8381407
h1SMcG0001531	h1SMcG0000284	0.838141
h1SMcG0009963	h1SMcG0019263	0.8381413
h1SMcG0001531	h1SMcG0005506	0.8381446
h1SMcG0022918	h1SMcG0004656	0.8381456
h1SMcG0004687	h1SMcG0017080	0.83814585
h1SMcG0007325	h1SMcG0021114	0.8381464
h1SMcG0003130	h1SMnG0034308	0.83814794
h1SMcG0017097	h1SMcG0022423	0.838148
h1SMcG0001975	h1SMcG0019338	0.83814824
h1SMcG0006347	h1SMnG0006908	0.8381485
h1SMcG0011556	h1SMcG0018000	0.8381487
h1SMcG0010220	h1SMcG0017721	0.83814895
h1SMcG0017653	h1SMcG0009488	0.8381491
h1SMcG0001116	h1SMcG0022553	0.83814925
h1SMcG0022918	h1SMnG0003528	0.8381497
h1SMcG0010789	h1SMcG0022335	0.8381501
h1SMcG0018872	h1SMcG0013497	0.8381501
h1SMcG0006635	h1SMnG0002787	0.8381515
h1SMcG0006347	h1SMcG0017882	0.83815163
h1SMcG0017602	h1SMnG0003346	0.83815205
h1SMcG0008246	h1SMcG0010285	0.83815336
h1SMcG0004687	h1SMcG0022391	0.8381536
h1SMcG0006375	h1SMcG0011584	0.8381541
h1SMcG0004816	h1SMcG0009233	0.8381544
h1SMcG0016003	h1SMcG0007057	0.83815575
h1SMcG0008246	h1SMnG0015962	0.83815575
h1SMcG0020741	h1SMcG0013410	0.83815646
h1SMcG0023128	h1SMnG0031435	0.83815795
h1SMcG0006635	h1SMcG0009088	0.8381583
h1SMcG0009963	h1SMcG0014203	0.8381585
h1SMcG0006666	h1SMcG0019472	0.83815897
h1SMcG0020741	h1SMcG0012257	0.83815956
h1SMcG0004687	h1SMnG0014472	0.8381603
h1SMcG0011556	h1SMcG0021115	0.8381604
h1SMcG0017602	h1SMcG0014855	0.8381604
h1SMcG0011844	h1SMcG0000361	0.83816063
h1SMcG0001098	h1SMcG0021279	0.8381611
h1SMcG0006347	h1SMcG0012829	0.8381621
h1SMcG0004476	h1SMcG0008601	0.8381623
h1SMcG0001116	h1SMcG0017772	0.8381636
h1SMcG0006281	h1SMcG0007455	0.83816487
h1SMcG0016956	h1SMcG0009155	0.83816534
h1SMcG0016956	h1SMcG0000103	0.8381662
h1SMcG0010707	h1SMcG0002424	0.8381663
h1SMcG0006347	h1SMnG0020216	0.8381668
h1SMcG0013730	h1SMcG0003793	0.8381669
h1SMcG0010220	h1SMcG0007116	0.838167
h1SMcG0007329	h1SMcG0011121	0.8381674
h1SMcG0023128	h1SMcG0008607	0.8381676
h1SMcG0009963	h1SMnG0013722	0.83816826
h1SMcG0020741	h1SMcG0020555	0.83816844
h1SMcG0013730	h1SMcG0006765	0.83816934
h1SMcG0007325	h1SMcG0007026	0.8381696
h1SMcG0006375	h1SMcG0022188	0.8381701
h1SMcG0013166	h1SMcG0013035	0.83817124
h1SMcG0017097	h1SMcG0016922	0.8381714
h1SMcG0011310	h1SMcG0008266	0.8381718
h1SMcG0006666	h1SMcG0018164	0.8381718
h1SMcG0017653	h1SMcG0015936	0.8381719
h1SMcG0009963	h1SMcG0010598	0.83817196
h1SMcG0015595	h1SMcG0020508	0.8381723
h1SMcG0020760	h1SMcG0017792	0.8381723
