source	target	weight
h1SMcG0019233	h1SMcG0000698	0.84664017
h1SMcG0006281	h1SMcG0013232	0.8466404
h1SMcG0009686	h1SMcG0017106	0.8466407
h1SMcG0016956	h1SMcG0008865	0.84664077
h1SMcG0020144	h1SMnG0014677	0.846641
h1SMcG0006635	h1SMcG0009401	0.84664136
h1SMcG0003269	h1SMcG0020742	0.84664196
h1SMcG0014619	h1SMnG0000361	0.846642
h1SMcG0017602	h1SMnG0028625	0.8466421
h1SMcG0006281	h1SMnG0014607	0.8466428
h1SMcG0000971	h1SMcG0005005	0.8466431
h1SMcG0006347	h1SMcG0010849	0.84664327
h1SMcG0006375	h1SMcG0009933	0.8466461
h1SMcG0006375	h1SMcG0016918	0.846647
h1SMcG0008246	h1SMcG0005210	0.84664756
h1SMcG0003882	h1SMcG0002790	0.846648
h1SMcG0020144	h1SMcG0000146	0.8466485
h1SMcG0016730	h1SMcG0009793	0.84664905
h1SMcG0019233	h1SMcG0005655	0.8466495
h1SMcG0017995	h1SMcG0003991	0.84664965
h1SMcG0009686	h1SMnG0032779	0.84665
h1SMcG0011310	h1SMcG0021908	0.84665006
h1SMcG0006508	h1SMnG0021163	0.8466508
h1SMcG0004687	h1SMcG0007402	0.8466518
h1SMcG0009963	h1SMnG0027122	0.84665376
h1SMcG0007329	h1SMcG0011768	0.84665465
h1SMcG0009686	h1SMcG0000991	0.8466553
h1SMcG0001434	h1SMcG0016471	0.8466555
h1SMcG0006666	h1SMcG0016031	0.84665585
h1SMcG0006347	h1SMcG0011249	0.8466559
h1SMcG0003269	h1SMnG0033372	0.846656
h1SMcG0006375	h1SMnG0015142	0.84665626
h1SMcG0006347	h1SMnG0014667	0.8466564
h1SMcG0019688	h1SMcG0018968	0.84665644
h1SMcG0008246	h1SMnG0024878	0.8466576
h1SMcG0006666	h1SMnG0034519	0.84665775
h1SMcG0006508	h1SMcG0016002	0.846658
h1SMcG0010076	h1SMcG0005190	0.8466581
h1SMcG0010609	h1SMcG0000858	0.84665924
h1SMcG0006042	h1SMcG0013565	0.84665936
h1SMcG0020144	h1SMcG0016525	0.8466596
h1SMcG0006635	h1SMcG0014275	0.84666014
h1SMcG0006347	h1SMcG0015723	0.8466602
h1SMcG0006666	h1SMcG0022371	0.8466605
h1SMcG0006548	h1SMcG0019571	0.846661
h1SMcG0017995	h1SMcG0011289	0.8466623
h1SMcG0017602	h1SMcG0003426	0.846664
h1SMcG0009963	h1SMnG0032696	0.8466642
h1SMcG0006508	h1SMnG0006933	0.8466655
h1SMcG0018872	h1SMcG0009400	0.84666604
h1SMcG0009963	h1SMnG0016096	0.8466664
h1SMcG0020144	h1SMnG0000228	0.8466667
h1SMcG0003269	h1SMcG0013774	0.8466674
h1SMcG0003882	h1SMcG0005490	0.8466675
h1SMcG0010789	h1SMcG0005655	0.8466675
h1SMcG0020592	h1SMcG0005213	0.8466676
h1SMcG0023128	h1SMnG0009118	0.8466678
h1SMcG0019688	h1SMcG0008624	0.8466683
h1SMcG0011844	h1SMcG0011212	0.846669
h1SMcG0006508	h1SMcG0017834	0.846669
h1SMcG0017602	h1SMcG0009963	0.8466704
h1SMcG0019688	h1SMcG0004532	0.8466712
h1SMcG0006508	h1SMnG0015140	0.8466716
h1SMcG0007329	h1SMcG0009301	0.8466718
h1SMcG0006548	h1SMcG0015056	0.84667194
h1SMcG0006508	h1SMnG0026713	0.8466723
h1SMcG0019688	h1SMnG0010546	0.84667337
h1SMcG0016956	h1SMcG0001750	0.8466742
h1SMcG0009963	h1SMcG0000435	0.8466744
h1SMcG0008373	h1SMcG0015358	0.8466745
h1SMcG0006347	h1SMcG0007734	0.8466746
h1SMcG0004687	h1SMcG0012720	0.84667474
h1SMcG0010990	h1SMcG0019816	0.8466753
h1SMcG0006375	h1SMnG0033047	0.8466769
h1SMcG0001531	h1SMcG0017749	0.8466772
h1SMcG0016956	h1SMcG0020718	0.84667736
h1SMcG0017995	h1SMcG0020577	0.84667784
h1SMcG0006508	h1SMcG0011645	0.8466791
h1SMcG0006666	h1SMcG0018846	0.84668005
h1SMcG0008246	h1SMcG0002126	0.84668016
h1SMcG0006281	h1SMcG0022310	0.84668094
h1SMcG0006347	h1SMcG0013292	0.8466814
h1SMcG0000079	h1SMcG0013044	0.8466815
h1SMcG0015294	h1SMcG0014091	0.8466817
h1SMcG0017602	h1SMcG0010304	0.8466819
h1SMcG0017995	h1SMcG0008356	0.8466823
h1SMcG0000971	h1SMcG0017965	0.8466835
h1SMcG0010990	h1SMcG0007938	0.84668356
h1SMcG0017995	h1SMcG0013390	0.8466836
h1SMcG0023128	h1SMnG0002339	0.8466857
h1SMcG0010707	h1SMcG0008951	0.8466861
h1SMcG0017602	h1SMnG0002071	0.8466862
h1SMcG0015422	h1SMcG0020916	0.84668666
h1SMcG0010076	h1SMcG0005261	0.84668684
h1SMcG0006666	h1SMcG0017839	0.846687
h1SMcG0006666	h1SMnG0032218	0.8466871
h1SMcG0023128	h1SMnG0026272	0.0006603699999999657
h1SMcG0008246	h1SMnG0032618	0.84668815
h1SMcG0006548	h1SMcG0008987	0.8466885
