source	target	weight
h1SMcG0016703	h1SMcG0005381	0.8356456
h1SMcG0001098	h1SMnG0026858	0.8356461
h1SMcG0011310	h1SMcG0004950	0.8356466
h1SMcG0009686	h1SMnG0005528	0.835647
h1SMcG0019799	h1SMcG0007193	0.83564776
h1SMcG0004816	h1SMcG0022528	0.83564913
h1SMcG0023128	h1SMcG0008728	0.83564997
h1SMcG0006347	h1SMcG0020512	0.8356506
h1SMcG0008246	h1SMcG0005214	0.83565104
h1SMcG0006281	h1SMnG0032389	0.8356511
h1SMcG0017602	h1SMcG0020818	0.83565176
h1SMcG0008246	h1SMnG0008822	0.8356523
h1SMcG0001098	h1SMcG0020195	0.8356525
h1SMcG0023128	h1SMcG0003634	0.8356532
h1SMcG0000079	h1SMcG0021895	0.83565354
h1SMcG0010412	h1SMcG0007322	0.83565414
h1SMcG0006635	h1SMcG0007248	0.8356553
h1SMcG0003130	h1SMcG0014706	0.83565557
h1SMcG0008907	h1SMcG0001428	0.8356556
h1SMcG0019688	h1SMcG0016255	0.83565617
h1SMcG0017602	h1SMcG0005500	0.83565706
h1SMcG0006193	h1SMnG0015162	0.83565706
h1SMcG0011844	h1SMcG0007585	0.8356582
h1SMcG0000656	h1SMcG0020559	0.83565867
h1SMcG0004476	h1SMcG0019587	0.83565944
h1SMcG0013179	h1SMcG0008490	0.8356596
h1SMcG0017602	h1SMcG0016031	0.8356611
h1SMcG0000656	h1SMcG0008965	0.83566236
h1SMcG0017602	h1SMcG0020581	0.8356625
h1SMcG0014619	h1SMcG0007960	0.8356644
h1SMcG0019688	h1SMcG0022549	0.83566463
h1SMcG0009963	h1SMcG0016776	0.8356652
h1SMcG0001098	h1SMcG0005543	0.8356659
h1SMcG0006347	h1SMnG0031153	0.835666
h1SMcG0020760	h1SMcG0021245	0.83566666
h1SMcG0003130	h1SMnG0016959	0.8356673
h1SMcG0017995	h1SMcG0016968	0.8356685
h1SMcG0004476	h1SMcG0010477	0.8356691
h1SMcG0017602	h1SMcG0007446	0.83566964
h1SMcG0003130	h1SMcG0017756	0.83566976
h1SMcG0006548	h1SMcG0016452	0.8356699
h1SMcG0017602	h1SMnG0009907	0.83567077
h1SMcG0009963	h1SMcG0000686	0.83567107
h1SMcG0003269	h1SMcG0015157	0.83567274
h1SMcG0019688	h1SMnG0012715	0.8356732
h1SMcG0010609	h1SMcG0017705	0.83567333
h1SMcG0006193	h1SMcG0011027	0.83567363
h1SMcG0011556	h1SMcG0018059	0.83567375
h1SMcG0019233	h1SMnG0015595	0.8356742
h1SMcG0008246	h1SMcG0011557	0.8356746
h1SMcG0006193	h1SMcG0016868	0.8356755
h1SMcG0020592	h1SMcG0006372	0.83567554
h1SMcG0004816	h1SMnG0014707	0.83567667
h1SMcG0019688	h1SMcG0013183	0.83567685
h1SMcG0019799	h1SMcG0022167	0.83567697
h1SMcG0017995	h1SMcG0000152	0.83567774
h1SMcG0014619	h1SMcG0020652	0.8356786
h1SMcG0008246	h1SMnG0018043	0.835679
h1SMcG0014619	h1SMnG0008822	0.8356803
h1SMcG0011556	h1SMcG0002269	0.8356804
h1SMcG0017602	h1SMnG0011195	0.83568066
h1SMcG0022494	h1SMcG0009632	0.8356808
h1SMcG0001098	h1SMcG0016800	0.8356811
h1SMcG0000656	h1SMcG0022452	0.8356818
h1SMcG0011310	h1SMcG0000545	0.8356827
h1SMcG0008373	h1SMcG0017911	0.83568287
h1SMcG0008246	h1SMcG0004818	0.8356829
h1SMcG0019688	h1SMcG0018548	0.8356832
h1SMcG0009963	h1SMcG0015600	0.8356835
h1SMcG0022918	h1SMcG0017159	0.83568364
h1SMcG0011844	h1SMcG0009847	0.835685
h1SMcG0019688	h1SMcG0011590	0.8356855
h1SMcG0010789	h1SMcG0002078	0.83568555
h1SMcG0020592	h1SMnG0009414	0.83568573
h1SMcG0006548	h1SMcG0012578	0.83568686
h1SMcG0010990	h1SMcG0009798	0.8356869
h1SMcG0020592	h1SMcG0012015	0.83568704
h1SMcG0011844	h1SMcG0015129	0.8356872
h1SMcG0000656	h1SMcG0020627	0.83568746
h1SMcG0006508	h1SMcG0004848	0.8356878
h1SMcG0022624	h1SMcG0007757	0.83568895
h1SMcG0017602	h1SMnG0035089	0.8356898
h1SMcG0006281	h1SMcG0014855	0.83569074
h1SMcG0006508	h1SMcG0019012	0.8356913
h1SMcG0010609	h1SMcG0015913	0.8356917
h1SMcG0008246	h1SMcG0015240	0.83569306
h1SMcG0009686	h1SMcG0002467	0.8356931
h1SMcG0016730	h1SMcG0005824	0.8356939
h1SMcG0004713	h1SMcG0009474	0.8356945
h1SMcG0007329	h1SMcG0023055	0.83569455
h1SMcG0006548	h1SMcG0021285	0.8356952
h1SMcG0004816	h1SMnG0005146	0.8356955
h1SMcG0008246	h1SMcG0019730	0.8356973
h1SMcG0007329	h1SMcG0022151	0.8356987
h1SMcG0006548	h1SMnG0031073	0.8356988
h1SMcG0014619	h1SMnG0017970	0.835699
h1SMcG0006548	h1SMnG0034686	0.8356997
h1SMcG0001098	h1SMcG0016198	0.8356998
h1SMcG0016730	h1SMcG0016750	0.8356999
h1SMcG0006193	h1SMcG0012045	0.83570004
h1SMcG0009686	h1SMcG0008416	0.83570004
h1SMcG0017602	h1SMnG0034570	0.83570004
h1SMcG0003269	h1SMcG0000560	0.8357004
h1SMcG0011844	h1SMcG0008413	0.835702
h1SMcG0006548	h1SMcG0009173	0.8357027
h1SMcG0004476	h1SMcG0018330	0.8357041
h1SMcG0004476	h1SMcG0001440	0.8357045
h1SMcG0009963	h1SMnG0017365	0.8357055
h1SMcG0010412	h1SMcG0005849	0.835706
h1SMcG0004713	h1SMnG0032600	0.8357063
h1SMcG0011310	h1SMcG0022474	0.8357064
h1SMcG0006347	h1SMcG0016800	0.83570683
h1SMcG0017995	h1SMcG0002892	0.8357085
h1SMcG0006548	h1SMnG0011499	0.83570856
h1SMcG0006193	h1SMcG0017161	0.83571
h1SMcG0016730	h1SMcG0008497	0.8357101
h1SMcG0015595	h1SMcG0005736	0.8357115
h1SMcG0004816	h1SMcG0001082	0.83571166
h1SMcG0006193	h1SMcG0015422	0.83571273
h1SMcG0019688	h1SMnG0001228	0.8357132
h1SMcG0004888	h1SMcG0020847	0.83571374
h1SMcG0011310	h1SMcG0000174	0.83571386
h1SMcG0023128	h1SMcG0007632	0.8357154
h1SMcG0006042	h1SMcG0011819	0.83571666
h1SMcG0006508	h1SMnG0013789	0.83571666
h1SMcG0006635	h1SMcG0010270	0.83571786
h1SMcG0009686	h1SMcG0007163	0.8357183
h1SMcG0011310	h1SMcG0000991	0.83571833
h1SMcG0006548	h1SMcG0000878	0.8357206
h1SMcG0006042	h1SMcG0003595	0.8357212
h1SMcG0006347	h1SMcG0002264	0.83572143
h1SMcG0017995	h1SMcG0019404	0.8357215
h1SMcG0006347	h1SMcG0022229	0.8357226
h1SMcG0023128	h1SMnG0012038	0.835723
h1SMcG0008373	h1SMcG0008950	0.8357235
h1SMcG0023128	h1SMnG0018356	0.83572555
h1SMcG0019688	h1SMcG0014702	0.8357259
h1SMcG0006548	h1SMcG0010496	0.83572775
h1SMcG0011310	h1SMnG0028292	0.83572847
h1SMcG0023128	h1SMnG0015313	0.8357288
h1SMcG0018872	h1SMcG0021182	0.8357288
h1SMcG0023128	h1SMnG0028823	0.8357299
h1SMcG0018872	h1SMcG0013713	0.83573025
h1SMcG0023128	h1SMcG0014949	0.8357306
