source	target	weight
h1SMcG0023128	h1SMcG0001284	0.8351082
h1SMcG0020592	h1SMcG0012475	0.83510953
h1SMcG0016703	h1SMcG0020697	0.83510983
h1SMcG0006347	h1SMcG0013141	0.83510983
h1SMcG0003298	h1SMcG0021544	0.8351111
h1SMcG0004816	h1SMcG0017065	0.83511114
h1SMcG0010990	h1SMcG0016584	0.8351136
h1SMcG0006042	h1SMcG0020529	0.8351147
h1SMcG0011556	h1SMnG0035469	0.8351151
h1SMcG0006347	h1SMcG0018794	0.8351152
h1SMcG0017602	h1SMcG0002212	0.8351153
h1SMcG0015294	h1SMnG0017227	0.8351162
h1SMcG0006347	h1SMcG0022063	0.8351162
h1SMcG0015294	h1SMcG0016337	0.8351167
h1SMcG0018284	h1SMcG0010492	0.83511686
h1SMcG0009963	h1SMcG0009181	0.8351193
h1SMcG0006261	h1SMcG0011920	0.83511937
h1SMcG0020592	h1SMcG0006527	0.83511996
h1SMcG0009686	h1SMcG0009632	0.83512145
h1SMcG0001116	h1SMcG0020359	0.8351223
h1SMcG0008246	h1SMcG0004470	0.83512235
h1SMcG0016730	h1SMcG0022598	0.8351256
h1SMcG0023128	h1SMcG0006801	0.83512574
h1SMcG0006281	h1SMcG0022107	0.8351263
h1SMcG0017602	h1SMcG0021362	0.83512634
h1SMcG0020741	h1SMnG0034919	0.8351273
h1SMcG0009963	h1SMnG0000045	0.8351276
h1SMcG0007329	h1SMcG0002438	0.83512974
h1SMcG0003130	h1SMcG0015854	0.8351305
h1SMcG0015422	h1SMcG0002162	0.83513075
h1SMcG0011844	h1SMcG0007352	0.8351319
h1SMcG0017602	h1SMcG0000240	0.835132
h1SMcG0023128	h1SMcG0000239	0.8351337
h1SMcG0009963	h1SMcG0021548	0.83513427
h1SMcG0023128	h1SMnG0025061	0.8351343
h1SMcG0006347	h1SMcG0005169	0.83513635
h1SMcG0010609	h1SMcG0010741	0.83513784
h1SMcG0011556	h1SMnG0011871	0.83513826
h1SMcG0004816	h1SMcG0011914	0.8351386
h1SMcG0017995	h1SMcG0001722	0.83514005
h1SMcG0022624	h1SMcG0011323	0.8351401
h1SMcG0017602	h1SMcG0017814	0.8351412
h1SMcG0020741	h1SMcG0020507	0.83514136
h1SMcG0020191	h1SMcG0019514	0.8351415
h1SMcG0006281	h1SMcG0012583	0.8351442
h1SMcG0001434	h1SMcG0017758	0.83514446
h1SMcG0008833	h1SMcG0000226	0.83514446
h1SMcG0006375	h1SMcG0016956	0.8351445
h1SMcG0004816	h1SMcG0019969	0.8351447
h1SMcG0004695	h1SMnG0012553	0.83514506
h1SMcG0016703	h1SMcG0012006	0.8351455
h1SMcG0017602	h1SMcG0021672	0.8351467
h1SMcG0020191	h1SMcG0016464	0.8351475
h1SMcG0006281	h1SMcG0021894	0.83514816
h1SMcG0007933	h1SMcG0022526	0.8351494
h1SMcG0010076	h1SMnG0012073	0.8351497
h1SMcG0004816	h1SMcG0002507	0.8351501
h1SMcG0006375	h1SMcG0020651	0.835151
h1SMcG0006548	h1SMcG0016531	0.83515155
h1SMcG0006548	h1SMcG0004851	0.83515227
h1SMcG0022624	h1SMcG0004356	0.8351539
h1SMcG0001116	h1SMcG0000283	0.835155
h1SMcG0007933	h1SMcG0018833	0.8351554
h1SMcG0011556	h1SMcG0007827	0.8351555
h1SMcG0001180	h1SMcG0022338	0.8351557
h1SMcG0004888	h1SMcG0022452	0.83515626
h1SMcG0010990	h1SMcG0007248	0.8351571
h1SMcG0001098	h1SMcG0008503	0.83515835
h1SMcG0017653	h1SMcG0011318	0.8351587
h1SMcG0018284	h1SMcG0016468	0.835159
h1SMcG0020741	h1SMnG0000340	0.8351595
h1SMcG0006261	h1SMcG0000757	0.8351616
h1SMcG0018872	h1SMnG0035606	0.83516234
h1SMcG0008246	h1SMnG0026420	0.83516276
h1SMcG0010076	h1SMcG0017649	0.8351644
h1SMcG0020592	h1SMcG0005873	0.83516455
h1SMcG0010076	h1SMcG0018397	0.8351654
h1SMcG0010076	h1SMcG0015358	0.83516544
h1SMcG0006548	h1SMcG0012294	0.8351661
h1SMcG0008246	h1SMcG0007357	0.8351663
h1SMcG0022624	h1SMcG0018242	0.83516634
h1SMcG0023128	h1SMcG0013117	0.83516693
h1SMcG0017995	h1SMcG0021313	0.8351671
h1SMcG0013166	h1SMcG0019941	0.8351672
h1SMcG0004695	h1SMcG0020490	0.8351677
h1SMcG0011310	h1SMcG0012867	0.83516884
h1SMcG0013179	h1SMcG0013105	0.8351689
