source	target	weight
h1SMcG0006042	h1SMcG0022264	0.83468914
h1SMcG0009369	h1SMcG0003945	0.8346895
h1SMcG0019233	h1SMnG0004165	0.8346897
h1SMcG0011844	h1SMcG0012529	0.83468986
h1SMcG0008373	h1SMcG0009434	0.8346899
h1SMcG0010707	h1SMnG0032097	0.8346903
h1SMcG0006548	h1SMcG0009294	0.834692
h1SMcG0016956	h1SMcG0000283	0.8346928
h1SMcG0020191	h1SMcG0006282	0.8346934
h1SMcG0006666	h1SMcG0018555	0.8346939
h1SMcG0010412	h1SMcG0018370	0.83469415
h1SMcG0001531	h1SMnG0004344	0.83469456
h1SMcG0017602	h1SMcG0008108	0.8346949
h1SMcG0016956	h1SMcG0020797	0.834695
h1SMcG0009963	h1SMcG0020202	0.8346958
h1SMcG0001531	h1SMcG0009135	0.8346965
h1SMcG0006042	h1SMcG0010708	0.8346977
h1SMcG0006375	h1SMcG0020949	0.8346984
h1SMcG0020592	h1SMcG0010913	0.8346988
h1SMcG0001531	h1SMcG0015551	0.83469945
h1SMcG0015294	h1SMcG0006460	0.8346995
h1SMcG0006548	h1SMnG0015347	0.83469975
h1SMcG0008246	h1SMcG0008413	0.83470005
h1SMcG0001531	h1SMcG0018144	0.8347006
h1SMcG0006635	h1SMcG0001314	0.834701
h1SMcG0006042	h1SMcG0021202	0.8347025
h1SMcG0003298	h1SMcG0007686	0.8347028
h1SMcG0004476	h1SMcG0019731	0.8347029
h1SMcG0011844	h1SMcG0010643	0.8347029
h1SMcG0023128	h1SMcG0014937	0.8347033
h1SMcG0004476	h1SMcG0021308	0.8347039
h1SMcG0020592	h1SMcG0008605	0.83470535
h1SMcG0010990	h1SMcG0002059	0.8347073
h1SMcG0006347	h1SMcG0000396	0.8347075
h1SMcG0006548	h1SMnG0033001	0.83470845
h1SMcG0004476	h1SMcG0016531	0.83470976
h1SMcG0007329	h1SMcG0013621	0.8347106
h1SMcG0008373	h1SMcG0005250	0.8347108
h1SMcG0020144	h1SMcG0008787	0.83471286
h1SMcG0001180	h1SMcG0015658	0.83471346
h1SMcG0020592	h1SMcG0014101	0.8347136
h1SMcG0003269	h1SMcG0003296	0.8347139
h1SMcG0010707	h1SMcG0018577	0.8347148
h1SMcG0001180	h1SMcG0019780	0.8347149
h1SMcG0010789	h1SMcG0020485	0.8347155
h1SMcG0001180	h1SMcG0015236	0.83471555
h1SMcG0011310	h1SMnG0014678	0.8347156
h1SMcG0006375	h1SMcG0008887	0.83471566
h1SMcG0006375	h1SMcG0013903	0.8347157
