log2FoldChange	padj
h1SMcG0000006	-1.60666395145721	0.158439562346666
h1SMcG0000009	-1.03617091405965	0.357198289470035
h1SMcG0000011	0.615291257203289	0.0918046140773385
h1SMcG0000013	0.555359856468076	0.336837162231972
h1SMcG0000014	0.0232846498940177	0.973010396233727
h1SMcG0000016	-1.56423114183844	0.0586021404932992
h1SMcG0000017	0.350431055662147	0.821412445928519
h1SMcG0000023	0.82540024086761	0.0455012510986276
h1SMcG0000025	0.15899402252602	0.838602564618918
h1SMcG0000026	0.450321108099314	0.351445680448023
h1SMcG0000027	-1.42004165077719	0.0630348454062123
h1SMcG0000028	0.75350329754431	0.203319993278606
h1SMcG0000031	-1.27247134137163	0.353639470244291
h1SMcG0000032	0.922675382915311	0.0151018092842982
h1SMcG0000035	-3.38389488268415	0.0107802585559919
h1SMcG0000036	0.300258931482795	0.402537468645673
h1SMcG0000039	-1.05983417341502	0.223076000572288
h1SMcG0000042	0.0391250839692839	0.973010396233727
h1SMcG0000043	-0.761285265774359	0.315542251951405
h1SMcG0000046	0.550833342026263	0.625330667931257
h1SMcG0000047	0.0656842599214515	0.930503893234206
h1SMcG0000049	0.772041542225443	0.516734818619549
h1SMcG0000051	-1.79448973718484	0.0683958363161091
h1SMcG0000053	0.0190570533745888	0.991419211252513
h1SMcG0000064	-0.765585248972732	0.24636056778238
h1SMcG0000065	1.21292030560907	0.273054164753407
h1SMcG0000067	1.32614176622804	0.00201726304141414
h1SMcG0000068	-2.9341340688435	0.0424984977496069
h1SMcG0000069	-1.06543813271911	0.359026393772946
h1SMcG0000070	0.606452117304358	0.525766367354368
h1SMcG0000073	-2.90395039452566	0.00247350947461573
h1SMcG0000076	-1.39582879306454	0.000888675997603524
h1SMcG0000078	0.018504931134445	0.98883427629176
h1SMcG0000079	1.77869481056134	0.000000386964797184853
h1SMcG0000082	-1.07885681942962	0.346907332882793
h1SMcG0000085	-1.56224018567811	0.260024339257593
h1SMcG0000086	-1.32109709318992	0.0190301644617648
h1SMcG0000090	0.398254702954644	0.110723489665754
h1SMcG0000094	0.0900177858752978	0.961595745418925
h1SMcG0000096	-0.991909262312804	0.135043334590795
h1SMcG0000097	-0.574363146181735	0.403532716499769
h1SMcG0000098	0.666452848624831	0.32118166893877
h1SMcG0000100	1.29160715443073	0.0841432625641812
h1SMcG0000103	-1.09923966671938	0.119659833633562
h1SMcG0000104	-4.92177779601399	0.000000199973342245936
h1SMcG0000105	-1.56204243645677	0.00315827920402682
h1SMcG0000106	-0.465657338828958	0.400600234434848
h1SMcG0000107	0.645249747463723	0.0326341747180777
h1SMcG0000108	0.382365409542533	0.669051875583305
h1SMcG0000109	-0.0214698311329398	0.989522535129625
h1SMcG0000127	-1.1974879557573	0.00621757082941451
h1SMcG0000128	0.153105707473049	0.754711605651372
h1SMcG0000131	0.824232131099188	0.187073655682854
h1SMcG0000132	0.481151703457702	0.398614878928551
h1SMcG0000133	0.649894839963191	0.364470470479318
h1SMcG0000138	0.902802676472366	0.0016400944511097
h1SMcG0000140	0.722522205849436	0.631974625238826
h1SMcG0000143	-1.3742791405909	0.227301959011404
h1SMcG0000144	-2.98510955720078	0.0235718076342857
h1SMcG0000145	-1.27058192391232	0.0679310001221622
h1SMcG0000146	0.00513783192640895	0.996402202412603
h1SMcG0000148	2.83236145445173	0.0162463677689423
h1SMcG0000149	-1.3180517201747	0.0774523973927345
h1SMcG0000150	0.947852903581942	0.133202488034401
h1SMcG0000151	-1.90305247553081	0.157592521217999
h1SMcG0000152	0.23986085273732	0.546431400531491
h1SMcG0000153	-1.84840531989903	0.083203922736028
h1SMcG0000155	-0.144603050068155	0.77001317687748
h1SMcG0000156	-0.996801011469512	0.146480233567841
h1SMcG0000159	-0.0998375202318209	0.912134037274957
h1SMcG0000160	0.646177751051357	0.513884080323472
h1SMcG0000162	-0.837061617487075	0.490914015630371
h1SMcG0000163	-0.701752147760945	0.21225824503666
h1SMcG0000164	-1.89030008255615	0.0000173361046546895
h1SMcG0000165	0.616108691143501	0.17377915509593
h1SMcG0000169	-0.575696205546481	0.248891599607883
h1SMcG0000170	0.469195929071487	0.351438469489503
h1SMcG0000171	0.355254595908869	0.724554549364073
h1SMcG0000174	-1.43652755998054	0.00074578696609521
h1SMcG0000176	-1.56548989440364	0.0286819656376872
h1SMcG0000178	0.420214017804034	0.660955427073862
h1SMcG0000183	0.722452044189772	0.150832834812567
h1SMcG0000184	-0.566245786185103	0.357654028812795
h1SMcG0000185	0.420561119314478	0.670158438262429
h1SMcG0000188	0.557060790566728	0.23562183484956
h1SMcG0000190	0.963734663370848	0.123034406898449
h1SMcG0000193	-2.19050360532261	0.00251334185887306
h1SMcG0000194	-0.680037648856722	0.355884961724056
h1SMcG0000195	0.626967638580285	0.411822597530219
h1SMcG0000196	0.644554748135946	0.0653660972644451
h1SMcG0000199	-2.42978278984176	0.032959299237707
h1SMcG0000202	1.18741966089187	0.316293441662823
h1SMcG0000203	3.04898789816016	0.00000143408374609909
h1SMcG0000204	1.3776184449756	0.0000156736781265618
h1SMcG0000205	-0.519424986094479	0.640940227821242
h1SMcG0000208	-0.145177066661191	0.88520222192377
h1SMcG0000209	-2.32829524309052	0.0765168054967276
h1SMcG0000210	-2.34149915620196	0.0151833233888885
h1SMcG0000211	-0.885663582502443	0.0461593984590586
h1SMcG0000220	0.569324625610313	0.215278435167034
h1SMcG0000226	1.03529885228113	0.0895870517671536
h1SMcG0000231	0.391671908342673	0.54471936725412
h1SMcG0000234	0.438883187969846	0.298524744403513
h1SMcG0000235	0.0491479350679298	0.979826347265129
h1SMcG0000237	0.0460870040865781	0.98179957755461
h1SMcG0000238	0.74581346368114	0.560174091546138
h1SMcG0000239	-1.58651198849835	0.263062976967569
h1SMcG0000240	0.54642428814242	0.541616454581349
h1SMcG0000246	-2.2090264431966	0.0901696236733128
h1SMcG0000248	-0.473459347354039	0.67631466884973
h1SMcG0000250	1.40316820843291	0.103555888305706
h1SMcG0000253	0.851976203790777	0.240444552784782
h1SMcG0000255	-1.00133584188373	0.00488281062220209
h1SMcG0000258	-0.242518923606354	0.877072800171772
h1SMcG0000262	-0.11516817180026	0.949386582385749
h1SMcG0000263	0.242764204244228	0.745491795985486
h1SMcG0000264	-1.02981911716496	0.0783704483755893
h1SMcG0000265	0.775153922222381	0.584170070235908
h1SMcG0000267	-1.07907569334379	0.495151567106952
h1SMcG0000274	1.79303765832691	0.166861252498623
h1SMcG0000275	-1.3430975077169	0.26623102851395
h1SMcG0000280	-1.39099732241272	0.181206518162308
h1SMcG0000283	-1.35985272647724	0.37739211013317
h1SMcG0000284	0.67535979611399	0.0924348866715522
h1SMcG0000285	2.04761994707832	0.00000000443326222515246
h1SMcG0000286	-1.07226612007149	0.144806832652042
h1SMcG0000288	-0.798056644153726	0.175228027172564
h1SMcG0000290	-3.10220389563553	0.000162446576715983
h1SMcG0000292	-1.52817489589746	0.301030841379939
h1SMcG0000293	-1.26325548965718	0.00203949491751814
h1SMcG0000294	-1.40464099732586	0.198341552876893
h1SMcG0000295	-0.844204877524058	0.285066392760725
h1SMcG0000319	-0.437604518008176	0.72529728190451
h1SMcG0000322	-0.992377587725025	0.0131167223549201
h1SMcG0000323	1.83867988833097	0.196712492251055
h1SMcG0000327	-1.44464868456848	0.221361241285947
h1SMcG0000333	-1.76225589054742	0.109254350936757
h1SMcG0000334	-1.02931222972629	0.00251968292392065
h1SMcG0000338	0.936301943237261	0.00664330391479856
h1SMcG0000346	-0.674113315476755	0.232780078398831
h1SMcG0000347	-0.465470097264507	0.656112259358417
h1SMcG0000351	-0.511881248265786	0.71389207895872
h1SMcG0000353	-1.54356924973737	0.152690559946464
h1SMcG0000355	-1.27908454039569	0.0368577661518862
h1SMcG0000356	-0.276149149863646	0.449586618132966
h1SMcG0000360	3.02083627468386	0.0293096456463709
h1SMcG0000361	1.56589348127032	0.046017522509734
h1SMcG0000363	-1.58865344657723	0.00000361297718936718
h1SMcG0000364	-1.86265160565467	0.180589627078966
h1SMcG0000374	1.77811691768793	0.0676748522012827
h1SMcG0000378	-0.328525064060514	0.780393837905119
h1SMcG0000380	-1.12554097998418	0.320684877173341
h1SMcG0000382	1.46152350281318	0.125818791431474
h1SMcG0000385	0.449389544665445	0.652468543899956
h1SMcG0000389	-1.54990155159441	0.131144672670168
h1SMcG0000390	-0.702048575523906	0.632917298261862
h1SMcG0000394	-0.166549883768153	0.862858952458489
h1SMcG0000402	5.43629737989776	0.0000000757487092771769
h1SMcG0000404	7.98721100689071	0.0000000000000000117589305996823
h1SMcG0000405	-1.49159666705965	0.0000012696584072495
h1SMcG0000414	-1.74005959502116	0.113343941110911
h1SMcG0000422	0.659427842742281	0.262392366187909
h1SMcG0000423	0.176110039287943	0.79419680909831
h1SMcG0000424	-1.49750041435273	0.118666624021311
h1SMcG0000426	-1.40325714479805	0.0574793747583396
h1SMcG0000429	-0.518533863413056	0.444920202866896
h1SMcG0000430	0.569671588086488	0.320684877173341
h1SMcG0000432	-0.277596203336071	0.850483151126976
h1SMcG0000434	-1.0066836010282	0.214979282860626
h1SMcG0000435	-1.64431541208131	0.0417096485368109
h1SMcG0000437	-0.528948801420363	0.715834567044214
h1SMcG0000438	1.58403570299628	0.0269534800153656
h1SMcG0000439	-0.0296789247247738	0.979845999970136
h1SMcG0000440	0.0488273026260825	0.971579492427191
h1SMcG0000442	-2.38030962743766	0.00125448301936084
h1SMcG0000444	2.26280663392858	0.0458906436783969
h1SMcG0000445	0.601103506019948	0.7123817556297
h1SMcG0000446	-1.0472494836358	0.0514176498435006
h1SMcG0000448	0.975919093735409	0.0000994473505120676
h1SMcG0000452	-1.06550086500754	0.0154900079603101
h1SMcG0000453	-1.17936596058276	0.160207008939836
h1SMcG0000454	-1.11729685936105	0.0258159099483943
h1SMcG0000455	-3.71825198230042	0.00216514032741224
h1SMcG0000457	0.0612806599498815	0.943609703528689
h1SMcG0000459	0.10982865894644	0.929173009557033
h1SMcG0000460	-1.82730129498081	0.0697288813471571
h1SMcG0000462	0.0322671681316198	0.980572161220347
h1SMcG0000463	0.492569659689903	0.24294321328588
h1SMcG0000466	1.30402906785805	0.177778836729693
h1SMcG0000470	0.228629652786792	0.890331701268322
h1SMcG0000471	0.604849211045815	0.145813110312911
h1SMcG0000473	0.318980399723561	0.420257856546698
h1SMcG0000474	1.37355969379708	0.0000002885164678778
h1SMcG0000476	-4.43195601971057	0.0000146169280557422
h1SMcG0000478	2.81941549967178	0.000211519833645653
h1SMcG0000479	3.57804077661285	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000040071761007428
h1SMcG0000482	-2.80362300294426	0.001154864308108
h1SMcG0000485	-0.48453346368306	0.366165482803444
h1SMcG0000488	-2.34801966709951	0.00933596712708263
h1SMcG0000489	0.295606863684146	0.74509837262842
h1SMcG0000490	0.737354440335061	0.522086682440502
h1SMcG0000491	-1.07956146631417	0.214165845875794
h1SMcG0000493	-2.71704998805343	0.0708320006017292
h1SMcG0000494	-0.885713799887338	0.562303862031918
h1SMcG0000496	0.494126684490591	0.631835772717257
h1SMcG0000497	0.479899678297343	0.578866097440331
h1SMcG0000500	-0.983212894872594	0.0180892677837196
h1SMcG0000501	-5.995621572372	0.0000000114462632470008
h1SMcG0000502	-0.166350213720925	0.887632030667327
h1SMcG0000504	0.373432638366702	0.432867406389358
h1SMcG0000506	-0.959212622514148	0.213590719224017
h1SMcG0000507	1.31138198625258	0.393605791414578
h1SMcG0000508	0.441845540326833	0.455182441510737
h1SMcG0000511	-0.285206037716213	0.876559497839004
h1SMcG0000512	-0.947132367858717	0.572024468235243
h1SMcG0000513	5.37210573932797	0.00000000000000000000000000000000000015670298136667
h1SMcG0000514	-1.99721007210372	0.194181974284562
h1SMcG0000515	0.874110045452038	0.0000572967694436298
h1SMcG0000517	-0.0776494960195471	0.965742423395644
