log2FoldChange	padj
h1SMcG0000001	-1.11122148529889	0.471560481845668
h1SMcG0000006	-2.5370172382752	0.0151112262158061
h1SMcG0000009	0.721556695412846	0.272674654723607
h1SMcG0000011	0.220222000305346	0.536053629435522
h1SMcG0000013	-0.493847378786512	0.430784817481622
h1SMcG0000014	-0.0824397233031296	0.883431852791196
h1SMcG0000016	-0.745036412572281	0.219049759335529
h1SMcG0000017	-0.345428018808492	0.856389152193523
h1SMcG0000023	0.413390709309259	0.236081197054984
h1SMcG0000025	1.58860256637743	0.0000000283776482357892
h1SMcG0000026	0.537186544076099	0.0798418972074422
h1SMcG0000027	-0.29814592965574	0.637817676838525
h1SMcG0000028	0.69597137156931	0.0778949323797282
h1SMcG0000031	-0.829418291758534	0.511251901891413
h1SMcG0000032	0.0583218165135687	0.914812161420344
h1SMcG0000034	0.908743830580619	0.512668531698636
h1SMcG0000035	-0.783556679178171	0.411919162148539
h1SMcG0000036	0.585054030506379	0.00926582887888207
h1SMcG0000039	-1.81694002213351	0.0187489725875341
h1SMcG0000042	0.604957956804471	0.345922987495716
h1SMcG0000043	0.340396116460195	0.542609702642762
h1SMcG0000046	-0.292590935300325	0.844878244789848
h1SMcG0000047	0.87805456037696	0.00699369905871624
h1SMcG0000049	0.289861360192545	0.850676014328021
h1SMcG0000050	-0.772286866313982	0.711634109304448
h1SMcG0000051	-0.503495199157862	0.534423883153432
h1SMcG0000053	-0.204152849682162	0.90398517497004
h1SMcG0000064	-0.663593226784668	0.191153123344984
h1SMcG0000065	0.901352014092957	0.445195019791381
h1SMcG0000066	1.32114800895998	0.363430464549158
h1SMcG0000067	0.0122884689928282	0.987536647630306
h1SMcG0000068	-3.67188979394485	0.00785041274872887
h1SMcG0000069	-0.229521986841412	0.840972807244764
h1SMcG0000070	-0.111611013526777	0.942981369396661
h1SMcG0000073	-3.77893726692167	0.0000986069466610937
h1SMcG0000076	-2.30555124897805	0.0000000000954795890927105
h1SMcG0000078	-0.825407715884833	0.501571749458487
h1SMcG0000079	0.963093439850927	0.000849680197642938
h1SMcG0000082	-1.67637822555056	0.0942250338039524
h1SMcG0000083	0.554701573080147	0.768973260445496
h1SMcG0000085	0.745430490584755	0.355312319193075
h1SMcG0000086	-0.767780089603711	0.0485340338865013
h1SMcG0000090	0.554396833789035	0.000273765639627019
h1SMcG0000094	-1.00387485493986	0.585092133372775
h1SMcG0000096	0.359186849962893	0.431962175997147
h1SMcG0000097	-1.02248809278151	0.0526581687918088
h1SMcG0000098	0.591139711978052	0.347004306275616
h1SMcG0000100	-0.94677638008129	0.470066084975266
h1SMcG0000102	-0.78735036867424	0.688210957592403
h1SMcG0000103	2.20145809933021	0.00000000000000000000000000815921981282499
h1SMcG0000104	-4.23003533192947	0.000000000000000945292039502035
h1SMcG0000105	-0.763903292522422	0.0360502416257118
h1SMcG0000106	-0.279888017826187	0.603248969997353
h1SMcG0000107	0.513549115425184	0.0162173144861338
h1SMcG0000108	0.105554535467945	0.939990215907786
h1SMcG0000109	-1.43966524768658	0.316193488012611
h1SMcG0000127	-0.342702393580741	0.313977883057602
h1SMcG0000128	-0.0862999940626851	0.844835506088663
h1SMcG0000131	0.515657736276893	0.35041825689132
h1SMcG0000132	0.456473984888477	0.281010669125591
h1SMcG0000133	0.3938714899434	0.596135368706105
h1SMcG0000137	-0.309645618902962	0.875039235931832
h1SMcG0000138	0.308246698740416	0.202311547705721
h1SMcG0000140	0.493519112942493	0.77483694816728
h1SMcG0000143	0.314568374677735	0.717392337582894
h1SMcG0000144	-3.74393497071795	0.00377841492597854
h1SMcG0000145	-0.431226262101215	0.49021373404622
