log2FoldChange	padj
h1SMcG0000001	-0.471395618773269	0.536293935586931
h1SMcG0000006	-1.75187574368532	0.00169003498350982
h1SMcG0000009	-0.180696652307754	0.737791844648856
h1SMcG0000011	0.375581508767588	0.0794960565521556
h1SMcG0000013	0.987180672903712	0.000128132901455575
h1SMcG0000014	0.0178195566697899	0.954965157963351
h1SMcG0000016	-1.52507234926342	0.0000944493012956152
h1SMcG0000017	-0.871520746150182	0.362123575760198
h1SMcG0000019	4.70156807721245	0.0000000000000168341856915403
h1SMcG0000023	0.989334486648703	0.000000280577326974742
h1SMcG0000025	0.445678255840553	0.216973664280916
h1SMcG0000026	1.40876591336369	0.0000000000288492538538357
h1SMcG0000027	-1.14335487757395	0.00113682762370312
h1SMcG0000028	0.115337074174127	0.755912356123842
h1SMcG0000029	-0.0118411280896072	0.992835317903223
h1SMcG0000031	-0.170910424096711	0.808425634050362
h1SMcG0000032	1.50700826533822	0.00000000000000000407943340194953
h1SMcG0000033	1.87780705337098	0.059146231685387
h1SMcG0000034	-1.23874890602548	0.317684948951444
h1SMcG0000035	-1.14391884214507	0.0618768285090515
h1SMcG0000036	1.11024425108348	0.0000000000028258332997752
h1SMcG0000039	-0.886131332215865	0.0343379520877891
h1SMcG0000040	-0.608842061022802	0.744705217158518
h1SMcG0000042	0.926839886133551	0.00994805976628865
h1SMcG0000043	0.337914165170403	0.291941630422486
h1SMcG0000044	1.26453806630484	0.203020811300225
h1SMcG0000045	2.66341307178031	0.00359677941821703
h1SMcG0000046	0.843214400900249	0.101694282431662
h1SMcG0000047	-0.767341570562743	0.0217344383393544
h1SMcG0000048	-1.20965391246825	0.368939054401881
h1SMcG0000049	-2.7584221749906	0.0187005768393515
h1SMcG0000050	-0.676660209576695	0.555679423257099
h1SMcG0000051	-0.633861234774398	0.192299013603492
h1SMcG0000052	0.359690505487723	0.791111792838085
h1SMcG0000053	0.341118565148775	0.622266669496916
h1SMcG0000054	4.08732846506638	0.0000000000000000409919710837962
h1SMcG0000057	-2.10795892952065	0.0394195432989682
h1SMcG0000058	-1.17397209112219	0.47577993220827
h1SMcG0000064	-0.197154262652886	0.557483389073009
h1SMcG0000065	2.97986547619654	0.000000000261129434440691
h1SMcG0000066	1.86529436003191	0.0142947909639677
h1SMcG0000067	2.36399746494403	0.0000000000000000000000000000850608295648894
h1SMcG0000068	-4.66557793100564	0.000057475015324924
h1SMcG0000069	1.17095816523579	0.00084923750618291
h1SMcG0000070	1.33024453249417	0.00152606887622816
h1SMcG0000073	-4.03269779135163	0.0000000000225882562463907
h1SMcG0000075	0.444513671046931	0.707359966958705
h1SMcG0000076	-1.46313996185738	0.00000000000167163691732008
h1SMcG0000078	-2.38834751055409	0.000794509949116502
h1SMcG0000079	1.05537631707858	0.00000677445920568798
h1SMcG0000082	-1.37686216237169	0.0405606371690247
h1SMcG0000083	1.31724347638425	0.0758973262620392
h1SMcG0000085	-0.528450298445383	0.405221610946631
h1SMcG0000086	-2.08416853368912	0.00000000528079054760404
h1SMcG0000090	1.30783769094364	0.0000000000000000000638683547983315
h1SMcG0000093	0.8314976797745	0.49939193932497
h1SMcG0000094	-0.47719822900908	0.60395381165382
h1SMcG0000095	1.23621704966544	0.396166755684924
h1SMcG0000096	-2.17040643923062	0.0000000411451866728888
h1SMcG0000097	0.401672859057796	0.180951879472261
h1SMcG0000098	1.55703653588672	0.0000000704321965562383
h1SMcG0000100	0.795508231142277	0.104079202473068
h1SMcG0000102	2.06642688591264	0.0000408438077789138
h1SMcG0000103	-1.92713919906454	0.0000080945350584262
h1SMcG0000104	-3.75629884742986	0.00000000000000000000000000000000108301036154791
h1SMcG0000105	-2.04455548503415	0.00000000000283960633368509
h1SMcG0000106	-0.971149750908877	0.000472620470880915
h1SMcG0000107	1.72935583375255	0.00000000000000000000000968164043871306
h1SMcG0000108	1.45724147583327	0.00000678404334908016
h1SMcG0000109	0.53546025177248	0.381303793404116
h1SMcG0000127	-0.675951223468049	0.00161686621207014
h1SMcG0000128	-0.940170989731679	0.000362026799867535
h1SMcG0000130	2.27300756689067	0.0448800950154686
h1SMcG0000131	1.80614216019303	0.00000000000047241989644569
h1SMcG0000132	1.36926210540885	0.00000000456892179781736
h1SMcG0000133	1.34269939407195	0.000010740464748579
h1SMcG0000135	-0.823596601997779	0.65907261765064
h1SMcG0000137	0.721670194309372	0.36531950857537
h1SMcG0000138	1.00006325472274	0.00000000387862596967395
h1SMcG0000140	0.230073589170064	0.822235145141946
h1SMcG0000143	1.20819461212685	0.000284646017526143
h1SMcG0000144	-3.12244367542048	0.0000496097944640243
h1SMcG0000145	-0.895066255696045	0.0121492696049816
h1SMcG0000146	-0.644675895414708	0.261267572889443
h1SMcG0000148	1.71712547846782	0.0893133137824422
h1SMcG0000149	-0.803356504993358	0.0139584703448511
h1SMcG0000150	1.39869154844698	0.0000126963287013782
h1SMcG0000151	-3.85745728164791	0.0000184178695409369
h1SMcG0000152	-1.38547780555903	0.0000000000000559231309155769
h1SMcG0000153	-1.43841194273603	0.00221741614915833
h1SMcG0000154	-2.48818105913842	0.0284551636605821
h1SMcG0000155	-0.446233674841683	0.0505276617069277
h1SMcG0000156	0.11356267165836	0.752411927459697
h1SMcG0000159	-1.10915422856401	0.00505669545060537
h1SMcG0000160	0.642326265027059	0.261139522214675
h1SMcG0000162	-0.877904714282372	0.179889999069377
h1SMcG0000163	-0.897572291674161	0.00661618180171342
h1SMcG0000164	-1.54856937670519	0.00000000000282271601964192
h1SMcG0000165	1.11735447547881	0.0000112434554781188
h1SMcG0000169	-0.203560701706671	0.39702645098911
h1SMcG0000170	1.79014167208266	0.0000000000000000379006212156971
h1SMcG0000171	-0.430264294799817	0.460252460107021
h1SMcG0000174	0.0478378717459781	0.855534107993247
h1SMcG0000176	-1.92763617581498	0.000000153063738077151
h1SMcG0000178	0.183672048792115	0.761144444199516
h1SMcG0000180	3.47160566621148	0.0009728035588191
h1SMcG0000182	3.79205506901887	0.00000148580064403849
h1SMcG0000183	1.43776543185886	0.000000000224166690915565
h1SMcG0000184	-0.986630190656407	0.00232040099569061
h1SMcG0000185	2.1455694012398	0.00000000000157528971270497
h1SMcG0000187	-3.38147815927902	0.031510804719879
h1SMcG0000188	-3.65521795609245	0.0000000000000000000000000000277111541814146
h1SMcG0000189	-0.297103712078528	0.785209454364752
h1SMcG0000190	2.49875559868771	0.000000000000000000000399147024250315
h1SMcG0000191	-2.17678406253391	0.048774256955143
h1SMcG0000193	-2.33463635022662	0.00000000138434881888434
h1SMcG0000194	-0.0988344090190123	0.822240781927108
h1SMcG0000195	2.82991274007291	0.00000000000000000000000000000533551737734128
h1SMcG0000196	1.34393975000756	0.00000000027254816399718
h1SMcG0000199	-2.01129124862415	0.000349266161240454
h1SMcG0000202	0.553880933346896	0.562391539386743
h1SMcG0000203	-1.37057774524572	0.228314984337868
h1SMcG0000204	0.294334701143749	0.277732964138437
h1SMcG0000205	0.204610189143845	0.700407648623034
h1SMcG0000208	-0.347877071598739	0.480576043321779
h1SMcG0000209	-1.51104732701199	0.0152017979784448
h1SMcG0000210	-2.78006646190452	0.0000000683893664810112
h1SMcG0000211	-1.82358079410651	0.0000000000000742005934516343
h1SMcG0000212	-1.22868222536627	0.334499270155353
h1SMcG0000215	0.930322884788005	0.272188887230651
h1SMcG0000216	1.36186435123504	0.0263816868812612
h1SMcG0000220	-0.268927554162309	0.381204695456128
h1SMcG0000223	-2.23009488049078	0.104296422028103
h1SMcG0000224	-3.0823663181453	0.0146464080731425
h1SMcG0000225	-0.455004140994045	0.665348362871748
h1SMcG0000226	1.38368216578951	0.0000185491321792783
h1SMcG0000231	1.04659865285794	0.0000958110593636865
h1SMcG0000232	0.564327981143836	0.632687545728541
h1SMcG0000234	0.912786073284856	0.0000141169068636106
h1SMcG0000235	0.453031754239692	0.57522532654057
h1SMcG0000236	1.11908356805558	0.349020139764764
h1SMcG0000237	4.44684406387244	0.000000000000000000000000000000244798667487634
h1SMcG0000238	0.509560896846427	0.484521998761076
h1SMcG0000239	0.149856438014709	0.81644688977674
h1SMcG0000240	0.430412411598513	0.380665432136298
h1SMcG0000242	1.02867969773541	0.352273855951371
h1SMcG0000245	-1.18217691057433	0.499433714302893
h1SMcG0000246	-1.18721504305704	0.0409114293135124
h1SMcG0000248	0.0455838052272197	0.941635883996279
h1SMcG0000250	0.117970873526828	0.884829760958526
h1SMcG0000252	-1.42304702464239	0.430832772214124
h1SMcG0000253	1.52193209203217	0.0000033767908229948
h1SMcG0000255	-2.30470605998723	0.00000000000000000000222678565977579
h1SMcG0000256	-1.17507798264021	0.310348463432221
h1SMcG0000258	0.980366856560091	0.0601280921391426
h1SMcG0000262	1.00901926030811	0.133853775213046
h1SMcG0000263	1.13645228301858	0.000126642170750354
h1SMcG0000264	-0.283992775602598	0.335506065760843
h1SMcG0000265	4.15654113073627	0.00000000000000000000000508429766650273
h1SMcG0000267	3.81993304602318	0.000000000000000000000000000146141250852374
h1SMcG0000268	-0.525458122592287	0.746613782446107
h1SMcG0000274	1.17223011430234	0.19606395885674
h1SMcG0000275	-1.45190735802779	0.0121645271799213
h1SMcG0000276	-3.08880850376084	0.0776711414957927
h1SMcG0000280	-1.41351526676299	0.00838831017136039
h1SMcG0000282	-2.10645504203851	0.0747393925828051
h1SMcG0000283	-1.70227320440463	0.0628023633567469
h1SMcG0000284	1.3441178527604	0.000000000000270909731331324
h1SMcG0000285	0.91057199138413	0.00268417262924151
h1SMcG0000286	-0.775857041527753	0.035486545222166
h1SMcG0000288	0.191985373865838	0.501674671673796
h1SMcG0000290	-3.40692747157726	0.000000000000000000121273533315945
h1SMcG0000292	-2.42958338510348	0.00993335914876911
h1SMcG0000293	-1.30746953467186	0.000000000138277033666378
h1SMcG0000294	-2.05823311714451	0.000864208527934851
h1SMcG0000295	-1.18166377894712	0.00892704685296678
h1SMcG0000299	-1.3932882603399	0.240948018683013
h1SMcG0000305	0.362450187902341	0.810446946799111
h1SMcG0000318	6.61737501224861	0.000000000709286174240275
h1SMcG0000319	0.75876431263577	0.0970378317883514
h1SMcG0000322	-0.847850004345121	0.0000265531684994086
h1SMcG0000323	1.39975394264999	0.161610619810308
h1SMcG0000327	0.114898282564984	0.849902084735518
h1SMcG0000330	1.56770997848099	0.0540619824568012
h1SMcG0000333	-1.11932005000681	0.0212189748553593
h1SMcG0000334	0.957295877875642	0.000000000244305446122963
h1SMcG0000338	1.43414016993666	0.000000000000000500764477537599
h1SMcG0000343	0.937358902902109	0.126520224716434
h1SMcG0000346	-0.569801281464097	0.0518222439897122
h1SMcG0000347	-1.47162230926513	0.00947153343645023
h1SMcG0000350	0.364996552136786	0.680197350564321
h1SMcG0000351	-0.161692168801369	0.821853881977564
h1SMcG0000352	-0.909976566916375	0.533237522381949
h1SMcG0000353	0.473162607050486	0.264286518070391
h1SMcG0000355	-1.64282503287201	0.000001094535265578
h1SMcG0000356	-0.549821583283383	0.00388813211529586
h1SMcG0000357	-0.19682549083978	0.905514538166585
h1SMcG0000361	1.16929530852092	0.0193683553615545
h1SMcG0000362	-3.10808408559482	0.0869420589748105
h1SMcG0000363	-2.15436089655245	0.000000000000000000348016476427965
h1SMcG0000364	-3.09231493413619	0.000729351053202955
h1SMcG0000365	5.12642727732447	0.000000182846643016832
h1SMcG0000366	5.74866084911473	0.0000000391007820464852
h1SMcG0000367	3.96253584111484	0.00190009006963968
h1SMcG0000374	0.855207751626882	0.315335342577487
h1SMcG0000375	2.78584462118002	0.00000198322389173931
h1SMcG0000378	-0.591970907890799	0.329129857022787
h1SMcG0000380	-0.75952471293473	0.173027387606842
h1SMcG0000382	1.91325285134256	0.0000171083138878238
h1SMcG0000384	-1.46754686547771	0.0821892218009993
h1SMcG0000385	1.74425582982139	0.00000017390817864098
h1SMcG0000387	0.624723571363593	0.579836403026602
h1SMcG0000389	-0.823348047612073	0.0655747952047004
h1SMcG0000390	-0.630043274535344	0.376232179649647
h1SMcG0000392	-1.4022432497377	0.103957157273246
h1SMcG0000394	-1.64775071728616	0.000302906025348987
h1SMcG0000396	-2.47659638019352	0.143135701871711
h1SMcG0000405	-2.18554548353474	0.000000000000000000000000000001489674801514
h1SMcG0000414	-3.25909320681232	0.0000330533451843068
h1SMcG0000420	0.500575313767524	0.734974099530254
h1SMcG0000421	-0.667887725454354	0.509519865904966
h1SMcG0000422	-0.307489215122806	0.427659742690626
