log2FoldChange	padj
h1SMcG0000001	-0.231674994072217	0.769318883151267
h1SMcG0000006	-2.22471997644211	0.000419535348862099
h1SMcG0000009	1.08497142880506	0.00367268450073689
h1SMcG0000011	0.959245991532477	0.00000183242269950849
h1SMcG0000013	1.11463871902141	0.0000667707321918307
h1SMcG0000014	1.33660970300515	0.0000000000685465562773791
h1SMcG0000016	-1.71147515373914	0.000044591931717363
h1SMcG0000017	-0.902972835432496	0.355503337925877
h1SMcG0000019	1.81530266105032	0.0781989775387927
h1SMcG0000023	1.30628146936238	0.00000000000705894953193536
h1SMcG0000025	1.80268672124692	0.00000000000293636520512497
h1SMcG0000026	1.87610544485579	0.0000000000000000230892567172899
h1SMcG0000027	-1.13629834184387	0.00254309872150401
h1SMcG0000028	1.22220103702909	0.00000195353233758461
h1SMcG0000029	-0.125587428578442	0.935325248681067
h1SMcG0000031	0.163597122069999	0.808550458393591
h1SMcG0000032	2.35342774726524	0.00000000000000000000000000000000000000049431073529839
h1SMcG0000033	2.2446817832203	0.015145857242869
h1SMcG0000034	-1.01603882801942	0.40950918303322
h1SMcG0000035	-0.763115511515765	0.230449952949739
h1SMcG0000036	1.67888041825303	0.0000000000000000000000104048059148202
h1SMcG0000039	0.00578024144746356	0.990657123634415
h1SMcG0000040	0.953946910758894	0.451713604774327
h1SMcG0000042	1.92569400272205	0.0000000000691738765159424
h1SMcG0000043	0.908656661013096	0.00107787860304351
h1SMcG0000044	1.60937223221941	0.0963729667362873
h1SMcG0000046	0.0242204627625657	0.976291419284635
h1SMcG0000047	-0.623297943199178	0.110217807569491
h1SMcG0000048	-0.691147300539854	0.59022995691606
h1SMcG0000049	-2.16775905892506	0.0542868382292221
h1SMcG0000050	-0.586333340457873	0.61357846884585
h1SMcG0000051	-0.69423549211093	0.138807515183921
h1SMcG0000052	0.511625122854832	0.703176134324938
h1SMcG0000053	1.5966175431577	0.00159611305547778
h1SMcG0000054	-0.210468378622569	0.875214750526955
h1SMcG0000057	-1.24457111955793	0.210125869910542
h1SMcG0000058	2.1603722975655	0.00494342367865026
h1SMcG0000064	-0.661215930492777	0.0523602945732574
h1SMcG0000065	0.121554792440578	0.912100585603687
h1SMcG0000066	2.70254990682745	0.0000447301068790674
h1SMcG0000067	1.39735356953023	0.0000000259026961803323
h1SMcG0000068	-4.6330547340538	0.000060401904367443
h1SMcG0000069	1.24740320902578	0.00408458278353392
h1SMcG0000070	2.20123927444092	0.000000000888738120452266
h1SMcG0000073	-4.08325101752868	0.0000000000265383113511285
h1SMcG0000075	-0.380058202117235	0.799356911218063
h1SMcG0000076	-1.97352755083511	0.000000000000000000190899598813871
h1SMcG0000078	-0.805323448456627	0.179554872714396
h1SMcG0000079	0.918795139545408	0.000236070401459477
h1SMcG0000082	-0.641520554331699	0.26157369910146
h1SMcG0000083	0.976791713105054	0.282583587794115
h1SMcG0000085	-0.249384915561584	0.723958622785861
h1SMcG0000086	-1.35652917248672	0.00000209421860069358
h1SMcG0000090	1.85018639414394	0.00000000000000000000000243703959103296
h1SMcG0000094	-0.641237948055723	0.528503890437692
h1SMcG0000095	1.60521169874342	0.230739900579666
h1SMcG0000096	-2.40671032695312	0.000000357700750276063
h1SMcG0000097	0.138077022521339	0.705175032028498
h1SMcG0000098	1.78457560498285	0.0000000331016884435412
h1SMcG0000100	0.500229738741288	0.399675389269035
h1SMcG0000102	4.39777036871686	0.0000000000000000000000000000130275000331523
h1SMcG0000103	-1.68062667462864	0.0000420730631349073
h1SMcG0000104	-4.11108873800057	0.00000000000000000000000000439815043839553
h1SMcG0000105	-0.974252080682903	0.000195478286540201
h1SMcG0000106	-0.626449275828314	0.0268220036648905
h1SMcG0000107	1.89187588055589	0.00000000000000000000386658433213594
h1SMcG0000108	1.69410250468071	0.0000000653076988647792
h1SMcG0000109	0.990547289580723	0.0718735400217578
h1SMcG0000116	2.60995626024538	0.00113768450870771
h1SMcG0000127	-0.671742014078717	0.00303260761079373
h1SMcG0000128	-0.231540101478809	0.363259719965222
h1SMcG0000130	2.42539134774043	0.0343213871578341
h1SMcG0000131	2.12918308632058	0.000000000000173208762657873
h1SMcG0000132	1.8209800169795	0.0000000000116886734805565
h1SMcG0000133	2.05810473806556	0.00000000000015336809585834
h1SMcG0000137	-0.709558820263071	0.487808396611075
h1SMcG0000138	1.73143608595171	0.00000000000000000000000826555329136458
h1SMcG0000140	0.353889610380498	0.72623623241986
h1SMcG0000143	0.153065384518094	0.776080009284151
h1SMcG0000144	-1.80277761047782	0.0063286717749038
h1SMcG0000145	-0.495087703640861	0.171959592977046
h1SMcG0000146	-1.0029330603792	0.0968627792511596
h1SMcG0000148	0.726559007350651	0.636246369761431
h1SMcG0000149	-1.07316033147484	0.00298935937912006
h1SMcG0000150	1.1846697158976	0.00129733390033832
h1SMcG0000151	-2.40666726093516	0.0021446089332771
h1SMcG0000152	-0.0398946912849591	0.867002996410604
h1SMcG0000153	-0.7843706249033	0.0994737364374596
h1SMcG0000154	-1.16847177618226	0.229697222230156
h1SMcG0000155	-0.789373891442316	0.00366958498915625
h1SMcG0000156	0.0468371326117201	0.900248216295466
h1SMcG0000159	-0.762676722825923	0.069325657569407
h1SMcG0000160	0.688237502258578	0.216232607741659
h1SMcG0000162	-1.11175500696936	0.119055688752824
h1SMcG0000163	-0.469192862365318	0.108724635799822
h1SMcG0000164	-1.4403647952656	0.0000000000917184573500778
h1SMcG0000165	1.55116112836405	0.0000000121692488825149
h1SMcG0000169	-0.271569432979557	0.277135213915076
h1SMcG0000170	0.273511868671467	0.38570711130047
h1SMcG0000171	0.214893337001354	0.739155885458868
h1SMcG0000174	-0.25516378894592	0.299057314368579
h1SMcG0000176	-1.51088615861889	0.0000121374176433872
h1SMcG0000178	0.474982983854093	0.343088754503972
h1SMcG0000180	3.87322985081686	0.0000635754364747788
h1SMcG0000182	4.28246970090699	0.00000000685885305083866
h1SMcG0000183	1.71064806784329	0.000000000000446431891898881
h1SMcG0000184	-0.828899570270896	0.00958359185813596
h1SMcG0000185	3.54118151615461	0.00000000000000000000000000000000000435262891575022
h1SMcG0000187	-3.34304281151071	0.0375468425081248
h1SMcG0000188	-2.55010983600977	0.00000000000000000000560478579915183
h1SMcG0000189	0.198276991161233	0.855649895695837
h1SMcG0000190	2.31637442453547	0.000000000000000163768732803058
h1SMcG0000191	-1.36478765288339	0.189257182328333
h1SMcG0000193	-0.834863188555596	0.0391359435287896
h1SMcG0000194	-0.448384586977631	0.239596284359746
h1SMcG0000195	2.98734960957526	0.0000000000000000000000000000000206587953769995
h1SMcG0000196	1.94220752730133	0.0000000000000000000149549311580577
h1SMcG0000199	-2.42420718761609	0.000101688940705303
h1SMcG0000202	2.74604282934178	0.0000000213268471847981
h1SMcG0000203	-0.659919684002646	0.609407564032298
h1SMcG0000204	2.13057613044467	0.00000000000000000000000000000000643738581078459
h1SMcG0000205	-0.788236539058041	0.184289290677535
h1SMcG0000208	-0.723288561005869	0.146692267871618
h1SMcG0000209	-1.31076622309641	0.028728349116982
h1SMcG0000210	-1.69303849542426	0.000297439789694816
h1SMcG0000211	-1.59817282757735	0.000000000443676485685151
h1SMcG0000212	-0.138551835905661	0.912441314404586
h1SMcG0000215	-0.401863174830541	0.754043510174378
h1SMcG0000216	-1.30583929869432	0.271671075089642
h1SMcG0000220	0.502485651159241	0.0696883091433862
h1SMcG0000223	-0.6163867099599	0.601491782720002
h1SMcG0000224	-2.60019066512373	0.0394337842435243
h1SMcG0000225	-0.79181599682307	0.454933949871607
h1SMcG0000226	2.30831945434699	0.000000000000000119301291804652
h1SMcG0000231	1.89027438556459	0.000000000000248025170553284
h1SMcG0000232	2.77402610213097	0.0000089612994994469
h1SMcG0000234	0.878292854152329	0.0000570706840944497
h1SMcG0000235	-0.169417348878882	0.866892276047956
h1SMcG0000237	-0.0280652238222004	0.978253317158607
h1SMcG0000238	0.255986839415549	0.764368015410322
h1SMcG0000239	2.048021036107	0.0000000114431714921157
h1SMcG0000240	0.928039958431149	0.0312092879146404
h1SMcG0000242	-0.165097468601783	0.921397176619103
h1SMcG0000245	-0.924277545620191	0.611507294431904
h1SMcG0000246	-2.00027165904898	0.00395202597418771
h1SMcG0000248	-0.521942217393947	0.427255456467325
h1SMcG0000250	3.02101009546151	0.00000000526243323123907
h1SMcG0000251	5.29598229298347	0.0000000000000000422103020689868
h1SMcG0000252	-0.830275261152787	0.639887464598075
h1SMcG0000253	1.84036001247028	0.00000000972801066694162
h1SMcG0000255	-1.05768069966942	0.000000564151842009616
h1SMcG0000256	-2.1741518338075	0.11502484775845
h1SMcG0000258	2.09698895167024	0.0000000247172779415866
h1SMcG0000262	1.62839668761808	0.00261221291419223
h1SMcG0000263	1.72961231788391	0.00000000000365031212789241
h1SMcG0000264	-0.779683535579875	0.00818916320021977
h1SMcG0000265	5.27383684119135	0.00000000000000000000000000000000000000000000000000983848359447894
h1SMcG0000267	-2.80961846759511	0.0166619300822818
h1SMcG0000268	-0.581549262787616	0.75103554619124
h1SMcG0000274	1.42075361690291	0.102429283573685
h1SMcG0000275	-1.47566914943887	0.0158426061957616
h1SMcG0000276	-2.49338704532745	0.138730708237455
h1SMcG0000280	-2.01606763305546	0.000970883126000716
h1SMcG0000282	0.0702036647731423	0.947562384402743
h1SMcG0000283	1.32359613465835	0.00431838965383996
h1SMcG0000284	1.24511076054896	0.000000000286738165891947
h1SMcG0000285	1.61090062268983	0.00000000159145644074468
h1SMcG0000286	-0.234534736732374	0.530851166028722
h1SMcG0000288	0.631551297687553	0.00761778752368108
h1SMcG0000290	-3.36471667264163	0.0000000000000352302813594011
h1SMcG0000292	-1.55210777068947	0.0593548692467452
h1SMcG0000293	-0.722479717797513	0.000302806601291737
h1SMcG0000294	-1.23093070409748	0.0226819222883663
h1SMcG0000295	-1.84589506585765	0.000189691531214594
h1SMcG0000299	-1.59764153231009	0.215704140177342
h1SMcG0000319	-0.022940408244856	0.973795630132118
h1SMcG0000322	-1.08473298141197	0.000000886561689967326
h1SMcG0000323	1.77603402996063	0.0513961284852812
h1SMcG0000325	3.60095803072019	0.0000228829596070298
h1SMcG0000327	-0.380810456615215	0.535672028169148
h1SMcG0000330	0.971490842008953	0.344864107735527
h1SMcG0000333	-1.52093484556299	0.00325279005665726
h1SMcG0000334	-0.931169542045371	0.00000117342451394543
h1SMcG0000338	1.53223248831232	0.000000000000000029124302610659
h1SMcG0000343	-3.58602928239403	0.0058994918680428
h1SMcG0000346	-0.873086617004087	0.00120473104041812
h1SMcG0000347	0.226527716292378	0.682140803341995
h1SMcG0000350	-0.262552695780705	0.813166965357726
h1SMcG0000351	-0.40778186368388	0.588991149564836
h1SMcG0000352	-0.73102784329898	0.620651179025987
h1SMcG0000353	-0.482169999700965	0.370224500085286
h1SMcG0000355	-1.3377268439057	0.0000368819979425306
h1SMcG0000356	-0.586148966991435	0.00469557529918873
h1SMcG0000361	0.608899670886579	0.355793745569116
h1SMcG0000362	-3.10122407054921	0.0915238503420001
h1SMcG0000363	-1.85937679089194	0.0000000000000000539759972286363
h1SMcG0000364	-3.12679437445935	0.000750789981432792
h1SMcG0000374	0.077994789730294	0.945008294798026
h1SMcG0000375	2.14980276074801	0.00233775674337962
h1SMcG0000378	-0.187484436387209	0.76966969336081
h1SMcG0000380	-0.378814296728179	0.492213989982994
h1SMcG0000382	1.99723090159844	0.0000847850451424546
h1SMcG0000384	-1.57395409023588	0.0914941104495058
h1SMcG0000385	0.774540116075908	0.0863125906638986
h1SMcG0000387	1.19553379061427	0.213494881519412
h1SMcG0000389	-1.18839007608131	0.0110049140756395
h1SMcG0000390	-0.916167223620287	0.238455924281084
h1SMcG0000392	-1.70793977516949	0.0807437825936243
h1SMcG0000394	-0.0216938194062007	0.964086364533751
h1SMcG0000396	-1.37689575934221	0.383528734015578
h1SMcG0000402	5.22756436293711	0.00000000230176052282846
h1SMcG0000403	4.46557315338863	0.248791821806911
h1SMcG0000404	8.1733196806688	0.0000000424726995547231
h1SMcG0000405	-1.76499770039504	0.00000000000000000000685316795575199
h1SMcG0000414	-2.88253065359978	0.000237582268193726
h1SMcG0000415	3.32533648742677	0.00733871633135565
h1SMcG0000421	-1.36791135926835	0.221593631196107
h1SMcG0000422	0.362627336731596	0.293557790617237
h1SMcG0000423	0.236596873026405	0.46700002074385
h1SMcG0000424	-2.25821482756571	0.0000290546986387975
h1SMcG0000425	-0.0809824534617363	0.938900692752865
h1SMcG0000426	-1.8261260641009	0.000000355721986689258
h1SMcG0000429	-0.900670797083251	0.0158489287064389
h1SMcG0000430	1.35680039912625	0.00000003599273407056
h1SMcG0000432	0.722510601838833	0.148499489843444
h1SMcG0000434	-0.807469383191543	0.0538152993621796
h1SMcG0000435	-1.15847538075069	0.00191664542916861
h1SMcG0000437	0.214919536533172	0.77031113425237
h1SMcG0000438	-2.46632580537761	0.000643987965676041
h1SMcG0000439	-1.36761255481359	0.0252379585013941
h1SMcG0000440	-0.342404195375562	0.611960018356611
h1SMcG0000442	-2.86665871434443	0.0000000000265731641019474
h1SMcG0000444	0.991396967930239	0.355496970354323
h1SMcG0000445	0.982777406457272	0.237358873040978
h1SMcG0000446	-0.68989310971148	0.0164666973572771
h1SMcG0000447	-0.486575636405684	0.783144744203361
h1SMcG0000448	1.66364047307148	0.00000000000000000000000000000042827296431547
h1SMcG0000452	-0.586536919343298	0.00832744021431819
h1SMcG0000453	-0.33459004866332	0.414891718563789
h1SMcG0000454	-0.735447213248814	0.00210515912812738
h1SMcG0000455	-1.08033430598146	0.0159265483344183
h1SMcG0000456	0.729260560894486	0.506958085037091
h1SMcG0000457	-1.4682779277709	0.00049169539403751
h1SMcG0000458	-2.69920261891945	0.0882260675336633
h1SMcG0000459	0.787361093485673	0.100087077906887
h1SMcG0000460	-1.14588151503269	0.0233795870803822
h1SMcG0000462	0.0298690853106699	0.965220638610362
