log2FoldChange	padj
h1SMcG0000001	-2.10601047706108	0.0684182580128103
h1SMcG0000006	-3.01475997760868	0.0015706123700564
h1SMcG0000009	-0.442946105264948	0.589503790607773
h1SMcG0000011	0.950047293315915	0.0000582517125433185
h1SMcG0000013	0.347891939552055	0.379976883092694
h1SMcG0000014	0.680078760528203	0.00548361530874411
h1SMcG0000016	-1.32255593896928	0.00891544966583962
h1SMcG0000017	-0.460674923879067	0.69953029300318
h1SMcG0000023	1.4464110341378	0.00000000000137984511396436
h1SMcG0000025	0.106369027621075	0.830438002738987
h1SMcG0000026	0.141439006001334	0.741012444362135
h1SMcG0000027	-1.15567518992901	0.0163943351563724
h1SMcG0000028	-0.450515787862488	0.37396357809493
h1SMcG0000029	-0.179102615431923	0.925929980007346
h1SMcG0000030	5.36060079872778	0.0000000000015204675099404
h1SMcG0000031	-0.574280584549459	0.575012206324984
h1SMcG0000032	1.53922484047264	0.000000000000261580422519691
h1SMcG0000034	3.3809604413502	0.00000000000701944006992286
h1SMcG0000035	-0.793704196266037	0.283297547084349
h1SMcG0000036	0.231756779980911	0.447448676263643
h1SMcG0000039	1.94863071881527	0.00000000000953027442918854
h1SMcG0000040	2.32442560072793	0.0169530455219765
h1SMcG0000042	-0.30643062278448	0.664129504946223
h1SMcG0000043	0.365681236357266	0.382175130768216
h1SMcG0000044	1.42483004925991	0.243945308135614
h1SMcG0000046	-0.562406046716538	0.575945849867143
h1SMcG0000047	-0.251192693069901	0.56710680847428
h1SMcG0000049	-2.61469895059847	0.0755643911823543
h1SMcG0000050	3.86152876386317	0.000000000000000000143430363309724
h1SMcG0000051	-0.767215458149803	0.183307004786904
h1SMcG0000053	-0.966751748831816	0.384688275343785
h1SMcG0000054	0.479955431903581	0.722656613370692
h1SMcG0000057	-2.15553151498924	0.12839237775623
h1SMcG0000064	-1.14633132727579	0.00717405738814655
h1SMcG0000065	3.30022487752845	0.000000000000274373127596217
h1SMcG0000066	0.307694529588141	0.854051027167728
