log2FoldChange	padj
h1SMcG0000001	-1.52497907880354	0.170258523004147
h1SMcG0000006	-2.70973544960857	0.00413248836802823
h1SMcG0000009	-0.948411512979619	0.197330573444906
h1SMcG0000011	1.26863993696456	0.000000000131723397673177
h1SMcG0000013	0.51695495300453	0.181453637432472
h1SMcG0000014	1.27934582693484	0.00000000134666524268286
h1SMcG0000016	-1.77812913450954	0.000632955992099746
h1SMcG0000017	0.590263605609652	0.48449046115418
h1SMcG0000019	7.02271613086116	0.0000000000000000000000000000000000000000231022709421755
h1SMcG0000023	1.09388241260781	0.000000302632102923327
h1SMcG0000025	0.592682311083052	0.0658847507596667
h1SMcG0000026	0.267077963297053	0.409190264491135
h1SMcG0000027	-1.543292332574	0.00202411841212666
h1SMcG0000028	-0.231819767364214	0.62568656360621
h1SMcG0000029	3.48557786700993	0.0000000081300454649276
h1SMcG0000031	-0.979124423736525	0.242126083361624
h1SMcG0000032	1.59297898616347	0.0000000000000000282801717296169
h1SMcG0000034	-2.07640983730423	0.198213901769197
h1SMcG0000035	-1.94752822207351	0.0254605648200384
h1SMcG0000036	0.434581690739657	0.0300152064362886
h1SMcG0000039	-0.137545171367664	0.828289249580467
h1SMcG0000042	0.145657671747897	0.838485211067808
h1SMcG0000043	0.464250148714873	0.258971549412464
h1SMcG0000046	0.166166258433442	0.847863650282598
h1SMcG0000047	-0.24220566377173	0.565444643824892
h1SMcG0000048	-1.03411632993952	0.519081149071006
h1SMcG0000049	-1.85908693168663	0.154640507245328
h1SMcG0000050	-0.590673972605099	0.661232831924777
h1SMcG0000051	-0.452599110018775	0.408182497816045
h1SMcG0000052	0.501221810684221	0.754310073585932
h1SMcG0000053	-0.408851263384715	0.683498692084769
h1SMcG0000054	0.247978511338125	0.855749227834183
h1SMcG0000056	5.26165004398438	0.0000000000000000501592348561628
h1SMcG0000057	-2.85150816338928	0.0367455283907047
h1SMcG0000059	7.133130603349	0.000000000000000370795656794197
h1SMcG0000060	7.70951545807194	0.000000145170456787791
h1SMcG0000064	-0.631270195312009	0.0968489307707309
h1SMcG0000065	-0.0619349900982294	0.961113636632221
h1SMcG0000066	-0.168446085379243	0.926973782102775
h1SMcG0000067	1.2938902831204	0.00000104774299435533
h1SMcG0000068	-4.30130377700833	0.00044549025591847
h1SMcG0000069	-2.14506925968396	0.0211743034074857
h1SMcG0000070	0.677300859973451	0.254757386612127
h1SMcG0000073	-4.03337122368939	0.000000347455619803202
h1SMcG0000075	0.598041839101936	0.66046286307611
h1SMcG0000076	3.01584444723682	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000378728882774724
h1SMcG0000078	-0.441830066345375	0.576787345683991
h1SMcG0000079	1.40690940427014	0.000000000117068790976103
h1SMcG0000082	1.5820415812075	0.00322156233800829
h1SMcG0000083	0.472671723371652	0.692368789911067
h1SMcG0000085	1.14533545477921	0.0164104710684662
h1SMcG0000086	-1.28328347042364	0.000142385703367168
h1SMcG0000090	0.344040775691769	0.0393299829877322
h1SMcG0000094	0.572888571866427	0.560767107431855
h1SMcG0000096	-0.554025200875123	0.221596192790653
h1SMcG0000097	0.714012017956079	0.0172890408108435
h1SMcG0000098	0.571470252222626	0.260955470433307
h1SMcG0000100	2.53827938848793	0.0000000000189000931371337
h1SMcG0000102	-0.759745752844914	0.553595878067729
h1SMcG0000103	-0.953650940618369	0.021857557546841
h1SMcG0000104	-4.0441702337549	0.0000000000000000000178623814308482
h1SMcG0000105	-1.63816624580897	0.00000102355322797052
h1SMcG0000106	-1.09487314354298	0.00197579783340765
h1SMcG0000107	0.9832573425306	0.000000704460039894891
h1SMcG0000108	0.912856418629361	0.0421304665148226
h1SMcG0000109	-1.22800832157957	0.236981973027159
h1SMcG0000122	7.04591188835596	0.000000000000000000302507217166739
h1SMcG0000127	-0.562223968578968	0.0303523028330105
h1SMcG0000128	-0.151142082749769	0.690095327047147
h1SMcG0000131	0.761364880259897	0.0330761019496487
h1SMcG0000132	0.327799384773502	0.379041529983454
h1SMcG0000133	0.0456601666395983	0.944509347171194
h1SMcG0000134	5.39308667872457	0.0000000000000000619622649466334
h1SMcG0000135	6.02835052055483	0.00000000000000000000000000000193369538082404
h1SMcG0000136	7.20025809972987	0.000000000000000000000000000000060705353898126
h1SMcG0000137	6.46851165416853	0.00000000000000000000000000000000000000000000000000000000000000000215376967493418
h1SMcG0000138	2.88207631164421	0.0000332568246990632
h1SMcG0000140	6.04829106275266	0.0000000000000000000000000000000000000106191089615119
h1SMcG0000143	0.808273243616675	0.0713257726942561
h1SMcG0000144	-2.55494227330446	0.00508971844743811
h1SMcG0000145	-0.0301921687072025	0.949739758520306
h1SMcG0000146	-1.19072274908269	0.110034269122919
h1SMcG0000149	0.990742317420546	0.00038822239880941
h1SMcG0000150	0.487241595465527	0.350604581111874
h1SMcG0000151	-3.73575790687187	0.00112536583188569
h1SMcG0000152	0.534487919360903	0.00102504890268462
h1SMcG0000153	0.284197872000083	0.555372879910232
h1SMcG0000154	-2.42213412741514	0.0713273263222142
h1SMcG0000155	-0.526243034940524	0.0776212295041259
h1SMcG0000156	2.71145090526867	0.0000000000000000000000000000000000000000000125685454131832
h1SMcG0000159	0.769604131846468	0.0390948072243181
h1SMcG0000160	0.606224240662104	0.3960236638558
h1SMcG0000162	-0.633862611414606	0.42412218207317
h1SMcG0000163	-0.302333591498181	0.407906669796492
h1SMcG0000164	-1.43312262875354	0.00000000880513008231314
h1SMcG0000165	0.661513927024153	0.0205861291974578
h1SMcG0000169	0.179416430977714	0.585627628017035
h1SMcG0000170	2.11301322736469	0.0000000000000000000136031547585622
h1SMcG0000171	-0.359749518379769	0.62568656360621
h1SMcG0000174	-0.261529758255673	0.329348582857377
h1SMcG0000176	-1.23797736818505	0.00318709714737304
h1SMcG0000178	3.37925157120496	0.000000000103271616034082
h1SMcG0000182	4.13374830777977	0.000000209786615660096
h1SMcG0000183	0.529530131683364	0.124337423495845
h1SMcG0000184	-0.737146959873322	0.0669070282199351
h1SMcG0000185	0.353049207414892	0.581128659381104
h1SMcG0000188	-3.10749621008073	0.000000000000356969609106312
h1SMcG0000189	-0.853205077754118	0.555869308220222
h1SMcG0000190	1.83917775536871	0.000000349865980366964
h1SMcG0000191	-0.0248680443785776	0.982260998416006
h1SMcG0000193	-1.98102253235857	0.0000241971829912206
h1SMcG0000194	3.51532334683741	0.000000000000000000000000000000000000000000000000000000299867442027546
h1SMcG0000195	2.65198746405191	0.00000000000000000000000435082053180698
h1SMcG0000196	0.552702754299097	0.0380804832251704
h1SMcG0000199	-2.60198174078568	0.00120688161828855
h1SMcG0000202	6.26910662220094	0.000000000000000000000000000000000000000000000000000750828986898545
h1SMcG0000203	3.15020513106651	0.0000000000215568453875416
h1SMcG0000204	-2.36662406062068	0.00000017846551468268
h1SMcG0000205	-0.133835020566907	0.84797111890755
h1SMcG0000208	0.126256620149512	0.841306817101293
h1SMcG0000209	-3.66994593535396	0.000684104233321918
h1SMcG0000210	-3.81858603698421	0.00000183242398763586
h1SMcG0000211	-1.56650469463676	0.000000169879342369124
h1SMcG0000212	-0.548421997985843	0.725429808313671
h1SMcG0000215	-0.279310689753907	0.852655701358718
h1SMcG0000216	-1.26120071027063	0.366647259068149
h1SMcG0000220	-1.13568783771832	0.00208940101598688
h1SMcG0000223	-0.376292093342129	0.789232038928288
h1SMcG0000224	-2.72008289249582	0.0486140339307826
h1SMcG0000225	-0.591363952771813	0.62844706313409
h1SMcG0000226	0.726140326450925	0.150451998570258
h1SMcG0000231	1.00565018090482	0.0179074440874377
h1SMcG0000232	-0.536459262211116	0.766975580346393
h1SMcG0000234	0.493802290167125	0.111374213209447
h1SMcG0000235	-0.24534429242594	0.832260383039303
h1SMcG0000237	0.287192187588584	0.8071003316697
h1SMcG0000238	3.1640277468438	0.000000000000000476116290741129
h1SMcG0000239	0.266977557115716	0.709461641280627
h1SMcG0000240	0.906623720040145	0.0647934528128923
h1SMcG0000242	0.800955664991183	0.56308378536026
h1SMcG0000246	-2.24205445563026	0.00722507294787153
h1SMcG0000248	2.11148432359325	0.0000000688305149030933
h1SMcG0000250	0.758624306916618	0.343384395664589
h1SMcG0000252	1.34350836421627	0.267818278707966
h1SMcG0000253	1.18523469260145	0.00267754833923958
h1SMcG0000255	-1.12155613617896	0.00000622345749883466
h1SMcG0000256	-0.828991158117766	0.56124325297215
h1SMcG0000258	-0.796288705754326	0.403836418766649
h1SMcG0000262	0.811454029320143	0.32908707776658
h1SMcG0000263	0.523290915936626	0.181511887806853
h1SMcG0000264	0.798759289063168	0.00232578742904444
