S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55
h1SMcG0000001	8	0	6	2	3	0	2	3	2	0	2	18	0	1	10	9	0	2	2	8	1	0	14	0	0	2	8	0	0	4	3	1	2	2	1	0	1	1	0	1	4	0	0	1	24	6	0	2	6	0	4	12	14	1	0
h1SMcG0000004	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
h1SMcG0000006	17	0	1	0	0	1	3	1	1	0	2	70	2	1	7	10	0	4	4	8	2	3	12	0	0	0	0	1	0	1	4	0	0	13	1	3	0	3	1	1	5	3	1	1	34	1	0	0	5	1	2	5	4	1	0
h1SMcG0000008	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0
h1SMcG0000009	17	3	7	7	14	1	13	9	4	6	1	28	9	17	42	38	1	13	13	11	8	8	15	6	5	6	20	1	3	11	9	0	1	12	1	3	6	7	1	12	5	6	0	0	37	11	8	1	35	1	22	23	18	7	7
h1SMcG0000010	1	0	1	1	0	0	5	2	2	0	1	1	0	1	2	0	0	0	1	2	0	0	1	0	0	0	1	0	2	1	0	0	1	4	0	0	2	1	0	4	0	0	1	3	0	0	0	0	0	0	4	2	1	1	0
h1SMcG0000011	155	27	56	78	70	11	173	176	51	41	66	159	25	61	187	161	18	192	184	92	58	148	85	15	32	38	106	12	109	175	84	51	57	48	14	18	32	42	14	82	97	31	25	47	220	39	83	80	253	44	316	384	157	105	70
h1SMcG0000012	3	0	1	1	0	0	2	6	1	0	0	4	0	0	2	0	1	1	9	1	0	0	1	1	0	2	0	0	0	8	2	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	2	0	0	19	0	0	0
h1SMcG0000013	71	5	21	28	20	1	36	61	26	17	18	55	4	34	124	106	7	37	70	57	16	43	33	8	10	24	54	5	25	55	45	13	19	21	2	18	18	23	9	13	30	35	7	4	91	11	25	19	88	18	62	118	86	19	16
h1SMcG0000014	131	9	42	45	54	3	83	192	33	41	48	130	22	72	142	233	17	94	181	58	49	128	71	12	28	26	108	5	63	208	58	27	53	35	6	21	23	45	11	48	110	23	14	30	160	31	30	31	232	15	146	339	73	50	58
h1SMcG0000016	46	4	5	5	6	1	14	13	6	4	3	54	3	4	9	10	3	10	6	9	5	8	38	2	3	0	4	1	6	13	8	3	1	25	5	2	4	5	0	11	11	4	2	2	75	9	4	1	9	3	13	20	13	7	4
h1SMcG0000017	6	4	2	3	3	3	53	31	3	1	4	12	1	4	7	1	1	95	21	3	3	4	12	0	0	1	3	0	45	26	1	2	3	2	0	0	0	1	0	46	21	2	0	2	10	1	1	4	2	1	155	61	1	1	2
h1SMcG0000019	5	1	7	18	2	0	2	14	22	0	91	4	0	4	30	9	0	13	38	38	1	205	0	1	1	0	4	0	0	10	43	0	63	2	0	0	1	1	1	4	23	5	1	49	1	1	1	2	3	0	0	18	37	0	21
h1SMcG0000020	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
h1SMcG0000021	3	0	0	0	0	0	0	5	0	0	0	2	0	0	1	1	0	0	7	2	0	1	0	0	0	0	1	1	0	6	0	0	0	0	0	1	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	9	0	0	0
h1SMcG0000022	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
h1SMcG0000023	90	16	39	42	57	7	66	133	53	48	36	151	41	81	195	218	18	122	186	125	87	106	74	9	24	17	119	6	52	107	82	47	45	36	8	17	20	39	23	37	99	45	26	26	141	35	31	27	172	34	143	278	163	82	51
h1SMcG0000025	72	27	91	69	47	8	31	70	28	22	15	65	37	98	181	157	11	30	90	41	18	42	54	10	44	25	76	0	25	71	18	7	20	18	18	41	41	28	5	13	43	22	6	10	69	41	77	35	202	6	43	145	75	13	19
h1SMcG0000026	118	24	79	96	74	6	28	29	62	42	26	96	20	95	300	275	14	23	43	106	27	48	51	10	41	42	132	4	9	29	116	15	14	52	16	44	71	62	11	19	28	63	10	14	115	30	60	52	272	27	26	48	224	15	30
h1SMcG0000027	80	9	14	7	10	1	16	26	8	3	8	61	6	11	27	16	1	13	22	10	9	12	26	2	3	4	3	1	3	16	7	3	0	35	7	9	5	9	2	22	27	12	5	5	64	11	7	5	19	5	26	45	19	6	1
h1SMcG0000028	49	10	22	10	31	1	20	29	11	8	7	54	16	27	36	76	7	35	32	29	4	16	28	6	7	3	33	7	9	26	17	7	5	27	11	8	7	46	6	20	25	18	8	12	75	17	16	8	66	23	34	69	52	9	9
h1SMcG0000029	5	1	0	3	3	1	1	67	1	3	8	5	1	1	4	0	1	7	38	4	0	18	1	0	1	0	2	0	1	42	0	1	3	3	0	0	1	0	0	2	45	1	0	6	2	0	0	0	2	0	5	94	2	0	11
h1SMcG0000030	4	1	0	1	0	0	1	6	2	21	0	0	0	1	1	1	0	1	2	1	26	1	2	0	0	0	1	0	0	5	3	2	0	0	0	1	0	0	0	0	1	0	5	1	1	0	0	1	1	0	1	3	0	10	0
h1SMcG0000031	17	1	0	7	6	0	10	14	2	0	1	12	1	3	18	6	0	8	11	8	2	2	8	0	1	2	8	0	3	14	8	7	1	8	1	3	9	3	0	5	6	2	0	2	33	5	4	2	17	5	11	29	15	5	3
h1SMcG0000032	116	18	80	165	125	20	107	171	80	71	67	132	30	147	759	537	32	112	187	173	105	152	94	8	41	65	211	12	61	115	144	42	62	42	8	29	78	108	11	41	107	70	34	41	131	23	65	72	374	17	140	274	252	80	73
h1SMcG0000033	1	0	0	4	2	0	2	1	1	2	0	2	0	0	13	5	1	1	0	6	3	0	2	0	0	1	2	0	1	3	3	0	0	1	1	1	5	6	0	0	2	3	0	0	3	0	0	0	6	0	1	2	4	1	1
h1SMcG0000034	11	3	5	22	2	0	4	30	1	16	0	5	2	6	54	2	1	0	28	1	12	1	2	2	1	8	1	0	0	22	0	9	0	2	0	1	8	0	0	0	14	0	4	0	8	1	0	10	1	0	1	46	5	19	0
h1SMcG0000035	40	6	3	3	2	0	7	8	3	8	1	24	1	4	9	10	0	4	11	10	2	2	5	0	2	0	8	0	5	2	4	1	2	17	3	3	0	3	0	0	2	2	1	0	34	2	6	2	8	0	9	7	5	4	2
h1SMcG0000036	261	76	181	213	165	24	66	65	132	105	76	320	72	284	759	685	35	65	102	257	83	149	195	52	93	148	401	11	27	54	307	50	57	136	25	114	166	172	42	28	56	161	27	58	308	69	162	125	605	37	64	115	462	64	78
h1SMcG0000037	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
h1SMcG0000039	49	1	6	3	18	1	5	26	5	50	19	40	1	2	7	16	0	2	27	15	35	16	20	0	2	2	11	1	1	25	8	20	2	24	4	6	2	18	6	10	17	5	13	8	57	3	2	4	21	2	6	59	17	46	3
h1SMcG0000040	3	0	0	6	1	0	3	1	0	3	1	7	1	5	23	6	1	4	7	0	6	0	0	0	0	1	1	0	1	3	0	0	0	1	1	1	5	1	2	1	9	2	1	0	3	1	1	0	3	0	9	18	2	5	0
h1SMcG0000042	19	3	14	19	17	0	4	6	11	4	5	29	5	23	95	67	2	5	4	18	2	6	26	5	12	13	39	4	0	1	26	7	3	12	7	19	18	26	3	1	2	13	2	6	30	8	11	17	75	3	6	1	46	6	12
h1SMcG0000043	43	8	12	13	21	1	25	47	16	13	16	51	13	20	57	82	4	26	57	30	16	15	36	5	7	5	35	0	13	31	28	7	10	26	5	11	12	26	3	24	36	21	8	18	67	15	15	5	44	6	34	75	41	20	15
h1SMcG0000044	4	0	1	1	0	0	5	1	1	1	0	4	2	0	14	10	0	8	2	6	3	0	1	0	0	0	1	0	2	0	2	2	0	2	0	2	0	6	1	2	7	3	0	0	2	0	0	0	6	0	3	3	3	2	1
h1SMcG0000045	0	1	0	0	0	0	3	3	0	1	1	4	0	2	6	6	0	2	4	8	2	4	1	0	0	0	2	0	0	7	4	0	1	1	1	2	0	0	1	3	3	7	2	0	2	1	0	0	1	0	0	4	8	1	0
h1SMcG0000046	13	2	3	3	4	0	11	13	8	1	4	17	3	7	11	22	1	11	14	11	2	6	7	0	1	1	0	1	2	2	7	1	2	7	1	0	5	3	6	7	20	12	1	4	14	2	5	1	8	2	12	15	10	4	1
h1SMcG0000047	71	17	17	8	19	5	38	58	14	13	16	85	29	34	40	38	4	31	79	18	16	25	34	4	10	8	16	5	12	38	13	6	8	24	13	14	4	1	7	10	34	5	7	3	108	33	22	6	31	9	53	123	44	15	16
h1SMcG0000048	7	2	1	0	1	0	0	3	5	0	0	5	0	1	4	3	0	0	3	2	1	0	3	0	0	0	0	0	0	3	0	0	0	2	0	0	1	2	1	3	2	0	0	2	6	2	0	0	1	0	5	3	0	1	1
h1SMcG0000049	8	2	4	0	0	2	0	2	0	1	2	12	2	2	0	0	1	1	2	1	0	1	7	1	0	1	1	0	1	0	0	0	0	2	1	1	1	1	1	0	1	1	0	0	15	2	0	0	3	3	1	2	1	0	0
h1SMcG0000050	10	0	2	60	3	0	3	21	2	27	2	18	2	3	312	3	2	4	47	7	33	1	1	0	1	16	0	0	0	11	0	10	1	1	1	0	34	1	0	0	24	2	11	0	8	0	0	9	3	0	0	32	0	24	1
h1SMcG0000051	38	1	10	5	5	1	14	11	2	4	4	41	3	7	14	10	1	14	15	11	3	9	13	1	2	2	10	0	7	9	14	2	5	27	7	1	5	7	2	13	7	8	5	4	50	9	7	4	16	1	12	19	20	8	8
h1SMcG0000052	2	1	0	1	1	0	2	5	0	0	1	5	1	3	3	4	0	2	5	2	0	1	3	1	1	0	1	0	1	2	2	0	0	0	0	0	0	2	1	1	2	1	0	2	6	0	0	1	2	2	4	2	6	1	1
h1SMcG0000053	15	4	0	2	3	0	4	1	7	1	2	17	0	11	16	46	2	2	4	9	1	3	4	0	1	0	8	1	2	1	2	0	0	8	3	1	2	11	1	1	3	4	3	3	7	1	1	1	18	1	4	2	7	1	2
h1SMcG0000054	7	0	1	3	0	1	2	5	6	2	1	4	1	2	5	6	0	2	4	59	2	6	5	0	2	1	2	0	1	5	63	0	1	3	0	0	1	0	1	0	4	24	0	0	4	0	0	1	5	0	3	6	79	5	1
h1SMcG0000056	0	0	0	1	1	0	1	2	0	0	3	2	0	1	0	1	0	0	0	0	0	11	1	0	0	1	1	0	0	1	1	0	6	2	0	0	0	2	0	0	1	1	1	58	4	0	0	0	1	0	0	1	0	0	18
h1SMcG0000057	11	0	1	0	1	0	2	2	1	1	0	4	0	2	1	3	0	0	0	0	1	0	7	0	0	0	4	0	1	0	1	0	1	7	0	2	1	0	0	0	3	1	0	0	14	0	1	0	1	1	0	2	2	0	0
h1SMcG0000058	3	1	3	1	3	0	0	1	0	0	0	4	0	4	9	8	0	0	1	0	0	0	1	0	1	3	5	0	0	1	1	0	0	1	1	1	1	4	0	0	0	1	0	0	6	1	0	3	10	0	0	1	1	0	0
h1SMcG0000059	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	48	2	0	0	0	1	0	0	0	0	0	27
h1SMcG0000060	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	1	0	0	0	1	0	66	0	0	0	1	0	0	0	2	0	0	7
h1SMcG0000064	65	4	6	7	6	0	18	28	19	5	8	76	11	13	27	34	5	18	26	25	5	22	45	3	6	3	14	4	13	25	17	5	9	34	4	4	2	10	2	13	14	22	6	4	108	12	3	7	46	9	37	48	57	11	11
h1SMcG0000065	15	4	21	8	2	2	16	33	13	15	2	4	2	18	54	9	3	11	31	25	12	3	11	1	8	7	2	1	2	28	29	18	1	1	2	7	11	0	0	6	26	17	6	1	7	1	21	33	8	1	21	59	51	24	1
h1SMcG0000066	7	0	5	7	2	0	0	3	2	2	0	4	1	3	27	24	2	2	4	7	2	2	1	2	3	2	12	0	0	0	9	1	1	1	1	2	6	6	0	0	0	4	0	1	6	3	2	0	17	0	0	3	9	0	0
h1SMcG0000067	71	10	19	22	28	5	26	70	88	20	25	93	11	35	108	161	12	32	74	150	38	71	37	10	8	15	67	13	30	65	162	22	31	23	2	9	12	26	14	16	46	63	8	20	75	14	14	20	130	27	40	156	277	39	35
h1SMcG0000068	22	0	0	0	0	0	0	1	1	0	0	20	0	0	1	1	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
h1SMcG0000069	29	5	5	5	6	0	3	17	17	0	0	27	4	8	31	54	1	1	14	26	4	3	10	1	0	4	23	0	2	8	17	1	0	10	0	5	6	6	2	2	4	11	1	0	28	5	5	2	50	2	3	21	37	1	4
h1SMcG0000070	12	2	14	16	9	1	4	2	4	4	5	18	3	11	68	57	1	2	7	24	4	8	9	1	10	15	37	1	1	3	21	3	3	9	0	7	18	12	4	0	5	10	0	4	20	5	11	8	53	4	3	8	32	5	7
h1SMcG0000071	1	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	1	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	5	0	0	0
h1SMcG0000073	80	0	2	1	3	1	2	4	1	2	2	81	1	1	11	4	1	3	4	4	3	2	43	0	0	0	0	0	2	4	2	1	0	31	0	1	0	1	1	1	2	2	1	1	81	3	0	0	1	1	4	2	0	2	0
h1SMcG0000074	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h1SMcG0000075	6	0	1	0	2	0	2	30	3	0	3	3	1	1	5	1	0	1	21	1	3	4	2	0	0	0	2	0	0	21	1	0	1	1	1	0	14	1	1	1	18	0	0	0	7	0	0	21	0	0	0	39	11	0	0
h1SMcG0000076	322	24	34	77	30	17	130	1282	39	29	510	407	11	61	259	76	16	122	1483	82	44	1125	193	4	13	14	23	3	41	1135	32	5	467	144	2	9	11	17	5	35	819	27	11	284	385	10	18	63	35	14	91	2727	74	32	596
h1SMcG0000078	44	7	2	2	5	3	7	5	2	0	5	9	4	3	5	5	2	2	2	2	2	8	15	0	0	1	3	1	1	0	2	1	1	7	0	1	0	5	1	6	5	0	3	3	44	1	3	0	8	3	5	5	4	2	2
h1SMcG0000079	78	20	48	35	27	7	62	89	39	17	45	86	28	73	134	132	18	70	102	86	29	90	67	19	36	13	52	23	31	73	58	21	37	30	6	13	10	29	29	30	51	37	7	29	108	46	52	24	127	54	121	157	180	53	43
h1SMcG0000080	2	0	0	0	0	0	2	3	0	1	0	2	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	1	3	0	0
h1SMcG0000082	43	3	4	6	7	4	5	72	3	2	39	11	1	5	12	5	1	8	65	0	4	32	9	0	2	0	5	0	1	70	8	1	5	31	1	3	6	4	1	3	52	3	0	5	21	1	2	3	9	0	7	158	8	0	13
h1SMcG0000083	7	3	2	7	2	1	3	5	3	1	2	8	1	3	8	5	1	5	3	9	1	3	2	0	2	1	5	0	3	7	7	0	1	2	0	2	2	1	1	5	6	3	0	1	4	2	0	1	9	0	3	10	4	0	1
h1SMcG0000085	22	5	4	6	4	3	9	14	3	4	8	13	5	8	8	6	0	9	13	4	5	20	9	2	4	1	8	0	3	7	8	4	5	15	1	1	1	2	0	12	9	3	4	9	18	9	2	2	11	0	9	17	8	4	4
h1SMcG0000086	139	11	8	20	12	2	19	20	6	3	9	97	8	16	30	25	4	13	28	20	6	14	59	4	5	5	18	2	6	20	8	4	6	55	10	9	4	11	8	20	24	3	1	10	136	12	8	3	20	3	36	47	21	6	9
h1SMcG0000087	3	0	0	75	0	4	2	1	1	1	0	2	1	1	143	0	0	1	1	3	1	1	0	0	0	17	0	0	0	1	0	0	0	1	0	0	52	1	0	1	1	0	0	0	2	0	0	17	0	0	0	0	0	0	0
h1SMcG0000089	2	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
h1SMcG0000090	726	195	492	656	452	50	172	236	376	262	157	853	201	829	2612	2178	97	235	367	923	247	421	474	105	262	402	1264	47	89	268	875	112	168	341	82	253	451	454	102	79	194	443	83	121	852	178	458	368	1925	121	224	504	1435	206	196
h1SMcG0000093	1	0	0	0	1	0	1	2	0	0	1	2	1	2	4	1	1	3	3	2	2	3	2	0	0	2	1	1	4	2	3	0	2	2	0	0	4	1	0	2	4	2	0	0	3	0	0	1	3	1	3	9	3	1	2
h1SMcG0000094	8	0	1	0	2	1	2	4	0	1	0	10	1	0	3	4	2	4	12	3	3	3	6	1	0	0	0	0	3	6	3	0	7	4	0	1	3	1	0	0	7	3	3	1	9	1	2	0	6	1	1	13	5	3	5
h1SMcG0000095	5	0	1	0	2	2	1	9	1	1	1	2	0	1	3	6	0	5	13	3	3	5	1	0	0	0	0	0	0	6	0	1	1	0	0	0	1	1	1	1	4	1	1	0	1	0	1	0	3	0	4	6	4	1	1
h1SMcG0000096	86	14	16	68	6	4	9	104	5	61	4	71	16	35	269	20	4	21	146	11	49	28	42	5	7	26	1	0	8	94	5	29	6	30	8	7	37	2	3	7	113	2	37	9	81	21	10	32	4	4	8	203	10	69	10
h1SMcG0000097	43	2	11	21	8	2	14	13	10	12	14	110	7	27	170	87	7	36	51	52	25	72	34	3	4	17	27	0	13	24	28	7	19	39	5	4	33	17	10	23	24	37	10	13	67	6	6	8	38	3	29	58	69	11	18
h1SMcG0000098	25	4	21	21	12	3	14	24	13	8	2	23	5	28	112	80	5	15	24	33	4	15	21	5	9	19	39	2	11	21	43	5	12	21	4	10	32	22	5	14	27	32	6	7	35	14	21	18	87	5	20	46	73	9	13
h1SMcG0000099	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h1SMcG0000100	20	1	6	15	11	5	10	358	7	6	12	11	1	10	47	14	1	13	301	10	7	32	6	0	3	3	4	0	9	291	8	3	18	9	1	3	4	5	6	9	291	8	0	15	22	3	4	15	9	6	11	829	23	5	18
h1SMcG0000101	1	0	0	1	0	1	1	2	1	0	0	0	0	0	1	1	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0
h1SMcG0000102	5	0	0	0	30	0	1	2	12	0	1	13	1	2	11	118	0	0	7	16	3	1	4	0	0	0	62	1	3	0	10	0	0	4	0	0	0	19	1	3	3	10	0	1	8	3	1	1	146	0	5	9	16	2	2
h1SMcG0000103	53	38	37	31	6	1	7	35	2	5	6	64	47	42	82	22	2	10	30	15	8	12	44	26	24	9	5	1	8	38	7	1	7	29	25	18	16	2	3	1	34	6	4	4	81	63	34	17	10	6	10	69	6	4	6
h1SMcG0000104	206	1	5	4	8	2	13	11	5	3	2	357	5	12	33	10	2	17	31	16	9	5	196	1	3	4	6	0	5	13	9	2	5	104	1	2	3	3	0	6	15	3	0	2	420	3	2	5	7	0	12	27	14	2	5
h1SMcG0000105	148	8	14	10	15	4	18	21	9	10	8	125	11	15	32	38	3	30	18	14	6	17	45	6	5	0	18	1	5	8	9	1	4	80	12	16	7	22	5	10	30	10	9	7	162	15	22	3	37	6	19	30	21	5	9
h1SMcG0000106	99	20	25	27	18	4	32	32	16	13	12	108	9	29	59	40	5	29	34	22	9	17	47	6	5	5	18	2	7	24	13	5	5	53	5	10	10	17	10	13	33	16	11	5	114	17	16	5	35	10	17	72	35	12	11
h1SMcG0000107	232	51	101	178	145	19	88	140	140	80	77	225	60	212	788	659	33	107	202	353	97	196	134	23	74	129	371	22	46	176	369	42	68	123	28	72	154	154	34	34	118	214	32	56	256	63	135	123	578	38	98	282	546	85	104
h1SMcG0000108	31	3	12	15	16	4	13	27	15	9	8	19	6	13	36	45	2	21	27	22	9	10	10	0	2	5	22	2	13	27	16	1	10	20	1	7	25	39	2	24	49	39	6	11	24	14	12	10	35	3	29	55	49	5	8
h1SMcG0000109	6	0	1	8	9	0	2	7	3	4	2	20	2	6	21	21	2	2	9	9	4	1	7	0	2	1	9	1	1	2	11	2	1	8	0	0	3	4	1	6	4	3	3	2	18	2	2	4	13	2	9	5	19	9	0
h1SMcG0000111	0	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	1	2	0	0	1	0	0	0
h1SMcG0000115	4	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h1SMcG0000116	7	0	3	3	6	0	0	1	1	0	0	2	2	4	11	18	0	1	1	2	1	0	1	1	2	2	1	0	0	1	2	0	0	1	0	0	3	4	0	0	3	4	0	0	2	1	2	3	7	0	2	0	2	1	1
h1SMcG0000117	0	0	0	1	0	1	0	2	0	0	4	0	0	1	2	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1
h1SMcG0000118	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
h1SMcG0000122	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	4	0	0	2	0	1	91	1	0	0	0	0	0	1	1	0	0	25
h1SMcG0000124	0	0	0	0	0	0	1	5	1	3	0	0	0	1	0	0	0	0	2	2	5	0	2	0	0	0	0	0	0	1	0	5	0	0	1	0	0	2	0	1	0	0	7	0	1	0	0	0	2	1	1	2	2	17	1
h1SMcG0000125	2	0	1	0	1	0	0	3	1	3	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0
h1SMcG0000127	172	14	30	30	26	6	55	69	24	23	18	184	22	45	81	66	6	62	74	49	23	48	105	18	12	10	44	3	27	63	50	16	18	82	11	14	16	22	10	46	74	33	16	20	248	34	44	11	82	8	95	159	83	26	29
h1SMcG0000128	69	6	20	135	18	6	23	63	3	70	4	165	23	55	540	105	20	59	163	49	79	73	115	15	29	41	60	6	35	86	41	42	39	96	19	22	65	34	27	39	92	29	53	24	314	59	55	47	105	28	115	217	105	82	44
h1SMcG0000130	3	0	1	2	1	0	0	1	3	0	1	1	0	0	3	5	0	2	2	4	1	0	0	0	0	1	3	1	0	2	2	2	1	1	0	1	1	1	0	1	1	1	2	0	2	0	0	0	8	2	3	9	4	0	1
h1SMcG0000131	36	6	20	31	14	0	6	8	21	14	10	41	6	43	156	131	6	20	17	59	13	30	35	7	19	41	115	5	6	26	78	11	14	16	8	14	42	37	12	7	21	47	6	8	42	11	33	30	118	9	25	49	97	16	13
h1SMcG0000132	78	13	25	46	34	1	16	37	33	16	13	68	15	61	176	169	11	27	29	70	19	36	37	9	18	37	127	5	15	31	78	12	17	32	8	16	49	43	12	15	18	58	4	10	68	16	29	28	146	11	20	61	115	19	15
