ctype	ctype_nospaces	col	broadtype	broadcol
neoblasts	neoblasts	#C8C8C8	neoblasts	#969696
germ cell progenitors	germ_cell_progenitors	#7D7D7D	neoblasts	#969696
early epidermal progenitors	early_epidermal_progenitors	#9ECAE1	epidermis	#2171B5
late epidermal progenitors	late_epidermal_progenitors	#56A0CE	epidermis	#2171B5
epidermis	epidermis	#2171B5	epidermis	#2171B5
epidermis DVb	epidermis_DVb	#1E90FF	epidermis	#2171B5
phagocyte progenitors 1	phagocyte_progenitors_1	#80C480	phagocytes	#228B22
phagocyte progenitors 2	phagocyte_progenitors_2	#32CD32	phagocytes	#228B22
phagocytes	phagocytes	#228B22	phagocytes	#228B22
psd+ cells	psd_pos_cells	#BCEE68	phagocytes	#228B22
basal cells	basal_cells	#869E42	basal/goblet	#869E42
goblet cells	goblet_cells	#8B8B00	basal/goblet	#869E42
body wall muscle	body_wall_muscle	#B22222	muscle	#B22222
intestinal and DV muscle	intestinal_and_DV_muscle	#CD5555	muscle	#B22222
muscle pharynx	muscle_pharynx	#821111	muscle	#B22222
ChAT+ neurons	ChAT_pos_neurons	#FEC44F	neurons	#FEC44F
celsr-1+ neurons	celsr_1_pos_neurons	#FF9D00	neurons	#FEC44F
gabrb-3+ neurons	gabrb_3_pos_neurons	#FF6600	neurons	#FEC44F
otf+ neurons 1	otf_pos_neurons_1	#997E04	neurons	#FEC44F
otf+ neurons 2	otf_pos_neurons_2	#997E04	neurons	#FEC44F
para+ neurons	para_pos_neurons	#FFA500	neurons	#FEC44F
pkd-1+ neurons	pkd_1_pos_neurons	#FF5722	neurons	#FEC44F
th+ neurons	th_pos_neurons	#FFDE00	neurons	#FEC44F
tinc+ neurons	tinc_pos_neurons	#FF7F00	neurons	#FEC44F
tph+ neurons	tph_pos_neurons	#FF9900	neurons	#FEC44F
trpm-2-1+ neurons	trpm_2_1_pos_neurons	#FF8C00	neurons	#FEC44F
trpm-2-2+ neurons	trpm_2_2_pos_neurons	#FF6F00	neurons	#FEC44F
trpa-1+ neurons	trpa_1_pos_neurons	#FCDB74	neurons	#FEC44F
pgrn+ parenchymal cells 1	pgrn_pos_parenchymal_cells_1	#E066FF	parenchyma	#FF69B4
pgrn+ parenchymal cells 2	pgrn_pos_parenchymal_cells_2	#FF69B4	parenchyma	#FF69B4
aqp+ parenchymal cells	aqp_pos_parenchymal_cells	#CD96CD	parenchyma	#FF69B4
psap+ parenchymal cells	psap_pos_parenchymal_cells	#FF1493	parenchyma	#FF69B4
pigment cells	pigment_cells	#CD6889	parenchyma	#FF69B4
glia	glia	#CD69CD	parenchyma	#FF69B4
protonephridia proximal tubule cells	protonephridia_proximal_tubule_cells	#FFB0AB	protonephridia	#FFB0AB
protonephridia distal tubule cells	protonephridia_distal_tubule_cells	#FFA0BE	protonephridia	#FFB0AB
protonephridia flame cells	protonephridia_flame_cells	#FFBE96	protonephridia	#FFB0AB
pharynx cell type	pharynx_cell_type	#4169E1	protonephridia	#FFB0AB
secretory 1	secretory_1	#6428C8	secretory	#6428C8
secretory 2	secretory_2	#9664C8	secretory	#6428C8
secretory 3	secretory_3	#8264C8	secretory	#6428C8
secretory 4	secretory_4	#9632C8	secretory	#6428C8
secretory 5	secretory_5	#7800FA	secretory	#6428C8
secretory 6	secretory_6	#9650FA	secretory	#6428C8
secretory 7	secretory_7	#5014B4	secretory	#6428C8
