index	ctype	ctype_nospaces	seurat_cluster	col	broadtype	broadcol
1	neoblasts	neoblasts	1	#C8C8C8	neoblasts	#969696
2	neoblasts	neoblasts	6	#C8C8C8	neoblasts	#969696
3	neoblasts	neoblasts	12	#C8C8C8	neoblasts	#969696
4	neoblasts	neoblasts	18	#C8C8C8	neoblasts	#969696
5	neoblasts	neoblasts	23	#C8C8C8	neoblasts	#969696
6	neoblasts	neoblasts	27	#C8C8C8	neoblasts	#969696
7	neoblasts	neoblasts	30	#C8C8C8	neoblasts	#969696
8	neoblasts	neoblasts	38	#C8C8C8	neoblasts	#969696
9	neoblasts	neoblasts	48	#C8C8C8	neoblasts	#969696
10	neoblasts	neoblasts	53	#C8C8C8	neoblasts	#969696
11	germ cell progenitors	germ_cell_progenitors	33	#7D7D7D	neoblasts	#969696
12	early epidermal progenitors	early_epidermal_progenitors	9	#9ECAE1	epidermis	#2171B5
13	late epidermal progenitors	late_epidermal_progenitors	4	#56A0CE	epidermis	#2171B5
14	epidermis	epidermis	7	#2171B5	epidermis	#2171B5
15	epidermis	epidermis	13	#2171B5	epidermis	#2171B5
16	epidermis DVb	epidermis_DVb	47	#1E90FF	epidermis	#2171B5
17	phagocyte progenitors 1	phagocyte_progenitors_1	10	#80C480	phagocytes	#228B22
18	phagocyte progenitors 2	phagocyte_progenitors_2	16	#32CD32	phagocytes	#228B22
19	phagocytes	phagocytes	8	#228B22	phagocytes	#228B22
20	basal cells	basal_cells	20	#869E42	basal/goblet	#869E42
21	goblet cells	goblet_cells	39	#8B8B00	basal/goblet	#869E42
22	body wall muscle	body_wall_muscle	2	#B22222	muscle	#B22222
23	intestinal and DV muscle	intestinal_and_DV_muscle	3	#CD5555	muscle	#B22222
24	intestinal and DV muscle	intestinal_and_DV_muscle	21	#CD5555	muscle	#B22222
25	muscle pharynx	muscle_pharynx	14	#821111	muscle	#B22222
26	muscle pharynx	muscle_pharynx	44	#821111	muscle	#B22222
27	ChAT+ neurons	ChAT_pos_neurons	0	#FEC44F	neurons	#FEC44F
28	ChAT+ neurons	ChAT_pos_neurons	55	#FEC44F	neurons	#FEC44F
29	ChAT+ neurons	ChAT_pos_neurons	58	#FEC44F	neurons	#FEC44F
30	celsr-1+ neurons	celsr_1_pos_neurons	17	#FF9D00	neurons	#FEC44F
31	gabrb-3+ neurons	gabrb_3_pos_neurons	52	#FF6600	neurons	#FEC44F
32	otf+ neurons 1	otf_pos_neurons_1	22	#997E04	neurons	#FEC44F
33	otf+ neurons 2	otf_pos_neurons_2	29	#997E04	neurons	#FEC44F
34	para+ neurons	para_pos_neurons	35	#FFA500	neurons	#FEC44F
35	pkd-1+ neurons	pkd_1_pos_neurons	50	#FF5722	neurons	#FEC44F
36	th+ neurons	th_pos_neurons	24	#FFDE00	neurons	#FEC44F
37	tinc+ neurons	tinc_pos_neurons	46	#FF7F00	neurons	#FEC44F
38	tph+ neurons	tph_pos_neurons	41	#FF9900	neurons	#FEC44F
39	trpm-2-1+ neurons	trpm_2_1_pos_neurons	40	#FF8C00	neurons	#FEC44F
40	trpm-2-2+ neurons	trpm_2_2_pos_neurons	57	#FF6F00	neurons	#FEC44F
41	trpa-1+ neurons	trpa_1_pos_neurons	54	#FCDB74	neurons	#FEC44F
42	pgrn+ parenchymal cells 1	pgrn_pos_parenchymal_cells_1	11	#E066FF	parenchyma	#FF69B4
43	pgrn+ parenchymal cells 2	pgrn_pos_parenchymal_cells_2	5	#FF69B4	parenchyma	#FF69B4
44	aqp+ parenchymal cells	aqp_pos_parenchymal_cells	31	#CD96CD	parenchyma	#FF69B4
45	psap+ parenchymal cells	psap_pos_parenchymal_cells	26	#FF1493	parenchyma	#FF69B4
46	pigment cells	pigment_cells	28	#CD6889	parenchyma	#FF69B4
47	glia	glia	56	#CD69CD	parenchyma	#FF69B4
48	protonephridia proximal tubule cells	protonephridia_proximal_tubule_cells	25	#FFB0AB	protonephridia	#FFB0AB
49	protonephridia distal tubule cells	protonephridia_distal_tubule_cells	32	#FFA0BE	protonephridia	#FFB0AB
50	protonephridia flame cells	protonephridia_flame_cells	37	#FFBE96	protonephridia	#FFB0AB
51	pharynx cell type	pharynx_cell_type	19	#4169E1	protonephridia	#FFB0AB
52	psd+ cells	psd_pos_cells	43	#BCEE68	protonephridia	#228B22
53	secretory 1	secretory_1	15	#6428C8	secretory	#6428C8
54	secretory 2	secretory_2	36	#9664C8	secretory	#6428C8
55	secretory 3	secretory_3	45	#8264C8	secretory	#6428C8
56	secretory 4	secretory_4	49	#9632C8	secretory	#6428C8
57	secretory 5	secretory_5	42	#7800FA	secretory	#6428C8
58	secretory 6	secretory_6	34	#9650FA	secretory	#6428C8
59	secretory 7	secretory_7	51	#5014B4	secretory	#6428C8
