homer_ID	cl	cl_name
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	c_2	AP2
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	c_2	AP2
AR-halfsite(NR)/LNCaP-AR-ChIP-Seq(GSE27824)/Homer	c_4	AR
FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	c_4	AR
Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer	c_15	Bcl11
bHLHE40(bHLH)/HepG2-BHLHE40-ChIP-Seq(GSE31477)/Homer	c_17	bHLH (MITF/USF)
bHLHE41(bHLH)/proB-Bhlhe41-ChIP-Seq(GSE93764)/Homer	c_17	bHLH (MITF/USF)
E-box(bHLH)/Promoter/Homer	c_17	bHLH (MITF/USF)
MITF(bHLH)/MastCells-MITF-ChIP-Seq(GSE48085)/Homer	c_17	bHLH (MITF/USF)
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer	c_17	bHLH (MITF/USF)
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer	c_17	bHLH (MITF/USF)
Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)/Homer	c_17	bHLH (MITF/USF)
Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer	c_3	bHLH_1
Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer	c_3	bHLH_1
Atoh1(bHLH)/Cerebellum-Atoh1-ChIP-Seq(GSE22111)/Homer	c_3	bHLH_1
Atoh7(bHLH)/Retina-Atoh7-CutnRun(GSE156756)/Homer	c_3	bHLH_1
BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer	c_3	bHLH_1
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	c_3	bHLH_1
Myf5(bHLH)/GM-Myf5-ChIP-Seq(GSE24852)/Homer	c_3	bHLH_1
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer	c_3	bHLH_1
MyoG(bHLH)/C2C12-MyoG-ChIP-Seq(GSE36024)/Homer	c_3	bHLH_1
NeuroD1(bHLH)/Islet-NeuroD1-ChIP-Seq(GSE30298)/Homer	c_3	bHLH_1
NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer	c_3	bHLH_1
Olig2(bHLH)/Neuron-Olig2-ChIP-Seq(GSE30882)/Homer	c_3	bHLH_1
Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer	c_3	bHLH_1
RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	c_3	bHLH_1
Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer	c_3	bHLH_1
Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)/Homer	c_3	bHLH_1
TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)/Homer	c_3	bHLH_1
Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)/Homer	c_3	bHLH_1
ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer	c_3	bHLH_1
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	c_6	bHLH_2
Npas4(bHLH)/Neuron-Npas4-ChIP-Seq(GSE127793)/Homer	c_6	bHLH_2
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	c_7	bHLH_3
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer	c_7	bHLH_3
Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer	c_7	bHLH_3
SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer	c_7	bHLH_3
Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer	c_7	bHLH_3
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer	c_67	bHLH(HIF)
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer	c_67	bHLH(HIF)
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer	c_67	bHLH(HIF)
Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer	c_83	bHLH(Mesp1)
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)/Homer	c_121	bHLHD(Srebp)
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer	c_121	bHLHD(Srebp)
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	c_79	bZIP(Maf)
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer	c_79	bZIP(Maf)
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	c_1	bZIP_1
