fate	tf
eep_neoblast	pax2/5/8-1
eep_neoblast	p53
eep_neoblast	meis-2
epidermis_neoblast	pax2/5/8-1
epidermis_neoblast	p53
epidermis_neoblast	meis-2
phagocytes_neoblast	hnf4
phagocytes_neoblast	klf-2
phagocytes_neoblast	nkx2-2
basalgoblet_neoblast	hnf4
basalgoblet_neoblast	klf-2
basalgoblet_neoblast	mitfl-1
muscle_neoblast	nr4a-1
muscle_neoblast	alx3-1
muscle_neoblast	foxD2
neuron_neoblast	isl-1
neuron_neoblast	nf-i/a
neuron_neoblast	lhx1-1
parenchyma_neoblast	hnf4
parenchyma_neoblast	ets-1
parenchyma_neoblast	foxF2
protonephridia_neoblast	pou2/3-1
protonephridia_neoblast	foxJ1-5
protonephridia_neoblast	foxK3
secretory_neoblast	cux-2
secretory_neoblast	onecut-1
secretory_neoblast	atoh8-2
