UniqueCount	AmbigCount
4	0
0	0
19	28
0	0
0	0
0	0
1	0
0	0
3	0
0	67879
0	7606
0	66940
0	27455
0	504
1	67284
0	21016
0	47
13	645
0	582
106	85
0	603
2	6
0	0
9	0
0	0
0	2346
0	0
0	1
0	0
0	170
0	0
1	0
0	0
0	0
12	2
2	4
0	0
13	0
0	0
0	0
0	0
1	0
530	1
1	0
1703	200
122	212
0	0
1	0
0	0
5	460
2	1
0	4100
0	2695
0	48164
1	2033
0	67874
0	2829
0	3938
0	10860
0	67844
0	30536
256	1854
2	229
15	2
1	1
0	2
4	10
0	0
31	5
0	21630
0	2839
16	650
14	1
7	152
2	343
1	197
0	4098
0	511
161	0
110	129
0	469
0	0
137	643
1	2
0	3
1	127
0	19
0	0
0	157
232	40
0	0
3	106
44	3842
0	0
315	5014
0	0
6	946
43	0
47	0
0	1
0	50
0	0
0	17
0	101
0	1281
0	15
6	0
0	130
0	0
0	0
0	0
343	791
25	0
11	0
744	8416
0	0
0	0
0	0
0	18
0	0
0	0
11	424
0	0
0	493
0	121
1	1
11	0
12	24
31	1032
9	81
84	1100
1	0
20	1
6	3
0	22
22	19
0	311
0	0
124	709
0	0
0	1
0	637
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
9	681
0	0
0	0
0	1
21	1413
0	0
0	0
0	1053
59	0
102	5096
0	0
0	12685
0	21636
0	1600
0	21488
0	11389
0	26362
0	3643
0	67857
0	19703
0	44344
228	408
0	0
0	0
0	5
0	5
1	39
4	40
1	329
7	6
26	1517
25	190
0	0
88	442
11	600
1	172
1	0
18	0
0	6
17	112
169	1133
22	0
0	0
90	217
2	3
31	378
1	0
0	0
0	0
1	93
0	0
0	0
0	0
559	914
3	480
0	0
9	0
0	16
1358	1730
4	119
0	121
0	1
0	114
0	0
6	8
257	2624
0	191
0	16
0	16
0	0
198	224
1	0
0	0
0	5061
1	0
318	417
0	0
3	0
15	1322
96	644
0	244
0	251
0	204
0	251
47	260
0	0
0	0
3	1
5	0
3	0
0	0
0	0
0	0
1778	1
2	18
0	721
8	0
0	10
0	0
0	0
0	0
16	4
3	0
3	3
0	3
0	88
0	97
0	68
3	0
0	135
0	3
0	90
0	12
0	12
0	71
1080	2167
1	0
0	0
98	400
2	0
0	0
0	0
0	14784
3	7
0	14282
0	2837
0	3000
0	16753
0	7606
0	21631
0	499
0	0
38	308
26	66
1	0
0	0
4	30
110	0
2	0
0	1
1	0
246	13
2	870
8	29
0	1
0	0
34	323
1	7
0	460
33	57
1335	7349
0	15671
17	32511
0	0
30	59
0	0
0	54
0	10
0	0
0	0
0	0
140	679
0	0
31	137
7	154
31	864
0	0
7	3431
0	1
0	2
0	0
0	0
0	4
0	1
3	7435
0	140
0	1509
0	0
0	7342
23	14
0	7436
4	1257
0	1
0	7419
0	7416
0	73
0	5
0	0
79	201
0	0
1	280
1	574
0	1056
33	6628
19	21
74	919
3	0
18260	4994
30135	11511
609	2554
1	0
0	0
9	112
116	1
0	0
35	1
60	0
0	0
447	1399
117	433
4	70
0	0
13	6
1	24
63	1841
5	12020
0	0
25	31
1556	2259
0	0
32	164
20	1
1	0
0	35
0	130
2	0
0	1
0	0
2	0
314	1616
1	0
2	0
0	0
8	216
1	27296
5	30
1	26
0	2604
0	26362
0	20057
0	26438
61	1012
8	1
0	0
0	612
11	916
5	0
0	21651
0	117
0	25070
0	19925
0	19318
0	424
0	67870
0	67820
6	244
0	0
4	0
742	1284
17	3
4	0
738	0
58	289
76	4568
0	28
4	0
5	0
30	1
0	204
11	1081
1	0
91	717
0	1
11	0
0	65
0	0
1	0
1	1
8	18
2	0
0	0
0	15
0	6
1	8
0	15
1	53
0	15
0	0
0	0
0	0
8	196
0	8
0	0
168	3146
0	263
0	190
0	883
0	0
0	1470
0	0
0	0
0	227
139	3397
1	0
64	890
0	4
29	229
14	15
293	772
209	275
0	339
1	10
1	0
0	0
0	0
413	883
1	0
161	1389
50	0
0	0
76	94
334	0
0	201
307	0
7	0
3	0
0	64
0	222
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	68846
0	1
0	0
0	4
4	4
0	0
0	1444
0	0
0	0
1	0
0	77
0	0
1	0
48	1544
0	0
0	0
1	2
0	0
5	0
17	0
4	28
10	8
0	3772
15	2190
0	0
36	295
80	253
0	0
0	4236
0	7419
0	7409
0	4
0	7419
0	7409
0	1115
0	7419
0	7411
0	0
2	0
0	3
0	180
405	0
0	150
179	1566
0	3
0	0
7	0
0	975
0	0
0	22453
0	26333
0	59795
221	1045
0	0
8	6912
0	497
0	57701
0	125
71	0
19	0
3	15
0	432
18	272
2	20
0	20
10	1
0	2
0	176
113	4336
0	0
0	0
335	1697
8	71
0	0
0	1
0	3526
0	494
1	65501
0	15645
0	495
0	603
2	0
0	0
0	1
31	5
1	46
1	35
0	0
0	0
0	5
0	0
0	7
3	185
0	0
0	0
0	0
0	12
7	30
1	0
1	0
0	19
1	0
0	0
62	186
0	7
0	7
0	0
3	13
2	13
0	69
3	7
0	113
0	4
0	2
0	1
0	0
0	90
2	8
1	0
0	0
3	5
0	0
0	0
22	2
0	0
0	6
0	4
0	2
0	2
2	51
0	2
1	0
0	944
25	1195
696	695
0	0
0	28
93	893
0	4
1	0
1	0
0	0
0	0
0	0
85	78
9	0
0	0
26	902
0	0
1	0
119	3101
0	0
0	0
14	618
0	0
0	0
224	1533
1	0
2	118
0	22
0	0
0	0
3	7
0	0
0	0
22	23
0	0
0	0
2	0
0	0
58	141
0	143
0	0
0	0
0	32333
1	0
1	0
0	162
4	0
2	0
0	0
45	0
7	0
0	6
129	1603
39	78
59	2
4	0
0	0
0	0
0	0
0	0
103	1811
0	4240
10	3
0	1
0	0
4	2
5	89
0	424
0	1
0	824
5	1182
2	2700
18	1
0	0
0	2613
70	2
0	0
