gene_id	gene_ddv6	Preferred_name	Description	n_cells_by_counts	mean_counts	lcp1000 L	lcp1000 M	lcp1000 S	lfc LM	lfc MS	lfc LS	z lfc LM	z lfc MS	z lfc LS	highly_variable
h1SMcG0013239	dd_Smed_v6_7985_0_1	CHD7	right ventricular compact myocardium morphogenesis	4079	0.15967378	-20.968033	-20.777569	-20.740635	-0.19046402	-0.0369339	-0.22739792	-0.004407973	0.005164473	0.000616138	FALSO
h1SMcG0011053	dd_Smed_v6_6609_0_1	ABCC3	canalicular bile acid transport	303	0.011938226	-24.682192	-24.603992	-24.45684	-0.07819939	-0.14715195	-0.22535133	0.13859078	-0.13851482	0.003132354	FALSO
h1SMcG0001214	dd_Smed_v6_8866_0_1	-	-	306	0.01162589	-24.78429	-24.647062	-24.571175	-0.13722801	-0.07588768	-0.21311569	0.06340218	-0.045615338	0.018175714	FALSO
h1SMcG0004156	dd_Smed_v6_4282_0_3	-	-	4147	0.16356064	-20.896765	-20.801699	-20.695353	-0.09506607	-0.10634613	-0.2014122	0.11710659	-0.08532071	0.03256481	FALSO
h1SMcG0011395	dd_Smed_v6_11730_0_1	SLC52A3	Solute carrier family 52 (riboflavin transporter), member	344	0.013881659	-24.466215	-24.418438	-24.276268	-0.047777176	-0.14216995	-0.18994713	0.17734152	-0.13202032	0.046660777	FALSO
h1SMcG0006548	dd_Smed_v6_2597_0_1	CHD1	helicase activity	3151	0.12042339	-21.32486	-21.276419	-21.147333	-0.048440933	-0.12908554	-0.17752647	0.17649604	-0.114963606	0.061931606	FALSO
h1SMcG0006940	dd_Smed_v6_1665_0_5	-	-	3775	0.15207358	-21.00258	-20.909004	-20.82679	-0.09357643	-0.082214355	-0.17579079	0.11900403	-0.053862736	0.06406558	FALSO
h1SMcG0005883	dd_Smed_v6_2072_0_31	ANK2	ankyrin 3, node of Ranvier (ankyrin G)	3537	0.14277287	-21.112244	-20.957876	-20.944674	-0.15436745	-0.013202667	-0.16757011	0.041570574	0.0361003	0.07417265	FALSO
h1SMcG0003097	dd_Smed_v6_50_0_1	SLC25A31	ATP:ADP antiporter activity	3985	0.17178553	-20.815279	-20.737259	-20.650467	-0.078020096	-0.08679199	-0.16481209	0.13881914	-0.059830103	0.07756357	FALSO
h1SMcG0018081	dd_Smed_v6_4611_0_1	PRRC2A	cell differentiation	3375	0.13014056	-21.192133	-21.114027	-21.027704	-0.07810593	-0.086322784	-0.16442871	0.13870983	-0.059218448	0.078034915	FALSO
h1SMcG0012384	dd_Smed_v6_6584_0_2	INPP5F	inositol monophosphate 3-phosphatase activity	2699	0.10501475	-21.544485	-21.37103	-21.406216	-0.17345428	0.03518486	-0.13826942	0.01725843	0.09917786	0.110196985	FALSO
h1SMcG0011509	dd_Smed_v6_1899_0_2	LUC7L3	Luc7-like protein 3	2668	0.10074614	-21.558811	-21.503279	-21.427935	-0.055532455	-0.075344086	-0.13087654	0.16746312	-0.044906713	0.11928632	FALSO
h1SMcG0013627	dd_Smed_v6_62_0_1	-	-	2650	0.11355197	-21.401163	-21.303438	-21.273241	-0.097724915	-0.030197144	-0.12792206	0.11371984	0.013946448	0.12291877	FALSO
h1SMcG0018192	dd_Smed_v6_1140_0_1	DYNC1H1	1 heavy chain 1	6573	0.29737985	-19.977966	-19.946062	-19.866735	-0.03190422	-0.07932663	-0.11123085	0.19755994	-0.050098322	0.14344011	FALSO
h1SMcG0014142	dd_Smed_v6_3024_0_1	-	dendrite self-avoidance	5947	0.24789172	-20.264917	-20.227251	-20.156368	-0.03766632	-0.0708828	-0.10854912	0.19022037	-0.039091017	0.14673723	FALSO
h1SMcG0009496	dd_Smed_v6_3927_0_1	NIPBL	cohesin loading	2980	0.114246055	-21.371058	-21.289154	-21.268711	-0.08190346	-0.020442963	-0.10234642	0.13387266	0.026661914	0.15436326	FALSO
h1SMcG0021544	dd_Smed_v6_4709_0_1	-	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding	4679	0.18507722	-20.692308	-20.56389	-20.60123	-0.12841797	0.037340164	-0.091077805	0.07462411	0.101987496	0.16821769	FALSO
h1SMcG0019283	dd_Smed_v6_5557_0_1	MAP3K2	Mitogen-activated protein kinase kinase kinase	4899	0.19784835	-20.594202	-20.552757	-20.508419	-0.04144478	-0.044338226	-0.085783005	0.1854075	-0.004487744	0.17472748	FALSO
h1SMcG0016340	dd_Smed_v6_3221_0_2	PLCB4	phosphatidylinositol phospholipase C activity	3253	0.12944646	-21.235033	-21.060884	-21.150106	-0.17414856	0.089221954	-0.084926605	0.016374087	0.16962014	0.1757804	FALSO
