path	Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	BREED	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolate	isolation_source	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	tissue
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112811	SRR5112811	RNA-Seq	76	2689932600	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1948635561	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425030	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-4	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:15:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112812	SRR5112812	RNA-Seq	76	2851566968	PRJNA357536	SAMN06142985	Invertebrate	not applicable	2066656515	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425031	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-7	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:17:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112813	SRR5112813	RNA-Seq	76	2858474836	PRJNA357536	SAMN06142985	Invertebrate	not applicable	2069131444	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425032	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-11	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:19:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112814	SRR5112814	RNA-Seq	76	2656552108	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1927292314	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425033	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-6	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:16:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112815	SRR5112815	RNA-Seq	76	2758374096	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1993939668	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425034	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-8	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:18:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112816	SRR5112816	RNA-Seq	76	2536059580	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1833048783	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425035	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-5	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:18:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112817	SRR5112817	RNA-Seq	76	2616813912	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1890876554	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425036	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-10	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:18:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112818	SRR5112818	RNA-Seq	76	2693436808	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1948102538	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425037	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-9	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:19:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112819	SRR5112819	RNA-Seq	76	2373040340	PRJNA357536	SAMN06142985	Invertebrate	not applicable	1716192508	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425038	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-1	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:17:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/ap_stuckemann/kallisto_output/raw_kallisto_output/kallisto_out_SRR5112820	SRR5112820	RNA-Seq	76	3017368796	PRJNA357536	SAMN06142985	Invertebrate	not applicable	2193158515	MPI-CBG	2014-04-15	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX2425039	uncalculated	uncalculated	not applicable	not applicable	Illumina HiSeq 2000	C4 asexuals	not applicable	A/P-3	SINGLE	RANDOM	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2016-12-20T00:00:00Z	2016-12-15T04:21:00Z	1	A/P gene expression series	SRP095154	Whole-animal transverse section
