Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	replicate	RNAi	create_date	version	Sample Name	source_name	SRA Study	time_after_rnai_treatment	tissue
SRR2183571	RNA-Seq	51	1530582114	PRJNA293934	SAMN04012442	1031871152	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164620	GSM1861712	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	1	CHD4	2015-08-26T10:18:00Z	1	GSM1861712	whole worm_3 days after CHD4 RNAi	SRP062861	3 days	Whole Worm Tissue
SRR2183572	RNA-Seq	51	1445957610	PRJNA293934	SAMN04012443	1030835250	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164621	GSM1861713	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	2	CHD4	2015-08-26T10:18:00Z	1	GSM1861713	whole worm_3 days after CHD4 RNAi	SRP062861	3 days	Whole Worm Tissue
SRR2183573	RNA-Seq	51	1096007493	PRJNA293934	SAMN04012444	729437378	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164622	GSM1861714	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	3	CHD4	2015-08-26T10:16:00Z	1	GSM1861714	whole worm_3 days after CHD4 RNAi	SRP062861	3 days	Whole Worm Tissue
SRR2183574	RNA-Seq	51	1088578731	PRJNA293934	SAMN04012445	735968666	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164623	GSM1861715	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	1	CHD4	2015-08-26T10:20:00Z	1	GSM1861715	whole worm_6 days after CHD4 RNAi	SRP062861	6 days	Whole Worm Tissue
SRR2183575	RNA-Seq	51	1368377532	PRJNA293934	SAMN04012446	977651439	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164624	GSM1861716	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	2	CHD4	2015-08-26T10:17:00Z	1	GSM1861716	whole worm_6 days after CHD4 RNAi	SRP062861	6 days	Whole Worm Tissue
SRR2183576	RNA-Seq	51	1203639933	PRJNA293934	SAMN04012447	803299761	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164625	GSM1861717	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	3	CHD4	2015-08-26T10:17:00Z	1	GSM1861717	whole worm_6 days after CHD4 RNAi	SRP062861	6 days	Whole Worm Tissue
SRR2183577	RNA-Seq	51	1244704062	PRJNA293934	SAMN04012448	839378505	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164626	GSM1861718	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	1	CHD4	2015-08-26T10:18:00Z	1	GSM1861718	whole worm_9 days after CHD4 RNAi	SRP062861	9 days	Whole Worm Tissue
SRR2183578	RNA-Seq	51	1525397148	PRJNA293934	SAMN04012449	1089443796	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164627	GSM1861719	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	2	CHD4	2015-08-26T10:18:00Z	1	GSM1861719	whole worm_9 days after CHD4 RNAi	SRP062861	9 days	Whole Worm Tissue
SRR2183579	RNA-Seq	51	1323658284	PRJNA293934	SAMN04012450	883826216	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164628	GSM1861720	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	3	CHD4	2015-08-26T10:20:00Z	1	GSM1861720	whole worm_9 days after CHD4 RNAi	SRP062861	9 days	Whole Worm Tissue
SRR2183580	RNA-Seq	51	927207081	PRJNA293934	SAMN04012453	631056532	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.us-east1,ncbi.public,s3.us-east-1	SRX1164629	GSM1861721	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC	Schmidtea mediterranea	ILLUMINA	2015-10-22T00:00:00Z	1	CHD4	2015-08-26T10:16:00Z	1	GSM1861721	whole worm_12 days after CHD4 RNAi	SRP062861	12 days	Whole Worm Tissue
