target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	676.378	2	0.14374
h1SMnT0035429.1	433	173.806	4	1.11875
h1SMnT0035428.2	1171	909.36	21.1368	1.1299
h1SMnT0035430.1	225	33.7755	0	0
h1SMcT0022937.1	1148	886.36	1	0.0548437
h1SMnT0035345.1	487	226.577	0	0
h1SMcT0022992.1	5186	4924.36	40.138	0.396226
h1SMnT0035168.1	667	405.509	0	0
h1SMnT0035169.1	682	420.499	1	0.115604
h1SMnT0035364.1	3295	3033.36	0	0
h1SMnT0035365.1	822	560.408	0	0
h1SMnT0035366.1	3294	3032.36	52.3813	0.839717
h1SMnT0035367.1	2210	1948.36	0	0
h1SMnT0035368.1	649	387.509	0	0
h1SMnT0035369.1	3295	3033.36	0	0
h1SMnT0035370.1	1798	1536.36	114.694	3.62898
h1SMcT0023064.1	649	387.509	15.6414	1.96215
h1SMcT0022911.1	964	702.378	0	0
h1SMcT0022912.1	1707	1445.36	29.0735	0.977817
h1SMnT0035348.1	2018	1756.36	155.315	4.29869
h1SMcT0022995.1	1592	1330.36	0	0
h1SMnT0035349.1	581	319.732	3.05272	0.464128
h1SMnT0035350.1	437	177.693	48.0113	13.1344
h1SMnT0035351.1	251	38.2574	4	5.08255
h1SMnT0035439.1	173	34.8807	0	0
h1SMcT0023009.1	1809	1547.36	1.52607	0.0479425
h1SMnT0035408.1	676	414.504	0	0
h1SMnT0035149.1	469	208.902	0	0
h1SMcT0022739.1	1385	1123.36	0	0
h1SMcT0022740.2	1315	1053.36	107	4.93792
h1SMnT0035008.1	217	33.2625	0	0
h1SMnT0035009.1	403	145.005	0	0
h1SMnT0035304.1	214	33.117	0	0
h1SMcT0023054.1	1130	868.36	0	0
h1SMcT0023055.1	5046	4784.36	89.3261	0.907594
h1SMcT0022976.1	1057	795.36	0.753354	0.0460439
h1SMnT0035249.1	307	64.4981	0	0
h1SMnT0035250.1	410	151.689	3882	1244.05
h1SMnT0035251.1	2625	2363.36	2	0.0411374
h1SMcT0022931.1	1208	946.36	0	0
h1SMnT0035252.1	344	92.0235	0	0
h1SMnT0035253.1	459	199.115	0	0
h1SMcT0022932.1	1030	768.36	269	17.0186
h1SMnT0035254.1	593	331.676	2	0.293125
h1SMcT0022933.2	2471	2209.36	822.043	18.0869
h1SMnT0035255.1	3386	3124.36	99.9174	1.55459
h1SMnT0035204.1	222	33.5921	0	0
h1SMnT0035205.1	1081	819.36	0	0
h1SMnT0035206.1	369	113.544	0	0
h1SMcT0022885.2	2036	1774.36	0	0
h1SMcT0022886.1	479	218.699	0	0
h1SMnT0035137.1	1237	975.36	0	0
h1SMnT0035138.1	362	107.373	4.29576	1.94484
h1SMnT0035139.1	2159	1897.36	19.5711	0.50142
h1SMnT0035140.1	538	277.027	4.34085	0.761711
h1SMnT0035141.1	3293	3031.36	0	0
h1SMnT0035142.1	363	108.241	381.212	171.203
h1SMnT0035173.1	1063	801.36	108.008	6.55185
h1SMnT0035174.1	867	605.386	6704.18	538.332
h1SMnT0035175.1	3291	3029.36	0	0
h1SMnT0035176.1	363	108.241	381.212	171.203
h1SMnT0035177.1	2432	2170.36	2516.65	56.3674
h1SMcT0022892.1	2757	2495.36	583.761	11.3721
h1SMcT0022664.1	1587	1325.36	13.612	0.499259
h1SMnT0034919.1	1713	1451.36	33.8368	1.13331
h1SMcT0022665.1	9704	9442.36	0	0
h1SMcT0022666.1	7223	6961.36	6.24967	0.0436415
h1SMcT0022667.1	10811	10549.4	7.50311	0.0345742
h1SMnT0035274.2	204	33.1321	0	0
h1SMcT0022950.1	1132	870.36	7	0.390963
h1SMnT0035104.1	1776	1514.36	14754.2	473.612
h1SMnT0035105.1	369	113.544	0	0
h1SMnT0035106.1	677	415.504	9.26099	1.08348
h1SMcT0022811.1	4196	3934.36	42.0835	0.519966
h1SMnT0035107.1	906	644.378	25.6533	1.93526
h1SMcT0022812.1	3862	3600.36	0	0
h1SMnT0035108.1	942	680.378	42.0715	3.0059
h1SMnT0035109.1	1235	973.36	0	0
h1SMnT0035110.1	557	295.899	2.26731	0.372482
h1SMnT0035167.1	426	167.044	0	0
h1SMcT0022861.1	1552	1290.36	31.4957	1.18653
h1SMcT0023025.1	1272	1010.36	143.751	6.91627
h1SMnT0035154.1	904	642.378	0	0
h1SMcT0022833.1	1591	1329.36	103.623	3.78924
h1SMcT0022893.1	2162	1900.36	0	0
h1SMcT0022736.1	505	244.3	2	0.397964
h1SMcT0022737.1	1029	767.36	35	2.2172
h1SMcT0022738.1	1350	1088.36	10	0.446647
h1SMnT0035322.1	217	33.2625	0	0
h1SMnT0035323.1	735	473.433	0	0
h1SMnT0035324.2	335	84.7213	26.7662	15.3579
h1SMnT0035227.1	1397	1135.36	1	0.0428157
h1SMcT0022909.1	874	612.386	39.3602	3.12442
h1SMnT0035228.1	568	306.858	33.6126	5.32479
h1SMnT0035229.1	524	263.141	0	0
h1SMcT0023038.1	2979	2717.36	854.637	15.2887
h1SMnT0035422.1	134	36.4308	0	0
h1SMcT0023039.2	1098	836.36	28.1537	1.63636
h1SMnT0035423.1	937	675.378	59.5844	4.28867
h1SMnT0035424.1	2291	2029.36	101.057	2.42073
h1SMcT0023051.1	1760	1498.36	0	0
h1SMnT0035447.1	696	434.472	1.36813	0.153075
h1SMnT0035467.1	305	63.2862	0	0
h1SMcT0022957.1	540	279.006	5	0.871151
h1SMcT0022958.1	458	198.135	2.85428	0.700282
h1SMcT0022975.1	1214	952.36	0	0
h1SMnT0035371.1	220	33.3847	0	0
h1SMnT0035222.1	841	579.408	0	0
h1SMcT0022906.1	785	523.408	0	0
h1SMnT0034950.1	246	37.1079	0	0
h1SMnT0035278.1	532	271.075	0	0
h1SMnT0035279.1	127	37.0339	0	0
h1SMcT0022952.1	2293	2031.36	193.609	4.63315
h1SMnT0035280.1	972	710.378	12.5705	0.860199
h1SMnT0035281.1	1330	1068.36	27.9281	1.27075
h1SMcT0022934.1	19276	19014.4	3296.54	8.4278
h1SMcT0022898.1	1257	995.36	0	0
h1SMcT0022899.1	1154	892.36	0	0
h1SMcT0022900.1	2875	2613.36	0	0
h1SMcT0022901.1	1798	1536.36	5.43988e-05	1.72121e-06
h1SMnT0035418.1	379	122.644	0	0
h1SMnT0035419.1	572	310.803	0	0
h1SMcT0023037.1	4734	4472.36	11.6897	0.127059
h1SMnT0035420.1	226	33.8695	0	0
h1SMnT0035096.1	559	297.899	0	0
h1SMcT0022872.1	985	723.369	0	0
h1SMcT0022814.1	2646	2384.36	0	0
h1SMcT0022815.1	2022	1760.36	10	0.276144
h1SMcT0022816.1	3124	2862.36	49.2243	0.835974
h1SMcT0022656.1	6668	6406.36	53.0793	0.402764
h1SMnT0034905.1	1057	795.36	0	0
h1SMcT0022657.2	3525	3263.36	303.997	4.52836
h1SMnT0034906.1	553	291.903	2	0.333065
h1SMnT0034907.1	1610	1348.36	16.525	0.595761
h1SMnT0034908.1	674	412.504	20.3815	2.40185
h1SMnT0034909.1	344	92.0235	0	0
h1SMnT0034910.1	874	612.386	0	0
h1SMcT0022658.1	895	633.378	0	0
h1SMnT0035333.1	518	257.174	0	0
h1SMcT0022983.2	1765	1503.36	292.874	9.47012
h1SMnT0035334.1	355	101.225	0	0
h1SMnT0035335.1	347	94.4631	0	0
h1SMcT0022982.1	1733	1471.36	0	0
h1SMnT0035165.1	414	155.504	0	0
h1SMnT0035166.1	311	67.1776	1	0.723624
h1SMcT0022650.1	3691	3429.36	0	0
h1SMcT0022651.1	3742	3480.36	0	0
h1SMnT0034903.1	1789	1527.36	0	0
h1SMcT0022652.1	16757	16495.4	1.00509	0.00296196
h1SMcT0022653.1	7978	7716.36	0	0
h1SMnT0034904.1	2408	2146.36	0	0
h1SMcT0022643.1	1273	1011.36	241.936	11.6287
h1SMcT0022644.1	746	484.415	0	0
h1SMcT0022645.1	752	490.415	0	0
h1SMcT0022646.1	812	550.408	0	0
h1SMcT0022878.1	3135	2873.36	58.4412	0.988704
h1SMnT0035197.1	681	419.499	4	0.463518
h1SMcT0022879.1	645	383.514	0	0
h1SMcT0022880.1	1003	741.36	18.5069	1.21351
h1SMnT0035198.1	3014	2752.36	156	2.75522
h1SMcT0022974.1	15547	15285.4	553.696	1.76089
h1SMnT0035321.1	630	368.542	0	0
h1SMnT0035305.1	1121	859.36	6906.61	390.685
h1SMnT0035306.1	1778	1516.36	3395.9	108.865
h1SMnT0035307.1	531	270.078	0	0
h1SMnT0035308.1	1309	1047.36	10219.2	474.307
h1SMnT0035309.1	1106	844.36	0	0
h1SMnT0035310.1	1917	1655.36	13600.6	399.395
h1SMnT0035311.1	1033	771.36	0.0911388	0.00574358
h1SMnT0035312.1	3291	3029.36	0	0
h1SMnT0035313.1	363	108.241	381.212	171.203
h1SMnT0035314.1	3292	3030.36	0	0
h1SMnT0035315.1	1694	1432.36	0	0
h1SMnT0035316.1	2161	1899.36	0	0
h1SMcT0022894.1	1956	1694.36	28	0.803321
h1SMnT0035285.1	673	411.504	0	0
h1SMnT0035286.1	153	36.0625	1.14677	1.54582
h1SMnT0035287.1	556	294.899	0	0
h1SMnT0035288.1	558	296.899	0	0
h1SMnT0035289.4	2122	1860.36	14.6294	0.382265
h1SMcT0022955.1	8642	8380.36	34.3845	0.199452
h1SMcT0023031.1	565	303.861	0	0
h1SMnT0035406.1	1639	1377.36	9.01906	0.31831
h1SMcT0023032.1	1505	1243.36	45.8562	1.79282
h1SMnT0035407.1	2457	2195.36	6.36529	0.140945
h1SMcT0022953.1	2474	2212.36	0	0
h1SMcT0022996.1	3781	3519.36	83.7237	1.15644
h1SMcT0022890.1	1269	1007.36	98.6327	4.75963
h1SMnT0035209.1	395	137.475	0	0
h1SMcT0022891.1	597	335.647	0	0
h1SMnT0035210.1	396	138.435	0	0
h1SMnT0035211.1	681	419.499	2	0.231759
h1SMcT0022866.1	913	651.378	26.9314	2.00985
h1SMcT0022973.1	3555	3293.36	275.193	4.06196
h1SMnT0035320.1	1153	891.36	6	0.327216
h1SMnT0035457.1	224	33.7787	0	0
h1SMcT0023053.1	1061	799.36	114.432	6.95895
h1SMnT0035458.1	385	128.111	3	1.13834
h1SMcT0023003.1	902	640.378	220	16.7003
h1SMnT0035361.1	949	687.378	2	0.14144
h1SMnT0035362.1	212	33.0979	0	0
h1SMcT0023004.1	713	451.45	0	0
h1SMcT0022831.1	1756	1494.36	0	0
h1SMnT0035146.1	130	36.7773	0	0
h1SMnT0035147.1	329	80.0169	0	0
h1SMnT0035148.1	441	181.594	0	0
h1SMcT0022832.1	1390	1128.36	222.161	9.57101
h1SMcT0022887.1	2842	2580.36	2.00051	0.0376875
h1SMnT0035207.1	381	124.462	0	0
h1SMnT0035182.2	1784	1522.36	7	0.223521
