.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
