Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.0007582360105820584)	(2, 0.0007582360105820584)	(3, 0.0007582360105820584)	(4, 0.0008019803958079464)	(5, 0.0008019803958079464)	(6, 0.0008165618575499091)	(7, 0.0008165618575499091)	(8, 0.0008311433192918717)	(9, 0.0008311433192918717)	(10, 0.0008311433192918717)	(12, 0.0008748877045177596)	(14, 0.000904050628001685)	(16, 0.000925922820614629)	(18, 0.0009769579367114984)	(20, 0.0009842486675824798)	(22, 0.001013411591066405)	(24, 0.001035283783679349)	(26, 0.0010717374380342557)	(28, 0.0011519354776150504)	(30, 0.0012248427863248636)	(32, 0.0014654369050672474)	(34, 0.0017716476016484636)	(36, 0.0019320436808100527)	(38, 0.002063276836487717)	(40, 0.0022674173008751936)	(42, 0.0026465353061662232)	(44, 0.0029600367336184204)	(46, 0.0033974805858773003)	(48, 0.00427236829039506)	(50, 0.0051472559949128196)	(52, 0.006510622667786329)	(54, 0.007866698609788857)	(56, 0.009485240863146711)	(58, 0.011978670821022327)	(60, 0.01523033678948)	(62, 0.01891215587932557)	(64, 0.022805406164429602)	(66, 0.027529799768825504)	(68, 0.033756083932643566)	(70, 0.04075518556878564)	(72, 0.04837399932896113)	(74, 0.05781549580688196)	(76, 0.06836518337719194)	(78, 0.08038759858344016)	(80, 0.09399210238869132)	(82, 0.10965259229955922)	(84, 0.12693891519465594)	(86, 0.14572712864917486)	(88, 0.16669527063411715)	(90, 0.19070364739225867)	(92, 0.2164253459050808)	(94, 0.2439915993282612)	(96, 0.27311077842696063)	(98, 0.3044609211721804)	(100, 0.33816596998872706)	(102, 0.3758153042064747)	(104, 0.4171172945905839)	(106, 0.46022738623069653)	(108, 0.5038259568391649)	(110, 0.55059599537651)	(112, 0.6003771057635706)	(114, 0.6555314848025444)	(116, 0.7157164681424953)	(118, 0.7779647283189339)	(120, 0.843508398849056)	(122, 0.9137327185983483)	(124, 0.9882002437145516)	(126, 1.0672026034325053)	(128, 1.1486327765304958)	(130, 1.2353851831643028)	(132, 1.331703028700837)	(134, 1.4333941428892847)	(136, 1.542193719676939)	(138, 1.6570737660109918)
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.0007582360105820584)	(2, 0.0007582360105820584)	(3, 0.0007582360105820584)	(4, 0.0007873989340659838)	(5, 0.0007873989340659838)	(6, 0.0008019803958079464)	(7, 0.0008019803958079464)	(8, 0.0008311433192918717)	(9, 0.0008311433192918717)	(10, 0.0008311433192918717)	(12, 0.0008530155119048158)	(14, 0.0008748877045177598)	(16, 0.0009113413588726664)	(18, 0.0009623764749695356)	(20, 0.0009623764749695356)	(22, 0.000991539398453461)	(24, 0.0010207023219373863)	(26, 0.0010571559762922928)	(28, 0.001144644746744069)	(30, 0.0012175520554538822)	(32, 0.001450855443325285)	(34, 0.0018008105251323889)	(36, 0.0019684973351649596)	(38, 0.002077858298229679)	(40, 0.0022674173008751936)	(42, 0.0027267333457470177)	(44, 0.0031131420819090283)	(46, 0.0036307839737487026)	(48, 0.004534834601750388)	(50, 0.00547533888410698)	(52, 0.0067949611717546005)	(54, 0.00810729272853124)	(56, 0.009660218404050264)	(58, 0.012241137132377655)	(60, 0.015558419678674159)	(62, 0.01932772753897151)	(64, 0.023308466594527316)	(66, 0.028054732391536163)	(68, 0.03421539997751538)	(70, 0.04118533869017354)	(72, 0.048796861719478044)	(74, 0.05812899723433415)	(76, 0.06852557945635354)	(78, 0.08061361124044059)	(80, 0.09421811504569173)	(82, 0.10989318641830159)	(84, 0.12693162446378498)	(86, 0.14577087303440073)	(88, 0.16673172428847205)	(90, 0.19057970496745197)	(92, 0.2160389371689188)	(94, 0.2433354335498729)	(96, 0.2721046575667653)	(98, 0.3032214969241136)	(100, 0.33672969600714375)	(102, 0.3741967619531168)	(104, 0.4152727396802256)	(106, 0.45783602650501465)	(108, 0.5012742010343214)	(110, 0.5476359586428916)	(112, 0.5969723344468223)	(114, 0.651769467673118)	(116, 0.7116263681238748)	(118, 0.7737433951446357)	(120, 0.8391631232499512)	(122, 0.9090447786483072)	(124, 0.9831331857592195)	(126, 1.0619678586671406)	(128, 1.1429387157202595)	(130, 1.2290568287682908)	(132, 1.3248497416821146)	(134, 1.4258919808230446)	(136, 1.5344655449536986)	(138, 1.648733169894589)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0006238744265554229)	(2, 0.0006238744265554229)	(3, 0.000637738302701099)	(4, 0.0007001257453566413)	(5, 0.0007001257453566413)	(6, 0.0007209215595751553)	(7, 0.0007209215595751553)	(8, 0.0007486493118665075)	(9, 0.0007555812499393455)	(10, 0.0007555812499393455)	(12, 0.0007625131880121835)	(14, 0.0007625131880121835)	(16, 0.0007729110951214406)	(18, 0.0007867749712671167)	(20, 0.0008110367545220498)	(22, 0.0008145027235584688)	(24, 0.0008179686925948879)	(26, 0.0008352985377769829)	(28, 0.0008803561352504301)	(30, 0.0009323456707967154)	(32, 0.0011437697820182754)	(34, 0.0013759897074583495)	(36, 0.0015042305618058532)	(38, 0.0016116756019348426)	(40, 0.0018057698679743075)	(42, 0.0020483877005236387)	(44, 0.002384586697056283)	(46, 0.0027901050743173077)	(48, 0.003420911438945569)	(50, 0.004374052923960798)	(52, 0.0055282206130883305)	(54, 0.006886880475364585)	(56, 0.008654524683938285)	(58, 0.011264399368361804)	(60, 0.014390703439211755)	(62, 0.017666044178627726)	(64, 0.021856400743658314)	(66, 0.026649835921025815)	(68, 0.03227163769809746)	(70, 0.03928675902780955)	(72, 0.047681336034016406)	(74, 0.05680030056883484)	(76, 0.06715315008061845)	(78, 0.07855965417947343)	(80, 0.09142186527362439)	(82, 0.10638791957288171)	(84, 0.12356526211737436)	(86, 0.1419868875459414)	(88, 0.16220388493537352)	(90, 0.18615026500799253)	(92, 0.21126121067684828)	(94, 0.23719012503829895)	(96, 0.26621761571830826)	(98, 0.2970023526997819)	(100, 0.3295166082304287)	(102, 0.3658642255153549)	(104, 0.4063536757988019)	(106, 0.44686045592743096)	(108, 0.48978648244348044)	(110, 0.5347955563504179)	(112, 0.5827576358763842)	(114, 0.6361370250062734)	(116, 0.6925456710739929)	(118, 0.7522643175714925)	(120, 0.8155875718668679)	(122, 0.8845603556916064)	(124, 0.958662773690245)	(126, 1.0335069090626772)	(128, 1.1118724689761113)	(130, 1.1954855060106835)	(132, 1.2858953083256734)	(134, 1.385067080364731)	(136, 1.48715026639438)	(138, 1.5952642385473985)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.000637738302701099)	(2, 0.000637738302701099)	(3, 0.0006516021788467751)	(4, 0.0006793299311381272)	(5, 0.0006793299311381272)	(6, 0.0007001257453566413)	(7, 0.0007001257453566413)	(8, 0.0007486493118665075)	(9, 0.0007555812499393455)	(10, 0.0007555812499393455)	(12, 0.0007625131880121835)	(14, 0.0007625131880121835)	(16, 0.0007729110951214406)	(18, 0.0007971728783763737)	(20, 0.0008249006306677259)	(22, 0.0008318325687405639)	(24, 0.0008422304758498209)	(26, 0.000856094351995497)	(28, 0.0009115498565782014)	(30, 0.0009600734230880675)	(32, 0.0011610996272003703)	(34, 0.0013759897074583495)	(36, 0.0014765028095145008)	(38, 0.001552754128315719)	(40, 0.0017329845182095082)	(42, 0.0019721363817224204)	(44, 0.002284073595000132)	(46, 0.002689591972261157)	(48, 0.0033134663988165797)	(50, 0.004290869667086743)	(52, 0.005469299139469207)	(54, 0.006810629156563367)	(56, 0.008533215767663617)	(58, 0.011115362699795784)	(60, 0.014217404987390804)	(62, 0.017523939448134546)	(64, 0.02163111275629108)	(66, 0.026410684057512904)	(68, 0.03200129211325678)	(70, 0.038908968402839875)	(72, 0.04726888571868254)	(74, 0.056315064903736174)	(76, 0.06669910813684754)	(78, 0.07799123525750071)	(80, 0.09063509030235728)	(82, 0.10552142731377695)	(84, 0.12264331435368689)	(86, 0.140957494742125)	(88, 0.1609076125157528)	(90, 0.18465989832233234)	(92, 0.2094034512733277)	(94, 0.23501696245246423)	(96, 0.2637845054547421)	(98, 0.2942677031300473)	(100, 0.32652547695199907)	(102, 0.3623913245408631)	(104, 0.402558439703923)	(106, 0.44241708362274174)	(108, 0.4845598011365606)	(110, 0.5290212519357438)	(112, 0.5764010486635917)	(114, 0.6293159979426008)	(116, 0.6849136072557982)	(118, 0.7438281489368487)	(120, 0.806191329809136)	(122, 0.8737014747005056)	(124, 0.9462650024469741)	(126, 1.01933456167276)	(128, 1.0959879328822026)	(130, 1.1778090639249466)	(132, 1.2665967927308923)	(134, 1.3636820514100254)	(136, 1.463813896872171)	(138, 1.569876015355629)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1 - illumina_universal_adapter	(1, 0.0003524010925046739)	(2, 0.0003677228791353119)	(3, 0.0003677228791353119)	(4, 0.0003830446657659499)	(5, 0.0003830446657659499)	(6, 0.0003830446657659499)	(7, 0.0003830446657659499)	(8, 0.0004443318122885019)	(9, 0.0004902971721804159)	(10, 0.0004902971721804159)	(12, 0.0005056189588110539)	(14, 0.0005362625320723298)	(16, 0.0005515843187029678)	(18, 0.0005592452120182868)	(20, 0.0005822278919642438)	(22, 0.0005898887852795628)	(24, 0.0006281932518561579)	(26, 0.0007201239716399858)	(28, 0.0007507675449012618)	(30, 0.0008503591580004087)	(32, 0.0013023518636042298)	(34, 0.0017696663558386884)	(36, 0.0018769188622531545)	(38, 0.002145050128289319)	(40, 0.0027042953403076065)	(42, 0.003478045565154825)	(44, 0.004198169536794812)	(46, 0.005270694600939471)	(48, 0.006841177730579865)	(50, 0.009124123938544927)	(52, 0.012188481264672526)	(54, 0.016087875962169894)	(56, 0.020140488525973645)	(58, 0.02592446297903949)	(60, 0.03297248482913297)	(62, 0.04192040822142556)	(64, 0.051236054492853456)	(66, 0.062014931387507286)	(68, 0.07536020754279299)	(70, 0.09077392489321481)	(72, 0.10736741981419576)	(74, 0.1254854325049252)	(76, 0.14627709696270097)	(78, 0.16993393552040603)	(80, 0.19584307671281487)	(82, 0.22624916228131597)	(84, 0.25721449306183536)	(86, 0.2903785002238513)	(88, 0.32668347364514805)	(90, 0.36595321277947324)	(92, 0.40805748244046647)	(94, 0.4503532744343426)	(96, 0.49628799075299534)	(98, 0.5454479431573973)	(100, 0.5978024880742874)	(102, 0.6538342617825306)	(104, 0.7128537838837481)	(106, 0.7733901628613988)	(108, 0.8375961097370874)	(110, 0.9040083938875877)	(112, 0.9758062860387573)	(114, 1.052407558298632)	(116, 1.1324102671905083)	(118, 1.220150478330857)	(120, 1.310786507144396)	(122, 1.4077963991962803)	(124, 1.5115402164723302)	(126, 1.6181262251683635)	(128, 1.7283128537225967)	(130, 1.8476465888953206)	(132, 1.9758439776338688)	(134, 2.1126981758187275)	(136, 2.257665260024509)	(138, 2.4114576933295377)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2 - illumina_universal_adapter	(1, 0.0003524010925046739)	(2, 0.0003677228791353119)	(3, 0.0003677228791353119)	(4, 0.0003830446657659499)	(5, 0.0003830446657659499)	(6, 0.0003830446657659499)	(7, 0.0003830446657659499)	(8, 0.0004443318122885019)	(9, 0.0005056189588110539)	(10, 0.0005209407454416919)	(12, 0.0005362625320723298)	(14, 0.0005669061053336058)	(16, 0.0005822278919642438)	(18, 0.0005898887852795628)	(20, 0.0005975496785948818)	(22, 0.0006205323585408389)	(24, 0.0006588368251174339)	(26, 0.0007048021850093478)	(28, 0.0007584284382165809)	(30, 0.0008426982646850898)	(32, 0.0012640473970276346)	(34, 0.0017466836758927317)	(36, 0.0018769188622531545)	(38, 0.002145050128289319)	(40, 0.002612364620523778)	(42, 0.0033095059122178073)	(44, 0.004044951670488431)	(46, 0.005086833161371814)	(48, 0.006672638077642847)	(50, 0.008886636245770038)	(52, 0.011905028212005724)	(54, 0.015766118442926497)	(56, 0.01981107011341493)	(58, 0.025671653499633962)	(60, 0.032750318922988714)	(62, 0.04163695516875875)	(64, 0.050944940546871334)	(66, 0.06170083476157921)	(68, 0.07500780645028832)	(70, 0.09035257576087227)	(72, 0.10674688745565492)	(74, 0.12471934317339328)	(76, 0.14518158921861032)	(78, 0.1686392445501171)	(80, 0.19421896732996724)	(82, 0.22438756520569347)	(84, 0.25526096526642905)	(86, 0.2882257892022467)	(88, 0.3243315793973451)	(90, 0.3633638308388954)	(92, 0.4051233603006993)	(94, 0.44714336013522393)	(96, 0.49259544017501156)	(98, 0.5416098356064225)	(100, 0.5935353704976547)	(102, 0.649475213486114)	(104, 0.7082725696811873)	(106, 0.7680198766473603)	(108, 0.8318657615372287)	(110, 0.8979562881684857)	(112, 0.9691796133210064)	(114, 1.0451143878624483)	(116, 1.1243739901027388)	(118, 1.2116315649642222)	(120, 1.301639400525905)	(122, 1.3978142552064197)	(124, 1.500922218337298)	(126, 1.6070255907544662)	(128, 1.7164384690838523)	(130, 1.834638392045909)	(132, 1.9618322037601503)	(134, 2.0976138768808643)	(136, 2.2420293767679427)	(138, 2.3944122057029524)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 0.0003202722313966872)	(2, 0.0003402892458589801)	(3, 0.00034696158401307777)	(4, 0.00038032327478356603)	(5, 0.000400340289245859)	(6, 0.0004270296418622496)	(7, 0.0004270296418622496)	(8, 0.00043370198001634725)	(9, 0.00045371899447864015)	(10, 0.0005104338687884702)	(12, 0.0005237785450966654)	(14, 0.0005404593904819097)	(16, 0.0005771572503294466)	(18, 0.0006171912792540327)	(20, 0.0006505529700245208)	(22, 0.0006839146607950091)	(24, 0.000723948689719595)	(26, 0.0007673188877212298)	(28, 0.0008173614238769621)	(30, 0.0008807486363408897)	(32, 0.001427880364976897)	(34, 0.0020083737843833924)	(36, 0.0022152162671604195)	(38, 0.0025555055130194)	(40, 0.0030392500291914794)	(42, 0.00363308812490617)	(44, 0.004430432534320839)	(46, 0.005494670469899415)	(48, 0.006935895511184507)	(50, 0.009074379889572803)	(52, 0.011843400223523329)	(54, 0.015346377754424594)	(56, 0.019506580593504477)	(58, 0.024917846836477672)	(60, 0.031983852941667085)	(62, 0.04013077782782032)	(64, 0.04924185557724066)	(66, 0.060317936913042755)	(68, 0.07309546447813975)	(70, 0.08771789354284476)	(72, 0.10392500291914794)	(74, 0.12185357553920834)	(76, 0.1420407346244308)	(78, 0.16397271013694975)	(80, 0.18846686350064223)	(82, 0.21686767085355885)	(84, 0.24650953310313767)	(86, 0.2780463393884802)	(88, 0.31310280405010926)	(90, 0.35158885052294453)	(92, 0.3927304875811106)	(94, 0.4355535538541093)	(96, 0.4791639560292915)	(98, 0.5253598892391866)	(100, 0.5747018298887387)	(102, 0.6269829354951708)	(104, 0.6824167208794142)	(106, 0.7395019099567965)	(108, 0.8005237785450967)	(110, 0.864364710003503)	(112, 0.9328629334934695)	(114, 1.004977564262957)	(116, 1.0806418789304242)	(118, 1.1626048808153597)	(120, 1.2489682897129226)	(122, 1.3405027606799114)	(124, 1.437048157600627)	(126, 1.5384877145573739)	(128, 1.6459590652054246)	(130, 1.760443043253432)	(132, 1.884111494770555)	(134, 2.015990258386295)	(136, 2.1537840497756426)	(138, 2.300578825334868)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 0.00033361690770488246)	(2, 0.0003536339221671754)	(3, 0.00036030626032127307)	(4, 0.00039366795109176133)	(5, 0.0004136849655540543)	(6, 0.0004403743181704449)	(7, 0.0004403743181704449)	(8, 0.00044704665632454255)	(9, 0.00046706367078683546)	(10, 0.0005371232214048608)	(12, 0.0005571402358671537)	(14, 0.0006005104338687884)	(16, 0.0006338721246392767)	(18, 0.0006705699844868138)	(20, 0.0007005955061802531)	(22, 0.0007306210278736926)	(24, 0.0007639827186441809)	(26, 0.0008040167475687667)	(28, 0.0008507231146474503)	(30, 0.0009041018198802315)	(32, 0.001431216534053946)	(34, 0.001981684431767002)	(36, 0.00215850139285059)	(38, 0.002462092778862033)	(40, 0.0028891224207242823)	(42, 0.0034162371348979963)	(44, 0.0041868921916962745)	(46, 0.005217768436504362)	(48, 0.006695691337636991)	(50, 0.008890890590335118)	(52, 0.011706617291364326)	(54, 0.015179569300572153)	(56, 0.01939315084488482)	(58, 0.024744366044471132)	(60, 0.03171028707734908)	(62, 0.03983052261088592)	(64, 0.04887154080968824)	(66, 0.05986088174948707)	(68, 0.07237485195749721)	(70, 0.08679043853942517)	(72, 0.10265725866986938)	(74, 0.12032894627099701)	(76, 0.14028257352082601)	(78, 0.16170411516455652)	(80, 0.18577791122454085)	(82, 0.2136716208777461)	(84, 0.24298987472685116)	(86, 0.27411633221571674)	(88, 0.30882583529333263)	(90, 0.34690486913876795)	(92, 0.38758611486430133)	(94, 0.42994878980466733)	(96, 0.47290863900982505)	(98, 0.518410649051694)	(100, 0.566861832557674)	(102, 0.6184223256434636)	(104, 0.6729720262222889)	(106, 0.7293799729770305)	(108, 0.7895811439723766)	(110, 0.8523378204807419)	(112, 0.9198051677259003)	(114, 0.9906887521059566)	(116, 1.0651086757076849)	(118, 1.1456271163822582)	(120, 1.230199002485446)	(122, 1.3200186825468314)	(124, 1.414208744099151)	(126, 1.5134564379722764)	(128, 1.618315568232998)	(130, 1.7300371982852092)	(132, 1.851043386878847)	(134, 1.9792890623696808)	(136, 2.1142137483527668)	(138, 2.2576156399606333)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1 - illumina_universal_adapter	(1, 1.4233047652345205e-05)	(2, 1.6266340174108805e-05)	(3, 3.253268034821761e-05)	(4, 4.066585043527201e-05)	(5, 4.269914295703561e-05)	(6, 4.269914295703561e-05)	(7, 4.473243547879921e-05)	(8, 4.473243547879921e-05)	(9, 4.676572800056282e-05)	(10, 5.388225182673542e-05)	(12, 6.303206817467163e-05)	(14, 8.336499339230762e-05)	(16, 9.658139478377104e-05)	(18, 0.00011183108869699804)	(20, 0.00012403084382757963)	(22, 0.00013928053774080664)	(24, 0.00015249693913227006)	(26, 0.00017689644939343325)	(28, 0.00019824602087195107)	(30, 0.00022061223861135067)	(32, 0.0002460283951333957)	(34, 0.00029686070817748565)	(36, 0.0003690425927000935)	(38, 0.00047680709635356433)	(40, 0.0005977880013984986)	(42, 0.000763501341922232)	(44, 0.0010308793085341455)	(46, 0.0014741370782786105)	(48, 0.002035325814285364)	(50, 0.002911674891165476)	(52, 0.0041164007103104095)	(54, 0.005497006332587894)	(56, 0.007254787717652527)	(58, 0.009461926750026916)	(60, 0.01216417251145074)	(62, 0.015255793790792296)	(64, 0.018705274553964243)	(66, 0.022801342339057017)	(68, 0.027699544023985532)	(70, 0.03339174643866273)	(72, 0.03950687369786676)	(74, 0.046596964721256434)	(76, 0.05457662122291769)	(78, 0.06331672912771852)	(80, 0.07314769847044553)	(82, 0.08407766242118578)	(84, 0.09599987312254665)	(86, 0.10959853350810161)	(88, 0.12419045729053807)	(90, 0.14059201141734418)	(92, 0.15877574643947606)	(94, 0.17844480164875626)	(96, 0.20041249405389017)	(98, 0.22463917445070347)	(100, 0.2510506276621518)	(102, 0.2805486189216372)	(104, 0.3132480292566394)	(106, 0.3481433955151464)	(108, 0.3862259478015177)	(110, 0.4283191695870678)	(112, 0.4746497729879732)	(114, 0.5239865993823061)	(116, 0.5777885361544318)	(118, 0.6366798041085319)	(120, 0.699415011575026)	(122, 0.7655702170631264)	(124, 0.8378883321846925)	(126, 0.9141723843699583)	(128, 0.9934860424126519)	(130, 1.0797474610022118)	(132, 1.171408287883315)	(134, 1.2698196459366733)	(136, 1.3747863390801975)	(138, 1.4868573562947636)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2 - illumina_universal_adapter	(1, 1.8299632695872407e-05)	(2, 2.0332925217636007e-05)	(3, 2.846609530469041e-05)	(4, 3.6599265391744815e-05)	(5, 3.6599265391744815e-05)	(6, 4.269914295703561e-05)	(7, 4.473243547879921e-05)	(8, 4.473243547879921e-05)	(9, 4.676572800056282e-05)	(10, 6.303206817467163e-05)	(12, 7.319853078348963e-05)	(14, 8.438163965318943e-05)	(16, 9.963133356641643e-05)	(18, 0.00011894761252317064)	(20, 0.00013318066017551584)	(22, 0.00015249693913227006)	(24, 0.00017791309565431506)	(26, 0.00021044577600253265)	(28, 0.00022874540869840507)	(30, 0.0002592447965248591)	(32, 0.0002988940006992493)	(34, 0.00035277625252598467)	(36, 0.0004330913071356469)	(38, 0.0005530555659196993)	(40, 0.0006923361036605061)	(42, 0.0008783823694018754)	(44, 0.001145760336013789)	(46, 0.0016103676772367716)	(48, 0.002183756168374107)	(50, 0.0030987378031677275)	(52, 0.004333963010139115)	(54, 0.005736934850155999)	(56, 0.0075353820856559044)	(58, 0.009751670934378228)	(60, 0.012503732362585262)	(62, 0.015638052784883852)	(64, 0.019111933058316963)	(66, 0.0232435834625406)	(68, 0.02823633324973112)	(70, 0.034012917304061516)	(72, 0.040177860230048754)	(74, 0.04729540070248223)	(76, 0.055342155857361686)	(78, 0.06407006400703194)	(80, 0.07393051609132452)	(82, 0.08484523034815153)	(84, 0.09687520555316587)	(86, 0.11061619641524428)	(88, 0.125283352020986)	(90, 0.14174285498466238)	(92, 0.16004960420436093)	(94, 0.1798386236724252)	(96, 0.201919163812517)	(98, 0.22622615926393996)	(100, 0.2525857635160833)	(102, 0.2822464181773098)	(104, 0.3149844610702256)	(106, 0.34990321019273274)	(108, 0.3880203284519741)	(110, 0.4301105002987415)	(112, 0.4765651345434745)	(114, 0.526034124951722)	(116, 0.5798970604995006)	(118, 0.638759862358296)	(120, 0.7012866573413095)	(122, 0.7671256858422757)	(124, 0.8391266073304465)	(126, 0.9150212839977947)	(128, 0.9938449185427434)	(130, 1.0795624313827314)	(132, 1.170600054105914)	(134, 1.268361775198569)	(136, 1.3727367802182597)	(138, 1.4844123220373429)
