Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	0.1057155976292293	0.0
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	0.10355754129141882	0.0
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	0.10451976226225185	0.0
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	0.10402066272100752	0.0
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	0.13789607967574197	0.21862657343257358
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	0.13067951817271145	0.3514817853068356
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	0.13851106774091312	0.21334134013911824
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	0.12814892658759947	0.3393884802081769
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	0.1478752652303014	0.48730091905838635
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	0.16140276037759463	0.4869715256698607
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	0.13810433305992853	0.20877873196704172
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	0.11752172332234564	0.3375959992487948
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	0.13234301523600786	0.20910037420785801
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	0.11568255456333994	0.33194394586350573
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	0.29406719153513633	2.450130143544305
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	0.3083972526193958	2.4473641769284518
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	0.17252510555474085	0.7729635124351769
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	0.1790669284665472	0.9459869519041118
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	0.11394464451643142	0.10382002172840178
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	0.11470437884508909	0.10102916092925122
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	0.1099282917268562	0.10215356247414026
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	0.11294311031077336	0.0
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	0.16032397391159742	0.825475902684804
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	0.161684842886316	0.673167447034299
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	0.16637876816595884	0.9093742519817346
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	0.17356810320541238	0.8727657678418814
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	0.13402662362678142	0.3701836926006631
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	0.16188441285001207	0.4798779874359981
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_1	0.11564525388102807	0.10361159628203005
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_2	0.11359106550196037	0.10125205557634419
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_1	0.11352332580717517	0.1064892509978273
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_2	0.11189914887694807	0.0
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1	0.16919209472875862	0.6301970724997932
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2	0.1584286746023456	0.6861240767337895
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_1	0.14600107335516888	0.362814066984132
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_2	0.1412336221190057	0.5820489597731032
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1	0.10310302072439699	0.0
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2	0.10602269549829463	0.0
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1	0.10534936314154496	0.0
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2	0.10276951620527822	0.0
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1	0.12675000381649393	0.10140565711827004
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2	0.11773177002203389	0.4222031743052143
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1	0.11834115871567183	0.1005384795397044
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2	0.11947427682523816	0.21513489498418908
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1	0.16257279856140308	0.5002768929452578
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2	0.18125581964072468	0.7049434362618657
