Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	(1, 0.12009291890680447)	(2, 0.2613289573394548)	(3, 2.916292348392532e-05)	(4, 0.020880653214490532)	(5, 0.00613879539336628)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.036001629040905814)	(15, 2.9162923483925326e-06)	(20, 0.035368793601304634)	(25, 8.748877045177597e-05)	(30, 0.0448321622718384)	(35, 0.04107306143476042)	(40, 0.001764356870777482)	(45, 0.03256040406980262)	(50, 0.0005774258849817214)	(55, 0.023187440462069026)	(60, 0.00016622866385837434)	(65, 0.001035283783679349)	(70, 0.0004170298058201321)	(75, 0.000673663532478675)	(80, 0.00030912698892960846)	(85, 0.0003674528358974591)	(90, 0.007235321316361873)	(95, 0.0004520253140008425)	(100, 0.0008369759039886568)	(105, 0.0005803421773301139)	(110, 0.0004870208221815529)	(115, 0.00014581461741962663)	(120, 0.0003207921583231786)	(125, 0.02482931305421402)	(130, 4.082809287749546e-05)	(135, 0.007407382564917032)	(140, 0.000536597792104226)	(145, 0.025091779365569347)	(150, 0.00017497754090355194)
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	(1, 0.009025924818274888)	(2, 0.07458417681013901)	(3, 0.004009901979039732)	(4, 0.0020997304908426232)	(5, 0.0004520253140008425)	(6, 0.0)	(7, 0.002580918728327391)	(8, 0.13299751254844144)	(9, 2.916292348392532e-05)	(10, 0.007967310695808399)	(15, 0.008092711266789277)	(20, 0.0005803421773301139)	(25, 0.00022747080317461751)	(30, 0.0003032944042328234)	(35, 0.0006911612865690301)	(40, 0.000498685991575123)	(45, 0.0007582360105820585)	(50, 0.0012190102016280786)	(55, 0.0004957696992267305)	(60, 0.0010936096306471996)	(65, 0.0008894691662597224)	(70, 0.0004636904833944126)	(75, 0.0010673629995116669)	(80, 0.0004957696992267305)	(85, 0.004012818271388124)	(90, 0.0008078129805047315)	(95, 0.01738985127346467)	(100, 0.008684718613512962)	(105, 0.0005336814997558334)	(110, 0.00021872192612943994)	(115, 0.0029979485341475234)	(120, 0.00034120620476192626)	(125, 0.00043161126756209475)	(130, 3.7911800529102924e-05)	(135, 0.00011665169393570128)	(140, 0.00017497754090355194)	(145, 0.002318452416972063)	(150, 0.012117194707570972)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	(1, 6.238744265554229e-05)	(2, 0.09150851449953487)	(3, 0.007389445985645342)	(4, 0.04898107442267354)	(5, 0.0)	(6, 0.0)	(7, 4.852356650986623e-05)	(8, 6.931938072838032e-06)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.040209399985304296)	(30, 0.00013586598622762543)	(35, 0.00020934452979970856)	(40, 0.0)	(45, 0.0)	(50, 0.00011784294723824654)	(55, 5.5455504582704257e-05)	(60, 7.763770641578596e-05)	(65, 1.525026376024367e-05)	(70, 0.00033134663988165796)	(75, 6.37738302701099e-05)	(80, 0.0)	(85, 0.0)	(90, 0.00016636651374811278)	(95, 0.0002592544839241424)	(100, 2.772775229135213e-06)	(105, 0.0003008461123611706)	(110, 0.0)	(115, 0.0)	(120, 7.070576834294794e-05)	(125, 0.0)	(130, 1.3863876145676065e-06)	(135, 0.0)	(140, 0.0)	(145, 5.129634173900144e-05)	(150, 0.0)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	(1, 0.1944408629431068)	(2, 0.20060335588985984)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00013586598622762543)	(15, 2.772775229135213e-06)	(20, 6.51602178846775e-05)	(25, 5.545550458270426e-06)	(30, 1.940942660394649e-05)	(35, 0.0)	(40, 0.0)	(45, 0.05002363790882838)	(50, 0.0002648000343824128)	(55, 6.931938072838032e-06)	(60, 2.3568589447649313e-05)	(65, 0.03237353718776818)	(70, 0.00014002514907132825)	(75, 0.025454076603461256)	(80, 0.0326508147106817)	(85, 0.04302376684287653)	(90, 0.0003188691513505495)	(95, 0.0011382242315600049)	(100, 1.940942660394649e-05)	(105, 1.663665137481128e-05)	(110, 0.053649041520922675)	(115, 0.004062115710683087)	(120, 0.004210459185441821)	(125, 0.006995711903108143)	(130, 0.009165408519906446)	(135, 0.006418974655448019)	(140, 0.0039012947473932445)	(145, 0.005261340997284067)	(150, 0.0)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	(1, 0.12392261026860012)	(2, 0.2613437145587923)	(3, 1.5321786630637996e-05)	(4, 0.02011750584602769)	(5, 0.005423912467245851)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.03796738727072095)	(15, 1.5321786630637996e-05)	(20, 0.03624828281076337)	(25, 9.193071978382798e-05)	(30, 0.047197231537017284)	(35, 0.0429684184269612)	(40, 0.001734426246588221)	(45, 0.03365583651285942)	(50, 0.0005301338174200747)	(55, 0.02434019024143152)	(60, 0.00018999015421991116)	(65, 0.001054138920187894)	(70, 0.00033401494854790834)	(75, 0.0006067427505732646)	(80, 0.00028804958865599436)	(85, 0.00031869316191727033)	(90, 0.007489289305055853)	(95, 0.0004596535989191399)	(100, 0.0008580200513157277)	(105, 0.0005423912467245851)	(110, 0.0005331981747462022)	(115, 0.00017466836758927315)	(120, 0.00032175751924339794)	(125, 0.025768180755406985)	(130, 2.7579215935148395e-05)	(135, 0.007826368610929888)	(140, 0.0006006140359210094)	(145, 0.023871343570533998)	(150, 0.00015321786630637996)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	(1, 0.010372849548941923)	(2, 0.07181321393780028)	(3, 0.0040143080972271546)	(4, 0.0014862133031718857)	(5, 0.00032175751924339794)	(6, 0.0)	(7, 0.0021603719149199574)	(8, 0.13483172234961435)	(9, 6.128714652255198e-05)	(10, 0.008384081644285113)	(15, 0.008653745088984342)	(20, 0.0005669061053336058)	(25, 0.00021450501282893193)	(30, 0.0002911139459821219)	(35, 0.0006251288945300303)	(40, 0.00040755952437497074)	(45, 0.0006527081104651787)	(50, 0.0010663963494924045)	(55, 0.0005056189588110539)	(60, 0.0009070497685337694)	(65, 0.0007752824035102827)	(70, 0.0003922377377443327)	(75, 0.0009315646271427901)	(80, 0.00041675259635335347)	(85, 0.004035758598510048)	(90, 0.0007507675449012618)	(95, 0.017445386257644423)	(100, 0.008555685654548256)	(105, 0.0005546486760290955)	(110, 0.00024514858609020793)	(115, 0.003003070179605047)	(120, 0.0002727278020253563)	(125, 0.0004473961696146295)	(130, 3.370793058740359e-05)	(135, 9.499507710995558e-05)	(140, 0.00019305451154603878)	(145, 0.002417777930314676)	(150, 0.011644557839284878)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	(1, 5.337870523278119e-05)	(2, 0.08070192997381107)	(3, 0.006692355168559943)	(4, 0.0454252781530968)	(5, 0.0)	(6, 6.672338154097649e-06)	(7, 6.672338154097649e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0387769604163539)	(30, 0.00015212930991342642)	(35, 0.00023620077065505677)	(40, 0.0)	(45, 0.0)	(50, 0.00011743315151211863)	(55, 4.270296418622496e-05)	(60, 7.739912258753274e-05)	(65, 1.2010208677375769e-05)	(70, 0.00027490033194882315)	(75, 5.471317286360073e-05)	(80, 1.33446763081953e-06)	(85, 0.0)	(90, 0.00015880164806752407)	(95, 0.00018815993594555372)	(100, 1.33446763081953e-06)	(105, 0.00031359989324258956)	(110, 0.0)	(115, 0.0)	(120, 4.670636707868355e-05)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 5.738210812523979e-05)	(150, 0.0)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	(1, 0.1726334050609685)	(2, 0.1829021334801248)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00015212930991342642)	(15, 0.0)	(20, 7.339571969507415e-05)	(25, 1.33446763081953e-06)	(30, 1.734807920065389e-05)	(35, 0.0)	(40, 0.0)	(45, 0.049101736476004604)	(50, 0.00027490033194882315)	(55, 1.33446763081953e-06)	(60, 2.135148209311248e-05)	(65, 0.032139318420657564)	(70, 0.00011476421625047957)	(75, 0.025986088174948706)	(80, 0.03222739328429165)	(85, 0.04201971675924536)	(90, 0.00021084588566948573)	(95, 0.0010769153780713606)	(100, 3.603062603212731e-05)	(105, 3.603062603212731e-05)	(110, 0.05058299554621429)	(115, 0.003636424293983219)	(120, 0.003962034395903185)	(125, 0.006221288094880649)	(130, 0.007992126640978163)	(135, 0.005666149560459724)	(140, 0.0031773674289813005)	(145, 0.004593237585280822)	(150, 0.0)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	(1, 6.303206817467161e-05)	(2, 0.08821032947167029)	(3, 0.007226321622347836)	(4, 0.04768477622039997)	(5, 0.0)	(6, 1.0166462608818003e-05)	(7, 2.439951026116321e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.039421068753448335)	(30, 0.0001435504520365102)	(35, 0.00020698917871553457)	(40, 0.0)	(45, 0.0)	(50, 0.00010207128459253275)	(55, 5.6525532105028095e-05)	(60, 7.807843283572227e-05)	(65, 1.1386438121876163e-05)	(70, 0.00033955985113452133)	(75, 6.425204368772979e-05)	(80, 8.133170087054403e-07)	(85, 0.0)	(90, 0.0001760831323847278)	(95, 0.00023545527402022494)	(100, 2.0332925217636006e-06)	(105, 0.00030092729322101294)	(110, 4.066585043527201e-07)	(115, 0.0)	(120, 6.669199471384611e-05)	(125, 0.0)	(130, 2.0332925217636006e-06)	(135, 0.0)	(140, 0.0)	(145, 4.717238650491554e-05)	(150, 0.0)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	(1, 0.18898640672783962)	(2, 0.19586096874392236)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012606413634934322)	(15, 8.133170087054403e-07)	(20, 6.343872667902434e-05)	(25, 1.2199755130581604e-06)	(30, 2.358619325245777e-05)	(35, 0.0)	(40, 0.0)	(45, 0.049893338557539586)	(50, 0.00025944812577703545)	(55, 1.6266340174108805e-06)	(60, 2.724611979163225e-05)	(65, 0.03315527451838163)	(70, 0.00014192381801909933)	(75, 0.02522624700051229)	(80, 0.032767322305229135)	(85, 0.04260235823299967)	(90, 0.00029523407416007485)	(95, 0.0012195688545538076)	(100, 4.391911847009377e-05)	(105, 5.4898898087617215e-05)	(110, 0.052859099029783974)	(115, 0.004060078507457558)	(120, 0.004367918995252566)	(125, 0.006972973374136092)	(130, 0.00908515764574412)	(135, 0.006454077122582022)	(140, 0.003690832585505288)	(145, 0.005169849565836131)	(150, 0.0)
