Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	(1, 39.1304625254246)	(2, 39.35248861078477)	(3, 39.479325164117995)	(4, 39.38210006003188)	(5, 39.36375803930666)	(6, 39.299644810173426)	(7, 39.35132092732847)	(8, 39.32353682686687)	(9, 39.315971964515136)	(10, 39.2737318612084)	(15, 39.554767489114575)	(20, 39.605645767008944)	(25, 39.49596412843759)	(30, 39.41325125331309)	(35, 39.45343338743542)	(40, 39.464780389333775)	(45, 39.43682341106176)	(50, 39.440812490713434)	(55, 39.447691616082366)	(60, 39.46653681388936)	(65, 39.45850884431271)	(70, 39.44567225860864)	(75, 39.43645992438345)	(80, 39.424840890734835)	(85, 39.41249669183087)	(90, 39.394988730717294)	(95, 39.37878499386776)	(100, 39.35414372334418)	(105, 39.334519758828456)	(110, 39.31429678786437)	(115, 39.301654135601474)	(120, 39.286037623379215)	(125, 39.256498731485735)	(130, 39.243200788332146)	(135, 39.1906494335175)	(140, 39.160721391573055)	(145, 39.13473850991751)	(150, 39.10612898206961)
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	(1, 38.82166011983337)	(2, 39.33381238295643)	(3, 39.513281014076505)	(4, 39.48695826771068)	(5, 39.53511646140586)	(6, 39.53469097435223)	(7, 39.59459366059286)	(8, 39.53220483512523)	(9, 39.601140445285765)	(10, 39.581031209723264)	(15, 39.61725955133134)	(20, 39.62356480869195)	(25, 39.52994091737517)	(30, 39.49170412522676)	(35, 39.49220228628572)	(40, 39.48456638305237)	(45, 39.4735023781635)	(50, 39.45618380107503)	(55, 39.44217171625117)	(60, 39.42657637631137)	(65, 39.4010996463558)	(70, 39.38835929829923)	(75, 39.36049943256241)	(80, 39.33599056171145)	(85, 39.31883436378093)	(90, 39.29186641689595)	(95, 39.258909980325235)	(100, 39.23682833959583)	(105, 39.21705966865378)	(110, 39.19590850016105)	(115, 39.16331875819023)	(120, 39.12811730144387)	(125, 39.0946071776079)	(130, 39.06936765887195)	(135, 39.010580746083825)	(140, 38.96983127644804)	(145, 38.91651147859959)	(150, 38.86784602501333)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	(1, 38.82355430965522)	(2, 39.12095524879419)	(3, 39.11337517451154)	(4, 38.87654856030578)	(5, 38.97184468576832)	(6, 38.85645675371794)	(7, 38.91752754405593)	(8, 38.85523631670084)	(9, 38.817078631746334)	(10, 38.8524326250279)	(15, 39.23933176116977)	(20, 39.32788427545304)	(25, 39.13423939309496)	(30, 39.073533278155104)	(35, 39.11404338561401)	(40, 39.11940080327299)	(45, 39.088396795226394)	(50, 39.08589577969746)	(55, 39.10637979534146)	(60, 39.1087835696431)	(65, 39.091031569432374)	(70, 39.07619688922347)	(75, 39.04867019086398)	(80, 39.02311368794356)	(85, 38.99296197554689)	(90, 38.96216770021863)	(95, 38.93831210080702)	(100, 38.91597986410629)	(105, 38.896965585700244)	(110, 38.88499443365372)	(115, 38.85597950364551)	(120, 38.82050453418069)	(125, 38.778804961603996)	(130, 38.75115077103948)	(135, 38.70869445264724)	(140, 38.66917142544215)	(145, 38.63131430932249)	(150, 38.56934170156897)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	(1, 38.334700034243774)	(2, 38.88050184458872)	(3, 39.18354551995774)	(4, 39.1427064227179)	(5, 39.22325443401419)	(6, 39.22052020036074)	(7, 39.29723484990274)	(8, 39.29158947953623)	(9, 39.32283227898555)	(10, 39.30711402622213)	(15, 39.353642691865645)	(20, 39.3664069130832)	(25, 39.218787382209044)	(30, 39.17878826949711)	(35, 39.148000981562426)	(40, 39.124779432662464)	(45, 39.078394895875356)	(50, 39.07297919448107)	(55, 39.02808696532229)	(60, 38.98454324766844)	(65, 38.93510544171003)	(70, 38.921212395968944)	(75, 38.86508840300625)	(80, 38.81964674843581)	(85, 38.768284858290386)	(90, 38.738166613290744)	(95, 38.686606331077684)	(100, 38.6402951896509)	(105, 38.59456164503209)	(110, 38.51767145109032)	(115, 38.47377340048995)	(120, 38.368868361109605)	(125, 38.22013683645756)	(130, 38.10927637498458)	(135, 38.07063212343286)	(140, 38.03865237578314)	(145, 37.99494792034926)	(150, 37.97143376047936)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	(1, 39.099438701668575)	(2, 39.35579272319323)	(3, 39.493846923707004)	(4, 39.41207270984489)	(5, 39.35791111341278)	(6, 39.295351645728424)	(7, 39.36514177095952)	(8, 39.3424085296999)	(9, 39.337484720348286)	(10, 39.287651773787914)	(15, 39.5622481596236)	(20, 39.61173189202308)	(25, 39.51111169674384)	(30, 39.42857654167051)	(35, 39.469620543696664)	(40, 39.48212091524999)	(45, 39.45302355540833)	(50, 39.45777416728389)	(55, 39.462534707677165)	(60, 39.48405305383126)	(65, 39.47559493731397)	(70, 39.46342349387603)	(75, 39.451961878169115)	(80, 39.44319891938504)	(85, 39.4305293953073)	(90, 39.412205886814284)	(95, 39.39682624511733)	(100, 39.36919750916779)	(105, 39.351306381493494)	(110, 39.32709360722968)	(115, 39.311330859579805)	(120, 39.289810123227)	(125, 39.25443861433439)	(130, 39.233854223006155)	(135, 39.17427631371297)	(140, 39.13727285068275)	(145, 39.10252499979315)	(150, 39.07246806709839)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	(1, 38.951898783051774)	(2, 39.34255592528729)	(3, 39.51623726338182)	(4, 39.50381221373157)	(5, 39.52438201871893)	(6, 39.51192448688103)	(7, 39.600588908190936)	(8, 39.53544097787319)	(9, 39.59058899092858)	(10, 39.560528135856444)	(15, 39.60603175838645)	(20, 39.60888473634422)	(25, 39.52123670107225)	(30, 39.48315942594781)	(35, 39.48788448108326)	(40, 39.48010401654508)	(45, 39.472131049079664)	(50, 39.4566079341727)	(55, 39.44593520661582)	(60, 39.43026880236029)	(65, 39.409203981090464)	(70, 39.39856545176134)	(75, 39.36962541602482)	(80, 39.34764943874764)	(85, 39.33232011379797)	(90, 39.30296884130827)	(95, 39.27033135202204)	(100, 39.24491489820052)	(105, 39.226799949867114)	(110, 39.20639065591649)	(115, 39.17201543087775)	(120, 39.13852194401603)	(125, 39.10424827177908)	(130, 39.08179345802612)	(135, 39.024625052898465)	(140, 38.98615842053217)	(145, 38.93657969305558)	(150, 38.89296169216263)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	(1, 38.77135725366561)	(2, 39.10249245191746)	(3, 39.10207956763249)	(4, 38.98495667984454)	(5, 38.90582141486931)	(6, 38.7840780663564)	(7, 38.947880231530135)	(8, 38.92189774641779)	(9, 38.87955695674657)	(10, 38.917489679560965)	(15, 39.25576302523812)	(20, 39.34021683764533)	(25, 39.17284806752407)	(30, 39.11535381073914)	(35, 39.15667429314918)	(40, 39.16060464728353)	(45, 39.1258175849472)	(50, 39.12435564896829)	(55, 39.144680978832014)	(60, 39.150695744716344)	(65, 39.13142707301206)	(70, 39.116325730204004)	(75, 39.08761046889856)	(80, 39.06484936195766)	(85, 39.03645736209111)	(90, 39.00565296502027)	(95, 38.98129359288729)	(100, 38.95559158618159)	(105, 38.939039009825024)	(110, 38.921998525413265)	(115, 38.89106876845319)	(120, 38.85185509015997)	(125, 38.80369556789939)	(130, 38.77023122987873)	(135, 38.71957403793224)	(140, 38.67264380056381)	(145, 38.62849221838563)	(150, 38.56515104505496)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	(1, 38.48745366895194)	(2, 38.87484441775509)	(3, 39.17266956913377)	(4, 39.162246309362956)	(5, 39.191285392583694)	(6, 39.172949273549186)	(7, 39.31588997314384)	(8, 39.30871053729003)	(9, 39.311489699577976)	(10, 39.26325344542861)	(15, 39.33493111811706)	(20, 39.34330802515471)	(25, 39.21109767302207)	(30, 39.17178922083772)	(35, 39.149654753206896)	(40, 39.13352877946254)	(45, 39.094105002585536)	(50, 39.091864191229206)	(55, 39.05380888421824)	(60, 39.01505468981968)	(65, 38.97229679894578)	(70, 38.959191579509245)	(75, 38.905446829805335)	(80, 38.86109118083704)	(85, 38.80989272881949)	(90, 38.77848891557824)	(95, 38.72506534554371)	(100, 38.67422671937813)	(105, 38.62872719144606)	(110, 38.549716352232736)	(115, 38.50172820230529)	(120, 38.39288891557824)	(125, 38.24330734457622)	(130, 38.13088850856562)	(135, 38.09012668768453)	(140, 38.05831823716826)	(145, 38.016891691270914)	(150, 37.995514854292814)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	(1, 38.975569441362026)	(2, 39.16616841172303)	(3, 39.13203768545026)	(4, 38.98203152965715)	(5, 38.8450735812981)	(6, 38.86175914572435)	(7, 38.99437743785419)	(8, 38.89803019703723)	(9, 38.849153667403975)	(10, 38.86238656286437)	(15, 39.21742024181338)	(20, 39.302489215670626)	(25, 39.11261870895481)	(30, 39.05082582684095)	(35, 39.09189034900755)	(40, 39.097161432141455)	(45, 39.058476415280886)	(50, 39.0578870776432)	(55, 39.0798457259632)	(60, 39.089828500925606)	(65, 39.06774037253782)	(70, 39.05175858758555)	(75, 39.02201375461392)	(80, 38.99817985753329)	(85, 38.969023711545745)	(90, 38.932321455821175)	(95, 38.90920687256939)	(100, 38.884642519216904)	(105, 38.87193885726723)	(110, 38.85396389258807)	(115, 38.82846005235932)	(120, 38.79051068073312)	(125, 38.75349470423879)	(130, 38.72901821352276)	(135, 38.69102554903219)	(140, 38.65658280995537)	(145, 38.6258431520182)	(150, 38.56689395149357)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	(1, 38.31294181540286)	(2, 38.89267519585436)	(3, 39.1787084180242)	(4, 39.152737009980314)	(5, 39.20217838827612)	(6, 39.199738518581704)	(7, 39.275309007089376)	(8, 39.27175554374664)	(9, 39.295162725925486)	(10, 39.279177533174945)	(15, 39.328167390400196)	(20, 39.33929016741419)	(25, 39.197784841661914)	(30, 39.1566084152081)	(35, 39.12348326595171)	(40, 39.09783895774238)	(45, 39.05106009467214)	(50, 39.039914178789246)	(55, 38.998588549330165)	(60, 38.95709445751908)	(65, 38.91120569671632)	(70, 38.89639974856305)	(75, 38.8394693147184)	(80, 38.79705696360498)	(85, 38.7456498062323)	(90, 38.71411913243881)	(95, 38.66076518694142)	(100, 38.6146430773557)	(105, 38.569841794592115)	(110, 38.491093001478305)	(115, 38.44807297242865)	(120, 38.343528464011186)	(125, 38.192972782447974)	(130, 38.084966349517096)	(135, 38.049624651150545)	(140, 38.02646708409485)	(145, 37.99104341150699)	(150, 37.974127938628726)
