Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	(17.0, 7.0)	(18.0, 128.0)	(19.0, 619.0)	(20.0, 2226.0)	(21.0, 5802.0)	(22.0, 9706.0)	(23.0, 9204.0)	(24.0, 7622.0)	(25.0, 6107.0)	(26.0, 5613.0)	(27.0, 5665.0)	(28.0, 6243.0)	(29.0, 7132.0)	(30.0, 8745.0)	(31.0, 10460.0)	(32.0, 13832.0)	(33.0, 18448.0)	(34.0, 27741.0)	(35.0, 43447.0)	(36.0, 81313.0)	(37.0, 161024.0)	(38.0, 454181.0)	(39.0, 3983690.0)	(40.0, 1989068.0)				
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	(14.0, 1.0)	(15.0, 7.0)	(16.0, 115.0)	(17.0, 567.0)	(18.0, 1331.0)	(19.0, 2613.0)	(20.0, 6097.0)	(21.0, 9723.0)	(22.0, 8874.0)	(23.0, 6596.0)	(24.0, 5551.0)	(25.0, 5075.0)	(26.0, 5090.0)	(27.0, 5272.0)	(28.0, 6145.0)	(29.0, 6982.0)	(30.0, 8476.0)	(31.0, 10544.0)	(32.0, 13835.0)	(33.0, 18620.0)	(34.0, 27532.0)	(35.0, 42757.0)	(36.0, 82658.0)	(37.0, 168093.0)	(38.0, 505174.0)	(39.0, 4258416.0)	(40.0, 1651879.0)	
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 29.0)	(18.0, 258.0)	(19.0, 1658.0)	(20.0, 7430.0)	(21.0, 19902.0)	(22.0, 25881.0)	(23.0, 18743.0)	(24.0, 15258.0)	(25.0, 13821.0)	(26.0, 15270.0)	(27.0, 16613.0)	(28.0, 19889.0)	(29.0, 23283.0)	(30.0, 29865.0)	(31.0, 37710.0)	(32.0, 51164.0)	(33.0, 69773.0)	(34.0, 108053.0)	(35.0, 176579.0)	(36.0, 352157.0)	(37.0, 729328.0)	(38.0, 2133583.0)	(39.0, 8362416.0)	(40.0, 2197316.0)			
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	(14.0, 4.0)	(15.0, 25.0)	(16.0, 243.0)	(17.0, 1243.0)	(18.0, 3302.0)	(19.0, 8311.0)	(20.0, 19631.0)	(21.0, 26549.0)	(22.0, 20339.0)	(23.0, 13863.0)	(24.0, 13206.0)	(25.0, 13365.0)	(26.0, 15498.0)	(27.0, 17634.0)	(28.0, 21552.0)	(29.0, 26327.0)	(30.0, 34555.0)	(31.0, 44416.0)	(32.0, 62424.0)	(33.0, 87176.0)	(34.0, 135053.0)	(35.0, 219145.0)	(36.0, 433380.0)	(37.0, 926188.0)	(38.0, 2594690.0)	(39.0, 8188495.0)	(40.0, 1499366.0)	
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	(16.0, 1.0)	(17.0, 9.0)	(18.0, 64.0)	(19.0, 386.0)	(20.0, 1640.0)	(21.0, 4884.0)	(22.0, 8423.0)	(23.0, 8183.0)	(24.0, 6622.0)	(25.0, 5337.0)	(26.0, 5114.0)	(27.0, 4893.0)	(28.0, 5668.0)	(29.0, 6244.0)	(30.0, 7820.0)	(31.0, 9559.0)	(32.0, 12884.0)	(33.0, 17980.0)	(34.0, 27309.0)	(35.0, 42578.0)	(36.0, 78353.0)	(37.0, 154969.0)	(38.0, 435228.0)	(39.0, 3825289.0)	(40.0, 1857217.0)			
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 15.0)	(16.0, 142.0)	(17.0, 506.0)	(18.0, 1123.0)	(19.0, 2131.0)	(20.0, 5133.0)	(21.0, 8220.0)	(22.0, 8106.0)	(23.0, 5948.0)	(24.0, 5075.0)	(25.0, 4613.0)	(26.0, 4746.0)	(27.0, 4792.0)	(28.0, 5498.0)	(29.0, 6408.0)	(30.0, 8108.0)	(31.0, 9593.0)	(32.0, 12672.0)	(33.0, 16589.0)	(34.0, 25095.0)	(35.0, 40631.0)	(36.0, 79713.0)	(37.0, 164494.0)	(38.0, 500762.0)	(39.0, 4061781.0)	(40.0, 1544757.0)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	(16.0, 1.0)	(17.0, 11.0)	(18.0, 195.0)	(19.0, 1099.0)	(20.0, 5400.0)	(21.0, 14856.0)	(22.0, 20038.0)	(23.0, 15286.0)	(24.0, 12854.0)	(25.0, 12441.0)	(26.0, 13813.0)	(27.0, 15459.0)	(28.0, 18972.0)	(29.0, 22494.0)	(30.0, 29038.0)	(31.0, 36552.0)	(32.0, 51982.0)	(33.0, 72801.0)	(34.0, 114293.0)	(35.0, 184916.0)	(36.0, 367269.0)	(37.0, 759364.0)	(38.0, 2231739.0)	(39.0, 8774516.0)	(40.0, 2211861.0)			
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	(14.0, 6.0)	(15.0, 30.0)	(16.0, 306.0)	(17.0, 1272.0)	(18.0, 2980.0)	(19.0, 6387.0)	(20.0, 14847.0)	(21.0, 21269.0)	(22.0, 17437.0)	(23.0, 12883.0)	(24.0, 12412.0)	(25.0, 13019.0)	(26.0, 15107.0)	(27.0, 17230.0)	(28.0, 21769.0)	(29.0, 26489.0)	(30.0, 35115.0)	(31.0, 44985.0)	(32.0, 63379.0)	(33.0, 89254.0)	(34.0, 139137.0)	(35.0, 230077.0)	(36.0, 460380.0)	(37.0, 990537.0)	(38.0, 2760172.0)	(39.0, 8463621.0)	(40.0, 1527150.0)	
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	(16.0, 3.0)	(17.0, 62.0)	(18.0, 772.0)	(19.0, 4884.0)	(20.0, 23921.0)	(21.0, 64181.0)	(22.0, 83789.0)	(23.0, 61127.0)	(24.0, 49347.0)	(25.0, 45797.0)	(26.0, 50366.0)	(27.0, 55585.0)	(28.0, 66759.0)	(29.0, 79434.0)	(30.0, 102387.0)	(31.0, 129038.0)	(32.0, 177324.0)	(33.0, 241129.0)	(34.0, 374697.0)	(35.0, 620544.0)	(36.0, 1247175.0)	(37.0, 2608194.0)	(38.0, 7613051.0)	(39.0, 28543593.0)	(40.0, 6938156.0)			
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	(14.0, 7.0)	(15.0, 82.0)	(16.0, 804.0)	(17.0, 3875.0)	(18.0, 10386.0)	(19.0, 25898.0)	(20.0, 63203.0)	(21.0, 85195.0)	(22.0, 66544.0)	(23.0, 45858.0)	(24.0, 43967.0)	(25.0, 45244.0)	(26.0, 52391.0)	(27.0, 60053.0)	(28.0, 74528.0)	(29.0, 91217.0)	(30.0, 119934.0)	(31.0, 154410.0)	(32.0, 215887.0)	(33.0, 300650.0)	(34.0, 470907.0)	(35.0, 780112.0)	(36.0, 1554153.0)	(37.0, 3332826.0)	(38.0, 9175557.0)	(39.0, 27638825.0)	(40.0, 4768802.0)	
