Sample	Unique Reads	Duplicate Reads
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	2126254.0	4731769.0
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	2079618.0	4778405.0
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	3066858.0	11359122.0
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	3031940.0	11394040.0
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	2525040.0	4001614.0
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	2500617.0	4026037.0
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	4120016.0	10867234.0
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	4130640.0	10856610.0
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	16282241.0	32899074.0
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	16384616.0	32796699.0
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	2207993.0	3617313.0
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	2174233.0	3651073.0
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	3637782.0	11457839.0
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	3610114.0	11485507.0
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	9225034.0	28157919.0
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	9391520.0	27991433.0
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	11622555.0	19882425.0
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	11466217.0	20038763.0
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	2709884.0	3739739.0
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	2695311.0	3754312.0
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	4768395.0	11219300.0
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	4812408.0	11175287.0
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	2162682.0	5185564.0
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	2134997.0	5213249.0
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	3031351.0	11323245.0
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	3071512.0	11283084.0
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	20102663.0	47548075.0
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	20170619.0	47480119.0
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_1	2620561.0	4584231.0
HNF4_NKX_R1_MKRN250011209-1A_22MGWFLT4_L3_2	2577947.0	4626845.0
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_1	4054752.0	12507483.0
HNF4_NKX_R1_MKRN250011209-1A_22MVT7LT4_L4_2	4073362.0	12488873.0
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1	24549435.0	64743744.0
HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2	24982837.0	64310342.0
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_1	9573859.0	14002680.0
HNF4_NKX_R3_MKRN250011219-1A_22MVT7LT4_L4_2	9614346.0	13962193.0
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1	2654109.0	3579462.0
HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2	2642840.0	3590731.0
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1	4657455.0	10188387.0
HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2	4670320.0	10175522.0
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1	2920581.0	4153975.0
HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2	2897616.0	4176940.0
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1	5101267.0	11401867.0
HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2	5126874.0	11376260.0
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1	9380901.0	13886214.0
HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2	9469322.0	13797793.0
