Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	(1.0, 14.336379354409711)	(2.0, 12.45672714101256)	(3.0, 10.979319807975434)	(4.0, 8.819154382451192)	(5.0, 6.810097502547921)	(6.0, 5.213778645135257)	(7.0, 3.9499251231511496)	(8.0, 2.9860248150243462)	(9.0, 2.469989240239504)	('>10', 17.77120469057286)	('>50', 3.1396549683083848)	('>100', 4.246242496685676)	('>500', 2.139579886865015)	('>1k', 4.276883023948428)	('>5k', 0.4050389216727589)	('>10k+', 0.0)
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	(1.0, 13.380688333426043)	(2.0, 12.676927511808621)	(3.0, 11.06452694674951)	(4.0, 9.005550163052604)	(5.0, 7.076053040153302)	(6.0, 5.2799862324783415)	(7.0, 4.0083474696879655)	(8.0, 3.073307399841651)	(9.0, 2.4628115865381117)	('>10', 17.766691309604347)	('>50', 3.1482161273304285)	('>100', 4.348532900368459)	('>500', 1.9747834032545202)	('>1k', 3.938148509136789)	('>5k', 0.7954290665691834)	('>10k+', 0.0)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	(1.0, 8.045718590172571)	(2.0, 6.715748155612343)	(3.0, 7.308060241263879)	(4.0, 6.956281096100147)	(5.0, 6.484798467743176)	(6.0, 5.698479721069088)	(7.0, 4.891672998345174)	(8.0, 4.196118769548809)	(9.0, 3.5842408919930118)	('>10', 27.7944708689923)	('>50', 4.709045945190877)	('>100', 5.640433808505509)	('>500', 1.4587500191873852)	('>1k', 4.40610349363543)	('>5k', 1.4922898111202019)	('>10k+', 0.6177871215201433)
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	(1.0, 7.625542164195867)	(2.0, 6.825789513562102)	(3.0, 7.4124632821563825)	(4.0, 7.039027832178703)	(5.0, 6.572469956570737)	(6.0, 5.831732525742494)	(7.0, 5.027936594225388)	(8.0, 4.26158239599144)	(9.0, 3.569527936080271)	('>10', 27.781605474536814)	('>50', 4.681779631846473)	('>100', 5.339706883008138)	('>500', 1.5893768857860955)	('>1k', 4.359228716985659)	('>5k', 1.2363478465714268)	('>10k+', 0.8458823605619408)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	(1.0, 21.799902662396235)	(2.0, 15.876072283549691)	(3.0, 11.149097892940434)	(4.0, 7.645430911248274)	(5.0, 5.127093848017168)	(6.0, 3.5409886757757225)	(7.0, 2.671641162707777)	(8.0, 2.0319781542643804)	(9.0, 1.6643976599534431)	('>10', 14.166911364408605)	('>50', 3.1299253316481104)	('>100', 4.247022058790627)	('>500', 1.9498259348594944)	('>1k', 4.0995582303158775)	('>5k', 0.9001538291241913)	('>10k+', 0.0)
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	(1.0, 21.239240474504417)	(2.0, 16.127097631464814)	(3.0, 11.222066500491403)	(4.0, 7.662681845697141)	(5.0, 5.144704449650788)	(6.0, 3.68369023189702)	(7.0, 2.6905896176409807)	(8.0, 2.0570471293818273)	(9.0, 1.6266616918019852)	('>10', 14.326824845058011)	('>50', 3.032945040567876)	('>100', 4.211530734256724)	('>500', 1.8816568750339997)	('>1k', 4.050729059212661)	('>5k', 1.0425338733403373)	('>10k+', 0.0)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	(1.0, 12.442453502100422)	(2.0, 10.663962409628382)	(3.0, 9.713290906284838)	(4.0, 7.903262591941153)	(5.0, 6.072885829348858)	(6.0, 4.823309401861199)	(7.0, 3.805870843710351)	(8.0, 3.107428712282074)	(9.0, 2.4497723487196117)	('>10', 20.092419305954166)	('>50', 4.6913195485908314)	('>100', 5.79905385717892)	('>500', 1.502614017560553)	('>1k', 4.428947388897868)	('>5k', 1.3247079049783126)	('>10k+', 1.1787014309624615)
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	(1.0, 12.419960589736203)	(2.0, 10.821295569862517)	(3.0, 9.539365807512091)	(4.0, 7.983090796791208)	(5.0, 6.326806123949849)	(6.0, 4.834563989870152)	(7.0, 3.8207075035119233)	(8.0, 3.0911155491162794)	(9.0, 2.4580045064495026)	('>10', 20.114212074404442)	('>50', 4.5179286204112294)	('>100', 5.625760654046993)	('>500', 1.5006908256678964)	('>1k', 4.433899604648838)	('>5k', 1.2636168929883445)	('>10k+', 1.2489808910326134)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	(1.0, 21.1919038809574)	(2.0, 10.685985175311806)	(3.0, 6.797335034410458)	(4.0, 4.803101258225969)	(5.0, 3.575206343121426)	(6.0, 2.9488794013049775)	(7.0, 2.290267310278932)	(8.0, 1.9155913890692777)	(9.0, 1.620651477884458)	('>10', 18.72227330970735)	('>50', 5.2783684620981415)	('>100', 8.407627848463655)	('>500', 1.9004817638204088)	('>1k', 3.5577584563291325)	('>5k', 2.1037475721209993)	('>10k+', 4.2008213168955155)
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	(1.0, 21.40815315300567)	(2.0, 10.741605634339367)	(3.0, 6.826832145339096)	(4.0, 4.857449842660773)	(5.0, 3.5676201257430185)	(6.0, 2.771372202959858)	(7.0, 2.2511403080382317)	(8.0, 1.9046810905491904)	(9.0, 1.6257040052818936)	('>10', 18.43319464214655)	('>50', 5.406146388668747)	('>100', 8.420627172216308)	('>500', 1.8697200898436965)	('>1k', 3.5115143707796483)	('>5k', 2.2783989644867932)	('>10k+', 4.125839863941283)
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	(1.0, 20.330312958708404)	(2.0, 16.3172997477997)	(3.0, 11.927540184266956)	(4.0, 7.988743147011405)	(5.0, 5.535651883965579)	(6.0, 3.7337051720598735)	(7.0, 2.7193779530408855)	(8.0, 2.0047695293643724)	(9.0, 1.5838058065882572)	('>10', 14.393816958589653)	('>50', 2.8349862627471674)	('>100', 3.98963112921753)	('>500', 1.8399876473920527)	('>1k', 4.311336440807605)	('>5k', 0.4890351784404254)	('>10k+', 0.0)
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	(1.0, 19.445950264834558)	(2.0, 16.57622513045096)	(3.0, 12.203845273815535)	(4.0, 8.191938996848716)	(5.0, 5.641129060424744)	(6.0, 3.8260879782865813)	(7.0, 2.7794460654291337)	(8.0, 2.0552330232935065)	(9.0, 1.5686532236101138)	('>10', 14.196901010861632)	('>50', 2.78643338673985)	('>100', 4.064275658468153)	('>500', 1.8853739799007556)	('>1k', 3.964250010321856)	('>5k', 0.814256936713895)	('>10k+', 0.0)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	(1.0, 9.299041462087333)	(2.0, 8.815928246478165)	(3.0, 9.265337594085816)	(4.0, 8.485958014079698)	(5.0, 7.147266405904189)	(6.0, 5.761250314859987)	(7.0, 4.488238203267776)	(8.0, 3.517725152964309)	(9.0, 2.9227202587186687)	('>10', 21.625871614942195)	('>50', 4.704563581644244)	('>100', 5.634110090371102)	('>500', 1.4259672480163839)	('>1k', 4.377804207217043)	('>5k', 1.4162242015777489)	('>10k+', 1.1119934037853716)
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	(1.0, 9.045963694436688)	(2.0, 8.874133621502464)	(3.0, 9.25199362195209)	(4.0, 8.438698833446738)	(5.0, 7.21050914130886)	(6.0, 5.986697427512665)	(7.0, 4.52310444482236)	(8.0, 3.6207298337575757)	(9.0, 2.829457035450323)	('>10', 21.746092413641033)	('>50', 4.57941859727996)	('>100', 5.4299999814476765)	('>500', 1.4799984867218288)	('>1k', 4.460461300073391)	('>5k', 1.34242009085223)	('>10k+', 1.1803214757941443)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	(1.0, 15.024331515006642)	(2.0, 7.932418800428552)	(3.0, 5.350685166862503)	(4.0, 3.9373760748219464)	(5.0, 3.0637107097441163)	(6.0, 2.46091483003596)	(7.0, 2.082041356742447)	(8.0, 1.7895458757084914)	(9.0, 1.5179092432940209)	('>10', 19.678435018581812)	('>50', 6.90758831738252)	('>100', 11.671504632226842)	('>500', 2.5783431153275536)	('>1k', 4.639493872508906)	('>5k', 2.887446417614389)	('>10k+', 8.47825505371319)
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	(1.0, 15.388923659141508)	(2.0, 7.964076001983819)	(3.0, 5.545366588425042)	(4.0, 3.9203003254822537)	(5.0, 3.0747797432138118)	(6.0, 2.4946944014986605)	(7.0, 2.041869050692629)	(8.0, 1.750089423059869)	(9.0, 1.5312466992437248)	('>10', 19.77343300662242)	('>50', 6.800872430462592)	('>100', 11.189862534750647)	('>500', 2.4378349170491407)	('>1k', 4.7085908327070385)	('>5k', 2.580029350766402)	('>10k+', 8.798031034900571)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	(1.0, 25.357070470138854)	(2.0, 10.84050374113751)	(3.0, 6.6281991251048815)	(4.0, 4.3897183669463296)	(5.0, 3.3145111663641056)	(6.0, 2.526868653669565)	(7.0, 2.119817521392615)	(8.0, 1.7257369637597826)	(9.0, 1.4440984131446784)	('>10', 17.010338698794598)	('>50', 5.167331899518321)	('>100', 7.463072728197948)	('>500', 1.6063156112049355)	('>1k', 4.0261020027952155)	('>5k', 2.3829049232645225)	('>10k+', 3.9974097145663112)
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	(1.0, 24.812213049247877)	(2.0, 10.9002874870844)	(3.0, 6.548629713937233)	(4.0, 4.580930161840052)	(5.0, 3.2819148339878415)	(6.0, 2.5043758202998196)	(7.0, 2.099864918322514)	(8.0, 1.6919507642780753)	(9.0, 1.4475817008365652)	('>10', 17.19160743166254)	('>50', 5.232235625997701)	('>100', 7.30803071125286)	('>500', 1.5778109413315047)	('>1k', 4.117533503011335)	('>5k', 2.598001085664729)	('>10k+', 4.107032251244976)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	(1.0, 24.706439324979442)	(2.0, 17.35447383907941)	(3.0, 11.324169793938466)	(4.0, 7.25718330430222)	(5.0, 4.785094410644771)	(6.0, 3.3358597166017536)	(7.0, 2.429318989787791)	(8.0, 1.8001780130708702)	(9.0, 1.4499459936818258)	('>10', 12.785082596893776)	('>50', 2.4847708404300706)	('>100', 3.631799596858692)	('>500', 2.07092196429354)	('>1k', 4.14187988115714)	('>5k', 0.4428817342803568)	('>10k+', 0.0)
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	(1.0, 24.2176314923803)	(2.0, 17.74068178288041)	(3.0, 11.46659607109209)	(4.0, 7.2996905663375715)	(5.0, 4.825130321611644)	(6.0, 3.4078541071274766)	(7.0, 2.3665715505407476)	(8.0, 1.8134176652256446)	(9.0, 1.4884922807013927)	('>10', 12.643615234906571)	('>50', 2.4382080593053224)	('>100', 3.7681049359243484)	('>500', 2.0193900281917534)	('>1k', 3.756819674856604)	('>5k', 0.7477962289180373)	('>10k+', 0.0)
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	(1.0, 13.943406223821182)	(2.0, 11.937860423235414)	(3.0, 10.346036179109891)	(4.0, 8.316375762754301)	(5.0, 6.272001516951921)	(6.0, 4.814326378290408)	(7.0, 3.7212793114624656)	(8.0, 2.8710498671572724)	(9.0, 2.2666108903283275)	('>10', 18.707296211226097)	('>50', 3.96240988283211)	('>100', 4.743081894511942)	('>500', 1.3841483175987794)	('>1k', 4.374754773355192)	('>5k', 1.2472417702642091)	('>10k+', 1.092120597100388)
