Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6858023.0	1 Gbp	0.0	150.0	36.0	31.003882045861737	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6858023.0	1 Gbp	0.0	150.0	36.0	30.323868722200015	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14425980.0	2.1 Gbp	0.0	150.0	36.0	21.259264122245547	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14425980.0	2.1 Gbp	0.0	150.0	36.0	21.017219125058066	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6526654.0	978.9 Mbp	0.0	150.0	36.0	38.688114693632954	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6526654.0	978.9 Mbp	0.0	150.0	36.0	38.31391569786173	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14987250.0	2.2 Gbp	0.0	150.0	36.0	27.490134236930665	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14987250.0	2.2 Gbp	0.0	150.0	36.0	27.56102332965627	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49181315.0	7.3 Gbp	0.0	150.0	36.0	33.10655856044445	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49181315.0	7.3 Gbp	0.0	150.0	36.0	33.314716510507516	150.0	150	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
