Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	68.99611795413827	36.0	150.0	150	27.27272727272727	6.858022999999999
GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	69.67613127779998	36.0	150.0	150	27.27272727272727	6.858022999999999
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	78.74073587775445	36.0	150.0	150	27.27272727272727	14.42598
GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	78.98278087494194	36.0	150.0	150	18.181818181818183	14.42598
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	61.311885306367046	36.0	150.0	150	27.27272727272727	6.526654
GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	61.68608430213827	36.0	150.0	150	27.27272727272727	6.526654
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	72.50986576306934	36.0	150.0	150	27.27272727272727	14.98725
GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	72.43897667034373	36.0	150.0	150	18.181818181818183	14.98725
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_1	66.89344143955555	36.0	150.0	150	27.27272727272727	49.181315
GFP_R3_MKRN250011216-1A_22MVT7LT4_L4_2	66.68528348949249	36.0	150.0	150	18.181818181818183	49.181315
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_1	62.096544638551975	36.0	150.0	150	27.27272727272727	5.825305999999999
HNF4_FOXF_R1_MKRN250011210-1A_22MGWFLT4_L3_2	62.67607492186188	36.0	150.0	150	27.27272727272727	5.825305999999999
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_1	75.9017417608933	36.0	150.0	150	27.27272727272727	15.095621
HNF4_FOXF_R1_MKRN250011210-1A_22MVT7LT4_L4_2	76.08502703384865	36.0	150.0	150	18.181818181818183	15.095621
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_1	75.3228862130537	35.0	150.0	150	27.27272727272727	37.382953
HNF4_FOXF_R2_MKRN250011215-1A_22MVT7LT4_L4_2	74.87753410814723	36.0	150.0	150	18.181818181818183	37.382953
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	63.10883324705073	36.0	150.0	150	27.27272727272727	31.50498
HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	63.60506606757699	36.0	150.0	150	27.27272727272727	31.50498
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_1	57.98384005809712	36.0	150.0	150	27.27272727272727	6.449623
HNF4_GFP_R1_MKRN250011208-1A_22MGWFLT4_L3_2	58.20979325312264	36.0	150.0	150	27.27272727272727	6.449623
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_1	70.17459719334349	36.0	150.0	150	27.27272727272727	15.987694999999999
HNF4_GFP_R1_MKRN250011208-1A_22MVT7LT4_L4_2	69.89930358073431	36.0	150.0	150	18.181818181818183	15.987694999999999
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	70.56873587491842	37.0	150.0	150	27.27272727272727	7.348246
HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	70.94549142090193	37.0	150.0	150	27.27272727272727	7.348246
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	78.88237279766207	37.0	150.0	150	27.27272727272727	14.354595999999999
HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	78.60259148026881	37.0	150.0	150	18.181818181818183	14.354595999999999
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	70.28463631626846	36.0	150.0	150	27.27272727272727	67.650738
HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	70.18418539073949	36.0	150.0	150	18.181818181818183	67.650738
