Module	Section	Sample Name	Source
FastQC	all_sections	HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_FOXF_R3/HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_1_fastqc.zip
FastQC	all_sections	HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_FOXF_R3/HNF4_FOXF_R3_MKRN250011220-1A_22MVT7LT4_L3_2_fastqc.zip
FastQC	all_sections	HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R3/HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R3/HNF4_GFP_R3_MKRN250011218-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_NKX_R2/HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_NKX_R2/HNF4_NKX_R2_MKRN250011214-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R2/HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_1_fastqc.zip
FastQC	all_sections	HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R2/HNF4_GFP_R2_MKRN250011213-1A_22MGWFLT4_L3_2_fastqc.zip
FastQC	all_sections	HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R2/HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_GFP_R2/HNF4_GFP_R2_MKRN250011213-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R2/GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_1_fastqc.zip
FastQC	all_sections	GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R2/GFP_R2_MKRN250011211-1A_22MGWFLT4_L3_2_fastqc.zip
FastQC	all_sections	GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R2/GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R2/GFP_R2_MKRN250011211-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R1/HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_1_fastqc.zip
FastQC	all_sections	HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R1/HNF4_R1_MKRN250011207-1A_22MGWFLT4_L3_2_fastqc.zip
FastQC	all_sections	HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R1/HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R1/HNF4_R1_MKRN250011207-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R2/HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_1_fastqc.zip
FastQC	all_sections	HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R2/HNF4_R2_MKRN250011212-1A_22MGWFLT4_L3_2_fastqc.zip
FastQC	all_sections	HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R2/HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R2/HNF4_R2_MKRN250011212-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R1/GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_2_fastqc.zip
FastQC	all_sections	GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R1/GFP_R1_MKRN250011206-1A_22MGWFLT4_L3_1_fastqc.zip
FastQC	all_sections	GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R1/GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_2_fastqc.zip
FastQC	all_sections	GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/GFP_R1/GFP_R1_MKRN250011206-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R3/HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_1_fastqc.zip
FastQC	all_sections	HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2	/omics-storage/lab-solana/novogene_download/hnf4_combined_knockdown_bulk/X204SC25030007-Z01-F001/01.RawData/HNF4_R3/HNF4_R3_MKRN250011217-1A_22MVT7LT4_L4_2_fastqc.zip
