sample	path	condition	replicate
kallisto_out_GFP_R1	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_GFP_R1/abundance.h5	GFPi	R1
kallisto_out_GFP_R2	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_GFP_R2/abundance.h5	GFPi	R2
kallisto_out_GFP_R3	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_GFP_R3/abundance.h5	GFPi	R3
kallisto_out_HNF4_FOXF_R1	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_FOXF_R1/abundance.h5	HNF4i+FOXF1i	R1
kallisto_out_HNF4_FOXF_R2	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_FOXF_R2/abundance.h5	HNF4i+FOXF1i	R2
kallisto_out_HNF4_FOXF_R3	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_FOXF_R3/abundance.h5	HNF4i+FOXF1i	R3
kallisto_out_HNF4_GFP_R1	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_GFP_R1/abundance.h5	HNF4i+GFPi	R1
kallisto_out_HNF4_GFP_R2	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_GFP_R2/abundance.h5	HNF4i+GFPi	R2
kallisto_out_HNF4_GFP_R3	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_GFP_R3/abundance.h5	HNF4i+GFPi	R3
kallisto_out_HNF4_NKX_R1	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_NKX_R1/abundance.h5	HNF4i+NKX2-2i	R1
kallisto_out_HNF4_NKX_R2	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_NKX_R2/abundance.h5	HNF4i+NKX2-2i	R2
kallisto_out_HNF4_NKX_R3	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_NKX_R3/abundance.h5	HNF4i+NKX2-2i	R3
kallisto_out_HNF4_R1	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_R1/abundance.h5	HNF4i	R1
kallisto_out_HNF4_R2	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_R2/abundance.h5	HNF4i	R2
kallisto_out_HNF4_R3	/omics-storage/lab-solana/alberto/projects/smed_cisreg/outputs/rna/hnf4_combined_knockdown_bulk/kallisto_output/raw_kallisto_output//kallisto_out_HNF4_R3/abundance.h5	HNF4i	R3
