"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"h1SMcG0009545",0,0.0190891074008677,0.221,0.01,0,"0","h1SMcG0009545"
"h1SMcG0018921",0,0.0143923930050286,0.222,0.022,0,"0","h1SMcG0018921"
"h1SMcG0016624",0,0.0142299547158079,0.13,0.011,0,"0","h1SMcG0016624"
"h1SMcG0003863",0,0.0140552283924842,0.268,0.024,0,"0","h1SMcG0003863"
"h1SMcG0015241",0,0.0132240926670196,0.117,0.013,0,"0","h1SMcG0015241"
"h1SMcG0010644",0,0.0129505591272339,0.123,0.013,0,"0","h1SMcG0010644"
"h1SMcG0018920",0,0.0129219554122327,0.109,0.012,0,"0","h1SMcG0018920"
"h1SMcG0013018",0,0.0124286018016775,0.127,0.015,0,"0","h1SMcG0013018"
"h1SMcG0000100",0,0.012339477842078,0.107,0.012,0,"0","h1SMcG0000100"
"h1SMcG0009890",0,0.0122699118150767,0.261,0.034,0,"0","h1SMcG0009890"
"h1SMcG0021052",0,0.012269411825146,0.238,0.027,0,"0","h1SMcG0021052"
"h1SMcG0005710",0,0.0114921665821319,0.102,0.013,0,"0","h1SMcG0005710"
"h1SMcG0014446",0,0.0114787289224928,0.102,0.013,0,"0","h1SMcG0014446"
"h1SMcG0012853",0,0.0113435983584771,0.107,0.014,0,"0","h1SMcG0012853"
"h1SMcG0005709",0,0.0109115802306048,0.116,0.016,0,"0","h1SMcG0005709"
"h1SMcG0020793",0,0.0108484205910886,0.13,0.018,0,"0","h1SMcG0020793"
"h1SMcG0010315",0,0.0108272411485811,0.121,0.017,0,"0","h1SMcG0010315"
"h1SMcG0014350",0,0.0107096423129816,0.121,0.017,0,"0","h1SMcG0014350"
"h1SMcG0010026",0,0.0106207389090549,0.115,0.016,0,"0","h1SMcG0010026"
"h1SMcG0015883",0,0.0106041075932844,0.357,0.055,0,"0","h1SMcG0015883"
"h1SMcG0004414",0,0.0102590295676119,0.122,0.019,0,"0","h1SMcG0004414"
"h1SMcG0010294",0,0.0102500874985118,0.148,0.021,0,"0","h1SMcG0010294"
"h1SMcG0003714",0,0.0100433074292042,0.114,0.017,0,"0","h1SMcG0003714"
"h1SMcG0011323",0,0.00992024870462741,0.115,0.018,0,"0","h1SMcG0011323"
"h1SMcG0017955",0,0.00987163479019472,0.21,0.032,0,"0","h1SMcG0017955"
"h1SMcG0017844",0,0.00964584775517428,0.143,0.023,0,"0","h1SMcG0017844"
"h1SMcG0019136",0,0.00947090708038376,0.733,0.199,0,"0","h1SMcG0019136"
"h1SMcG0015110",0,0.00936041064082397,0.113,0.019,0,"0","h1SMcG0015110"
"h1SMcG0019374",0,0.00922989828377384,0.116,0.019,0,"0","h1SMcG0019374"
"h1SMcG0011923",0,0.00921962822570295,0.147,0.026,0,"0","h1SMcG0011923"
"h1SMcG0006436",0,0.00898621186209291,0.207,0.039,0,"0","h1SMcG0006436"
"h1SMcG0003722",0,0.00869382808926518,0.138,0.027,0,"0","h1SMcG0003722"
"h1SMcG0004373",0,0.00842156926380729,0.224,0.044,0,"0","h1SMcG0004373"
"h1SMcG0013355",0,0.00841819453144604,0.273,0.054,0,"0","h1SMcG0013355"
"h1SMcG0021526",0,0.00827503687063304,0.111,0.021,0,"0","h1SMcG0021526"
"h1SMcG0015663",0,0.00817835857595797,0.13,0.025,0,"0","h1SMcG0015663"
"h1SMcG0009596",0,0.00815249191461872,0.324,0.069,0,"0","h1SMcG0009596"
"h1SMcG0021447",0,0.00807529314740233,0.117,0.025,0,"0","h1SMcG0021447"
"h1SMcG0001238",0,0.00799857233186758,0.156,0.032,0,"0","h1SMcG0001238"
"h1SMcG0004667",0,0.00797069533575522,0.118,0.025,0,"0","h1SMcG0004667"
"h1SMcG0017087",0,0.0078437557606336,0.119,0.025,0,"0","h1SMcG0017087"
"h1SMcG0019733",0,0.00775192366818172,0.184,0.04,0,"0","h1SMcG0019733"
"h1SMcG0011732",0,0.00751450016314392,0.145,0.032,0,"0","h1SMcG0011732"
"h1SMcG0009259",0,0.00735444071021116,0.106,0.025,0,"0","h1SMcG0009259"
"h1SMcG0017291",0,0.00730235388733812,0.136,0.031,0,"0","h1SMcG0017291"
"h1SMcG0011689",0,0.00703856853411442,0.207,0.052,0,"0","h1SMcG0011689"
