"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,0.0190891074008677,0.221,0.01,0,"0","h1SMcG0009545"
"2",0,0.0143923930050286,0.222,0.022,0,"0","h1SMcG0018921"
"3",0,0.0142299547158079,0.13,0.011,0,"0","h1SMcG0016624"
"4",0,0.0140552283924842,0.268,0.024,0,"0","h1SMcG0003863"
"5",0,0.0132240926670196,0.117,0.013,0,"0","h1SMcG0015241"
"6",0,0.0129505591272339,0.123,0.013,0,"0","h1SMcG0010644"
"7",0,0.0129219554122327,0.109,0.012,0,"0","h1SMcG0018920"
"8",0,0.0124286018016775,0.127,0.015,0,"0","h1SMcG0013018"
"9",0,0.012339477842078,0.107,0.012,0,"0","h1SMcG0000100"
"10",0,0.0122699118150767,0.261,0.034,0,"0","h1SMcG0009890"
"11",0,0.012269411825146,0.238,0.027,0,"0","h1SMcG0021052"
"12",0,0.0114921665821319,0.102,0.013,0,"0","h1SMcG0005710"
"13",0,0.0114787289224928,0.102,0.013,0,"0","h1SMcG0014446"
"14",0,0.0113435983584771,0.107,0.014,0,"0","h1SMcG0012853"
"15",0,0.0109115802306048,0.116,0.016,0,"0","h1SMcG0005709"
"16",0,0.0108484205910886,0.13,0.018,0,"0","h1SMcG0020793"
"17",0,0.0108272411485811,0.121,0.017,0,"0","h1SMcG0010315"
"18",0,0.0107096423129816,0.121,0.017,0,"0","h1SMcG0014350"
"19",0,0.0106207389090549,0.115,0.016,0,"0","h1SMcG0010026"
"20",0,0.0106041075932844,0.357,0.055,0,"0","h1SMcG0015883"
"21",0,0.0102590295676119,0.122,0.019,0,"0","h1SMcG0004414"
"22",0,0.0102500874985118,0.148,0.021,0,"0","h1SMcG0010294"
"23",0,0.0100433074292042,0.114,0.017,0,"0","h1SMcG0003714"
"24",0,0.00992024870462741,0.115,0.018,0,"0","h1SMcG0011323"
"25",0,0.00987163479019472,0.21,0.032,0,"0","h1SMcG0017955"
"26",0,0.00964584775517428,0.143,0.023,0,"0","h1SMcG0017844"
"27",0,0.00947090708038376,0.733,0.199,0,"0","h1SMcG0019136"
"28",0,0.00936041064082397,0.113,0.019,0,"0","h1SMcG0015110"
"29",0,0.00922989828377384,0.116,0.019,0,"0","h1SMcG0019374"
"30",0,0.00921962822570295,0.147,0.026,0,"0","h1SMcG0011923"
"31",0,0.0209146371774177,0.122,0.009,0,"1","h1SMcG0016288"
"32",0,0.0201206879261641,0.442,0.04,0,"1","h1SMcG0005241"
"33",0,0.0192790999129021,0.161,0.014,0,"1","h1SMcG0004324"
"34",0,0.0192367161705692,0.152,0.013,0,"1","h1SMcG0006263"
"35",0,0.0189743127061946,0.379,0.036,0,"1","h1SMcG0013162"
"36",0,0.0188651632956241,0.404,0.039,0,"1","h1SMcG0009165"
"37",0,0.0187622127397444,0.671,0.074,0,"1","h1SMcG0013999"
"38",0,0.0184132876063147,0.111,0.01,0,"1","h1SMcG0000104"
"39",0,0.0181299636740647,0.126,0.012,0,"1","h1SMcG0022441"
"40",0,0.018096693596771,0.399,0.04,0,"1","h1SMcG0006230"
"41",0,0.0177217140221819,0.167,0.016,0,"1","h1SMcG0015174"
"42",0,0.0167275021797673,0.146,0.015,0,"1","h1SMnG0014820"
"43",0,0.0160482147447352,0.168,0.019,0,"1","h1SMcG0004666"
"44",0,0.0159968519391724,0.992,0.252,0,"1","h1SMcG0008035"
"45",0,0.0158744594033526,0.43,0.055,0,"1","h1SMcG0016303"
"46",0,0.0154710019671065,0.314,0.039,0,"1","h1SMcG0020537"
"47",0,0.0150438187418244,0.122,0.015,0,"1","h1SMcG0016296"
"48",0,0.0145370643087627,0.196,0.025,0,"1","h1SMcG0001110"
"49",0,0.0143809344487775,0.378,0.055,0,"1","h1SMnG0014807"
"50",0,0.0143733131939693,0.137,0.018,0,"1","h1SMcG0006087"
"51",0,0.0141065446957982,0.12,0.016,0,"1","h1SMcG0016295"
"52",0,0.0139696145370904,0.279,0.039,0,"1","h1SMnG0033052"
"53",0,0.0138792463628934,0.13,0.017,0,"1","h1SMcG0016193"
"54",0,0.012984645151638,0.164,0.024,0,"1","h1SMcG0009920"
"55",0,0.0126711961736867,0.189,0.029,0,"1","h1SMcG0013548"
"56",0,0.0123065328639785,0.105,0.016,0,"1","h1SMcG0013665"
"57",0,0.0121902868353173,0.114,0.017,0,"1","h1SMcG0019146"
"58",0,0.0120040066764457,0.282,0.047,0,"1","h1SMcG0006725"
"59",0,0.0119688535788513,0.119,0.018,0,"1","h1SMcG0007358"
"60",0,0.0119034375621659,0.12,0.02,0,"1","h1SMnG0030822"
"61",0,0.0452871880413517,0.426,0.006,0,"2","h1SMcG0016673"
"62",0,0.0439806068362811,0.464,0.007,0,"2","h1SMcG0020022"
"63",0,0.0327399688573873,0.134,0.005,0,"2","h1SMcG0017506"
"64",0,0.0285932274261885,0.809,0.064,0,"2","h1SMcG0015236"
"65",0,0.0279749998645082,0.258,0.013,0,"2","h1SMcG0021771"
"66",0,0.0272649963042157,0.482,0.03,0,"2","h1SMcG0017034"
"67",0,0.0242276678311561,0.158,0.01,0,"2","h1SMcG0010878"
"68",0,0.0216178759849383,0.856,0.093,0,"2","h1SMcG0022555"
"69",0,0.0215379160371049,0.659,0.062,0,"2","h1SMcG0019141"
"70",0,0.0213399472990915,0.18,0.015,0,"2","h1SMcG0014322"
"71",0,0.0213037335226622,0.221,0.018,0,"2","h1SMcG0021139"
"72",0,0.0210087294099711,0.572,0.054,0,"2","h1SMcG0019140"
"73",0,0.020961528420886,0.708,0.069,0,"2","h1SMcG0018100"
"74",0,0.0207636184272658,0.77,0.08,0,"2","h1SMcG0016741"
"75",0,0.0207423993970434,0.758,0.079,0,"2","h1SMcG0001082"
"76",0,0.0205696570171883,0.716,0.072,0,"2","h1SMcG0018373"
"77",0,0.0204470396587314,0.617,0.061,0,"2","h1SMcG0002221"
"78",0,0.0203633552539213,0.69,0.071,0,"2","h1SMcG0014134"
"79",0,0.0202774566247057,0.437,0.04,0,"2","h1SMcG0010597"
"80",0,0.0193858040549302,0.572,0.066,0,"2","h1SMcG0017092"
"81",0,0.0190479409640536,0.133,0.012,0,"2","h1SMcG0015115"
"82",0,0.0185028029437074,0.664,0.077,0,"2","h1SMcG0020690"
"83",0,0.0183679520011543,0.153,0.015,0,"2","h1SMcG0021580"
"84",0,0.0180136992645701,0.354,0.039,0,"2","h1SMcG0017536"
"85",0,0.0178477287616115,0.113,0.012,0,"2","h1SMcG0000708"
"86",0,0.0176905501840929,0.158,0.016,0,"2","h1SMcG0018877"
"87",0,0.0176242110407991,0.612,0.073,0,"2","h1SMcG0006787"
"88",0,0.0168524716417299,0.376,0.043,0,"2","h1SMcG0003258"
"89",0,0.0165519790902968,0.1,0.011,0,"2","h1SMcG0016899"
"90",0,0.0162896496573408,0.121,0.013,0,"2","h1SMcG0002309"
"91",0,0.0171775398825584,0.204,0.02,0,"3","h1SMcG0020682"
"92",0,0.0166707075279401,0.188,0.019,0,"3","h1SMcG0001827"
"93",0,0.0138897064045483,0.763,0.1,0,"3","h1SMcG0000998"
"94",0,0.0122645815256798,0.1,0.015,0,"3","h1SMcG0015103"
"95",0,0.0120848355157326,0.595,0.087,0,"3","h1SMcG0020983"
"96",0,0.0119160631116877,0.266,0.038,0,"3","h1SMcG0005277"
"97",0,0.0116111118427794,0.12,0.019,0,"3","h1SMcG0022393"
"98",0,0.0111858380993372,0.326,0.053,0,"3","h1SMcG0013798"
"99",0,0.010944087586974,0.265,0.045,0,"3","h1SMcG0014744"
"100",0,0.0109181801961459,0.125,0.023,0,"3","h1SMcG0019319"
"101",0,0.0108367922746175,0.11,0.019,0,"3","h1SMcG0015610"
"102",0,0.0106339467657837,0.248,0.042,0,"3","h1SMcG0012609"
"103",0,0.0105543731557546,0.603,0.103,0,"3","h1SMcG0009472"
"104",0,0.0104863716520826,0.704,0.126,0,"3","h1SMcG0006857"
"105",0,0.0104614958832896,0.117,0.021,0,"3","h1SMcG0004401"
"106",0,0.0104340651396784,0.167,0.029,0,"3","h1SMcG0011201"
"107",0,0.0102496077723026,0.468,0.078,0,"3","h1SMcG0012064"
"108",0,0.0100731031411537,0.138,0.025,0,"3","h1SMcG0004594"
"109",0,0.0100676567680242,0.239,0.043,0,"3","h1SMcG0020942"
"110",0,0.0100424053541262,0.257,0.047,0,"3","h1SMcG0013445"
"111",0,0.0100367997104242,0.153,0.028,0,"3","h1SMcG0013219"
"112",0,0.00988067035075091,0.28,0.052,0,"3","h1SMcG0011841"
"113",0,0.00985926154328278,0.165,0.031,0,"3","h1SMcG0007395"
"114",0,0.00978015988723314,0.667,0.118,0,"3","h1SMcG0007433"
"115",0,0.00965453168111733,0.248,0.045,0,"3","h1SMcG0017536"
"116",0,0.00957875793592088,0.489,0.081,0,"3","h1SMcG0006787"
"117",0,0.00926660806286369,0.256,0.05,0,"3","h1SMcG0003258"
"118",0,0.00919946630040064,0.295,0.059,0,"3","h1SMcG0022236"
"119",0,0.0091582478425936,0.505,0.082,0,"3","h1SMcG0018100"
"120",0,0.0089665137659899,0.122,0.024,0,"3","h1SMcG0021139"
"121",0,0.0569745746585395,0.411,0.002,0,"4","h1SMcG0003663"
"122",0,0.0556645272557276,0.799,0.008,0,"4","h1SMcG0008281"
"123",0,0.0555784434447001,0.251,0.002,0,"4","h1SMcG0015909"
"124",0,0.0550272761816926,0.488,0.005,0,"4","h1SMcG0002559"
"125",0,0.0543821695062643,0.148,0.001,0,"4","h1SMcG0002556"
"126",0,0.05353068923285,0.18,0.001,0,"4","h1SMcG0006423"
"127",0,0.0532256528291176,0.21,0.002,0,"4","h1SMcG0005150"
"128",0,0.0529883112865747,0.133,0.001,0,"4","h1SMcG0004988"
"129",0,0.0528322536801679,0.135,0.001,0,"4","h1SMnG0030391"
"130",0,0.0526747370877391,0.101,0.001,0,"4","h1SMcG0018233"
"131",0,0.0524120029044054,0.564,0.011,0,"4","h1SMcG0002557"
"132",0,0.0522804559999745,0.15,0.001,0,"4","h1SMcG0018236"
"133",0,0.0517698096432551,0.144,0.001,0,"4","h1SMnG0013150"
"134",0,0.0516753503518062,0.185,0.002,0,"4","h1SMcG0018489"
"135",0,0.0515807222187718,0.262,0.003,0,"4","h1SMcG0018485"
"136",0,0.0515683551643605,0.121,0.001,0,"4","h1SMcG0018176"
