target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	838.956	4	0.351588
h1SMnT0035429.1	433	333.956	9	1.98731
h1SMnT0035428.2	1171	1071.96	3.36121	0.231224
h1SMnT0035430.1	225	125.958	0	0
h1SMcT0022937.1	1148	1048.96	0	0
h1SMnT0035345.1	487	387.956	1	0.190077
h1SMcT0022992.1	5186	5086.96	13.298	0.19277
h1SMnT0035168.1	667	567.956	0	0
h1SMnT0035169.1	682	582.956	0	0
h1SMnT0035364.1	3295	3195.96	0	0
h1SMnT0035365.1	822	722.956	0	0
h1SMnT0035366.1	3294	3194.96	0	0
h1SMnT0035367.1	2210	2110.96	0.240407	0.00839809
h1SMnT0035368.1	649	549.956	0	0
h1SMnT0035369.1	3295	3195.96	0	0
h1SMnT0035370.1	1798	1698.96	16.3849	0.711171
h1SMcT0023064.1	649	549.956	4.11312	0.551514
h1SMcT0022911.1	964	864.956	65.5303	5.58678
h1SMcT0022912.1	1707	1607.96	7.84973	0.359993
h1SMnT0035348.1	2018	1918.96	37.7953	1.4524
h1SMcT0022995.1	1592	1492.96	149.933	7.40566
h1SMnT0035349.1	581	481.956	3.34826	0.5123
h1SMnT0035350.1	437	337.956	6.67217	1.45586
h1SMnT0035351.1	251	151.956	1	0.485282
h1SMnT0035439.1	173	74.5554	0	0
h1SMcT0023009.1	1809	1709.96	1.79408	0.0773693
h1SMnT0035408.1	676	576.956	0	0
h1SMnT0035149.1	469	369.956	0	0
h1SMcT0022739.1	1385	1285.96	0	0
h1SMcT0022740.2	1315	1215.96	50	3.03225
h1SMnT0035008.1	217	117.962	0	0
h1SMnT0035009.1	403	303.956	0	0
h1SMnT0035304.1	214	114.964	0	0
h1SMcT0023054.1	1130	1030.96	1	0.0715275
h1SMcT0023055.1	5046	4946.96	32.6452	0.486625
h1SMcT0022976.1	1057	957.956	0	0
h1SMnT0035249.1	307	207.956	0	0
h1SMnT0035250.1	410	310.956	5985	1419.31
h1SMnT0035251.1	2625	2525.96	2	0.0583872
h1SMcT0022931.1	1208	1108.96	0	0
h1SMnT0035252.1	344	244.956	0	0
h1SMnT0035253.1	459	359.956	0	0
h1SMcT0022932.1	1030	930.956	231	18.2977
h1SMnT0035254.1	593	493.956	2	0.298576
h1SMcT0022933.2	2471	2371.96	564.839	17.5603
h1SMnT0035255.1	3386	3286.96	50.5705	1.13453
h1SMnT0035204.1	222	122.959	0	0
h1SMnT0035205.1	1081	981.956	2	0.150193
h1SMnT0035206.1	369	269.956	0	0
h1SMcT0022885.2	2036	1936.96	0	0
h1SMcT0022886.1	479	379.956	0	0
h1SMnT0035137.1	1237	1137.96	0	0
h1SMnT0035138.1	362	262.956	0	0
h1SMnT0035139.1	2159	2059.96	0	0
h1SMnT0035140.1	538	438.956	0	0
h1SMnT0035141.1	3293	3193.96	0	0
h1SMnT0035142.1	363	263.956	28.7067	8.01981
h1SMnT0035173.1	1063	963.956	0	0
h1SMnT0035174.1	867	767.956	1200.24	115.251
h1SMnT0035175.1	3291	3191.96	0	0
h1SMnT0035176.1	363	263.956	28.7067	8.01981
h1SMnT0035177.1	2432	2332.96	454.256	14.3585
h1SMcT0022892.1	2757	2657.96	339.972	9.43211
h1SMcT0022664.1	1587	1487.96	19.4505	0.96395
h1SMnT0034919.1	1713	1613.96	8.63523	0.394544
h1SMcT0022665.1	9704	9604.96	3.15593	0.0242295
h1SMcT0022666.1	7223	7123.96	0	0
h1SMcT0022667.1	10811	10712	6.40184	0.0440706
h1SMnT0035274.2	204	104.984	0	0
h1SMcT0022950.1	1132	1032.96	7.59998	0.542555
h1SMnT0035104.1	1776	1676.96	2849.3	125.294
h1SMnT0035105.1	369	269.956	76.3629	20.8594
h1SMnT0035106.1	677	577.956	2.93846	0.37492
h1SMcT0022811.1	4196	4096.96	1.92718	0.0346876
h1SMnT0035107.1	906	806.956	60.4365	5.52284
h1SMcT0022812.1	3862	3762.96	0	0
h1SMnT0035108.1	942	842.956	39.028	3.41416
h1SMnT0035109.1	1235	1135.96	0	0
h1SMnT0035110.1	557	457.956	0.22035	0.0354815
h1SMnT0035167.1	426	326.956	7	1.57878
h1SMcT0022861.1	1552	1452.96	28	1.42108
h1SMcT0023025.1	1272	1172.96	73.1453	4.59852
h1SMnT0035154.1	904	804.956	0	0
h1SMcT0022833.1	1591	1491.96	118.441	5.85408
h1SMcT0022893.1	2162	2062.96	0	0
h1SMcT0022736.1	505	405.956	1	0.181649
h1SMcT0022737.1	1029	929.956	22	1.74451
h1SMcT0022738.1	1350	1250.96	2	0.117897
h1SMnT0035322.1	217	117.962	0	0
h1SMnT0035323.1	735	635.956	0	0
h1SMnT0035324.2	335	235.956	95.9459	29.9853
h1SMnT0035227.1	1397	1297.96	0	0
h1SMcT0022909.1	874	774.956	0	0
h1SMnT0035228.1	568	468.956	12.5372	1.97144
h1SMnT0035229.1	524	424.956	0	0
h1SMcT0023038.1	2979	2879.96	649.129	16.621
h1SMnT0035422.1	134	42.0143	0	0
h1SMcT0023039.2	1098	998.956	70.3974	5.19665
h1SMnT0035423.1	937	837.956	23	2.02404
h1SMnT0035424.1	2291	2191.96	33	1.11018
h1SMcT0023051.1	1760	1660.96	2	0.0887942
h1SMnT0035447.1	696	596.956	0	0
h1SMnT0035467.1	305	205.956	0	0
h1SMcT0022957.1	540	440.956	8	1.33785
h1SMcT0022958.1	458	358.956	0	0
h1SMcT0022975.1	1214	1114.96	0	0
h1SMnT0035371.1	220	120.96	0	0
h1SMnT0035222.1	841	741.956	1	0.0993882
h1SMcT0022906.1	785	685.956	0	0
h1SMnT0034950.1	246	146.956	0	0
h1SMnT0035278.1	532	432.956	0	0
h1SMnT0035279.1	127	37.5359	0	0
h1SMcT0022952.1	2293	2193.96	93.3763	3.1385
h1SMnT0035280.1	972	872.956	10	0.844736
h1SMnT0035281.1	1330	1230.96	8	0.479248
h1SMcT0022934.1	19276	19177	156.106	0.600277
h1SMcT0022898.1	1257	1157.96	0	0
h1SMcT0022899.1	1154	1054.96	0	0
h1SMcT0022900.1	2875	2775.96	0	0
h1SMcT0022901.1	1798	1698.96	0.000132978	5.7718e-06
h1SMnT0035418.1	379	279.956	0	0
h1SMnT0035419.1	572	472.956	0	0
h1SMcT0023037.1	4734	4634.96	21.3027	0.338924
h1SMnT0035420.1	226	126.958	0	0
h1SMnT0035096.1	559	459.956	0	0
h1SMcT0022872.1	985	885.956	0	0
h1SMcT0022814.1	2646	2546.96	0	0
h1SMcT0022815.1	2022	1922.96	4.04862	0.155257
h1SMcT0022816.1	3124	3024.96	24.718	0.602569
h1SMcT0022656.1	6668	6568.96	7.19755	0.0807982
h1SMnT0034905.1	1057	957.956	0	0
h1SMcT0022657.2	3525	3425.96	123.331	2.65462
h1SMnT0034906.1	553	453.956	2	0.324885
h1SMnT0034907.1	1610	1510.96	35.2026	1.71805
h1SMnT0034908.1	674	574.956	18.022	2.31143
h1SMnT0034909.1	344	244.956	0	0
h1SMnT0034910.1	874	774.956	10.3451	0.984401
h1SMcT0022658.1	895	795.956	0	0
h1SMnT0035333.1	518	418.956	0	0
h1SMcT0022983.2	1765	1665.96	280.441	12.4134
h1SMnT0035334.1	355	255.956	0	0
h1SMnT0035335.1	347	247.956	0	0
h1SMcT0022982.1	1733	1633.96	55.3576	2.49833
h1SMnT0035165.1	414	314.956	0	0
h1SMnT0035166.1	311	211.956	0	0
h1SMcT0022650.1	3691	3591.96	0	0
h1SMcT0022651.1	3742	3642.96	0	0
h1SMnT0034903.1	1789	1689.96	0	0
h1SMcT0022652.1	16757	16658	6.42387	0.0284373
h1SMcT0022653.1	7978	7878.96	0	0
h1SMnT0034904.1	2408	2308.96	0	0
h1SMcT0022643.1	1273	1173.96	175.419	11.0189
h1SMcT0022644.1	746	646.956	0	0
h1SMcT0022645.1	752	652.956	0	0
h1SMcT0022646.1	812	712.956	0	0
h1SMcT0022878.1	3135	3035.96	61.7483	1.49983
h1SMnT0035197.1	681	581.956	4.42	0.560073
h1SMcT0022879.1	645	545.956	0	0
h1SMcT0022880.1	1003	903.956	53.7826	4.38741
h1SMnT0035198.1	3014	2914.96	37	0.936015
h1SMcT0022974.1	15547	15448	366.557	1.74978
h1SMnT0035321.1	630	530.956	0	0
h1SMnT0035305.1	1121	1021.96	0.303638	0.0219097
h1SMnT0035306.1	1778	1678.96	762.466	33.4884
h1SMnT0035307.1	531	431.956	0	0
h1SMnT0035308.1	1309	1209.96	6463.12	393.9
h1SMnT0035309.1	1106	1006.96	0	0
h1SMnT0035310.1	1917	1817.96	701.825	28.4681
h1SMnT0035311.1	1033	933.956	0.379936	0.0299984
