target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	739	0	0
h1SMnT0035429.1	433	234	15	1.80977
h1SMnT0035428.2	1171	972	7.04539	0.204638
h1SMnT0035430.1	225	36.3941	1	0.775743
h1SMcT0022937.1	1148	949	0	0
h1SMnT0035345.1	487	288	0	0
h1SMcT0022992.1	5186	4987	11.4028	0.0645535
h1SMnT0035168.1	667	468	1	0.0603257
h1SMnT0035169.1	682	483	0	0
h1SMnT0035364.1	3295	3096	0	0
h1SMnT0035365.1	822	623	0	0
h1SMnT0035366.1	3294	3095	175.512	1.60101
h1SMnT0035367.1	2210	2011	15965.4	224.138
h1SMnT0035368.1	649	450	0	0
h1SMnT0035369.1	3295	3096	16.245	0.148138
h1SMnT0035370.1	1798	1599	1277.51	22.5561
h1SMcT0023064.1	649	450	4.63691	0.290914
h1SMcT0022911.1	964	765	14.1146	0.520899
h1SMcT0022912.1	1707	1508	49.9499	0.935151
h1SMnT0035348.1	2018	1819	60.5961	0.940503
h1SMcT0022995.1	1592	1393	0.00364809	7.39372e-05
h1SMnT0035349.1	581	382	6.64111	0.490824
h1SMnT0035350.1	437	238	0	0
h1SMnT0035351.1	251	54.8653	0	0
h1SMnT0035439.1	173	16.9784	0	0
h1SMcT0023009.1	1809	1610	182.225	3.19544
h1SMnT0035408.1	676	477	0	0
h1SMnT0035149.1	469	270	2.73336	0.285813
h1SMcT0022739.1	1385	1186	0	0
h1SMcT0022740.2	1315	1116	107	2.70687
h1SMnT0035008.1	217	32.019	0	0
h1SMnT0035009.1	403	204	0	0
h1SMnT0035304.1	214	30.5332	0	0
h1SMcT0023054.1	1130	931	0	0
h1SMcT0023055.1	5046	4847	31.5079	0.183525
h1SMcT0022976.1	1057	858	0	0
h1SMnT0035249.1	307	108.019	0	0
h1SMnT0035250.1	410	211	18508	2476.43
h1SMnT0035251.1	2625	2426	2.00344	0.0233149
h1SMcT0022931.1	1208	1009	0	0
h1SMnT0035252.1	344	145	0	0
h1SMnT0035253.1	459	260	1	0.108586
h1SMcT0022932.1	1030	831	464	15.764
h1SMnT0035254.1	593	394	0	0
h1SMcT0022933.2	2471	2272	758.006	9.41917
h1SMnT0035255.1	3386	3187	47.9178	0.424486
h1SMnT0035204.1	222	34.6815	0	0
h1SMnT0035205.1	1081	882	1	0.0320096
h1SMnT0035206.1	369	170	0	0
h1SMcT0022885.2	2036	1837	0	0
h1SMcT0022886.1	479	280	1.98294	0.19994
h1SMnT0035137.1	1237	1038	0	0
h1SMnT0035138.1	362	163	46.2464	8.0101
h1SMnT0035139.1	2159	1960	1243.92	17.9178
h1SMnT0035140.1	538	339	28.6991	2.3901
h1SMnT0035141.1	3293	3094	0	0
h1SMnT0035142.1	363	164	7.08205e-06	1.21917e-06
h1SMnT0035173.1	1063	864	0	0
h1SMnT0035174.1	867	668	12812.3	541.502
h1SMnT0035175.1	3291	3092	0	0
h1SMnT0035176.1	363	164	7.08205e-06	1.21917e-06
h1SMnT0035177.1	2432	2233	8030.48	101.532
h1SMcT0022892.1	2757	2558	334.97	3.69704
h1SMcT0022664.1	1587	1388	0	0
h1SMnT0034919.1	1713	1514	3.72356	0.0694353
h1SMcT0022665.1	9704	9505	12.5265	0.037207
h1SMcT0022666.1	7223	7024	18.8342	0.0757028
h1SMcT0022667.1	10811	10612	63.9164	0.170045
h1SMnT0035274.2	204	26.1481	0	0
h1SMcT0022950.1	1132	933	12.2343	0.370209
h1SMnT0035104.1	1776	1577	12518.7	224.117
h1SMnT0035105.1	369	170	0	0
h1SMnT0035106.1	677	478	19.6146	1.15851
h1SMcT0022811.1	4196	3997	13.5465	0.0956842
h1SMnT0035107.1	906	707	89.8824	3.58925
h1SMcT0022812.1	3862	3663	0	0
h1SMnT0035108.1	942	743	71.4502	2.71495
h1SMnT0035109.1	1235	1036	0	0
h1SMnT0035110.1	557	358	0	0
h1SMnT0035167.1	426	227	43	5.34799
h1SMcT0022861.1	1552	1353	42.2784	0.882203
h1SMcT0023025.1	1272	1073	412.193	10.8455
h1SMnT0035154.1	904	705	1	0.040046
h1SMcT0022833.1	1591	1392	381.789	7.74342
h1SMcT0022893.1	2162	1963	1.22415	0.0176061
h1SMcT0022736.1	505	306	3	0.276789
h1SMcT0022737.1	1029	830	39	1.32658
h1SMcT0022738.1	1350	1151	6	0.147172
h1SMnT0035322.1	217	32.019	0	0
h1SMnT0035323.1	735	536	0	0
h1SMnT0035324.2	335	136	106.93	22.1977
h1SMnT0035227.1	1397	1198	0	0
h1SMcT0022909.1	874	675	6.75	0.282324
h1SMnT0035228.1	568	369	2536.63	194.079
h1SMnT0035229.1	524	325	0	0
h1SMcT0023038.1	2979	2780	1099.62	11.1672
h1SMnT0035422.1	134	11.1029	0	0
h1SMcT0023039.2	1098	899	50.9294	1.5994
h1SMnT0035423.1	937	738	14	0.535575
h1SMnT0035424.1	2291	2092	13	0.175441
h1SMcT0023051.1	1760	1561	4	0.0723444
h1SMnT0035447.1	696	497	0.00277248	0.000157492
h1SMnT0035467.1	305	106.025	0	0
h1SMcT0022957.1	540	341	3	0.248379
h1SMcT0022958.1	458	259	0	0
h1SMcT0022975.1	1214	1015	0	0
h1SMnT0035371.1	220	33.5881	0	0
h1SMnT0035222.1	841	642	3	0.131927
h1SMcT0022906.1	785	586	0	0
h1SMnT0034950.1	246	50.8321	0	0
h1SMnT0035278.1	532	333	0	0
h1SMnT0035279.1	127	10.4162	0	0
h1SMcT0022952.1	2293	2094	77.2591	1.04165
h1SMnT0035280.1	972	773	3	0.10957
h1SMnT0035281.1	1330	1131	2	0.0499247
h1SMcT0022934.1	19276	19077	839.051	1.24173
h1SMcT0022898.1	1257	1058	0	0
h1SMcT0022899.1	1154	955	1.39153	0.0411376
h1SMcT0022900.1	2875	2676	0	0
h1SMcT0022901.1	1798	1599	0.000105557	1.86374e-06
h1SMnT0035418.1	379	180	0	0
h1SMnT0035419.1	572	373	0	0
h1SMcT0023037.1	4734	4535	99.7486	0.62098
h1SMnT0035420.1	226	36.9844	0	0
h1SMnT0035096.1	559	360	0	0
h1SMcT0022872.1	985	786	0	0
h1SMcT0022814.1	2646	2447	0	0
h1SMcT0022815.1	2022	1823	9	0.139381
h1SMcT0022816.1	3124	2925	16.0433	0.154852
h1SMcT0022656.1	6668	6469	14.8647	0.0648734
h1SMnT0034905.1	1057	858	27.7557	0.9133
h1SMcT0022657.2	3525	3326	454.976	3.86202
h1SMnT0034906.1	553	354	5	0.398763
h1SMnT0034907.1	1610	1411	38.1095	0.762526
h1SMnT0034908.1	674	475	14.9315	0.887478
h1SMnT0034909.1	344	145	0	0
h1SMnT0034910.1	874	675	20.6488	0.863651
h1SMcT0022658.1	895	696	0	0
h1SMnT0035333.1	518	319	1	0.0885029
h1SMcT0022983.2	1765	1566	336.344	6.06374
h1SMnT0035334.1	355	156	0	0
h1SMnT0035335.1	347	148	0	0
h1SMcT0022982.1	1733	1534	0	0
h1SMnT0035165.1	414	215	0	0
h1SMnT0035166.1	311	112.012	0	0
h1SMcT0022650.1	3691	3492	0	0
h1SMcT0022651.1	3742	3543	0.426578	0.00339919
h1SMnT0034903.1	1789	1590	0	0
h1SMcT0022652.1	16757	16558	13.3024	0.0226815
h1SMcT0022653.1	7978	7779	2.54293	0.00922909
h1SMnT0034904.1	2408	2209	0	0
h1SMcT0022643.1	1273	1074	123.828	3.25508
h1SMcT0022644.1	746	547	0	0
h1SMcT0022645.1	752	553	0	0
h1SMcT0022646.1	812	613	0	0
h1SMcT0022878.1	3135	2936	19.9051	0.191406
h1SMnT0035197.1	681	482	1.14995	0.0673568
h1SMcT0022879.1	645	446	0	0
h1SMcT0022880.1	1003	804	0	0
h1SMnT0035198.1	3014	2815	17	0.170498
h1SMcT0022974.1	15547	15348	350.167	0.644127
h1SMnT0035321.1	630	431	0	0
h1SMnT0035305.1	1121	922	9096.92	278.555
h1SMnT0035306.1	1778	1579	11661.1	208.499
h1SMnT0035307.1	531	332	0	0
h1SMnT0035308.1	1309	1110	12005.6	305.359
h1SMnT0035309.1	1106	907	0	0
h1SMnT0035310.1	1917	1718	14432.6	237.175
h1SMnT0035311.1	1033	834	0	0
h1SMnT0035312.1	3291	3092	0	0
h1SMnT0035313.1	363	164	7.08205e-06	1.21917e-06
h1SMnT0035314.1	3292	3093	0	0
h1SMnT0035315.1	1694	1495	0	0
h1SMnT0035316.1	2161	1962	0	0
h1SMcT0022894.1	1956	1757	275.195	4.42198
h1SMnT0035285.1	673	474	0	0
h1SMnT0035286.1	153	13.4437	0	0
h1SMnT0035287.1	556	357	0.997977	0.0789224
h1SMnT0035288.1	558	359	0.00202303	0.000159095
