chrom	start	end	summit	depth
chr1_h1	38165	39079	38424	26
chr1_h1	39671	40541	40010	55
chr1_h1	64000	64936	64527	48
chr1_h1	65429	66256	65849	42
chr1_h1	267974	268852	268523	24
chr1_h1	270062	270783	270476	33
chr1_h1	271175	271983	271543	38
chr1_h1	286118	287029	286541	45
chr1_h1	290287	291155	290305	21
chr1_h1	294119	295023	294615	51
chr1_h1	360638	361560	361321	9
chr1_h1	379104	379989	379461	44
chr1_h1	381011	381900	381248	12
chr1_h1	383597	384523	383929	9
chr1_h1	384804	385726	385149	12
chr1_h1	397350	398160	397963	11
chr1_h1	398678	399660	399120	13
chr1_h1	401412	402371	401673	53
chr1_h1	416275	417251	416770	21
chr1_h1	417910	418769	418261	20
chr1_h1	420695	421700	421181	26
chr1_h1	423745	424603	424209	40
chr1_h1	427966	428860	428325	213
chr1_h1	430791	431637	431228	248
chr1_h1	433051	433664	433269	11
chr1_h1	433787	434561	434235	18
chr1_h1	436651	437696	437272	7
chr1_h1	439447	440362	439863	31
chr1_h1	442448	443317	442897	5
chr1_h1	444060	444915	444481	17
chr1_h1	445644	446522	446010	56
chr1_h1	494688	495594	495042	16
chr1_h1	504907	505815	505318	11
chr1_h1	507082	508027	507318	18
chr1_h1	509133	510044	509595	166
chr1_h1	512534	513399	512795	6
chr1_h1	524052	524806	524478	89
chr1_h1	524968	525989	525104	89
chr1_h1	529679	530506	530091	537
chr1_h1	530886	531667	531193	42
chr1_h1	535467	536335	535876	126
chr1_h1	553046	553878	553194	10
chr1_h1	556046	556922	556619	12
chr1_h1	559698	560841	560712	12
chr1_h1	561193	562149	562023	106
chr1_h1	565735	566481	566044	14
chr1_h1	567290	568101	567550	95
chr1_h1	572161	573108	572685	19
chr1_h1	576493	577239	576876	35
chr1_h1	583401	584315	584248	14
chr1_h1	620695	621621	621178	26
chr1_h1	622814	623629	623429	8
chr1_h1	623961	624795	624330	25
chr1_h1	626586	627465	626911	9
chr1_h1	644739	645616	645153	55
chr1_h1	648708	649615	649124	11
chr1_h1	655955	656837	656711	7
chr1_h1	667561	668412	668329	10
chr1_h1	696319	697347	696817	13
chr1_h1	698629	699623	698984	9
chr1_h1	721291	722218	721969	7
chr1_h1	729651	730552	730086	16
chr1_h1	731488	732149	731794	20
chr1_h1	739561	740439	740031	43
