target_id	length	eff_length	est_counts	tpm
h1SMcT0023044.1	938	889	1	0.0686193
h1SMnT0035429.1	433	384	22.6182	3.59314
h1SMnT0035428.2	1171	1122	11.8995	0.646969
h1SMnT0035430.1	225	176	1	0.346605
h1SMcT0022937.1	1148	1099	0	0
h1SMnT0035345.1	487	438	1	0.139275
h1SMcT0022992.1	5186	5137	9.44783	0.112194
h1SMnT0035168.1	667	618	0	0
h1SMnT0035169.1	682	633	0	0
h1SMnT0035364.1	3295	3246	0	0
h1SMnT0035365.1	822	773	0	0
h1SMnT0035366.1	3294	3245	59.8017	1.12421
h1SMnT0035367.1	2210	2161	382.084	10.7858
h1SMnT0035368.1	649	600	0	0
h1SMnT0035369.1	3295	3246	17.7707	0.333966
h1SMnT0035370.1	1798	1749	0	0
h1SMcT0023064.1	649	600	18.3714	1.86783
h1SMcT0022911.1	964	915	109.828	7.32218
h1SMcT0022912.1	1707	1658	56.4654	2.07752
h1SMnT0035348.1	2018	1969	107.085	3.31764
h1SMcT0022995.1	1592	1543	243.237	9.61639
h1SMnT0035349.1	581	532	23.1225	2.65138
h1SMnT0035350.1	437	388	22.9206	3.60365
h1SMnT0035351.1	251	202	0	0
h1SMnT0035439.1	173	124	0	0
h1SMcT0023009.1	1809	1760	4.2197	0.146257
h1SMnT0035408.1	676	627	0	0
h1SMnT0035149.1	469	420	4.06249	0.590053
h1SMcT0022739.1	1385	1336	0	0
h1SMcT0022740.2	1315	1266	82	3.95119
h1SMnT0035008.1	217	168	0	0
h1SMnT0035009.1	403	354	0	0
h1SMnT0035304.1	214	165	0	0
h1SMcT0023054.1	1130	1081	0	0
h1SMcT0023055.1	5046	4997	50.6435	0.618247
h1SMcT0022976.1	1057	1008	0	0
h1SMnT0035249.1	307	258	0	0
h1SMnT0035250.1	410	361	4247	717.667
h1SMnT0035251.1	2625	2576	14.2361	0.337127
h1SMcT0022931.1	1208	1159	0	0
h1SMnT0035252.1	344	295	0	0
h1SMnT0035253.1	459	410	0	0
h1SMcT0022932.1	1030	981	362	22.5106
h1SMnT0035254.1	593	544	1	0.112137
h1SMcT0022933.2	2471	2422	943.42	23.7618
